epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1586641348088,2020-04-11T14:42:28.088,0.000,0.808,0.229,0.408
1586641348128,2020-04-11T14:42:28.128,0.040,0.805,0.266,0.436
1586641348169,2020-04-11T14:42:28.169,0.081,0.818,0.312,0.439
1586641348208,2020-04-11T14:42:28.208,0.120,0.818,0.313,0.437
1586641348248,2020-04-11T14:42:28.248,0.160,0.823,0.326,0.422
1586641348289,2020-04-11T14:42:28.289,0.201,0.818,0.354,0.405
1586641348329,2020-04-11T14:42:28.329,0.241,0.792,0.393,0.404
1586641348370,2020-04-11T14:42:28.370,0.282,0.797,0.432,0.414
1586641348409,2020-04-11T14:42:28.409,0.321,0.783,0.445,0.426
1586641348449,2020-04-11T14:42:28.449,0.361,0.759,0.424,0.431
1586641348490,2020-04-11T14:42:28.490,0.402,0.758,0.432,0.442
1586641348529,2020-04-11T14:42:28.529,0.441,0.771,0.444,0.428
1586641348570,2020-04-11T14:42:28.570,0.482,0.795,0.450,0.435
1586641348610,2020-04-11T14:42:28.610,0.522,0.805,0.415,0.410
1586641348649,2020-04-11T14:42:28.649,0.561,0.756,0.382,0.452
1586641348690,2020-04-11T14:42:28.690,0.602,0.727,0.427,0.550
1586641348730,2020-04-11T14:42:28.730,0.642,0.734,0.470,0.599
1586641348771,2020-04-11T14:42:28.771,0.683,0.722,0.407,0.626
1586641348810,2020-04-11T14:42:28.810,0.722,0.772,0.441,0.582
1586641348850,2020-04-11T14:42:28.850,0.762,0.912,0.828,0.488
1586641348891,2020-04-11T14:42:28.891,0.803,0.902,0.788,0.458
1586641348931,2020-04-11T14:42:28.931,0.843,0.838,0.441,0.549
1586641348972,2020-04-11T14:42:28.972,0.884,0.872,0.087,0.702
1586641349011,2020-04-11T14:42:29.011,0.923,0.760,-0.099,0.820
1586641349051,2020-04-11T14:42:29.051,0.963,0.499,0.363,0.792
1586641349092,2020-04-11T14:42:29.092,1.004,0.372,0.389,0.710
1586641349131,2020-04-11T14:42:29.131,1.043,0.471,0.264,0.689
1586641349171,2020-04-11T14:42:29.171,1.083,0.531,0.322,0.712
1586641349212,2020-04-11T14:42:29.212,1.124,0.451,0.226,0.736
1586641349251,2020-04-11T14:42:29.251,1.163,0.427,0.260,0.763
1586641349292,2020-04-11T14:42:29.292,1.204,0.425,0.281,0.788
1586641349332,2020-04-11T14:42:29.332,1.244,0.409,0.213,0.786
1586641349372,2020-04-11T14:42:29.372,1.284,0.465,0.344,0.755
1586641349413,2020-04-11T14:42:29.413,1.325,0.535,0.487,0.721
1586641349452,2020-04-11T14:42:29.452,1.364,0.557,0.533,0.707
1586641349493,2020-04-11T14:42:29.493,1.405,0.590,0.499,0.677
1586641349533,2020-04-11T14:42:29.533,1.445,0.660,0.551,0.638
