epoch (ms),time (-07:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1586641348008,2020-04-11T14:42:28.008,0.000,6.098,3.780,-0.671
1586641348047,2020-04-11T14:42:28.047,0.039,6.829,2.988,-0.183
1586641348088,2020-04-11T14:42:28.088,0.080,14.573,-2.134,4.512
1586641348128,2020-04-11T14:42:28.128,0.120,21.341,-7.500,9.207
1586641348169,2020-04-11T14:42:28.169,0.161,20.366,-7.866,11.463
1586641348208,2020-04-11T14:42:28.208,0.200,20.976,-3.720,14.634
1586641348249,2020-04-11T14:42:28.249,0.241,28.963,-0.061,13.598
1586641348289,2020-04-11T14:42:28.289,0.281,38.963,2.378,9.451
1586641348329,2020-04-11T14:42:28.329,0.321,42.683,3.232,5.671
1586641348370,2020-04-11T14:42:28.370,0.362,40.488,0.732,5.305
1586641348409,2020-04-11T14:42:28.409,0.401,31.463,-1.402,4.756
1586641348449,2020-04-11T14:42:28.449,0.441,25.793,-1.951,3.598
1586641348490,2020-04-11T14:42:28.490,0.482,27.927,0.305,1.402
1586641348529,2020-04-11T14:42:28.529,0.521,29.329,5.610,-2.683
1586641348570,2020-04-11T14:42:28.570,0.562,27.256,10.671,-9.390
1586641348610,2020-04-11T14:42:28.610,0.602,23.963,13.963,-18.354
1586641348649,2020-04-11T14:42:28.649,0.641,20.671,15.244,-31.220
1586641348690,2020-04-11T14:42:28.690,0.682,15.549,4.634,-38.232
1586641348730,2020-04-11T14:42:28.730,0.722,-6.646,-7.866,-39.207
1586641348771,2020-04-11T14:42:28.771,0.763,-42.256,-4.756,-42.805
1586641348810,2020-04-11T14:42:28.810,0.802,-53.415,-0.305,-46.280
1586641348850,2020-04-11T14:42:28.850,0.842,-100.244,8.537,-50.976
1586641348891,2020-04-11T14:42:28.891,0.883,-241.829,32.073,-50.732
1586641348931,2020-04-11T14:42:28.931,0.923,-334.207,34.024,-35.976
1586641348972,2020-04-11T14:42:28.972,0.964,-304.756,25.061,-27.134
1586641349011,2020-04-11T14:42:29.011,1.003,-175.183,25.976,-35.244
1586641349051,2020-04-11T14:42:29.051,1.043,-32.012,29.207,-38.963
1586641349092,2020-04-11T14:42:29.092,1.084,-17.561,35.183,-27.378
1586641349131,2020-04-11T14:42:29.131,1.123,-4.451,27.317,-9.573
1586641349172,2020-04-11T14:42:29.172,1.164,16.280,19.024,-8.110
1586641349212,2020-04-11T14:42:29.212,1.204,14.268,9.817,-11.585
1586641349251,2020-04-11T14:42:29.251,1.243,31.402,-7.439,-7.927
1586641349292,2020-04-11T14:42:29.292,1.284,30.488,-16.707,-5.366
1586641349332,2020-04-11T14:42:29.332,1.324,44.207,-21.585,-0.305
1586641349372,2020-04-11T14:42:29.372,1.364,83.049,-27.927,5.610
1586641349413,2020-04-11T14:42:29.413,1.405,95.366,-31.159,8.171
1586641349452,2020-04-11T14:42:29.452,1.444,73.902,-31.280,5.122
1586641349493,2020-04-11T14:42:29.493,1.485,55.061,-34.451,2.378
1586641349533,2020-04-11T14:42:29.533,1.525,54.512,-38.476,2.195
1586641349572,2020-04-11T14:42:29.572,1.564,41.220,-37.500,-0.549
1586641349613,2020-04-11T14:42:29.613,1.605,12.439,-32.683,-2.134
1586641349653,2020-04-11T14:42:29.653,1.645,-17.439,-24.085,-3.598
1586641349694,2020-04-11T14:42:29.694,1.686,-33.963,-12.561,-6.524
1586641349733,2020-04-11T14:42:29.733,1.725,-25.732,-10.000,-3.049
1586641349773,2020-04-11T14:42:29.773,1.765,-13.902,-18.110,0.427
1586641349814,2020-04-11T14:42:29.814,1.806,-13.537,-24.451,0.305
1586641349853,2020-04-11T14:42:29.853,1.845,-22.378,-25.000,-7.134
1586641349894,2020-04-11T14:42:29.894,1.886,-28.537,-21.280,-13.963
1586641349934,2020-04-11T14:42:29.934,1.926,-24.146,-5.915,-7.744
1586641349974,2020-04-11T14:42:29.974,1.966,-21.707,20.305,-4.573
1586641350015,2020-04-11T14:42:30.015,2.007,3.354,23.841,-4.817
1586641350054,2020-04-11T14:42:30.054,2.046,46.585,6.707,-0.915
1586641350095,2020-04-11T14:42:30.095,2.087,55.488,-7.988,2.805
1586641350135,2020-04-11T14:42:30.135,2.127,30.488,-12.195,0.671
1586641350174,2020-04-11T14:42:30.174,2.166,6.890,-7.500,-0.305
1586641350215,2020-04-11T14:42:30.215,2.207,14.695,-5.244,2.073
1586641350255,2020-04-11T14:42:30.255,2.247,52.805,-14.695,5.549
1586641350296,2020-04-11T14:42:30.296,2.288,83.476,-23.902,-2.012
1586641350335,2020-04-11T14:42:30.335,2.327,78.354,-18.415,-11.707
1586641350375,2020-04-11T14:42:30.375,2.367,99.512,-8.537,-5.061
1586641350416,2020-04-11T14:42:30.416,2.408,152.073,-12.744,6.890
1586641350456,2020-04-11T14:42:30.456,2.448,174.329,-18.598,7.317
1586641350495,2020-04-11T14:42:30.495,2.487,155.122,-16.890,13.902
1586641350536,2020-04-11T14:42:30.536,2.528,112.012,-5.976,26.707
1586641350576,2020-04-11T14:42:30.576,2.568,68.293,4.390,31.524
1586641350617,2020-04-11T14:42:30.617,2.609,39.207,4.756,34.329
1586641350656,2020-04-11T14:42:30.656,2.648,37.561,5.732,33.537
1586641350696,2020-04-11T14:42:30.696,2.688,58.110,8.110,31.098
1586641350737,2020-04-11T14:42:30.737,2.729,71.159,12.866,23.354
1586641350778,2020-04-11T14:42:30.778,2.770,58.354,14.390,20.000
1586641350817,2020-04-11T14:42:30.817,2.809,28.049,7.439,15.488
1586641350857,2020-04-11T14:42:30.857,2.849,9.329,0.122,6.768
1586641350896,2020-04-11T14:42:30.896,2.888,8.963,-7.317,2.805
1586641350937,2020-04-11T14:42:30.937,2.929,-9.939,-12.805,-0.915
