epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1586641956221,2020-04-11T14:52:36.221,0.000,-0.161,0.829,0.574
1586641956262,2020-04-11T14:52:36.262,0.041,-0.158,0.837,0.577
1586641956302,2020-04-11T14:52:36.302,0.081,-0.140,0.837,0.572
1586641956343,2020-04-11T14:52:36.343,0.122,-0.143,0.830,0.572
1586641956382,2020-04-11T14:52:36.382,0.161,-0.136,0.821,0.577
1586641956422,2020-04-11T14:52:36.422,0.201,-0.136,0.833,0.574
1586641956463,2020-04-11T14:52:36.463,0.242,-0.145,0.845,0.571
1586641956502,2020-04-11T14:52:36.502,0.281,-0.146,0.842,0.575
1586641956543,2020-04-11T14:52:36.543,0.322,-0.145,0.837,0.575
1586641956583,2020-04-11T14:52:36.583,0.362,-0.151,0.820,0.562
1586641956622,2020-04-11T14:52:36.622,0.401,-0.147,0.828,0.570
1586641956663,2020-04-11T14:52:36.663,0.442,-0.134,0.839,0.580
1586641956703,2020-04-11T14:52:36.703,0.482,-0.143,0.837,0.579
1586641956744,2020-04-11T14:52:36.744,0.523,-0.141,0.836,0.580
1586641956783,2020-04-11T14:52:36.783,0.562,-0.145,0.833,0.577
1586641956823,2020-04-11T14:52:36.823,0.602,-0.151,0.840,0.567
1586641956864,2020-04-11T14:52:36.864,0.643,-0.148,0.840,0.573
1586641956904,2020-04-11T14:52:36.904,0.683,-0.142,0.831,0.583
1586641956945,2020-04-11T14:52:36.945,0.724,-0.138,0.830,0.574
1586641956984,2020-04-11T14:52:36.984,0.763,-0.137,0.833,0.563
1586641957024,2020-04-11T14:52:37.024,0.803,-0.145,0.829,0.569
1586641957065,2020-04-11T14:52:37.065,0.844,-0.136,0.837,0.587
1586641957104,2020-04-11T14:52:37.104,0.883,-0.132,0.840,0.581
1586641957145,2020-04-11T14:52:37.145,0.924,-0.148,0.829,0.565
1586641957185,2020-04-11T14:52:37.185,0.964,-0.137,0.838,0.569
1586641957224,2020-04-11T14:52:37.224,1.003,-0.130,0.840,0.577
1586641957265,2020-04-11T14:52:37.265,1.044,-0.142,0.826,0.576
1586641957305,2020-04-11T14:52:37.305,1.084,-0.134,0.832,0.571
1586641957345,2020-04-11T14:52:37.345,1.124,-0.136,0.832,0.575
1586641957386,2020-04-11T14:52:37.386,1.165,-0.147,0.827,0.577
1586641957425,2020-04-11T14:52:37.425,1.204,-0.142,0.835,0.574
1586641957466,2020-04-11T14:52:37.466,1.245,-0.142,0.834,0.572
1586641957506,2020-04-11T14:52:37.506,1.285,-0.144,0.824,0.562
1586641957547,2020-04-11T14:52:37.547,1.326,-0.138,0.828,0.568
1586641957586,2020-04-11T14:52:37.586,1.365,-0.129,0.840,0.587
1586641957626,2020-04-11T14:52:37.626,1.405,-0.137,0.832,0.576
1586641957667,2020-04-11T14:52:37.667,1.446,-0.146,0.829,0.568
1586641957706,2020-04-11T14:52:37.706,1.485,-0.141,0.829,0.577
1586641957746,2020-04-11T14:52:37.746,1.525,-0.141,0.837,0.578
1586641957787,2020-04-11T14:52:37.787,1.566,-0.147,0.843,0.570
1586641957826,2020-04-11T14:52:37.826,1.605,-0.143,0.841,0.574
1586641957867,2020-04-11T14:52:37.867,1.646,-0.133,0.830,0.578
1586641957907,2020-04-11T14:52:37.907,1.686,-0.135,0.831,0.568
1586641957947,2020-04-11T14:52:37.947,1.726,-0.139,0.838,0.567
1586641957988,2020-04-11T14:52:37.988,1.767,-0.136,0.843,0.576
1586641958027,2020-04-11T14:52:38.027,1.806,-0.139,0.839,0.578
1586641958068,2020-04-11T14:52:38.068,1.847,-0.140,0.836,0.573
1586641958108,2020-04-11T14:52:38.108,1.887,-0.139,0.830,0.570
1586641958149,2020-04-11T14:52:38.149,1.928,-0.135,0.833,0.570
1586641958188,2020-04-11T14:52:38.188,1.967,-0.139,0.828,0.568
1586641958228,2020-04-11T14:52:38.228,2.007,-0.139,0.839,0.573
1586641958269,2020-04-11T14:52:38.269,2.048,-0.134,0.842,0.572
1586641958308,2020-04-11T14:52:38.308,2.087,-0.138,0.834,0.566
1586641958348,2020-04-11T14:52:38.348,2.127,-0.144,0.828,0.566
1586641958389,2020-04-11T14:52:38.389,2.168,-0.132,0.843,0.581
1586641958429,2020-04-11T14:52:38.429,2.208,-0.142,0.833,0.576
1586641958468,2020-04-11T14:52:38.468,2.247,-0.141,0.835,0.567
1586641958509,2020-04-11T14:52:38.509,2.288,-0.133,0.840,0.573
1586641958549,2020-04-11T14:52:38.549,2.328,-0.136,0.840,0.578
1586641958590,2020-04-11T14:52:38.590,2.369,-0.144,0.833,0.570
1586641958629,2020-04-11T14:52:38.629,2.408,-0.144,0.829,0.568
1586641958669,2020-04-11T14:52:38.669,2.448,-0.145,0.838,0.566
1586641958710,2020-04-11T14:52:38.710,2.489,-0.146,0.836,0.570
1586641958749,2020-04-11T14:52:38.749,2.528,-0.141,0.832,0.570
1586641958790,2020-04-11T14:52:38.790,2.569,-0.137,0.830,0.568
