epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1586641973663,2020-04-11T14:52:53.663,0.000,-0.181,0.061,0.952
1586641973704,2020-04-11T14:52:53.704,0.041,-0.183,0.060,0.957
1586641973744,2020-04-11T14:52:53.744,0.081,-0.185,0.058,0.960
1586641973783,2020-04-11T14:52:53.783,0.120,-0.184,0.058,0.958
1586641973823,2020-04-11T14:52:53.823,0.160,-0.184,0.059,0.957
1586641973862,2020-04-11T14:52:53.862,0.199,-0.183,0.057,0.959
1586641973902,2020-04-11T14:52:53.902,0.239,-0.182,0.057,0.959
1586641973943,2020-04-11T14:52:53.943,0.280,-0.186,0.056,0.961
1586641973982,2020-04-11T14:52:53.982,0.319,-0.184,0.057,0.957
1586641974022,2020-04-11T14:52:54.022,0.359,-0.183,0.055,0.957
1586641974061,2020-04-11T14:52:54.061,0.398,-0.186,0.055,0.960
1586641974101,2020-04-11T14:52:54.101,0.438,-0.184,0.056,0.958
1586641974140,2020-04-11T14:52:54.140,0.477,-0.181,0.056,0.960
1586641974182,2020-04-11T14:52:54.182,0.519,-0.182,0.057,0.961
1586641974221,2020-04-11T14:52:54.221,0.558,-0.182,0.057,0.957
1586641974261,2020-04-11T14:52:54.261,0.598,-0.186,0.059,0.955
1586641974302,2020-04-11T14:52:54.302,0.639,-0.180,0.057,0.959
1586641974340,2020-04-11T14:52:54.340,0.677,-0.182,0.055,0.958
1586641974381,2020-04-11T14:52:54.381,0.718,-0.180,0.055,0.960
1586641974420,2020-04-11T14:52:54.420,0.757,-0.179,0.055,0.958
1586641974460,2020-04-11T14:52:54.460,0.797,-0.181,0.055,0.960
1586641974499,2020-04-11T14:52:54.499,0.836,-0.180,0.054,0.963
1586641974539,2020-04-11T14:52:54.539,0.876,-0.180,0.055,0.958
1586641974578,2020-04-11T14:52:54.578,0.915,-0.182,0.054,0.959
1586641974620,2020-04-11T14:52:54.620,0.957,-0.182,0.053,0.961
1586641974659,2020-04-11T14:52:54.659,0.996,-0.180,0.054,0.961
1586641974699,2020-04-11T14:52:54.699,1.036,-0.179,0.054,0.959
1586641974738,2020-04-11T14:52:54.738,1.075,-0.180,0.054,0.961
1586641974778,2020-04-11T14:52:54.778,1.115,-0.182,0.053,0.963
1586641974817,2020-04-11T14:52:54.817,1.154,-0.180,0.055,0.959
1586641974858,2020-04-11T14:52:54.858,1.195,-0.178,0.054,0.960
1586641974898,2020-04-11T14:52:54.898,1.235,-0.182,0.053,0.961
1586641974937,2020-04-11T14:52:54.937,1.274,-0.180,0.056,0.958
1586641974977,2020-04-11T14:52:54.977,1.314,-0.181,0.055,0.959
1586641975016,2020-04-11T14:52:55.016,1.353,-0.182,0.055,0.960
1586641975056,2020-04-11T14:52:55.056,1.393,-0.183,0.055,0.960
1586641975097,2020-04-11T14:52:55.097,1.434,-0.183,0.057,0.956
1586641975137,2020-04-11T14:52:55.137,1.474,-0.182,0.056,0.962
1586641975176,2020-04-11T14:52:55.176,1.513,-0.183,0.058,0.959
1586641975216,2020-04-11T14:52:55.216,1.553,-0.182,0.058,0.958
1586641975255,2020-04-11T14:52:55.255,1.592,-0.184,0.058,0.963
1586641975295,2020-04-11T14:52:55.295,1.632,-0.182,0.057,0.961
1586641975336,2020-04-11T14:52:55.336,1.673,-0.181,0.058,0.959
1586641975375,2020-04-11T14:52:55.375,1.712,-0.182,0.058,0.961
1586641975415,2020-04-11T14:52:55.415,1.752,-0.185,0.059,0.959
1586641975454,2020-04-11T14:52:55.454,1.791,-0.183,0.060,0.958
1586641975494,2020-04-11T14:52:55.494,1.831,-0.181,0.062,0.958
1586641975534,2020-04-11T14:52:55.534,1.871,-0.184,0.062,0.960
1586641975575,2020-04-11T14:52:55.575,1.912,-0.182,0.061,0.963
1586641975614,2020-04-11T14:52:55.614,1.951,-0.181,0.062,0.957
1586641975654,2020-04-11T14:52:55.654,1.991,-0.183,0.063,0.956
1586641975693,2020-04-11T14:52:55.693,2.030,-0.185,0.062,0.966
1586641975733,2020-04-11T14:52:55.733,2.070,-0.184,0.063,0.962
1586641975772,2020-04-11T14:52:55.772,2.109,-0.184,0.061,0.971
1586641975813,2020-04-11T14:52:55.813,2.150,-0.187,0.067,0.964
1586641975853,2020-04-11T14:52:55.853,2.190,-0.184,0.080,0.947
1586641975892,2020-04-11T14:52:55.892,2.229,-0.173,0.080,0.947
1586641975932,2020-04-11T14:52:55.932,2.269,-0.175,0.076,0.958
1586641975972,2020-04-11T14:52:55.972,2.309,-0.186,0.074,0.966
1586641976013,2020-04-11T14:52:56.013,2.350,-0.186,0.079,0.962
1586641976052,2020-04-11T14:52:56.052,2.389,-0.187,0.089,0.957
1586641976092,2020-04-11T14:52:56.092,2.429,-0.194,0.084,0.961
1586641976133,2020-04-11T14:52:56.133,2.470,-0.193,0.091,0.939
1586641976171,2020-04-11T14:52:56.171,2.508,-0.199,0.075,0.953
1586641976210,2020-04-11T14:52:56.210,2.547,-0.201,0.087,0.958
1586641976253,2020-04-11T14:52:56.253,2.590,-0.202,0.091,0.947
1586641976291,2020-04-11T14:52:56.291,2.628,-0.201,0.087,0.952
1586641976330,2020-04-11T14:52:56.330,2.667,-0.210,0.087,0.958
1586641976371,2020-04-11T14:52:56.371,2.708,-0.203,0.092,0.954
1586641976410,2020-04-11T14:52:56.410,2.747,-0.202,0.098,0.946
1586641976449,2020-04-11T14:52:56.449,2.786,-0.206,0.094,0.950
1586641976489,2020-04-11T14:52:56.489,2.826,-0.203,0.101,0.948
1586641976530,2020-04-11T14:52:56.530,2.867,-0.204,0.098,0.946
1586641976569,2020-04-11T14:52:56.569,2.906,-0.210,0.096,0.950
1586641976609,2020-04-11T14:52:56.609,2.946,-0.211,0.099,0.952
1586641976648,2020-04-11T14:52:56.648,2.985,-0.207,0.100,0.949
1586641976688,2020-04-11T14:52:56.688,3.025,-0.205,0.101,0.949
1586641976727,2020-04-11T14:52:56.727,3.064,-0.204,0.105,0.944
1586641976768,2020-04-11T14:52:56.768,3.105,-0.205,0.105,0.942
1586641976808,2020-04-11T14:52:56.808,3.145,-0.207,0.102,0.950
1586641976848,2020-04-11T14:52:56.848,3.185,-0.206,0.100,0.952
1586641976887,2020-04-11T14:52:56.887,3.224,-0.208,0.100,0.947
1586641976927,2020-04-11T14:52:56.927,3.264,-0.209,0.098,0.948
1586641976966,2020-04-11T14:52:56.966,3.303,-0.207,0.094,0.949
1586641977007,2020-04-11T14:52:57.007,3.344,-0.209,0.093,0.948
1586641977047,2020-04-11T14:52:57.047,3.384,-0.210,0.090,0.952
1586641977086,2020-04-11T14:52:57.086,3.423,-0.208,0.091,0.944
1586641977126,2020-04-11T14:52:57.126,3.463,-0.212,0.085,0.953
1586641977165,2020-04-11T14:52:57.165,3.502,-0.213,0.085,0.952
1586641977206,2020-04-11T14:52:57.206,3.543,-0.212,0.084,0.948
1586641977246,2020-04-11T14:52:57.246,3.583,-0.215,0.080,0.955
1586641977286,2020-04-11T14:52:57.286,3.623,-0.211,0.086,0.945
1586641977325,2020-04-11T14:52:57.325,3.662,-0.206,0.083,0.938
1586641977365,2020-04-11T14:52:57.365,3.702,-0.217,0.072,0.970
1586641977404,2020-04-11T14:52:57.404,3.741,-0.209,0.078,0.948
1586641977445,2020-04-11T14:52:57.445,3.782,-0.211,0.078,0.956
1586641977485,2020-04-11T14:52:57.485,3.822,-0.212,0.088,0.944
1586641977524,2020-04-11T14:52:57.524,3.861,-0.219,0.085,0.949
1586641977564,2020-04-11T14:52:57.564,3.901,-0.203,0.104,0.956
1586641977603,2020-04-11T14:52:57.603,3.940,-0.190,0.121,0.939
1586641977643,2020-04-11T14:52:57.643,3.980,-0.239,0.063,0.953
1586641977684,2020-04-11T14:52:57.684,4.021,-0.217,0.083,0.939
1586641977724,2020-04-11T14:52:57.724,4.061,-0.211,0.073,0.936
1586641977763,2020-04-11T14:52:57.763,4.100,-0.229,0.062,0.963
1586641977803,2020-04-11T14:52:57.803,4.140,-0.209,0.082,0.955
1586641977842,2020-04-11T14:52:57.842,4.179,-0.203,0.081,0.948
1586641977882,2020-04-11T14:52:57.882,4.219,-0.191,0.068,0.950
1586641977923,2020-04-11T14:52:57.923,4.260,-0.148,0.042,0.957
