epoch (ms),time (-07:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1586643302434,2020-04-11T15:15:02.434,0.000,-0.549,-2.073,-1.341
1586643302473,2020-04-11T15:15:02.473,0.039,-0.366,-2.256,-1.890
1586643302513,2020-04-11T15:15:02.513,0.079,-0.610,-2.561,-3.476
1586643302552,2020-04-11T15:15:02.552,0.118,-1.951,-2.012,-5.427
1586643302593,2020-04-11T15:15:02.593,0.159,-2.195,-1.524,-5.671
1586643302633,2020-04-11T15:15:02.633,0.199,-1.646,-1.524,-3.354
1586643302672,2020-04-11T15:15:02.672,0.238,0.061,-1.098,-3.537
1586643302712,2020-04-11T15:15:02.712,0.278,-2.988,-0.488,-3.354
1586643302751,2020-04-11T15:15:02.751,0.317,-2.073,1.098,1.829
1586643302791,2020-04-11T15:15:02.791,0.357,-1.402,0.976,1.463
1586643302832,2020-04-11T15:15:02.832,0.398,-2.500,0.549,0.549
1586643302871,2020-04-11T15:15:02.871,0.437,-3.110,0.793,4.573
1586643302911,2020-04-11T15:15:02.911,0.477,-5.000,0.854,7.988
1586643302951,2020-04-11T15:15:02.951,0.517,-0.976,2.073,9.024
1586643302990,2020-04-11T15:15:02.990,0.556,-3.171,0.854,5.488
1586643303030,2020-04-11T15:15:03.030,0.596,-1.280,0.793,3.720
1586643303071,2020-04-11T15:15:03.071,0.637,2.744,2.744,3.963
1586643303110,2020-04-11T15:15:03.110,0.676,-0.366,1.951,-0.305
1586643303150,2020-04-11T15:15:03.150,0.716,-3.780,0.976,0.366
1586643303189,2020-04-11T15:15:03.189,0.755,-1.646,0.549,2.012
1586643303229,2020-04-11T15:15:03.229,0.795,-2.317,-0.915,-0.244
1586643303270,2020-04-11T15:15:03.270,0.836,0.122,-1.341,-1.341
1586643303309,2020-04-11T15:15:03.309,0.875,-0.671,-4.207,-6.341
1586643303349,2020-04-11T15:15:03.349,0.915,5.610,-3.476,-12.622
1586643303389,2020-04-11T15:15:03.389,0.955,2.439,-0.427,2.500
1586643303428,2020-04-11T15:15:03.428,0.994,-0.976,-0.976,-3.598
