epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1586643874713,2020-04-11T15:24:34.713,0.000,0.189,0.152,0.979
1586643874752,2020-04-11T15:24:34.752,0.039,0.206,0.150,1.007
1586643874793,2020-04-11T15:24:34.793,0.080,0.198,0.146,0.986
1586643874833,2020-04-11T15:24:34.833,0.120,0.200,0.152,0.987
1586643874873,2020-04-11T15:24:34.873,0.160,0.208,0.137,0.972
1586643874912,2020-04-11T15:24:34.912,0.199,0.197,0.158,0.989
1586643874952,2020-04-11T15:24:34.952,0.239,0.202,0.146,0.990
1586643874991,2020-04-11T15:24:34.991,0.278,0.214,0.140,0.992
1586643875032,2020-04-11T15:24:35.032,0.319,0.208,0.150,0.991
1586643875072,2020-04-11T15:24:35.072,0.359,0.204,0.148,0.981
1586643875111,2020-04-11T15:24:35.111,0.398,0.210,0.146,0.988
1586643875151,2020-04-11T15:24:35.151,0.438,0.203,0.145,0.982
1586643875190,2020-04-11T15:24:35.190,0.477,0.204,0.145,0.988
1586643875231,2020-04-11T15:24:35.231,0.518,0.208,0.149,0.996
1586643875271,2020-04-11T15:24:35.271,0.558,0.206,0.146,0.984
1586643875311,2020-04-11T15:24:35.311,0.598,0.204,0.143,0.984
1586643875350,2020-04-11T15:24:35.350,0.637,0.205,0.145,0.989
1586643875390,2020-04-11T15:24:35.390,0.677,0.208,0.138,0.983
1586643875429,2020-04-11T15:24:35.429,0.716,0.189,0.161,0.992
1586643875470,2020-04-11T15:24:35.470,0.757,0.200,0.143,0.989
1586643875510,2020-04-11T15:24:35.510,0.797,0.221,0.134,0.995
1586643875549,2020-04-11T15:24:35.549,0.836,0.203,0.145,0.978
1586643875589,2020-04-11T15:24:35.589,0.876,0.199,0.150,0.982
1586643875628,2020-04-11T15:24:35.628,0.915,0.213,0.151,1.007
1586643875668,2020-04-11T15:24:35.668,0.955,0.211,0.137,0.977
1586643875709,2020-04-11T15:24:35.709,0.996,0.206,0.143,0.985
1586643875749,2020-04-11T15:24:35.749,1.036,0.195,0.153,0.994
1586643875788,2020-04-11T15:24:35.788,1.075,0.210,0.147,0.995
1586643875828,2020-04-11T15:24:35.828,1.115,0.211,0.137,0.977
1586643875867,2020-04-11T15:24:35.867,1.154,0.200,0.155,0.995
1586643875907,2020-04-11T15:24:35.907,1.194,0.212,0.139,0.983
1586643875948,2020-04-11T15:24:35.948,1.235,0.187,0.164,0.989
1586643875987,2020-04-11T15:24:35.987,1.274,0.202,0.146,0.986
1586643876027,2020-04-11T15:24:36.027,1.314,0.223,0.137,0.994
1586643876066,2020-04-11T15:24:36.066,1.353,0.203,0.152,0.988
1586643876106,2020-04-11T15:24:36.106,1.393,0.211,0.148,0.992
1586643876146,2020-04-11T15:24:36.146,1.433,0.213,0.148,0.989
1586643876187,2020-04-11T15:24:36.187,1.474,0.206,0.143,0.977
1586643876226,2020-04-11T15:24:36.226,1.513,0.203,0.149,0.989
1586643876266,2020-04-11T15:24:36.266,1.553,0.211,0.151,1.004
1586643876305,2020-04-11T15:24:36.305,1.592,0.215,0.141,0.983
1586643876345,2020-04-11T15:24:36.345,1.632,0.202,0.151,0.978
1586643876386,2020-04-11T15:24:36.386,1.673,0.205,0.152,0.990
1586643876425,2020-04-11T15:24:36.425,1.712,0.212,0.140,0.989
1586643876465,2020-04-11T15:24:36.465,1.752,0.189,0.163,0.995
1586643876504,2020-04-11T15:24:36.504,1.791,0.208,0.143,0.984
1586643876544,2020-04-11T15:24:36.544,1.831,0.229,0.133,0.990
1586643876584,2020-04-11T15:24:36.584,1.871,0.202,0.151,0.982
1586643876625,2020-04-11T15:24:36.625,1.912,0.195,0.159,0.987
1586643876664,2020-04-11T15:24:36.664,1.951,0.217,0.150,0.996
1586643876704,2020-04-11T15:24:36.704,1.991,0.209,0.146,0.985
1586643876743,2020-04-11T15:24:36.743,2.030,0.197,0.154,0.986
1586643876783,2020-04-11T15:24:36.783,2.070,0.192,0.159,0.996
1586643876822,2020-04-11T15:24:36.822,2.109,0.208,0.149,0.992
1586643876863,2020-04-11T15:24:36.863,2.150,0.207,0.148,0.988
1586643876903,2020-04-11T15:24:36.903,2.190,0.196,0.153,0.984
1586643876942,2020-04-11T15:24:36.942,2.229,0.188,0.159,0.998
1586643876982,2020-04-11T15:24:36.982,2.269,0.175,0.164,0.981
