epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573107369439,2019-11-06T22:16:09.439,0.000,1.248,0.928,0.628
1573107369479,2019-11-06T22:16:09.479,0.040,0.868,1.225,0.352
1573107369518,2019-11-06T22:16:09.518,0.079,-0.015,0.833,-0.744
1573107369558,2019-11-06T22:16:09.558,0.119,0.634,0.880,0.126
1573107369597,2019-11-06T22:16:09.597,0.158,0.625,0.701,0.402
1573107369638,2019-11-06T22:16:09.638,0.199,0.620,0.752,0.671
1573107369678,2019-11-06T22:16:09.678,0.239,0.277,1.003,0.259
1573107369717,2019-11-06T22:16:09.717,0.278,0.095,1.342,0.173
1573107369757,2019-11-06T22:16:09.757,0.318,0.020,1.169,-0.551
1573107369797,2019-11-06T22:16:09.797,0.358,0.281,1.459,-0.365
1573107369838,2019-11-06T22:16:09.838,0.399,0.398,1.459,0.829
1573107369877,2019-11-06T22:16:09.877,0.438,0.737,1.159,-0.454
1573107369917,2019-11-06T22:16:09.917,0.478,0.059,1.027,-0.560
1573107369956,2019-11-06T22:16:09.956,0.517,-0.125,1.346,-0.344
1573107369996,2019-11-06T22:16:09.996,0.557,0.498,1.061,-0.447
1573107370035,2019-11-06T22:16:10.035,0.596,-0.521,1.203,-0.464
1573107370076,2019-11-06T22:16:10.076,0.637,0.021,1.025,-0.252
1573107370116,2019-11-06T22:16:10.116,0.677,-0.352,1.139,-0.258
1573107370155,2019-11-06T22:16:10.155,0.716,1.254,0.783,-0.269
1573107370195,2019-11-06T22:16:10.195,0.756,0.512,1.214,-0.532
1573107370234,2019-11-06T22:16:10.234,0.795,-0.135,0.750,-0.462
1573107370274,2019-11-06T22:16:10.274,0.835,0.641,0.761,-0.209
1573107370315,2019-11-06T22:16:10.315,0.876,0.007,0.248,-0.344
1573107370355,2019-11-06T22:16:10.355,0.916,0.298,0.724,-0.398
1573107370394,2019-11-06T22:16:10.394,0.955,0.754,1.085,-0.740
1573107370434,2019-11-06T22:16:10.434,0.995,-0.168,0.758,-0.733
1573107370473,2019-11-06T22:16:10.473,1.034,-0.318,0.418,-0.370
1573107370514,2019-11-06T22:16:10.514,1.075,0.273,0.735,-0.213
1573107370554,2019-11-06T22:16:10.554,1.115,0.147,0.635,0.049
1573107370593,2019-11-06T22:16:10.593,1.154,-0.132,0.395,0.275
1573107370633,2019-11-06T22:16:10.633,1.194,-1.371,1.721,-1.094
1573107370672,2019-11-06T22:16:10.672,1.233,-1.045,2.575,-2.120
1573107370712,2019-11-06T22:16:10.712,1.273,0.938,2.124,-1.689
1573107370752,2019-11-06T22:16:10.752,1.313,0.842,0.483,-1.601
1573107370793,2019-11-06T22:16:10.793,1.354,0.455,0.909,-1.094
1573107370832,2019-11-06T22:16:10.832,1.393,-0.064,1.565,-0.322
1573107370872,2019-11-06T22:16:10.872,1.433,-1.150,1.027,-0.992
1573107370911,2019-11-06T22:16:10.911,1.472,-0.467,0.869,-0.845
1573107370951,2019-11-06T22:16:10.951,1.512,-0.201,0.735,-0.280
1573107370992,2019-11-06T22:16:10.992,1.553,-0.681,0.642,-0.352
1573107371031,2019-11-06T22:16:11.031,1.592,-0.404,0.637,-0.533
1573107371071,2019-11-06T22:16:11.071,1.632,0.042,0.534,-0.705
1573107371110,2019-11-06T22:16:11.110,1.671,-0.022,0.669,-0.917
1573107371150,2019-11-06T22:16:11.150,1.711,-0.091,0.752,-1.148
1573107371190,2019-11-06T22:16:11.190,1.751,-0.287,0.857,-1.110
1573107371231,2019-11-06T22:16:11.231,1.792,-0.185,0.836,-0.902
1573107371270,2019-11-06T22:16:11.270,1.831,-0.372,0.815,-0.542
1573107371310,2019-11-06T22:16:11.310,1.871,-0.179,0.617,-0.494
1573107371349,2019-11-06T22:16:11.349,1.910,-0.526,0.549,-0.846
1573107371389,2019-11-06T22:16:11.389,1.950,-0.150,0.400,-0.548
1573107371428,2019-11-06T22:16:11.428,1.989,-0.063,0.463,-0.632
1573107371469,2019-11-06T22:16:11.469,2.030,-0.067,0.358,-0.934
1573107371509,2019-11-06T22:16:11.509,2.070,-0.363,0.401,-0.222
1573107371548,2019-11-06T22:16:11.548,2.109,-0.494,0.428,-0.213
1573107371588,2019-11-06T22:16:11.588,2.149,-0.482,0.570,-0.373
1573107371628,2019-11-06T22:16:11.628,2.189,-0.621,0.665,-0.330
1573107371667,2019-11-06T22:16:11.667,2.228,-0.719,0.819,-0.458
1573107371708,2019-11-06T22:16:11.708,2.269,-0.389,0.918,-0.544
1573107371748,2019-11-06T22:16:11.748,2.309,-0.801,1.181,-0.345
1573107371787,2019-11-06T22:16:11.787,2.348,-0.643,1.199,-0.184
1573107371827,2019-11-06T22:16:11.827,2.388,-0.729,1.110,-0.290
1573107371866,2019-11-06T22:16:11.866,2.427,-0.572,0.927,-0.058
1573107371906,2019-11-06T22:16:11.906,2.467,-0.903,0.863,-0.079
1573107371947,2019-11-06T22:16:11.947,2.508,-0.766,0.955,0.293
1573107371986,2019-11-06T22:16:11.986,2.547,-0.464,0.997,0.291
1573107372026,2019-11-06T22:16:12.026,2.587,-0.650,0.647,0.042
1573107372066,2019-11-06T22:16:12.066,2.627,-1.027,-0.166,0.094
1573107372105,2019-11-06T22:16:12.105,2.666,-0.265,0.569,-0.105
1573107372145,2019-11-06T22:16:12.145,2.706,-0.833,2.362,0.104
1573107372186,2019-11-06T22:16:12.186,2.747,-0.513,1.594,0.989
1573107372225,2019-11-06T22:16:12.225,2.786,-0.650,1.370,-0.485
1573107372265,2019-11-06T22:16:12.265,2.826,0.619,-0.344,-0.755
1573107372304,2019-11-06T22:16:12.304,2.865,0.149,0.602,0.694
1573107372345,2019-11-06T22:16:12.345,2.906,-0.785,0.829,1.252
1573107372385,2019-11-06T22:16:12.385,2.946,-0.393,0.170,0.464
1573107372424,2019-11-06T22:16:12.424,2.985,-0.525,0.290,0.357
1573107372464,2019-11-06T22:16:12.464,3.025,-0.526,0.442,0.230
1573107372504,2019-11-06T22:16:12.504,3.065,-0.342,0.611,0.152
1573107372543,2019-11-06T22:16:12.543,3.104,-0.484,0.838,0.355
1573107372583,2019-11-06T22:16:12.583,3.144,-0.589,0.792,0.105
1573107372624,2019-11-06T22:16:12.624,3.185,-0.583,1.086,0.326
1573107372663,2019-11-06T22:16:12.663,3.224,-1.031,1.262,0.750
1573107372703,2019-11-06T22:16:12.703,3.264,-0.973,1.067,0.882
1573107372742,2019-11-06T22:16:12.742,3.303,-1.029,0.827,0.792
1573107372782,2019-11-06T22:16:12.782,3.343,-0.680,0.637,-0.009
1573107372821,2019-11-06T22:16:12.821,3.382,-0.513,0.771,-0.205
1573107372862,2019-11-06T22:16:12.862,3.423,-0.465,0.905,0.580
1573107372902,2019-11-06T22:16:12.902,3.463,-0.416,0.561,0.720
1573107372942,2019-11-06T22:16:12.942,3.503,-0.428,0.421,0.406
1573107372981,2019-11-06T22:16:12.981,3.542,-0.559,0.292,0.564
1573107373021,2019-11-06T22:16:13.021,3.582,-0.484,0.312,0.574
1573107373060,2019-11-06T22:16:13.060,3.621,-0.626,0.511,0.639
1573107373101,2019-11-06T22:16:13.101,3.662,-0.271,0.562,0.268
1573107373141,2019-11-06T22:16:13.141,3.702,-0.518,0.789,0.461
1573107373180,2019-11-06T22:16:13.180,3.741,-0.328,0.707,0.386
1573107373220,2019-11-06T22:16:13.220,3.781,-0.444,0.627,0.274
1573107373259,2019-11-06T22:16:13.259,3.820,-0.900,0.498,0.105
1573107373299,2019-11-06T22:16:13.299,3.860,-0.836,0.722,-0.008
1573107373340,2019-11-06T22:16:13.340,3.901,-1.409,0.719,-0.637
1573107373380,2019-11-06T22:16:13.380,3.941,-0.272,0.814,0.559
1573107373419,2019-11-06T22:16:13.419,3.980,1.254,0.061,0.349
1573107373459,2019-11-06T22:16:13.459,4.020,0.303,0.828,-0.681
1573107373498,2019-11-06T22:16:13.498,4.059,-3.028,2.764,-1.990
1573107373538,2019-11-06T22:16:13.538,4.099,0.117,1.339,-0.215
1573107373579,2019-11-06T22:16:13.579,4.140,-0.388,1.073,-0.283
1573107373618,2019-11-06T22:16:13.618,4.179,-1.710,1.622,-0.759
1573107373658,2019-11-06T22:16:13.658,4.219,-0.749,1.611,-0.722
1573107373697,2019-11-06T22:16:13.697,4.258,-0.056,1.119,-0.542
1573107373737,2019-11-06T22:16:13.737,4.298,0.320,0.422,-0.479
1573107373778,2019-11-06T22:16:13.778,4.339,0.637,-0.061,-0.252
1573107373817,2019-11-06T22:16:13.817,4.378,0.377,0.720,-0.344
1573107373857,2019-11-06T22:16:13.857,4.418,-1.596,1.959,-0.762
1573107373897,2019-11-06T22:16:13.897,4.458,-0.894,1.750,-0.805
1573107373936,2019-11-06T22:16:13.936,4.497,0.820,0.905,-0.302
1573107373976,2019-11-06T22:16:13.976,4.537,-1.660,1.843,-0.816
1573107374017,2019-11-06T22:16:14.017,4.578,-0.080,1.399,1.313
