epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573107369359,2019-11-06T22:16:09.359,0.000,2.622,217.805,-100.671
1573107369400,2019-11-06T22:16:09.400,0.041,-91.707,102.622,-73.232
1573107369439,2019-11-06T22:16:09.439,0.080,-482.988,-426.037,33.293
1573107369479,2019-11-06T22:16:09.479,0.120,-98.902,201.098,-43.110
1573107369518,2019-11-06T22:16:09.518,0.159,57.683,526.281,-227.622
1573107369558,2019-11-06T22:16:09.558,0.199,-28.780,-50.427,-194.573
1573107369599,2019-11-06T22:16:09.599,0.240,8.537,-76.098,-77.134
1573107369638,2019-11-06T22:16:09.638,0.279,-9.451,-35.732,8.902
1573107369678,2019-11-06T22:16:09.678,0.319,-43.537,18.232,29.939
1573107369717,2019-11-06T22:16:09.717,0.358,47.988,43.293,-39.329
1573107369757,2019-11-06T22:16:09.757,0.398,170.549,107.805,-114.817
1573107369797,2019-11-06T22:16:09.797,0.438,411.098,-30.244,-82.988
1573107369838,2019-11-06T22:16:09.838,0.479,251.159,-242.317,-60.793
1573107369877,2019-11-06T22:16:09.877,0.518,-31.524,44.085,-86.402
1573107369917,2019-11-06T22:16:09.917,0.558,-33.232,73.598,49.573
1573107369956,2019-11-06T22:16:09.956,0.597,-25.549,43.537,39.390
1573107369996,2019-11-06T22:16:09.996,0.637,-63.537,2.134,27.012
1573107370035,2019-11-06T22:16:10.035,0.676,-12.988,40.915,85.793
1573107370076,2019-11-06T22:16:10.076,0.717,-10.854,12.317,10.488
1573107370116,2019-11-06T22:16:10.116,0.757,-42.134,15.854,-12.317
1573107370155,2019-11-06T22:16:10.155,0.796,-106.220,22.500,-57.683
1573107370195,2019-11-06T22:16:10.195,0.836,-93.659,53.963,128.841
1573107370234,2019-11-06T22:16:10.234,0.875,-53.902,55.061,194.756
1573107370274,2019-11-06T22:16:10.274,0.915,48.963,69.634,192.439
1573107370315,2019-11-06T22:16:10.315,0.956,91.159,-68.963,273.720
1573107370355,2019-11-06T22:16:10.355,0.996,262.866,-165.061,221.402
1573107370394,2019-11-06T22:16:10.394,1.035,279.756,-361.463,247.561
1573107370434,2019-11-06T22:16:10.434,1.075,381.402,-92.683,146.524
1573107370473,2019-11-06T22:16:10.473,1.114,481.585,191.707,-10.549
1573107370514,2019-11-06T22:16:10.514,1.155,456.402,-295.610,70.183
1573107370554,2019-11-06T22:16:10.554,1.195,330.427,-439.085,206.220
1573107370593,2019-11-06T22:16:10.593,1.234,10.671,-306.707,251.768
1573107370633,2019-11-06T22:16:10.633,1.274,-782.866,-215.915,295.061
1573107370672,2019-11-06T22:16:10.672,1.313,-1188.049,29.085,-45.000
1573107370712,2019-11-06T22:16:10.712,1.353,-765.427,448.780,-470.244
1573107370753,2019-11-06T22:16:10.753,1.394,-38.415,614.024,-404.451
1573107370793,2019-11-06T22:16:10.793,1.434,157.134,-174.634,-101.524
1573107370832,2019-11-06T22:16:10.832,1.473,16.585,-150.549,144.756
1573107370872,2019-11-06T22:16:10.872,1.513,-117.195,47.439,113.537
1573107370911,2019-11-06T22:16:10.911,1.552,65.183,-66.280,21.463
1573107370951,2019-11-06T22:16:10.951,1.592,186.463,-25.122,53.537
1573107370992,2019-11-06T22:16:10.992,1.633,90.671,37.622,44.634
1573107371031,2019-11-06T22:16:11.031,1.672,19.878,-0.854,-13.537
1573107371071,2019-11-06T22:16:11.071,1.712,-2.195,-1.159,-25.427
1573107371110,2019-11-06T22:16:11.110,1.751,19.024,28.110,3.354
1573107371150,2019-11-06T22:16:11.150,1.791,43.110,39.146,25.061
1573107371191,2019-11-06T22:16:11.191,1.832,101.707,42.378,58.963
