epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573015380102,2019-11-05T20:43:00.102,0.000,-0.427,-0.183,0.671
1573015380141,2019-11-05T20:43:00.141,0.039,-0.183,0.244,0.793
1573015380182,2019-11-05T20:43:00.182,0.080,-0.183,0.122,0.793
1573015380222,2019-11-05T20:43:00.222,0.120,-0.244,0.122,0.793
1573015380263,2019-11-05T20:43:00.263,0.161,-0.244,0.122,0.732
1573015380302,2019-11-05T20:43:00.302,0.200,-0.244,0.122,0.793
1573015380342,2019-11-05T20:43:00.342,0.240,-0.244,0.122,0.793
1573015380383,2019-11-05T20:43:00.383,0.281,-0.244,0.122,0.793
1573015380422,2019-11-05T20:43:00.422,0.320,-0.183,0.122,0.793
1573015380463,2019-11-05T20:43:00.463,0.361,-0.244,0.122,0.793
1573015380503,2019-11-05T20:43:00.503,0.401,-0.244,0.122,0.793
1573015380542,2019-11-05T20:43:00.542,0.440,-0.183,0.122,0.732
1573015380583,2019-11-05T20:43:00.583,0.481,-0.183,0.061,0.793
1573015380623,2019-11-05T20:43:00.623,0.521,-0.244,0.122,0.793
1573015380664,2019-11-05T20:43:00.664,0.562,-0.305,0.122,0.793
1573015380704,2019-11-05T20:43:00.704,0.602,-0.183,0.061,0.793
1573015380743,2019-11-05T20:43:00.743,0.641,-0.244,0.122,0.793
1573015380784,2019-11-05T20:43:00.784,0.682,-0.183,0.122,0.793
1573015380824,2019-11-05T20:43:00.824,0.722,-0.183,0.061,0.732
1573015380865,2019-11-05T20:43:00.865,0.763,-0.244,0.183,0.793
1573015380904,2019-11-05T20:43:00.904,0.802,-0.183,0.122,0.793
1573015380944,2019-11-05T20:43:00.944,0.842,-0.244,0.122,0.793
1573015380985,2019-11-05T20:43:00.985,0.883,-0.244,0.122,0.793
1573015381024,2019-11-05T20:43:01.024,0.922,-0.244,0.122,0.793
1573015381065,2019-11-05T20:43:01.065,0.963,-0.244,0.122,0.793
1573015381105,2019-11-05T20:43:01.105,1.003,-0.183,0.122,0.793
1573015381144,2019-11-05T20:43:01.144,1.042,-0.244,0.061,0.793
1573015381186,2019-11-05T20:43:01.186,1.084,-0.244,0.183,0.793
1573015381225,2019-11-05T20:43:01.225,1.123,-0.244,0.122,0.793
1573015381266,2019-11-05T20:43:01.266,1.164,-0.244,0.061,0.732
1573015381306,2019-11-05T20:43:01.306,1.204,-0.244,0.122,0.793
1573015381345,2019-11-05T20:43:01.345,1.243,-0.183,0.122,0.793
1573015381386,2019-11-05T20:43:01.386,1.284,-0.244,0.183,0.732
1573015381426,2019-11-05T20:43:01.426,1.324,-0.183,0.122,0.793
1573015381465,2019-11-05T20:43:01.465,1.363,-0.183,0.122,0.732
1573015381506,2019-11-05T20:43:01.506,1.404,-0.244,0.061,0.793
1573015381546,2019-11-05T20:43:01.546,1.444,-0.244,0.061,0.793
1573015381587,2019-11-05T20:43:01.587,1.485,-0.244,0.122,0.793
1573015381626,2019-11-05T20:43:01.626,1.524,-0.183,0.122,0.793
1573015381666,2019-11-05T20:43:01.666,1.564,-0.183,0.122,0.793
1573015381707,2019-11-05T20:43:01.707,1.605,-0.183,0.061,0.793
1573015381747,2019-11-05T20:43:01.747,1.645,-0.244,0.122,0.793
1573015381788,2019-11-05T20:43:01.788,1.686,-0.244,0.122,0.854
1573015381827,2019-11-05T20:43:01.827,1.725,-0.183,0.061,0.793
1573015381867,2019-11-05T20:43:01.867,1.765,-0.244,0.122,0.793
1573015381908,2019-11-05T20:43:01.908,1.806,-0.183,0.061,0.854
1573015381947,2019-11-05T20:43:01.947,1.845,-0.244,0.122,0.793
1573015381988,2019-11-05T20:43:01.988,1.886,-0.183,0.061,0.793
1573015382028,2019-11-05T20:43:02.028,1.926,-0.183,0.122,0.793
1573015382067,2019-11-05T20:43:02.067,1.965,-0.244,0.122,0.793
1573015382108,2019-11-05T20:43:02.108,2.006,-0.244,0.122,0.793
1573015382148,2019-11-05T20:43:02.148,2.046,-0.183,0.122,0.793
1573015382189,2019-11-05T20:43:02.189,2.087,-0.244,0.122,0.732
1573015382228,2019-11-05T20:43:02.228,2.126,-0.183,0.122,0.793
1573015382268,2019-11-05T20:43:02.268,2.166,-0.244,0.061,0.793
1573015382309,2019-11-05T20:43:02.309,2.207,-0.244,0.183,0.793
1573015382349,2019-11-05T20:43:02.349,2.247,-0.183,0.122,0.793
1573015382390,2019-11-05T20:43:02.390,2.288,-0.183,0.122,0.732
1573015382429,2019-11-05T20:43:02.429,2.327,-0.183,0.122,0.793
1573015382469,2019-11-05T20:43:02.469,2.367,-0.244,0.122,0.732
1573015382510,2019-11-05T20:43:02.510,2.408,-0.244,0.122,0.793
1573015382549,2019-11-05T20:43:02.549,2.447,-0.244,0.122,0.793
1573015382590,2019-11-05T20:43:02.590,2.488,-0.183,0.122,0.793
1573015382630,2019-11-05T20:43:02.630,2.528,-0.183,0.122,0.854
1573015382669,2019-11-05T20:43:02.669,2.567,-0.244,0.183,0.793
1573015382710,2019-11-05T20:43:02.710,2.608,-0.244,0.122,0.793
1573015382750,2019-11-05T20:43:02.750,2.648,-0.244,0.122,0.793
1573015382790,2019-11-05T20:43:02.790,2.688,-0.244,0.061,0.793
1573015382831,2019-11-05T20:43:02.831,2.729,-0.244,0.122,0.793
1573015382870,2019-11-05T20:43:02.870,2.768,-0.244,0.122,0.793
1573015382911,2019-11-05T20:43:02.911,2.809,-0.244,0.122,0.793
1573015382951,2019-11-05T20:43:02.951,2.849,-0.244,0.183,0.793
1573015382990,2019-11-05T20:43:02.990,2.888,-0.183,0.061,0.793
1573015383031,2019-11-05T20:43:03.031,2.929,-0.244,0.183,0.793
1573015383071,2019-11-05T20:43:03.071,2.969,-0.244,0.122,0.732
1573015383112,2019-11-05T20:43:03.112,3.010,-0.244,0.122,0.793
