epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572985388015,2019-11-05T12:23:08.015,0.000,0.169,-0.761,0.270
1572985388056,2019-11-05T12:23:08.056,0.041,0.189,-0.881,0.294
1572985388096,2019-11-05T12:23:08.096,0.081,0.207,-1.053,0.304
1572985388135,2019-11-05T12:23:08.135,0.120,0.254,-1.072,0.321
1572985388176,2019-11-05T12:23:08.176,0.161,0.280,-1.031,0.347
1572985388216,2019-11-05T12:23:08.216,0.201,0.250,-0.991,0.303
1572985388257,2019-11-05T12:23:08.257,0.242,0.250,-0.978,0.333
1572985388296,2019-11-05T12:23:08.296,0.281,0.260,-0.916,0.331
1572985388336,2019-11-05T12:23:08.336,0.321,0.250,-0.905,0.351
1572985388377,2019-11-05T12:23:08.377,0.362,0.204,-0.942,0.336
1572985388416,2019-11-05T12:23:08.416,0.401,0.209,-0.861,0.330
1572985388457,2019-11-05T12:23:08.457,0.442,0.193,-0.842,0.312
1572985388497,2019-11-05T12:23:08.497,0.482,0.173,-0.952,0.294
1572985388536,2019-11-05T12:23:08.536,0.521,0.160,-0.997,0.327
1572985388577,2019-11-05T12:23:08.577,0.562,0.220,-0.759,0.366
1572985388617,2019-11-05T12:23:08.617,0.602,0.211,-0.823,0.363
1572985388658,2019-11-05T12:23:08.658,0.643,0.180,-0.971,0.380
1572985388698,2019-11-05T12:23:08.698,0.683,0.197,-0.872,0.383
1572985388737,2019-11-05T12:23:08.737,0.722,0.188,-0.887,0.388
1572985388778,2019-11-05T12:23:08.778,0.763,0.170,-0.948,0.382
1572985388818,2019-11-05T12:23:08.818,0.803,0.189,-0.856,0.347
1572985388859,2019-11-05T12:23:08.859,0.844,0.176,-0.861,0.340
1572985388898,2019-11-05T12:23:08.898,0.883,0.166,-0.899,0.269
1572985388938,2019-11-05T12:23:08.938,0.923,0.150,-0.834,0.242
1572985388979,2019-11-05T12:23:08.979,0.964,0.114,-0.836,0.267
1572985389018,2019-11-05T12:23:09.018,1.003,0.104,-0.942,0.244
1572985389059,2019-11-05T12:23:09.059,1.044,0.092,-0.938,0.271
1572985389099,2019-11-05T12:23:09.099,1.084,0.095,-0.977,0.271
1572985389139,2019-11-05T12:23:09.139,1.124,0.100,-1.108,0.286
1572985389180,2019-11-05T12:23:09.180,1.165,0.148,-1.138,0.321
1572985389219,2019-11-05T12:23:09.219,1.204,0.191,-1.100,0.278
1572985389260,2019-11-05T12:23:09.260,1.245,0.205,-1.000,0.237
1572985389300,2019-11-05T12:23:09.300,1.285,0.189,-0.917,0.146
1572985389339,2019-11-05T12:23:09.339,1.324,0.169,-0.831,0.036
1572985389380,2019-11-05T12:23:09.380,1.365,0.127,-0.875,0.019
1572985389420,2019-11-05T12:23:09.420,1.405,0.142,-0.958,0.089
1572985389461,2019-11-05T12:23:09.461,1.446,0.209,-0.993,0.182
1572985389500,2019-11-05T12:23:09.500,1.485,0.229,-1.026,0.304
1572985389540,2019-11-05T12:23:09.540,1.525,0.249,-1.041,0.327
1572985389581,2019-11-05T12:23:09.581,1.566,0.225,-1.048,0.321
1572985389620,2019-11-05T12:23:09.620,1.605,0.233,-0.968,0.313
1572985389661,2019-11-05T12:23:09.661,1.646,0.203,-0.949,0.313
1572985389701,2019-11-05T12:23:09.701,1.686,0.144,-0.872,0.249
1572985389741,2019-11-05T12:23:09.741,1.726,0.115,-0.777,0.151
1572985389782,2019-11-05T12:23:09.782,1.767,0.054,-0.856,0.071
1572985389821,2019-11-05T12:23:09.821,1.806,0.077,-0.858,0.068
1572985389862,2019-11-05T12:23:09.862,1.847,0.132,-0.894,0.123
1572985389902,2019-11-05T12:23:09.902,1.887,0.193,-1.007,0.147
1572985389941,2019-11-05T12:23:09.941,1.926,0.240,-1.057,0.166
1572985389982,2019-11-05T12:23:09.982,1.967,0.134,-1.191,0.295
1572985390022,2019-11-05T12:23:10.022,2.007,0.109,-1.046,0.392
1572985390061,2019-11-05T12:23:10.061,2.046,0.033,-0.963,0.405
1572985390102,2019-11-05T12:23:10.102,2.087,-0.034,-0.974,0.269
1572985390142,2019-11-05T12:23:10.142,2.127,-0.043,-0.919,0.161
1572985390183,2019-11-05T12:23:10.183,2.168,-0.005,-0.864,0.095
1572985390223,2019-11-05T12:23:10.223,2.208,0.015,-0.979,0.103
1572985390262,2019-11-05T12:23:10.262,2.247,0.090,-1.033,0.170
1572985390303,2019-11-05T12:23:10.303,2.288,0.159,-1.006,0.254
1572985390343,2019-11-05T12:23:10.343,2.328,0.178,-1.053,0.291
1572985390384,2019-11-05T12:23:10.384,2.369,0.166,-1.021,0.293
1572985390423,2019-11-05T12:23:10.423,2.408,0.105,-0.983,0.248
1572985390463,2019-11-05T12:23:10.463,2.448,0.035,-0.954,0.200
1572985390504,2019-11-05T12:23:10.504,2.489,0.055,-0.840,0.211
1572985390543,2019-11-05T12:23:10.543,2.528,0.068,-0.894,0.211
1572985390584,2019-11-05T12:23:10.584,2.569,0.080,-0.979,0.218
1572985390624,2019-11-05T12:23:10.624,2.609,0.093,-0.979,0.255
1572985390663,2019-11-05T12:23:10.663,2.648,0.091,-0.966,0.285
1572985390704,2019-11-05T12:23:10.704,2.689,0.099,-0.954,0.281
1572985390744,2019-11-05T12:23:10.744,2.729,0.105,-0.983,0.272
1572985390785,2019-11-05T12:23:10.785,2.770,0.120,-0.958,0.275
1572985390825,2019-11-05T12:23:10.825,2.810,0.090,-0.950,0.262
1572985390864,2019-11-05T12:23:10.864,2.849,0.085,-0.951,0.256
1572985390905,2019-11-05T12:23:10.905,2.890,0.112,-0.940,0.195
1572985390945,2019-11-05T12:23:10.945,2.930,0.063,-0.917,0.119
1572985390986,2019-11-05T12:23:10.986,2.971,-0.003,-0.908,0.135
1572985391025,2019-11-05T12:23:11.025,3.010,-0.019,-0.942,0.149
1572985391065,2019-11-05T12:23:11.065,3.050,-0.030,-0.933,0.165
1572985391106,2019-11-05T12:23:11.106,3.091,-0.047,-0.979,0.171
1572985391145,2019-11-05T12:23:11.145,3.130,-0.073,-1.078,0.203
1572985391186,2019-11-05T12:23:11.186,3.171,-0.032,-1.090,0.255
1572985391226,2019-11-05T12:23:11.226,3.211,0.024,-0.930,0.186
1572985391265,2019-11-05T12:23:11.265,3.250,0.016,-0.751,0.272
1572985391306,2019-11-05T12:23:11.306,3.291,-0.020,-0.941,0.237
1572985391346,2019-11-05T12:23:11.346,3.331,-0.054,-1.133,0.253
1572985391387,2019-11-05T12:23:11.387,3.372,-0.017,-1.057,0.243
1572985391427,2019-11-05T12:23:11.427,3.412,-0.046,-1.071,0.331
1572985391466,2019-11-05T12:23:11.466,3.451,0.002,-0.990,0.272
1572985391507,2019-11-05T12:23:11.507,3.492,0.075,-0.891,0.266
1572985391547,2019-11-05T12:23:11.547,3.532,0.009,-1.109,0.192
1572985391588,2019-11-05T12:23:11.588,3.573,-0.006,-1.145,0.118
1572985391627,2019-11-05T12:23:11.627,3.612,0.057,-0.926,0.121
1572985391667,2019-11-05T12:23:11.667,3.652,0.087,-0.892,0.087
1572985391708,2019-11-05T12:23:11.708,3.693,0.070,-0.919,0.136
1572985391747,2019-11-05T12:23:11.747,3.732,0.094,-0.923,0.137
1572985391788,2019-11-05T12:23:11.788,3.773,0.120,-0.892,0.160
1572985391828,2019-11-05T12:23:11.828,3.813,0.105,-0.944,0.179
1572985391868,2019-11-05T12:23:11.868,3.853,0.073,-0.971,0.188
1572985391909,2019-11-05T12:23:11.909,3.894,0.057,-0.942,0.230
1572985391948,2019-11-05T12:23:11.948,3.933,0.046,-1.004,0.225
1572985391989,2019-11-05T12:23:11.989,3.974,0.060,-1.021,0.226
1572985392029,2019-11-05T12:23:12.029,4.014,0.087,-1.006,0.225
1572985392068,2019-11-05T12:23:12.068,4.053,0.091,-1.000,0.221
1572985392109,2019-11-05T12:23:12.109,4.094,0.086,-0.981,0.215
1572985392149,2019-11-05T12:23:12.149,4.134,0.085,-0.990,0.188
1572985392190,2019-11-05T12:23:12.190,4.175,0.080,-1.010,0.181
1572985392229,2019-11-05T12:23:12.229,4.214,0.100,-0.978,0.186
1572985392269,2019-11-05T12:23:12.269,4.254,0.123,-0.994,0.158
1572985392310,2019-11-05T12:23:12.310,4.295,0.131,-1.018,0.154
1572985392349,2019-11-05T12:23:12.349,4.334,0.154,-0.971,0.126
1572985392390,2019-11-05T12:23:12.390,4.375,0.163,-0.835,0.135
1572985392430,2019-11-05T12:23:12.430,4.415,0.134,-0.785,0.161
1572985392470,2019-11-05T12:23:12.470,4.455,0.114,-0.763,0.108
1572985392511,2019-11-05T12:23:12.511,4.496,0.093,-0.592,0.076
1572985392550,2019-11-05T12:23:12.550,4.535,0.029,-0.492,0.047
1572985392591,2019-11-05T12:23:12.591,4.576,-0.055,-0.460,0.005
1572985392631,2019-11-05T12:23:12.631,4.616,-0.151,-0.451,0.072
1572985392670,2019-11-05T12:23:12.670,4.655,-0.312,-0.338,0.001
1572985392711,2019-11-05T12:23:12.711,4.696,-0.713,-0.355,0.009
1572985392751,2019-11-05T12:23:12.751,4.736,-1.396,-0.513,0.081
1572985392790,2019-11-05T12:23:12.790,4.775,-2.254,-0.682,0.109
1572985392831,2019-11-05T12:23:12.831,4.816,-2.289,-0.154,0.378
