epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572983929261,2019-11-05T11:58:49.261,0.000,0.765,-0.729,0.635
1572983929301,2019-11-05T11:58:49.301,0.040,1.238,-0.788,0.926
1572983929340,2019-11-05T11:58:49.340,0.079,2.037,-0.216,1.036
1572983929381,2019-11-05T11:58:49.381,0.120,3.065,-1.002,0.810
1572983929421,2019-11-05T11:58:49.421,0.160,2.942,-3.260,-0.851
1572983929462,2019-11-05T11:58:49.462,0.201,-0.053,-4.748,-1.729
1572983929501,2019-11-05T11:58:49.501,0.240,-1.708,-5.394,-2.676
1572983929541,2019-11-05T11:58:49.541,0.280,-5.595,-0.672,-0.830
1572983929582,2019-11-05T11:58:49.582,0.321,-9.172,7.332,2.809
1572983929622,2019-11-05T11:58:49.622,0.361,-2.292,0.489,0.207
1572983929663,2019-11-05T11:58:49.663,0.402,-0.272,-2.871,0.442
1572983929702,2019-11-05T11:58:49.702,0.441,-0.561,-1.072,0.403
1572983929742,2019-11-05T11:58:49.742,0.481,-0.336,-1.658,0.197
1572983929783,2019-11-05T11:58:49.783,0.522,-0.079,-1.468,0.185
1572983929822,2019-11-05T11:58:49.822,0.561,-0.042,-1.091,0.074
1572983929863,2019-11-05T11:58:49.863,0.602,0.204,-1.114,0.267
1572983929903,2019-11-05T11:58:49.903,0.642,0.338,-1.316,0.001
1572983929944,2019-11-05T11:58:49.944,0.683,0.641,-1.092,0.256
1572983929983,2019-11-05T11:58:49.983,0.722,0.805,-0.730,0.525
1572983930023,2019-11-05T11:58:50.023,0.762,0.729,-0.695,0.328
1572983930064,2019-11-05T11:58:50.064,0.803,0.711,-0.362,0.537
1572983930103,2019-11-05T11:58:50.103,0.842,0.637,-0.289,0.531
1572983930144,2019-11-05T11:58:50.144,0.883,0.674,-0.417,0.659
1572983930184,2019-11-05T11:58:50.184,0.923,0.585,-0.917,0.676
1572983930224,2019-11-05T11:58:50.224,0.963,0.578,-0.412,0.540
