epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572999669623,2019-11-05T16:21:09.623,0.000,-0.915,-0.549,0.976
1572999669664,2019-11-05T16:21:09.664,0.041,-1.280,-0.488,1.159
1572999669703,2019-11-05T16:21:09.703,0.080,-3.598,-1.585,2.256
1572999669743,2019-11-05T16:21:09.743,0.120,-5.244,-1.524,2.439
1572999669784,2019-11-05T16:21:09.784,0.161,-2.439,-0.427,1.280
1572999669823,2019-11-05T16:21:09.823,0.200,0.671,0.915,0.549
1572999669863,2019-11-05T16:21:09.863,0.240,2.378,0.854,0.122
1572999669904,2019-11-05T16:21:09.904,0.281,0.915,-0.061,0.610
1572999669944,2019-11-05T16:21:09.944,0.321,-1.646,-0.732,1.220
1572999669985,2019-11-05T16:21:09.985,0.362,-1.646,-0.915,1.524
1572999670024,2019-11-05T16:21:10.024,0.401,-0.427,-0.366,1.037
1572999670064,2019-11-05T16:21:10.064,0.441,0.793,-0.122,0.549
1572999670105,2019-11-05T16:21:10.105,0.482,0.488,-0.366,0.488
1572999670146,2019-11-05T16:21:10.146,0.523,-0.366,-0.976,0.610
1572999670185,2019-11-05T16:21:10.185,0.562,-1.037,-0.976,0.854
1572999670225,2019-11-05T16:21:10.225,0.602,-0.793,-0.061,1.098
1572999670266,2019-11-05T16:21:10.266,0.643,0.488,-0.488,0.671
1572999670305,2019-11-05T16:21:10.305,0.682,-0.549,-0.305,0.732
1572999670345,2019-11-05T16:21:10.345,0.722,-0.549,0.305,-0.366
1572999670386,2019-11-05T16:21:10.386,0.763,1.890,0.122,-1.159
1572999670426,2019-11-05T16:21:10.426,0.803,1.402,-0.061,-1.098
1572999670465,2019-11-05T16:21:10.465,0.842,-0.671,0.732,-0.427
1572999670506,2019-11-05T16:21:10.506,0.883,1.768,0.793,0.244
1572999670546,2019-11-05T16:21:10.546,0.923,2.195,0.305,0.183
1572999670587,2019-11-05T16:21:10.587,0.964,-0.305,0.183,0.244
1572999670626,2019-11-05T16:21:10.626,1.003,-0.122,-0.122,1.402
1572999670666,2019-11-05T16:21:10.666,1.043,0.122,-0.488,1.707
1572999670707,2019-11-05T16:21:10.707,1.084,-0.061,-0.732,1.463
1572999670746,2019-11-05T16:21:10.746,1.123,0.183,-0.793,1.098
1572999670787,2019-11-05T16:21:10.787,1.164,-0.610,-0.671,1.280
