epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572983608314,2019-11-05T11:53:28.314,0.000,-3.902,5.366,1.524
1572983608355,2019-11-05T11:53:28.355,0.041,-3.232,5.549,1.646
1572983608394,2019-11-05T11:53:28.394,0.080,-1.829,5.610,2.012
1572983608435,2019-11-05T11:53:28.435,0.121,-3.171,5.427,2.195
1572983608475,2019-11-05T11:53:28.475,0.161,-2.927,4.512,1.951
1572983608515,2019-11-05T11:53:28.515,0.201,0.244,3.171,1.951
1572983608556,2019-11-05T11:53:28.556,0.242,0.427,2.683,1.829
1572983608595,2019-11-05T11:53:28.595,0.281,-0.305,2.378,1.402
1572983608636,2019-11-05T11:53:28.636,0.322,0.915,1.707,1.524
1572983608676,2019-11-05T11:53:28.676,0.362,0.610,1.463,2.195
1572983608715,2019-11-05T11:53:28.715,0.401,-0.183,1.707,2.988
1572983608756,2019-11-05T11:53:28.756,0.442,0.183,2.439,3.232
1572983608796,2019-11-05T11:53:28.796,0.482,-0.854,3.598,2.012
1572983608837,2019-11-05T11:53:28.837,0.523,-0.061,3.537,0.915
1572983608876,2019-11-05T11:53:28.876,0.562,0.854,2.073,0.061
1572983608916,2019-11-05T11:53:28.916,0.602,0.610,0.305,-0.793
1572983608957,2019-11-05T11:53:28.957,0.643,0.976,-1.098,-1.402
1572983608997,2019-11-05T11:53:28.997,0.683,1.098,-1.280,-1.098
1572983609038,2019-11-05T11:53:29.038,0.724,1.829,-1.159,-0.488
1572983609077,2019-11-05T11:53:29.077,0.763,1.463,-0.854,0.366
1572983609117,2019-11-05T11:53:29.117,0.803,0.183,-0.854,1.098
1572983609158,2019-11-05T11:53:29.158,0.844,-1.463,-1.220,1.037
1572983609197,2019-11-05T11:53:29.197,0.883,-3.902,-1.768,2.256
1572983609238,2019-11-05T11:53:29.238,0.924,-2.012,-2.622,3.720
1572983609278,2019-11-05T11:53:29.278,0.964,0.366,-2.378,3.963
1572983609317,2019-11-05T11:53:29.317,1.003,8.110,-1.402,3.110
1572983609358,2019-11-05T11:53:29.358,1.044,26.341,-1.890,0.122
1572983609398,2019-11-05T11:53:29.398,1.084,36.220,-1.646,-4.085
1572983609439,2019-11-05T11:53:29.439,1.125,29.085,-0.244,-5.976
1572983609478,2019-11-05T11:53:29.478,1.164,14.817,0.305,-4.756
1572983609518,2019-11-05T11:53:29.518,1.204,0.549,-0.061,-1.524
1572983609559,2019-11-05T11:53:29.559,1.245,-6.402,-0.549,2.317
1572983609599,2019-11-05T11:53:29.599,1.285,0.000,-2.683,3.963
1572983609640,2019-11-05T11:53:29.640,1.326,3.780,-4.451,3.659
1572983609679,2019-11-05T11:53:29.679,1.365,-1.829,-3.780,1.829
1572983609719,2019-11-05T11:53:29.719,1.405,-8.415,-1.585,0.305
1572983609760,2019-11-05T11:53:29.760,1.446,-9.207,0.610,0.610
1572983609799,2019-11-05T11:53:29.799,1.485,-1.463,1.585,0.915
1572983609840,2019-11-05T11:53:29.840,1.526,5.915,2.500,0.976
1572983609880,2019-11-05T11:53:29.880,1.566,2.683,4.268,0.000
