epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573004908253,2019-11-05T17:48:28.253,0.000,-0.061,0.915,1.402
1573004908294,2019-11-05T17:48:28.294,0.041,-0.122,0.610,1.341
1573004908334,2019-11-05T17:48:28.334,0.081,-0.671,0.549,1.098
1573004908375,2019-11-05T17:48:28.375,0.122,-1.037,0.183,0.915
1573004908415,2019-11-05T17:48:28.415,0.162,-0.427,0.122,0.854
1573004908454,2019-11-05T17:48:28.454,0.201,-0.610,-0.061,0.671
1573004908495,2019-11-05T17:48:28.495,0.242,-0.244,-0.305,0.793
1573004908535,2019-11-05T17:48:28.535,0.282,0.183,0.061,0.854
1573004908576,2019-11-05T17:48:28.576,0.323,1.402,-0.488,0.915
1573004908615,2019-11-05T17:48:28.615,0.362,1.341,-0.549,0.854
1573004908655,2019-11-05T17:48:28.655,0.402,0.915,0.061,0.976
1573004908696,2019-11-05T17:48:28.696,0.443,0.244,0.122,0.793
1573004908735,2019-11-05T17:48:28.735,0.482,0.183,0.610,0.549
1573004908776,2019-11-05T17:48:28.776,0.523,0.366,0.610,0.488
1573004908816,2019-11-05T17:48:28.816,0.563,0.000,0.244,0.488
1573004908856,2019-11-05T17:48:28.856,0.603,-0.366,0.549,0.549
1573004908897,2019-11-05T17:48:28.897,0.644,-0.671,0.915,0.671
1573004908936,2019-11-05T17:48:28.936,0.683,0.854,0.549,1.098
1573004908977,2019-11-05T17:48:28.977,0.724,0.610,0.427,0.854
1573004909017,2019-11-05T17:48:29.017,0.764,0.793,0.549,0.854
1573004909056,2019-11-05T17:48:29.056,0.803,-0.610,0.549,1.037
1573004909097,2019-11-05T17:48:29.097,0.844,-0.793,0.305,0.915
1573004909137,2019-11-05T17:48:29.137,0.884,-1.098,-0.244,1.037
1573004909178,2019-11-05T17:48:29.178,0.925,-2.378,-0.244,0.976
1573004909217,2019-11-05T17:48:29.217,0.964,-2.866,-0.122,1.280
1573004909257,2019-11-05T17:48:29.257,1.004,-1.280,0.366,1.707
1573004909298,2019-11-05T17:48:29.298,1.045,2.683,0.854,1.646
1573004909337,2019-11-05T17:48:29.337,1.084,2.439,1.098,0.793
1573004909378,2019-11-05T17:48:29.378,1.125,-0.122,0.366,0.488
1573004909418,2019-11-05T17:48:29.418,1.165,-0.976,0.671,0.610
1573004909458,2019-11-05T17:48:29.458,1.205,-0.061,1.037,0.488
1573004909499,2019-11-05T17:48:29.499,1.246,-1.585,1.037,0.244
1573004909538,2019-11-05T17:48:29.538,1.285,-0.793,1.341,0.366
1573004909579,2019-11-05T17:48:29.579,1.326,0.061,0.793,0.732
1573004909619,2019-11-05T17:48:29.619,1.366,1.463,0.610,1.037
1573004909658,2019-11-05T17:48:29.658,1.405,1.524,0.488,1.280
1573004909699,2019-11-05T17:48:29.699,1.446,2.378,0.244,1.280
1573004909739,2019-11-05T17:48:29.739,1.486,2.805,0.183,1.037
1573004909780,2019-11-05T17:48:29.780,1.527,1.585,0.244,0.854
1573004909819,2019-11-05T17:48:29.819,1.566,0.366,0.305,0.976
1573004909859,2019-11-05T17:48:29.859,1.606,0.427,0.427,0.915
1573004909900,2019-11-05T17:48:29.900,1.647,0.305,0.061,0.854
1573004909939,2019-11-05T17:48:29.939,1.686,-1.037,0.549,1.280
1573004909981,2019-11-05T17:48:29.981,1.728,0.610,0.610,1.280
1573004910020,2019-11-05T17:48:30.020,1.767,0.427,0.366,1.098
1573004910060,2019-11-05T17:48:30.060,1.807,0.915,0.305,1.402
1573004910101,2019-11-05T17:48:30.101,1.848,1.098,-0.061,1.707
1573004910140,2019-11-05T17:48:30.140,1.887,-0.061,-0.183,1.463
1573004910180,2019-11-05T17:48:30.180,1.927,-0.610,-0.488,1.220
1573004910221,2019-11-05T17:48:30.221,1.968,0.000,-0.122,1.220
1573004910260,2019-11-05T17:48:30.260,2.007,-0.183,0.000,1.280
1573004910301,2019-11-05T17:48:30.301,2.048,0.183,0.549,1.280
1573004910341,2019-11-05T17:48:30.341,2.088,0.244,0.427,1.524
1573004910380,2019-11-05T17:48:30.380,2.127,0.244,0.549,1.280
1573004910421,2019-11-05T17:48:30.421,2.168,0.854,0.366,1.098
1573004910461,2019-11-05T17:48:30.461,2.208,0.976,0.183,1.159
1573004910502,2019-11-05T17:48:30.502,2.249,0.915,0.122,1.159
1573004910542,2019-11-05T17:48:30.542,2.289,0.488,0.305,1.037
1573004910581,2019-11-05T17:48:30.581,2.328,0.000,0.244,0.915
1573004910622,2019-11-05T17:48:30.622,2.369,-0.244,0.000,0.976
1573004910662,2019-11-05T17:48:30.662,2.409,0.793,-0.183,1.037
1573004910703,2019-11-05T17:48:30.703,2.450,1.524,-0.244,1.159
1573004910742,2019-11-05T17:48:30.742,2.489,2.683,0.122,1.220
1573004910782,2019-11-05T17:48:30.782,2.529,1.829,-0.122,0.976
1573004910824,2019-11-05T17:48:30.824,2.571,0.915,-0.061,0.915
1573004910862,2019-11-05T17:48:30.862,2.609,0.244,0.244,0.793
1573004910903,2019-11-05T17:48:30.903,2.650,-1.585,-0.061,0.671
1573004910944,2019-11-05T17:48:30.944,2.691,-2.012,0.305,0.915
1573004910982,2019-11-05T17:48:30.982,2.729,-0.976,0.061,1.098
