epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573015704859,2019-11-05T20:48:24.859,0.000,-0.358,-0.623,-0.446
1573015704898,2019-11-05T20:48:24.898,0.039,-0.391,-0.646,-0.539
1573015704939,2019-11-05T20:48:24.939,0.080,-0.369,-0.629,-0.531
1573015704979,2019-11-05T20:48:24.979,0.120,-0.368,-0.717,-0.562
1573015705020,2019-11-05T20:48:25.020,0.161,-0.392,-0.883,-0.630
1573015705059,2019-11-05T20:48:25.059,0.200,-0.332,-0.731,-0.777
1573015705099,2019-11-05T20:48:25.099,0.240,-0.427,-0.765,-0.795
1573015705140,2019-11-05T20:48:25.140,0.281,-0.340,-0.736,-0.614
1573015705179,2019-11-05T20:48:25.179,0.320,-0.030,-0.664,-0.702
1573015705221,2019-11-05T20:48:25.221,0.362,0.182,-0.601,-1.010
1573015705260,2019-11-05T20:48:25.260,0.401,0.312,-0.452,-0.784
1573015705300,2019-11-05T20:48:25.300,0.441,0.708,-0.670,-0.480
1573015705341,2019-11-05T20:48:25.341,0.482,-0.310,-1.854,-0.296
1573015705380,2019-11-05T20:48:25.380,0.521,-0.927,-0.525,-0.839
1573015705421,2019-11-05T20:48:25.421,0.562,0.586,-1.353,-0.015
1573015705461,2019-11-05T20:48:25.461,0.602,1.798,-1.053,-0.155
1573015705500,2019-11-05T20:48:25.500,0.641,0.770,-0.924,0.077
1573015705541,2019-11-05T20:48:25.541,0.682,0.643,-1.075,-0.095
1573015705581,2019-11-05T20:48:25.581,0.722,0.909,-0.948,0.165
1573015705622,2019-11-05T20:48:25.622,0.763,0.741,-0.859,0.059
1573015705661,2019-11-05T20:48:25.661,0.802,0.672,-0.911,-0.077
1573015705701,2019-11-05T20:48:25.701,0.842,0.389,-1.116,-0.384
1573015705742,2019-11-05T20:48:25.742,0.883,0.655,-1.199,-0.175
1573015705782,2019-11-05T20:48:25.782,0.923,0.041,-1.699,-0.170
1573015705823,2019-11-05T20:48:25.823,0.964,-0.940,-1.448,-0.262
1573015705862,2019-11-05T20:48:25.862,1.003,1.469,-1.051,0.762
1573015705902,2019-11-05T20:48:25.902,1.043,0.340,-0.909,0.546
1573015705943,2019-11-05T20:48:25.943,1.084,0.318,-0.807,-0.689
1573015705982,2019-11-05T20:48:25.982,1.123,1.014,-0.694,-0.754
1573015706023,2019-11-05T20:48:26.023,1.164,0.538,-0.816,-0.206
1573015706063,2019-11-05T20:48:26.063,1.204,0.378,-0.837,-0.131
1573015706102,2019-11-05T20:48:26.102,1.243,0.648,-0.667,-0.257
1573015706143,2019-11-05T20:48:26.143,1.284,0.686,-0.769,-0.243
1573015706183,2019-11-05T20:48:26.183,1.324,0.502,-0.791,-0.332
1573015706222,2019-11-05T20:48:26.222,1.363,0.218,-1.029,-0.166
1573015706263,2019-11-05T20:48:26.263,1.404,-0.464,-1.232,-0.319
1573015706303,2019-11-05T20:48:26.303,1.444,-0.424,-1.357,-0.337
1573015706344,2019-11-05T20:48:26.344,1.485,1.087,-1.114,-0.024
1573015706384,2019-11-05T20:48:26.384,1.525,1.785,-0.499,0.060
1573015706423,2019-11-05T20:48:26.423,1.564,-0.034,-0.998,-0.062
1573015706464,2019-11-05T20:48:26.464,1.605,-0.026,-1.324,0.604
1573015706504,2019-11-05T20:48:26.504,1.645,0.694,-0.733,-0.300
1573015706545,2019-11-05T20:48:26.545,1.686,0.734,-0.721,-0.186
1573015706584,2019-11-05T20:48:26.584,1.725,0.603,-0.871,-0.339
1573015706625,2019-11-05T20:48:26.625,1.766,0.376,-0.806,-0.293
1573015706665,2019-11-05T20:48:26.665,1.806,0.074,-1.072,-0.153
1573015706704,2019-11-05T20:48:26.704,1.845,-0.413,-1.358,-0.321
1573015706745,2019-11-05T20:48:26.745,1.886,-0.374,-1.124,-0.326
1573015706785,2019-11-05T20:48:26.785,1.926,1.186,-0.815,0.378
1573015706825,2019-11-05T20:48:26.825,1.966,1.016,-0.561,0.610
1573015706866,2019-11-05T20:48:26.866,2.007,0.484,-0.911,-0.404
1573015706905,2019-11-05T20:48:26.905,2.046,0.458,-0.856,-0.195
1573015706946,2019-11-05T20:48:26.946,2.087,0.966,-0.789,-0.060
1573015706986,2019-11-05T20:48:26.986,2.127,0.797,-0.712,-0.213
1573015707025,2019-11-05T20:48:27.025,2.166,0.723,-0.962,-0.110
1573015707066,2019-11-05T20:48:27.066,2.207,0.835,-0.769,-0.077
1573015707106,2019-11-05T20:48:27.106,2.247,0.463,-0.736,-0.204
1573015707147,2019-11-05T20:48:27.147,2.288,-1.142,-1.452,-0.160
1573015707186,2019-11-05T20:48:27.186,2.327,0.291,-0.731,0.277
1573015707226,2019-11-05T20:48:27.226,2.367,0.539,-0.731,-0.114
1573015707267,2019-11-05T20:48:27.267,2.408,-0.043,-1.042,-0.148
1573015707306,2019-11-05T20:48:27.306,2.447,0.453,-0.796,-0.242
1573015707347,2019-11-05T20:48:27.347,2.488,0.630,-0.604,-0.072
1573015707387,2019-11-05T20:48:27.387,2.528,0.764,-0.919,-0.134
1573015707427,2019-11-05T20:48:27.427,2.568,0.525,-1.054,-0.302
1573015707468,2019-11-05T20:48:27.468,2.609,0.807,-0.986,-0.194
1573015707507,2019-11-05T20:48:27.507,2.648,0.664,-0.998,-0.257
1573015707547,2019-11-05T20:48:27.547,2.688,0.348,-0.776,-0.305
1573015707588,2019-11-05T20:48:27.588,2.729,0.214,-1.026,-0.225
1573015707627,2019-11-05T20:48:27.627,2.768,-0.214,-1.213,-0.257
1573015707668,2019-11-05T20:48:27.668,2.809,-0.404,-1.206,-0.311
1573015707708,2019-11-05T20:48:27.708,2.849,0.903,-1.033,0.387
1573015707747,2019-11-05T20:48:27.747,2.888,0.976,-0.697,1.328
1573015707788,2019-11-05T20:48:27.788,2.929,-0.347,-1.079,-0.141
1573015707828,2019-11-05T20:48:27.828,2.969,0.648,-0.605,-0.370
1573015707869,2019-11-05T20:48:27.869,3.010,0.867,-0.808,-0.122
1573015707908,2019-11-05T20:48:27.908,3.049,0.398,-0.868,-0.158
1573015707948,2019-11-05T20:48:27.948,3.089,0.778,-0.827,-0.066
1573015707989,2019-11-05T20:48:27.989,3.130,0.627,-0.887,-0.084
1573015708029,2019-11-05T20:48:28.029,3.170,0.659,-0.884,-0.079
1573015708070,2019-11-05T20:48:28.070,3.211,0.533,-0.825,-0.123
1573015708109,2019-11-05T20:48:28.109,3.250,0.453,-0.816,-0.142
1573015708149,2019-11-05T20:48:28.149,3.290,0.352,-0.683,-0.157
1573015708190,2019-11-05T20:48:28.190,3.331,0.312,-0.805,-0.191
1573015708229,2019-11-05T20:48:28.229,3.370,0.449,-0.976,-0.174
1573015708270,2019-11-05T20:48:28.270,3.411,0.567,-0.847,0.289
1573015708310,2019-11-05T20:48:28.310,3.451,0.892,-0.612,0.326
1573015708349,2019-11-05T20:48:28.349,3.490,0.594,-0.723,-0.165
1573015708390,2019-11-05T20:48:28.390,3.531,0.379,-0.896,-0.180
1573015708430,2019-11-05T20:48:28.430,3.571,0.586,-0.827,-0.058
1573015708471,2019-11-05T20:48:28.471,3.612,0.599,-0.817,0.169
1573015708511,2019-11-05T20:48:28.511,3.652,0.737,-0.821,0.123
1573015708550,2019-11-05T20:48:28.550,3.691,0.582,-0.979,0.065
1573015708591,2019-11-05T20:48:28.591,3.732,0.355,-0.958,0.066
1573015708631,2019-11-05T20:48:28.631,3.772,0.370,-0.831,0.042
1573015708672,2019-11-05T20:48:28.672,3.813,0.446,-0.907,-0.042
1573015708711,2019-11-05T20:48:28.711,3.852,0.353,-0.720,0.156
1573015708751,2019-11-05T20:48:28.751,3.892,0.457,-0.787,0.350
1573015708792,2019-11-05T20:48:28.792,3.933,0.709,-0.762,0.097
1573015708831,2019-11-05T20:48:28.831,3.972,0.544,-0.707,0.320
1573015708872,2019-11-05T20:48:28.872,4.013,0.536,-0.656,0.236
1573015708912,2019-11-05T20:48:28.912,4.053,0.511,-0.605,0.198
1573015708951,2019-11-05T20:48:28.951,4.092,0.603,-0.846,0.183
1573015708992,2019-11-05T20:48:28.992,4.133,0.413,-0.725,0.072
1573015709032,2019-11-05T20:48:29.032,4.173,0.298,-0.756,0.056
1573015709072,2019-11-05T20:48:29.072,4.213,0.566,-1.009,-0.123
1573015709113,2019-11-05T20:48:29.113,4.254,0.802,-0.929,0.031
1573015709152,2019-11-05T20:48:29.152,4.293,0.848,-1.135,-0.062
1573015709193,2019-11-05T20:48:29.193,4.334,0.434,-0.917,-0.185
