epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573014973384,2019-11-05T20:36:13.384,0.000,-0.968,0.050,-0.121
1573014973423,2019-11-05T20:36:13.423,0.039,-1.001,0.099,-0.109
1573014973463,2019-11-05T20:36:13.463,0.079,-1.004,0.164,-0.015
1573014973504,2019-11-05T20:36:13.504,0.120,-1.027,0.246,0.121
1573014973544,2019-11-05T20:36:13.544,0.160,-1.002,0.247,0.117
1573014973585,2019-11-05T20:36:13.585,0.201,-1.023,0.183,0.061
1573014973624,2019-11-05T20:36:13.624,0.240,-0.992,0.146,0.164
1573014973664,2019-11-05T20:36:13.664,0.280,-0.999,0.081,0.177
1573014973705,2019-11-05T20:36:13.705,0.321,-0.990,0.073,0.159
1573014973744,2019-11-05T20:36:13.744,0.360,-0.998,0.095,0.063
1573014973785,2019-11-05T20:36:13.785,0.401,-0.991,0.132,0.061
1573014973825,2019-11-05T20:36:13.825,0.441,-1.005,0.100,0.031
1573014973864,2019-11-05T20:36:13.864,0.480,-0.998,0.135,0.019
1573014973905,2019-11-05T20:36:13.905,0.521,-1.034,0.223,0.156
1573014973945,2019-11-05T20:36:13.945,0.561,-1.020,0.285,0.238
1573014973986,2019-11-05T20:36:13.986,0.602,-0.969,0.221,0.106
1573014974025,2019-11-05T20:36:14.025,0.641,-0.992,0.154,0.059
1573014974065,2019-11-05T20:36:14.065,0.681,-1.000,0.112,0.110
1573014974106,2019-11-05T20:36:14.106,0.722,-1.000,0.109,0.083
1573014974146,2019-11-05T20:36:14.146,0.762,-1.005,0.139,0.088
1573014974187,2019-11-05T20:36:14.187,0.803,-1.012,0.151,0.076
1573014974226,2019-11-05T20:36:14.226,0.842,-1.004,0.214,0.094
1573014974266,2019-11-05T20:36:14.266,0.882,-0.987,0.204,0.086
1573014974307,2019-11-05T20:36:14.307,0.923,-0.991,0.147,0.054
1573014974346,2019-11-05T20:36:14.346,0.962,-1.011,0.129,0.046
1573014974387,2019-11-05T20:36:14.387,1.003,-1.010,0.160,0.061
1573014974427,2019-11-05T20:36:14.427,1.043,-0.993,0.195,0.064
1573014974466,2019-11-05T20:36:14.466,1.082,-0.990,0.183,0.060
1573014974507,2019-11-05T20:36:14.507,1.123,-0.995,0.150,0.067
1573014974548,2019-11-05T20:36:14.548,1.164,-1.003,0.118,0.073
1573014974588,2019-11-05T20:36:14.588,1.204,-1.011,0.106,0.073
1573014974628,2019-11-05T20:36:14.628,1.244,-1.018,0.157,0.065
1573014974669,2019-11-05T20:36:14.669,1.285,-1.017,0.189,0.058
1573014974708,2019-11-05T20:36:14.708,1.324,-1.004,0.155,0.051
1573014974748,2019-11-05T20:36:14.748,1.364,-0.999,0.148,0.057
1573014974789,2019-11-05T20:36:14.789,1.405,-1.002,0.133,0.051
1573014974828,2019-11-05T20:36:14.828,1.444,-1.001,0.139,0.059
1573014974868,2019-11-05T20:36:14.868,1.484,-1.004,0.158,0.061
1573014974909,2019-11-05T20:36:14.909,1.525,-1.017,0.147,0.057
1573014974948,2019-11-05T20:36:14.948,1.564,-1.027,0.139,0.050
1573014974988,2019-11-05T20:36:14.988,1.604,-1.019,0.155,0.040
1573014975029,2019-11-05T20:36:15.029,1.645,-1.001,0.157,0.038
1573014975068,2019-11-05T20:36:15.068,1.684,-0.985,0.146,0.041
1573014975109,2019-11-05T20:36:15.109,1.725,-0.983,0.147,0.056
1573014975149,2019-11-05T20:36:15.149,1.765,-1.008,0.133,0.068
1573014975189,2019-11-05T20:36:15.189,1.805,-1.025,0.128,0.068
1573014975230,2019-11-05T20:36:15.230,1.846,-1.019,0.140,0.059
1573014975269,2019-11-05T20:36:15.269,1.885,-0.997,0.153,0.048
1573014975310,2019-11-05T20:36:15.310,1.926,-0.987,0.160,0.043
1573014975350,2019-11-05T20:36:15.350,1.966,-0.996,0.147,0.040
1573014975389,2019-11-05T20:36:15.389,2.005,-1.007,0.142,0.049
1573014975430,2019-11-05T20:36:15.430,2.046,-1.009,0.147,0.049
1573014975470,2019-11-05T20:36:15.470,2.086,-1.012,0.154,0.042
1573014975511,2019-11-05T20:36:15.511,2.127,-1.007,0.178,0.042
1573014975550,2019-11-05T20:36:15.550,2.166,-1.000,0.188,0.028
1573014975590,2019-11-05T20:36:15.590,2.206,-1.003,0.174,0.047
1573014975631,2019-11-05T20:36:15.631,2.247,-1.006,0.125,0.074
1573014975670,2019-11-05T20:36:15.670,2.286,-1.012,0.076,0.075
1573014975712,2019-11-05T20:36:15.712,2.328,-1.001,0.124,0.068
1573014975751,2019-11-05T20:36:15.751,2.367,-1.000,0.201,0.082
1573014975791,2019-11-05T20:36:15.791,2.407,-1.002,0.201,0.083
1573014975832,2019-11-05T20:36:15.832,2.448,-1.015,0.122,0.042
1573014975871,2019-11-05T20:36:15.871,2.487,-1.012,0.117,0.067
1573014975912,2019-11-05T20:36:15.912,2.528,-1.011,0.159,0.085
1573014975952,2019-11-05T20:36:15.952,2.568,-0.994,0.179,0.083
1573014975991,2019-11-05T20:36:15.991,2.607,-0.990,0.164,0.071
1573014976032,2019-11-05T20:36:16.032,2.648,-0.985,0.173,0.065
1573014976072,2019-11-05T20:36:16.072,2.688,-0.986,0.146,0.069
1573014976113,2019-11-05T20:36:16.113,2.729,-1.005,0.143,0.048
1573014976152,2019-11-05T20:36:16.152,2.768,-1.001,0.137,0.018
1573014976192,2019-11-05T20:36:16.192,2.808,-1.003,0.140,0.051
1573014976233,2019-11-05T20:36:16.233,2.849,-0.992,0.191,0.062
1573014976273,2019-11-05T20:36:16.273,2.889,-1.013,0.160,0.011
1573014976314,2019-11-05T20:36:16.314,2.930,-1.018,0.150,0.050
1573014976353,2019-11-05T20:36:16.353,2.969,-1.016,0.141,0.108
1573014976393,2019-11-05T20:36:16.393,3.009,-0.993,0.146,0.109
1573014976434,2019-11-05T20:36:16.434,3.050,-0.990,0.102,0.109
1573014976473,2019-11-05T20:36:16.473,3.089,-1.010,0.065,0.068
1573014976513,2019-11-05T20:36:16.513,3.129,-1.023,0.043,0.036
1573014976554,2019-11-05T20:36:16.554,3.170,-1.033,0.104,0.054
1573014976593,2019-11-05T20:36:16.593,3.209,-1.008,0.186,0.091
1573014976634,2019-11-05T20:36:16.634,3.250,-0.992,0.165,0.090
1573014976674,2019-11-05T20:36:16.674,3.290,-1.003,0.134,0.050
1573014976713,2019-11-05T20:36:16.713,3.329,-1.000,0.144,0.071
1573014976754,2019-11-05T20:36:16.754,3.370,-1.010,0.159,0.075
1573014976794,2019-11-05T20:36:16.794,3.410,-1.002,0.157,0.093
1573014976835,2019-11-05T20:36:16.835,3.451,-1.009,0.117,0.044
1573014976875,2019-11-05T20:36:16.875,3.491,-1.007,0.071,0.059
1573014976914,2019-11-05T20:36:16.914,3.530,-1.019,0.092,0.062
1573014976955,2019-11-05T20:36:16.955,3.571,-1.009,0.100,0.099
1573014976995,2019-11-05T20:36:16.995,3.611,-1.004,0.114,0.089
1573014977036,2019-11-05T20:36:17.036,3.652,-1.022,0.122,0.086
1573014977075,2019-11-05T20:36:17.075,3.691,-1.006,0.105,0.099
1573014977115,2019-11-05T20:36:17.115,3.731,-1.020,0.083,0.074
1573014977156,2019-11-05T20:36:17.156,3.772,-1.015,0.050,0.124
1573014977195,2019-11-05T20:36:17.195,3.811,-1.013,0.113,0.064
1573014977236,2019-11-05T20:36:17.236,3.852,-1.007,0.151,0.106
1573014977276,2019-11-05T20:36:17.276,3.892,-0.979,0.109,0.080
1573014977316,2019-11-05T20:36:17.316,3.932,-1.002,0.134,0.059
1573014977357,2019-11-05T20:36:17.357,3.973,-0.992,0.155,0.070
1573014977396,2019-11-05T20:36:17.396,4.012,-0.997,0.134,0.042
1573014977437,2019-11-05T20:36:17.437,4.053,-1.009,0.159,0.075
1573014977477,2019-11-05T20:36:17.477,4.093,-1.001,0.133,0.059
1573014977516,2019-11-05T20:36:17.516,4.132,-1.028,0.136,0.045
1573014977557,2019-11-05T20:36:17.557,4.173,-1.023,0.159,0.075
1573014977597,2019-11-05T20:36:17.597,4.213,-1.005,0.126,0.106
1573014977638,2019-11-05T20:36:17.638,4.254,-0.992,0.135,0.115
1573014977677,2019-11-05T20:36:17.677,4.293,-1.002,0.096,0.068
1573014977717,2019-11-05T20:36:17.717,4.333,-1.009,0.102,0.100
1573014977758,2019-11-05T20:36:17.758,4.374,-1.008,0.125,0.097
1573014977797,2019-11-05T20:36:17.797,4.413,-1.012,0.125,0.075
1573014977838,2019-11-05T20:36:17.838,4.454,-1.015,0.141,0.060
1573014977878,2019-11-05T20:36:17.878,4.494,-1.020,0.156,-0.022
1573014977918,2019-11-05T20:36:17.918,4.534,-1.009,0.097,-0.041
1573014977959,2019-11-05T20:36:17.959,4.575,-0.974,0.098,0.096
1573014977998,2019-11-05T20:36:17.998,4.614,-0.985,0.139,0.051
1573014978038,2019-11-05T20:36:18.038,4.654,-1.011,0.202,0.119
1573014978079,2019-11-05T20:36:18.079,4.695,-1.000,0.178,0.127
1573014978118,2019-11-05T20:36:18.118,4.734,-1.011,0.157,0.082
1573014978159,2019-11-05T20:36:18.159,4.775,-1.005,0.147,0.050
1573014978199,2019-11-05T20:36:18.199,4.815,-1.013,0.134,0.061
1573014978238,2019-11-05T20:36:18.238,4.854,-1.009,0.154,0.080
1573014978279,2019-11-05T20:36:18.279,4.895,-1.003,0.163,0.083
1573014978319,2019-11-05T20:36:18.319,4.935,-1.003,0.147,0.072
1573014978360,2019-11-05T20:36:18.360,4.976,-1.005,0.141,0.069
1573014978399,2019-11-05T20:36:18.399,5.015,-0.998,0.150,0.061
1573014978439,2019-11-05T20:36:18.439,5.055,-1.001,0.157,0.060
1573014978480,2019-11-05T20:36:18.480,5.096,-1.014,0.156,0.069
1573014978520,2019-11-05T20:36:18.520,5.136,-0.994,0.153,0.046
1573014978561,2019-11-05T20:36:18.561,5.177,-0.988,0.167,0.059
1573014978600,2019-11-05T20:36:18.600,5.216,-0.994,0.160,0.081
1573014978640,2019-11-05T20:36:18.640,5.256,-1.009,0.127,0.074
1573014978681,2019-11-05T20:36:18.681,5.297,-1.024,0.119,0.076
1573014978720,2019-11-05T20:36:18.720,5.336,-1.017,0.150,0.069
1573014978761,2019-11-05T20:36:18.761,5.377,-1.000,0.173,0.062
1573014978801,2019-11-05T20:36:18.801,5.417,-0.990,0.170,0.062
1573014978840,2019-11-05T20:36:18.840,5.456,-1.000,0.143,0.063
1573014978881,2019-11-05T20:36:18.881,5.497,-1.010,0.129,0.064
