epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573014973303,2019-11-05T20:36:13.303,0.000,-14.268,-12.683,0.183
1573014973343,2019-11-05T20:36:13.343,0.040,-19.390,-9.756,0.244
1573014973384,2019-11-05T20:36:13.384,0.081,-32.073,2.073,4.146
1573014973423,2019-11-05T20:36:13.423,0.120,-21.280,5.976,3.598
1573014973464,2019-11-05T20:36:13.464,0.161,-16.280,2.256,5.549
1573014973504,2019-11-05T20:36:13.504,0.201,-22.073,-0.183,3.659
1573014973544,2019-11-05T20:36:13.544,0.241,-34.939,2.866,-2.073
1573014973585,2019-11-05T20:36:13.585,0.282,-48.415,9.390,-2.134
1573014973624,2019-11-05T20:36:13.624,0.321,-44.268,6.098,-1.341
1573014973665,2019-11-05T20:36:13.665,0.362,-39.146,6.463,2.073
1573014973705,2019-11-05T20:36:13.705,0.402,-25.671,6.220,3.049
1573014973744,2019-11-05T20:36:13.744,0.441,-10.732,4.634,0.427
1573014973785,2019-11-05T20:36:13.785,0.482,-8.963,1.646,-0.854
1573014973825,2019-11-05T20:36:13.825,0.522,-8.415,1.098,3.293
1573014973864,2019-11-05T20:36:13.864,0.561,13.110,3.780,10.671
1573014973905,2019-11-05T20:36:13.905,0.602,24.878,4.390,11.951
1573014973945,2019-11-05T20:36:13.945,0.642,15.488,-3.537,5.000
1573014973986,2019-11-05T20:36:13.986,0.683,-10.183,0.610,-2.378
1573014974025,2019-11-05T20:36:14.025,0.722,-23.354,10.549,-3.841
1573014974066,2019-11-05T20:36:14.066,0.763,-14.878,8.537,0.366
1573014974106,2019-11-05T20:36:14.106,0.803,-3.110,5.244,3.720
1573014974146,2019-11-05T20:36:14.146,0.843,6.768,2.012,0.549
1573014974187,2019-11-05T20:36:14.187,0.884,14.390,-2.622,-0.671
1573014974226,2019-11-05T20:36:14.226,0.923,23.354,-5.610,2.500
1573014974266,2019-11-05T20:36:14.266,0.963,17.866,-2.805,3.049
1573014974307,2019-11-05T20:36:14.307,1.004,9.695,1.037,0.671
1573014974346,2019-11-05T20:36:14.346,1.043,8.537,1.220,-0.366
1573014974387,2019-11-05T20:36:14.387,1.084,5.732,0.366,-0.549
1573014974427,2019-11-05T20:36:14.427,1.124,-0.488,1.951,-1.402
1573014974466,2019-11-05T20:36:14.466,1.163,-7.988,4.329,-1.585
1573014974507,2019-11-05T20:36:14.507,1.204,-12.012,4.756,-1.707
1573014974548,2019-11-05T20:36:14.548,1.245,-9.878,3.476,-1.585
1573014974588,2019-11-05T20:36:14.588,1.285,-0.976,1.707,-1.890
1573014974628,2019-11-05T20:36:14.628,1.325,7.195,0.366,-2.073
1573014974669,2019-11-05T20:36:14.669,1.366,3.354,0.366,-1.402
1573014974708,2019-11-05T20:36:14.708,1.405,-2.378,1.463,-0.732
1573014974748,2019-11-05T20:36:14.748,1.445,-0.183,2.195,-0.610
1573014974789,2019-11-05T20:36:14.789,1.486,2.439,1.585,-0.732
1573014974828,2019-11-05T20:36:14.828,1.525,7.683,0.976,-0.366
1573014974868,2019-11-05T20:36:14.868,1.565,8.476,1.159,-0.244
1573014974909,2019-11-05T20:36:14.909,1.606,3.841,0.793,-0.061
