epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573015380182,2019-11-05T20:43:00.182,0.000,-0.012,-0.039,-0.994
1573015380222,2019-11-05T20:43:00.222,0.040,-0.013,-0.040,-1.002
1573015380263,2019-11-05T20:43:00.263,0.081,-0.013,-0.040,-1.000
1573015380302,2019-11-05T20:43:00.302,0.120,-0.013,-0.039,-0.999
1573015380342,2019-11-05T20:43:00.342,0.160,-0.013,-0.039,-0.998
1573015380383,2019-11-05T20:43:00.383,0.201,-0.011,-0.039,-1.000
1573015380422,2019-11-05T20:43:00.422,0.240,-0.012,-0.041,-0.999
1573015380463,2019-11-05T20:43:00.463,0.281,-0.011,-0.040,-0.999
1573015380503,2019-11-05T20:43:00.503,0.321,-0.011,-0.040,-1.000
1573015380542,2019-11-05T20:43:00.542,0.360,-0.012,-0.040,-1.000
1573015380583,2019-11-05T20:43:00.583,0.401,-0.011,-0.040,-0.998
1573015380623,2019-11-05T20:43:00.623,0.441,-0.012,-0.040,-0.997
1573015380664,2019-11-05T20:43:00.664,0.482,-0.013,-0.039,-0.999
1573015380704,2019-11-05T20:43:00.704,0.522,-0.013,-0.040,-0.997
1573015380743,2019-11-05T20:43:00.743,0.561,-0.012,-0.039,-0.999
1573015380784,2019-11-05T20:43:00.784,0.602,-0.012,-0.039,-1.000
1573015380824,2019-11-05T20:43:00.824,0.642,-0.012,-0.040,-0.997
1573015380863,2019-11-05T20:43:00.863,0.681,-0.013,-0.039,-0.999
1573015380904,2019-11-05T20:43:00.904,0.722,-0.013,-0.040,-0.999
1573015380944,2019-11-05T20:43:00.944,0.762,-0.012,-0.039,-0.998
1573015380985,2019-11-05T20:43:00.985,0.803,-0.011,-0.040,-0.998
1573015381024,2019-11-05T20:43:01.024,0.842,-0.012,-0.040,-1.000
1573015381064,2019-11-05T20:43:01.064,0.882,-0.012,-0.039,-1.000
1573015381105,2019-11-05T20:43:01.105,0.923,-0.012,-0.040,-0.998
1573015381144,2019-11-05T20:43:01.144,0.962,-0.012,-0.039,-0.998
1573015381186,2019-11-05T20:43:01.186,1.004,-0.012,-0.038,-0.998
1573015381225,2019-11-05T20:43:01.225,1.043,-0.012,-0.039,-1.000
1573015381265,2019-11-05T20:43:01.265,1.083,-0.011,-0.038,-1.000
1573015381306,2019-11-05T20:43:01.306,1.124,-0.013,-0.038,-0.998
1573015381345,2019-11-05T20:43:01.345,1.163,-0.013,-0.039,-0.999
1573015381386,2019-11-05T20:43:01.386,1.204,-0.013,-0.039,-0.999
1573015381426,2019-11-05T20:43:01.426,1.244,-0.013,-0.039,-0.998
1573015381465,2019-11-05T20:43:01.465,1.283,-0.013,-0.039,-0.999
1573015381506,2019-11-05T20:43:01.506,1.324,-0.012,-0.040,-0.997
1573015381546,2019-11-05T20:43:01.546,1.364,-0.011,-0.039,-0.999
1573015381587,2019-11-05T20:43:01.587,1.405,-0.013,-0.040,-0.997
1573015381626,2019-11-05T20:43:01.626,1.444,-0.011,-0.040,-0.998
1573015381666,2019-11-05T20:43:01.666,1.484,-0.011,-0.039,-0.998
1573015381707,2019-11-05T20:43:01.707,1.525,-0.012,-0.039,-0.998
1573015381747,2019-11-05T20:43:01.747,1.565,-0.012,-0.039,-0.997
1573015381788,2019-11-05T20:43:01.788,1.606,-0.012,-0.039,-0.998
1573015381827,2019-11-05T20:43:01.827,1.645,-0.011,-0.039,-0.996
1573015381867,2019-11-05T20:43:01.867,1.685,-0.011,-0.040,-0.998
1573015381908,2019-11-05T20:43:01.908,1.726,-0.012,-0.040,-0.998
1573015381947,2019-11-05T20:43:01.947,1.765,-0.011,-0.039,-0.997
1573015381988,2019-11-05T20:43:01.988,1.806,-0.011,-0.039,-0.997
1573015382028,2019-11-05T20:43:02.028,1.846,-0.012,-0.040,-0.996
1573015382067,2019-11-05T20:43:02.067,1.885,-0.013,-0.040,-0.997
1573015382108,2019-11-05T20:43:02.108,1.926,-0.011,-0.040,-0.998
1573015382148,2019-11-05T20:43:02.148,1.966,-0.011,-0.040,-0.998
1573015382189,2019-11-05T20:43:02.189,2.007,-0.013,-0.039,-0.997
1573015382228,2019-11-05T20:43:02.228,2.046,-0.012,-0.039,-0.998
1573015382268,2019-11-05T20:43:02.268,2.086,-0.011,-0.039,-0.998
1573015382309,2019-11-05T20:43:02.309,2.127,-0.012,-0.040,-0.997
1573015382349,2019-11-05T20:43:02.349,2.167,-0.012,-0.040,-0.998
1573015382388,2019-11-05T20:43:02.388,2.206,-0.012,-0.039,-0.998
1573015382429,2019-11-05T20:43:02.429,2.247,-0.012,-0.040,-0.998
1573015382469,2019-11-05T20:43:02.469,2.287,-0.012,-0.039,-0.998
1573015382510,2019-11-05T20:43:02.510,2.328,-0.012,-0.038,-0.998
1573015382549,2019-11-05T20:43:02.549,2.367,-0.011,-0.038,-0.998
1573015382589,2019-11-05T20:43:02.589,2.407,-0.012,-0.039,-0.998
1573015382630,2019-11-05T20:43:02.630,2.448,-0.012,-0.040,-0.999
1573015382669,2019-11-05T20:43:02.669,2.487,-0.012,-0.040,-0.999
1573015382710,2019-11-05T20:43:02.710,2.528,-0.012,-0.040,-0.996
1573015382750,2019-11-05T20:43:02.750,2.568,-0.011,-0.039,-0.997
1573015382790,2019-11-05T20:43:02.790,2.608,-0.012,-0.039,-0.997
1573015382831,2019-11-05T20:43:02.831,2.649,-0.013,-0.040,-0.997
