epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573338599986,2019-11-09T14:29:59.986,0.000,-0.026,-0.941,0.315
1573338600027,2019-11-09T14:30:00.027,0.041,-0.025,-0.949,0.318
1573338600066,2019-11-09T14:30:00.066,0.080,-0.026,-0.946,0.316
1573338600107,2019-11-09T14:30:00.107,0.121,-0.025,-0.947,0.317
1573338600147,2019-11-09T14:30:00.147,0.161,-0.025,-0.946,0.316
1573338600186,2019-11-09T14:30:00.186,0.200,-0.025,-0.946,0.317
1573338600227,2019-11-09T14:30:00.227,0.241,-0.024,-0.945,0.318
1573338600267,2019-11-09T14:30:00.267,0.281,-0.025,-0.946,0.317
1573338600308,2019-11-09T14:30:00.308,0.322,-0.024,-0.946,0.314
1573338600347,2019-11-09T14:30:00.347,0.361,-0.025,-0.946,0.318
1573338600387,2019-11-09T14:30:00.387,0.401,-0.025,-0.946,0.317
1573338600428,2019-11-09T14:30:00.428,0.442,-0.027,-0.946,0.316
1573338600467,2019-11-09T14:30:00.467,0.481,-0.025,-0.946,0.316
1573338600509,2019-11-09T14:30:00.509,0.523,-0.024,-0.945,0.316
1573338600548,2019-11-09T14:30:00.548,0.562,-0.025,-0.946,0.316
1573338600588,2019-11-09T14:30:00.588,0.602,-0.024,-0.946,0.316
1573338600629,2019-11-09T14:30:00.629,0.643,-0.024,-0.946,0.318
1573338600668,2019-11-09T14:30:00.668,0.682,-0.025,-0.945,0.318
1573338600708,2019-11-09T14:30:00.708,0.722,-0.024,-0.945,0.320
1573338600749,2019-11-09T14:30:00.749,0.763,-0.026,-0.946,0.318
1573338600788,2019-11-09T14:30:00.788,0.802,-0.025,-0.947,0.318
1573338600829,2019-11-09T14:30:00.829,0.843,-0.025,-0.945,0.318
1573338600869,2019-11-09T14:30:00.869,0.883,-0.025,-0.946,0.318
1573338600908,2019-11-09T14:30:00.908,0.922,-0.024,-0.946,0.317
1573338600949,2019-11-09T14:30:00.949,0.963,-0.025,-0.947,0.317
1573338600990,2019-11-09T14:30:00.990,1.004,-0.024,-0.946,0.316
1573338601030,2019-11-09T14:30:01.030,1.044,-0.025,-0.946,0.318
1573338601070,2019-11-09T14:30:01.070,1.084,-0.026,-0.945,0.317
1573338601111,2019-11-09T14:30:01.111,1.125,-0.024,-0.946,0.317
1573338601150,2019-11-09T14:30:01.150,1.164,-0.024,-0.946,0.317
1573338601190,2019-11-09T14:30:01.190,1.204,-0.026,-0.946,0.317
1573338601231,2019-11-09T14:30:01.231,1.245,-0.024,-0.946,0.318
1573338601270,2019-11-09T14:30:01.270,1.284,-0.025,-0.946,0.317
1573338601310,2019-11-09T14:30:01.310,1.324,-0.024,-0.946,0.319
1573338601351,2019-11-09T14:30:01.351,1.365,-0.025,-0.946,0.319
1573338601390,2019-11-09T14:30:01.390,1.404,-0.024,-0.947,0.320
1573338601431,2019-11-09T14:30:01.431,1.445,-0.026,-0.947,0.319
1573338601471,2019-11-09T14:30:01.471,1.485,-0.022,-0.945,0.318
1573338601510,2019-11-09T14:30:01.510,1.524,-0.027,-0.946,0.319
1573338601551,2019-11-09T14:30:01.551,1.565,-0.027,-0.946,0.322
1573338601591,2019-11-09T14:30:01.591,1.605,-0.027,-0.946,0.313
1573338601632,2019-11-09T14:30:01.632,1.646,-0.021,-0.946,0.317
1573338601672,2019-11-09T14:30:01.672,1.686,-0.026,-0.944,0.317
1573338601711,2019-11-09T14:30:01.711,1.725,-0.029,-0.946,0.322
1573338601752,2019-11-09T14:30:01.752,1.766,-0.023,-0.945,0.320
1573338601792,2019-11-09T14:30:01.792,1.806,-0.024,-0.946,0.318
1573338601833,2019-11-09T14:30:01.833,1.847,-0.023,-0.945,0.318
1573338601872,2019-11-09T14:30:01.872,1.886,-0.028,-0.946,0.317
1573338601912,2019-11-09T14:30:01.912,1.926,-0.023,-0.947,0.320
1573338601953,2019-11-09T14:30:01.953,1.967,-0.026,-0.945,0.317
1573338601992,2019-11-09T14:30:01.992,2.006,-0.026,-0.946,0.321
1573338602032,2019-11-09T14:30:02.032,2.046,-0.027,-0.946,0.317
1573338602073,2019-11-09T14:30:02.073,2.087,-0.025,-0.946,0.319
1573338602113,2019-11-09T14:30:02.113,2.127,-0.024,-0.945,0.316
1573338602154,2019-11-09T14:30:02.154,2.168,-0.026,-0.946,0.319
1573338602193,2019-11-09T14:30:02.193,2.207,-0.024,-0.946,0.317
1573338602233,2019-11-09T14:30:02.233,2.247,-0.025,-0.947,0.317
1573338602274,2019-11-09T14:30:02.274,2.288,-0.024,-0.946,0.318
1573338602313,2019-11-09T14:30:02.313,2.327,-0.026,-0.946,0.318
1573338602354,2019-11-09T14:30:02.354,2.368,-0.024,-0.946,0.317
1573338602394,2019-11-09T14:30:02.394,2.408,-0.025,-0.946,0.317
1573338602433,2019-11-09T14:30:02.433,2.447,-0.026,-0.946,0.318
1573338602474,2019-11-09T14:30:02.474,2.488,-0.024,-0.946,0.318
1573338602514,2019-11-09T14:30:02.514,2.528,-0.025,-0.947,0.318
1573338602555,2019-11-09T14:30:02.555,2.569,-0.026,-0.945,0.317
1573338602594,2019-11-09T14:30:02.594,2.608,-0.024,-0.947,0.318
1573338602634,2019-11-09T14:30:02.634,2.648,-0.025,-0.945,0.318
1573338602675,2019-11-09T14:30:02.675,2.689,-0.026,-0.946,0.319
1573338602715,2019-11-09T14:30:02.715,2.729,-0.024,-0.946,0.318
1573338602756,2019-11-09T14:30:02.756,2.770,-0.026,-0.948,0.320
1573338602795,2019-11-09T14:30:02.795,2.809,-0.024,-0.946,0.317
1573338602835,2019-11-09T14:30:02.835,2.849,-0.025,-0.946,0.319
1573338602876,2019-11-09T14:30:02.876,2.890,-0.026,-0.947,0.319
1573338602915,2019-11-09T14:30:02.915,2.929,-0.025,-0.946,0.318
1573338602956,2019-11-09T14:30:02.956,2.970,-0.025,-0.946,0.318
