epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572991943187,2019-11-05T14:12:23.187,0.000,-0.375,0.250,0.937
1572991943227,2019-11-05T14:12:23.227,0.040,-0.380,0.261,0.934
1572991943268,2019-11-05T14:12:23.268,0.081,-0.384,0.239,0.941
1572991943308,2019-11-05T14:12:23.308,0.121,-0.374,0.216,0.954
1572991943347,2019-11-05T14:12:23.347,0.160,-0.383,0.211,0.961
1572991943388,2019-11-05T14:12:23.388,0.201,-0.383,0.224,0.932
1572991943428,2019-11-05T14:12:23.428,0.241,-0.389,0.232,0.946
1572991943469,2019-11-05T14:12:23.469,0.282,-0.379,0.229,0.948
1572991943508,2019-11-05T14:12:23.508,0.321,-0.375,0.228,0.939
1572991943548,2019-11-05T14:12:23.548,0.361,-0.378,0.230,0.949
1572991943589,2019-11-05T14:12:23.589,0.402,-0.365,0.239,0.944
1572991943628,2019-11-05T14:12:23.628,0.441,-0.376,0.248,0.949
1572991943669,2019-11-05T14:12:23.669,0.482,-0.375,0.250,0.926
1572991943709,2019-11-05T14:12:23.709,0.522,-0.367,0.258,0.955
1572991943748,2019-11-05T14:12:23.748,0.561,-0.361,0.265,0.967
1572991943789,2019-11-05T14:12:23.789,0.602,-0.355,0.258,0.936
1572991943829,2019-11-05T14:12:23.829,0.642,-0.369,0.241,0.933
1572991943869,2019-11-05T14:12:23.869,0.682,-0.368,0.221,0.961
1572991943910,2019-11-05T14:12:23.910,0.723,-0.365,0.216,0.956
1572991943949,2019-11-05T14:12:23.949,0.762,-0.365,0.229,0.933
1572991943990,2019-11-05T14:12:23.990,0.803,-0.383,0.240,0.948
1572991944030,2019-11-05T14:12:24.030,0.843,-0.379,0.253,0.920
1572991944069,2019-11-05T14:12:24.069,0.882,-0.387,0.259,0.939
1572991944110,2019-11-05T14:12:24.110,0.923,-0.373,0.236,0.960
1572991944150,2019-11-05T14:12:24.150,0.963,-0.357,0.226,0.944
1572991944191,2019-11-05T14:12:24.191,1.004,-0.371,0.209,0.969
1572991944230,2019-11-05T14:12:24.230,1.043,-0.359,0.205,0.968
1572991944270,2019-11-05T14:12:24.270,1.083,-0.380,0.225,0.930
1572991944311,2019-11-05T14:12:24.311,1.124,-0.392,0.225,0.927
1572991944351,2019-11-05T14:12:24.351,1.164,-0.372,0.198,0.940
1572991944392,2019-11-05T14:12:24.392,1.205,-0.370,0.203,0.953
1572991944431,2019-11-05T14:12:24.431,1.244,-0.390,0.226,0.969
1572991944471,2019-11-05T14:12:24.471,1.284,-0.375,0.239,0.956
1572991944512,2019-11-05T14:12:24.512,1.325,-0.351,0.230,0.961
1572991944551,2019-11-05T14:12:24.551,1.364,-0.350,0.210,0.958
1572991944592,2019-11-05T14:12:24.592,1.405,-0.358,0.219,0.931
1572991944632,2019-11-05T14:12:24.632,1.445,-0.383,0.230,0.970
1572991944671,2019-11-05T14:12:24.671,1.484,-0.354,0.214,0.951
1572991944712,2019-11-05T14:12:24.712,1.525,-0.344,0.219,0.960
1572991944752,2019-11-05T14:12:24.752,1.565,-0.352,0.200,0.946
1572991944793,2019-11-05T14:12:24.793,1.606,-0.338,0.209,0.927
1572991944832,2019-11-05T14:12:24.832,1.645,-0.342,0.208,0.958
1572991944872,2019-11-05T14:12:24.872,1.685,-0.332,0.198,0.991
1572991944913,2019-11-05T14:12:24.913,1.726,-0.302,0.203,1.026
1572991944953,2019-11-05T14:12:24.953,1.766,-0.285,0.204,1.021
1572991944994,2019-11-05T14:12:24.994,1.807,-0.314,0.205,0.991
1572991945033,2019-11-05T14:12:25.033,1.846,-0.341,0.207,0.958
1572991945073,2019-11-05T14:12:25.073,1.886,-0.344,0.215,0.948
1572991945114,2019-11-05T14:12:25.114,1.927,-0.342,0.201,0.955
1572991945153,2019-11-05T14:12:25.153,1.966,-0.315,0.186,0.969
1572991945194,2019-11-05T14:12:25.194,2.007,-0.316,0.180,0.982
1572991945234,2019-11-05T14:12:25.234,2.047,-0.342,0.188,0.981
1572991945273,2019-11-05T14:12:25.273,2.086,-0.325,0.205,0.965
1572991945314,2019-11-05T14:12:25.314,2.127,-0.319,0.208,0.978
1572991945354,2019-11-05T14:12:25.354,2.167,-0.342,0.194,0.968
1572991945393,2019-11-05T14:12:25.393,2.206,-0.328,0.199,0.967
1572991945434,2019-11-05T14:12:25.434,2.247,-0.306,0.197,0.980
1572991945476,2019-11-05T14:12:25.476,2.289,-0.325,0.185,0.988
1572991945515,2019-11-05T14:12:25.515,2.328,-0.330,0.187,0.978
1572991945555,2019-11-05T14:12:25.555,2.368,-0.328,0.197,0.974
1572991945594,2019-11-05T14:12:25.594,2.407,-0.335,0.187,0.977
1572991945635,2019-11-05T14:12:25.635,2.448,-0.325,0.182,0.978
