epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572991943107,2019-11-05T14:12:23.107,0.000,1.646,-0.305,5.183
1572991943146,2019-11-05T14:12:23.146,0.039,1.463,-0.488,5.183
1572991943187,2019-11-05T14:12:23.187,0.080,1.280,-0.854,3.598
1572991943227,2019-11-05T14:12:23.227,0.120,0.122,-1.098,2.683
1572991943268,2019-11-05T14:12:23.268,0.161,-5.854,-0.793,3.537
1572991943308,2019-11-05T14:12:23.308,0.201,-9.878,0.000,5.366
1572991943347,2019-11-05T14:12:23.347,0.240,-8.720,0.610,6.159
1572991943388,2019-11-05T14:12:23.388,0.281,-2.500,-0.366,4.268
1572991943429,2019-11-05T14:12:23.429,0.322,2.378,-0.488,2.439
1572991943469,2019-11-05T14:12:23.469,0.362,2.256,-0.122,2.134
1572991943508,2019-11-05T14:12:23.508,0.401,2.134,-0.122,2.317
1572991943549,2019-11-05T14:12:23.549,0.442,2.317,-0.183,2.622
1572991943589,2019-11-05T14:12:23.589,0.482,3.354,-0.610,2.561
1572991943628,2019-11-05T14:12:23.628,0.521,3.598,-0.671,2.622
1572991943669,2019-11-05T14:12:23.669,0.562,2.073,-1.098,2.500
1572991943709,2019-11-05T14:12:23.709,0.602,0.366,-0.488,2.561
1572991943748,2019-11-05T14:12:23.748,0.641,-1.159,-0.610,0.915
1572991943789,2019-11-05T14:12:23.789,0.682,-0.427,-1.646,-1.159
1572991943829,2019-11-05T14:12:23.829,0.722,-2.683,-0.549,-0.854
1572991943870,2019-11-05T14:12:23.870,0.763,-5.549,1.402,0.671
1572991943910,2019-11-05T14:12:23.910,0.803,-4.268,1.768,1.524
1572991943949,2019-11-05T14:12:23.949,0.842,-0.427,1.098,1.341
1572991943990,2019-11-05T14:12:23.990,0.883,1.768,1.037,0.976
1572991944030,2019-11-05T14:12:24.030,0.923,1.951,0.000,-0.122
1572991944071,2019-11-05T14:12:24.071,0.964,0.366,-0.366,-0.854
1572991944110,2019-11-05T14:12:24.110,1.003,-3.841,-0.244,-0.976
1572991944150,2019-11-05T14:12:24.150,1.043,-5.305,-1.098,-0.671
1572991944191,2019-11-05T14:12:24.191,1.084,-7.317,0.549,1.159
1572991944230,2019-11-05T14:12:24.230,1.123,-5.915,1.524,2.134
1572991944271,2019-11-05T14:12:24.271,1.164,-0.610,-0.183,0.671
1572991944311,2019-11-05T14:12:24.311,1.204,-0.671,-1.341,0.305
1572991944351,2019-11-05T14:12:24.351,1.244,-5.122,-1.951,2.378
1572991944392,2019-11-05T14:12:24.392,1.285,-5.915,-2.927,4.329
1572991944431,2019-11-05T14:12:24.431,1.324,-3.902,-2.317,4.695
1572991944471,2019-11-05T14:12:24.471,1.364,-1.220,-1.646,2.744
1572991944512,2019-11-05T14:12:24.512,1.405,-0.610,-2.073,0.732
1572991944551,2019-11-05T14:12:24.551,1.444,-1.585,-2.439,-0.122
1572991944592,2019-11-05T14:12:24.592,1.485,0.000,-4.512,-1.037
1572991944632,2019-11-05T14:12:24.632,1.525,0.000,-4.817,-1.220
1572991944671,2019-11-05T14:12:24.671,1.564,-2.683,-4.939,-1.646
1572991944712,2019-11-05T14:12:24.712,1.605,-1.524,-5.915,-2.683
1572991944752,2019-11-05T14:12:24.752,1.645,-2.134,-7.012,-3.354
1572991944793,2019-11-05T14:12:24.793,1.686,-0.610,-8.902,-3.841
1572991944832,2019-11-05T14:12:24.832,1.725,1.463,-10.976,-4.207
1572991944872,2019-11-05T14:12:24.872,1.765,-0.183,-10.854,-3.293
1572991944913,2019-11-05T14:12:24.913,1.806,-1.707,-7.012,-1.159
1572991944953,2019-11-05T14:12:24.953,1.846,-0.915,-2.256,-1.098
1572991944994,2019-11-05T14:12:24.994,1.887,2.988,0.915,-2.683
1572991945033,2019-11-05T14:12:25.033,1.926,4.756,1.524,-3.354
1572991945073,2019-11-05T14:12:25.073,1.966,0.793,1.037,-2.012
1572991945114,2019-11-05T14:12:25.114,2.007,-5.671,0.610,0.549
1572991945153,2019-11-05T14:12:25.153,2.046,-8.415,-0.122,2.073
1572991945194,2019-11-05T14:12:25.194,2.087,-6.585,0.183,2.744
1572991945234,2019-11-05T14:12:25.234,2.127,-2.866,0.732,2.317
1572991945273,2019-11-05T14:12:25.273,2.166,0.732,0.610,0.854
1572991945314,2019-11-05T14:12:25.314,2.207,0.366,0.061,0.244
1572991945354,2019-11-05T14:12:25.354,2.247,-3.598,-0.183,0.671
1572991945395,2019-11-05T14:12:25.395,2.288,-2.866,-0.244,0.183
1572991945434,2019-11-05T14:12:25.434,2.327,-1.159,-0.427,-0.976
1572991945476,2019-11-05T14:12:25.476,2.369,-2.195,0.000,-1.098
1572991945515,2019-11-05T14:12:25.515,2.408,-0.244,-1.159,-1.890
1572991945555,2019-11-05T14:12:25.555,2.448,0.366,-1.280,-2.256
1572991945596,2019-11-05T14:12:25.596,2.489,-2.073,-0.427,-1.646
1572991945635,2019-11-05T14:12:25.635,2.528,-2.561,-0.183,-1.463
