epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573338789615,2019-11-09T14:33:09.615,0.000,0.000,0.000,0.732
1573338789656,2019-11-09T14:33:09.656,0.041,0.122,0.000,0.793
1573338789695,2019-11-09T14:33:09.695,0.080,-0.305,0.122,0.854
1573338789735,2019-11-09T14:33:09.735,0.120,-0.244,0.122,0.854
1573338789776,2019-11-09T14:33:09.776,0.161,-0.244,0.122,0.793
1573338789816,2019-11-09T14:33:09.816,0.201,-0.183,0.061,0.793
1573338789857,2019-11-09T14:33:09.857,0.242,-0.244,-0.061,0.854
1573338789896,2019-11-09T14:33:09.896,0.281,6.280,-3.476,10.122
1573338789936,2019-11-09T14:33:09.936,0.321,29.146,4.878,4.512
1573338789977,2019-11-09T14:33:09.977,0.362,-6.646,-50.854,-36.402
1573338790016,2019-11-09T14:33:10.016,0.401,0.061,0.854,5.793
1573338790057,2019-11-09T14:33:10.057,0.442,5.427,18.780,24.268
1573338790097,2019-11-09T14:33:10.097,0.482,6.890,3.293,-1.280
1573338790136,2019-11-09T14:33:10.136,0.521,13.232,-24.634,-21.280
1573338790177,2019-11-09T14:33:10.177,0.562,5.671,-0.427,2.988
1573338790217,2019-11-09T14:33:10.217,0.602,-6.951,17.012,15.793
1573338790258,2019-11-09T14:33:10.258,0.643,-6.768,-4.939,-3.841
1573338790298,2019-11-09T14:33:10.298,0.683,-3.841,-8.902,-6.768
1573338790337,2019-11-09T14:33:10.337,0.722,-0.366,6.402,7.134
1573338790378,2019-11-09T14:33:10.378,0.763,4.634,4.695,4.634
1573338790418,2019-11-09T14:33:10.418,0.803,5.000,-5.854,-5.305
1573338790459,2019-11-09T14:33:10.459,0.844,-12.012,18.963,13.902
1573338790498,2019-11-09T14:33:10.498,0.883,-4.146,-0.488,2.439
1573338790538,2019-11-09T14:33:10.538,0.923,-4.878,-11.159,-9.878
1573338790579,2019-11-09T14:33:10.579,0.964,3.659,-6.768,-2.378
1573338790618,2019-11-09T14:33:10.618,1.003,9.756,5.183,4.939
1573338790658,2019-11-09T14:33:10.658,1.043,11.890,-0.793,-1.280
1573338790699,2019-11-09T14:33:10.699,1.084,3.354,-5.244,-4.451
1573338790738,2019-11-09T14:33:10.738,1.123,-6.829,2.744,3.841
1573338790779,2019-11-09T14:33:10.779,1.164,-10.244,4.573,5.549
1573338790819,2019-11-09T14:33:10.819,1.204,-4.695,-1.585,-0.732
1573338790859,2019-11-09T14:33:10.859,1.244,2.866,-1.890,-1.280
1573338790900,2019-11-09T14:33:10.900,1.285,6.646,1.159,1.707
1573338790939,2019-11-09T14:33:10.939,1.324,5.183,-0.427,0.000
1573338790980,2019-11-09T14:33:10.980,1.365,-0.305,-1.829,-1.037
1573338791020,2019-11-09T14:33:11.020,1.405,-5.244,1.707,2.683
1573338791059,2019-11-09T14:33:11.059,1.444,-5.122,2.073,2.927
1573338791100,2019-11-09T14:33:11.100,1.485,-0.793,-0.854,-0.244
