epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573016507530,2019-11-05T21:01:47.530,0.000,-22.500,94.390,1.646
1573016507571,2019-11-05T21:01:47.571,0.041,-15.488,92.805,-0.793
1573016507611,2019-11-05T21:01:47.611,0.081,5.061,97.256,-17.744
1573016507652,2019-11-05T21:01:47.652,0.122,50.061,115.488,-50.549
1573016507691,2019-11-05T21:01:47.691,0.161,121.159,27.683,-37.622
1573016507731,2019-11-05T21:01:47.731,0.201,87.439,-11.098,-11.159
1573016507772,2019-11-05T21:01:47.772,0.242,57.988,54.634,-20.671
1573016507811,2019-11-05T21:01:47.811,0.281,12.866,71.890,-18.841
1573016507852,2019-11-05T21:01:47.852,0.322,28.293,53.415,1.829
1573016507892,2019-11-05T21:01:47.892,0.362,46.220,42.561,13.232
1573016507931,2019-11-05T21:01:47.931,0.401,3.232,44.939,4.085
1573016507973,2019-11-05T21:01:47.973,0.443,-17.317,25.122,3.354
1573016508012,2019-11-05T21:01:48.012,0.482,-13.293,5.854,11.707
1573016508053,2019-11-05T21:01:48.053,0.523,9.695,-5.976,21.890
1573016508093,2019-11-05T21:01:48.093,0.563,44.207,-20.366,15.732
1573016508132,2019-11-05T21:01:48.132,0.602,45.732,-23.354,14.573
1573016508173,2019-11-05T21:01:48.173,0.643,42.256,-13.902,12.317
1573016508213,2019-11-05T21:01:48.213,0.683,30.976,7.134,2.317
1573016508254,2019-11-05T21:01:48.254,0.724,-30.549,44.756,-6.463
1573016508293,2019-11-05T21:01:48.293,0.763,-59.268,42.683,-1.707
1573016508333,2019-11-05T21:01:48.333,0.803,-25.915,-7.683,8.049
1573016508374,2019-11-05T21:01:48.374,0.844,9.573,-38.780,-1.524
1573016508413,2019-11-05T21:01:48.413,0.883,0.244,-44.268,-15.671
1573016508454,2019-11-05T21:01:48.454,0.924,18.293,-55.915,-16.524
1573016508494,2019-11-05T21:01:48.494,0.964,77.622,-61.098,-18.171
1573016508534,2019-11-05T21:01:48.534,1.004,109.634,-71.402,-25.793
1573016508575,2019-11-05T21:01:48.575,1.045,42.317,-73.415,-27.683
1573016508614,2019-11-05T21:01:48.614,1.084,-52.195,-71.951,-44.939
1573016508655,2019-11-05T21:01:48.655,1.125,-97.927,-64.817,-74.878
1573016508695,2019-11-05T21:01:48.695,1.165,-99.329,-47.378,-105.183
1573016508734,2019-11-05T21:01:48.734,1.204,-54.024,-25.732,-100.244
1573016508775,2019-11-05T21:01:48.775,1.245,-7.195,1.220,-57.805
1573016508815,2019-11-05T21:01:48.815,1.285,-5.915,26.159,-7.561
1573016508854,2019-11-05T21:01:48.854,1.324,-18.232,31.524,12.378
