epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573016190875,2019-11-05T20:56:30.875,0.000,-0.630,0.024,-0.782
1573016190916,2019-11-05T20:56:30.916,0.041,-0.636,0.023,-0.789
1573016190955,2019-11-05T20:56:30.955,0.080,-0.636,0.024,-0.786
1573016190995,2019-11-05T20:56:30.995,0.120,-0.635,0.023,-0.787
1573016191036,2019-11-05T20:56:31.036,0.161,-0.635,0.023,-0.786
1573016191075,2019-11-05T20:56:31.075,0.200,-0.636,0.023,-0.786
1573016191115,2019-11-05T20:56:31.115,0.240,-0.636,0.023,-0.787
1573016191156,2019-11-05T20:56:31.156,0.281,-0.634,0.023,-0.786
1573016191195,2019-11-05T20:56:31.195,0.320,-0.636,0.024,-0.786
1573016191236,2019-11-05T20:56:31.236,0.361,-0.637,0.024,-0.786
1573016191276,2019-11-05T20:56:31.276,0.401,-0.636,0.024,-0.786
1573016191316,2019-11-05T20:56:31.316,0.441,-0.635,0.024,-0.787
1573016191357,2019-11-05T20:56:31.357,0.482,-0.635,0.024,-0.787
1573016191396,2019-11-05T20:56:31.396,0.521,-0.635,0.025,-0.787
1573016191437,2019-11-05T20:56:31.437,0.562,-0.635,0.024,-0.787
1573016191477,2019-11-05T20:56:31.477,0.602,-0.634,0.024,-0.787
1573016191516,2019-11-05T20:56:31.516,0.641,-0.635,0.025,-0.787
1573016191557,2019-11-05T20:56:31.557,0.682,-0.638,0.024,-0.785
1573016191597,2019-11-05T20:56:31.597,0.722,-0.636,0.023,-0.785
1573016191638,2019-11-05T20:56:31.638,0.763,-0.636,0.023,-0.785
1573016191677,2019-11-05T20:56:31.677,0.802,-0.637,0.023,-0.786
1573016191717,2019-11-05T20:56:31.717,0.842,-0.635,0.024,-0.788
1573016191758,2019-11-05T20:56:31.758,0.883,-0.634,0.025,-0.786
1573016191798,2019-11-05T20:56:31.798,0.923,-0.634,0.025,-0.785
1573016191839,2019-11-05T20:56:31.839,0.964,-0.635,0.023,-0.786
1573016191878,2019-11-05T20:56:31.878,1.003,-0.635,0.024,-0.787
1573016191918,2019-11-05T20:56:31.918,1.043,-0.636,0.024,-0.787
1573016191959,2019-11-05T20:56:31.959,1.084,-0.636,0.024,-0.786
1573016191998,2019-11-05T20:56:31.998,1.123,-0.636,0.025,-0.785
1573016192039,2019-11-05T20:56:32.039,1.164,-0.637,0.024,-0.785
1573016192079,2019-11-05T20:56:32.079,1.204,-0.635,0.024,-0.784
1573016192118,2019-11-05T20:56:32.118,1.243,-0.636,0.023,-0.786
1573016192159,2019-11-05T20:56:32.159,1.284,-0.636,0.024,-0.786
1573016192199,2019-11-05T20:56:32.199,1.324,-0.636,0.024,-0.785
1573016192238,2019-11-05T20:56:32.238,1.363,-0.637,0.024,-0.785
1573016192279,2019-11-05T20:56:32.279,1.404,-0.634,0.024,-0.786
1573016192319,2019-11-05T20:56:32.319,1.444,-0.635,0.024,-0.785
1573016192360,2019-11-05T20:56:32.360,1.485,-0.635,0.024,-0.785
1573016192400,2019-11-05T20:56:32.400,1.525,-0.635,0.023,-0.785
1573016192439,2019-11-05T20:56:32.439,1.564,-0.635,0.024,-0.785
1573016192480,2019-11-05T20:56:32.480,1.605,-0.636,0.023,-0.786
1573016192520,2019-11-05T20:56:32.520,1.645,-0.635,0.024,-0.783
1573016192561,2019-11-05T20:56:32.561,1.686,-0.635,0.024,-0.786
1573016192600,2019-11-05T20:56:32.600,1.725,-0.634,0.024,-0.786
1573016192640,2019-11-05T20:56:32.640,1.765,-0.634,0.022,-0.785
1573016192681,2019-11-05T20:56:32.681,1.806,-0.636,0.023,-0.785
1573016192720,2019-11-05T20:56:32.720,1.845,-0.635,0.024,-0.786
1573016192761,2019-11-05T20:56:32.761,1.886,-0.635,0.024,-0.785
1573016192801,2019-11-05T20:56:32.801,1.926,-0.636,0.025,-0.786
1573016192842,2019-11-05T20:56:32.842,1.967,-0.637,0.023,-0.784
1573016192881,2019-11-05T20:56:32.881,2.006,-0.635,0.024,-0.785
1573016192921,2019-11-05T20:56:32.921,2.046,-0.635,0.024,-0.786
1573016192962,2019-11-05T20:56:32.962,2.087,-0.637,0.023,-0.785
1573016193002,2019-11-05T20:56:33.002,2.127,-0.636,0.024,-0.786
1573016193041,2019-11-05T20:56:33.041,2.166,-0.635,0.023,-0.784
1573016193082,2019-11-05T20:56:33.082,2.207,-0.635,0.024,-0.786
1573016193122,2019-11-05T20:56:33.122,2.247,-0.635,0.023,-0.784
1573016193163,2019-11-05T20:56:33.163,2.288,-0.636,0.023,-0.783
1573016193202,2019-11-05T20:56:33.202,2.327,-0.636,0.023,-0.786
1573016193242,2019-11-05T20:56:33.242,2.367,-0.635,0.023,-0.786
1573016193283,2019-11-05T20:56:33.283,2.408,-0.636,0.025,-0.784
1573016193322,2019-11-05T20:56:33.322,2.447,-0.635,0.025,-0.785
1573016193363,2019-11-05T20:56:33.363,2.488,-0.635,0.024,-0.785
1573016193403,2019-11-05T20:56:33.403,2.528,-0.635,0.024,-0.788
1573016193443,2019-11-05T20:56:33.443,2.568,-0.635,0.024,-0.786
1573016193484,2019-11-05T20:56:33.484,2.609,-0.635,0.022,-0.785
1573016193523,2019-11-05T20:56:33.523,2.648,-0.636,0.024,-0.786
1573016193564,2019-11-05T20:56:33.564,2.689,-0.635,0.023,-0.786
1573016193604,2019-11-05T20:56:33.604,2.729,-0.634,0.024,-0.786
1573016193643,2019-11-05T20:56:33.643,2.768,-0.636,0.024,-0.785
1573016193684,2019-11-05T20:56:33.684,2.809,-0.636,0.024,-0.787
1573016193724,2019-11-05T20:56:33.724,2.849,-0.635,0.024,-0.786
1573016193765,2019-11-05T20:56:33.765,2.890,-0.635,0.023,-0.785
1573016193804,2019-11-05T20:56:33.804,2.929,-0.635,0.024,-0.786
1573016193844,2019-11-05T20:56:33.844,2.969,-0.636,0.024,-0.785
1573016193885,2019-11-05T20:56:33.885,3.010,-0.636,0.023,-0.785
1573016193924,2019-11-05T20:56:33.924,3.049,-0.636,0.024,-0.786
1573016193964,2019-11-05T20:56:33.964,3.089,-0.636,0.025,-0.785
1573016194005,2019-11-05T20:56:34.005,3.130,-0.635,0.024,-0.785
1573016194045,2019-11-05T20:56:34.045,3.170,-0.635,0.024,-0.785
1573016194086,2019-11-05T20:56:34.086,3.211,-0.635,0.023,-0.788
1573016194125,2019-11-05T20:56:34.125,3.250,-0.635,0.024,-0.785
1573016194165,2019-11-05T20:56:34.165,3.290,-0.635,0.024,-0.784
1573016194206,2019-11-05T20:56:34.206,3.331,-0.635,0.023,-0.784
1573016194245,2019-11-05T20:56:34.245,3.370,-0.635,0.023,-0.785
1573016194286,2019-11-05T20:56:34.286,3.411,-0.636,0.024,-0.785
1573016194326,2019-11-05T20:56:34.326,3.451,-0.636,0.023,-0.784
1573016194365,2019-11-05T20:56:34.365,3.490,-0.634,0.024,-0.785
1573016194406,2019-11-05T20:56:34.406,3.531,-0.636,0.025,-0.785
1573016194446,2019-11-05T20:56:34.446,3.571,-0.638,0.024,-0.784
1573016194487,2019-11-05T20:56:34.487,3.612,-0.636,0.023,-0.786
1573016194527,2019-11-05T20:56:34.527,3.652,-0.636,0.023,-0.784
1573016194566,2019-11-05T20:56:34.566,3.691,-0.636,0.024,-0.784
1573016194607,2019-11-05T20:56:34.607,3.732,-0.636,0.023,-0.786
1573016194647,2019-11-05T20:56:34.647,3.772,-0.635,0.023,-0.786
1573016194688,2019-11-05T20:56:34.688,3.813,-0.636,0.023,-0.784
1573016194727,2019-11-05T20:56:34.727,3.852,-0.636,0.023,-0.783
1573016194767,2019-11-05T20:56:34.767,3.892,-0.635,0.024,-0.784
1573016194808,2019-11-05T20:56:34.808,3.933,-0.634,0.023,-0.785
1573016194847,2019-11-05T20:56:34.847,3.972,-0.637,0.023,-0.785
1573016194888,2019-11-05T20:56:34.888,4.013,-0.635,0.024,-0.786
1573016194928,2019-11-05T20:56:34.928,4.053,-0.634,0.024,-0.786
1573016194967,2019-11-05T20:56:34.967,4.092,-0.634,0.024,-0.787
1573016195008,2019-11-05T20:56:35.008,4.133,-0.635,0.024,-0.786
1573016195048,2019-11-05T20:56:35.048,4.173,-0.637,0.023,-0.785
1573016195089,2019-11-05T20:56:35.089,4.214,-0.635,0.023,-0.786
1573016195129,2019-11-05T20:56:35.129,4.254,-0.636,0.023,-0.785
1573016195168,2019-11-05T20:56:35.168,4.293,-0.636,0.024,-0.784
1573016195209,2019-11-05T20:56:35.209,4.334,-0.636,0.024,-0.786
1573016195249,2019-11-05T20:56:35.249,4.374,-0.637,0.023,-0.785
1573016195288,2019-11-05T20:56:35.288,4.413,-0.635,0.023,-0.786
1573016195329,2019-11-05T20:56:35.329,4.454,-0.636,0.023,-0.784
1573016195369,2019-11-05T20:56:35.369,4.494,-0.637,0.023,-0.785
1573016195410,2019-11-05T20:56:35.410,4.535,-0.634,0.021,-0.784
1573016195449,2019-11-05T20:56:35.449,4.574,-0.635,0.023,-0.785
1573016195489,2019-11-05T20:56:35.489,4.614,-0.636,0.024,-0.784
1573016195530,2019-11-05T20:56:35.530,4.655,-0.636,0.023,-0.783
1573016195569,2019-11-05T20:56:35.569,4.694,-0.635,0.024,-0.785
1573016195611,2019-11-05T20:56:35.611,4.736,-0.634,0.025,-0.785
1573016195650,2019-11-05T20:56:35.650,4.775,-0.636,0.025,-0.785
1573016195690,2019-11-05T20:56:35.690,4.815,-0.634,0.025,-0.784
1573016195731,2019-11-05T20:56:35.731,4.856,-0.635,0.024,-0.787
1573016195770,2019-11-05T20:56:35.770,4.895,-0.636,0.024,-0.785
1573016195811,2019-11-05T20:56:35.811,4.936,-0.636,0.024,-0.786
1573016195851,2019-11-05T20:56:35.851,4.976,-0.636,0.025,-0.786
1573016195890,2019-11-05T20:56:35.890,5.015,-0.634,0.024,-0.785
1573016195931,2019-11-05T20:56:35.931,5.056,-0.638,0.023,-0.785
1573016195971,2019-11-05T20:56:35.971,5.096,-0.636,0.024,-0.785
1573016196012,2019-11-05T20:56:36.012,5.137,-0.635,0.025,-0.783
1573016196051,2019-11-05T20:56:36.051,5.176,-0.636,0.024,-0.785
1573016196091,2019-11-05T20:56:36.091,5.216,-0.635,0.024,-0.784
1573016196132,2019-11-05T20:56:36.132,5.257,-0.634,0.024,-0.785
1573016196172,2019-11-05T20:56:36.172,5.297,-0.635,0.024,-0.784
1573016196213,2019-11-05T20:56:36.213,5.338,-0.635,0.023,-0.784
1573016196252,2019-11-05T20:56:36.252,5.377,-0.636,0.024,-0.785
1573016196292,2019-11-05T20:56:36.292,5.417,-0.636,0.024,-0.785
1573016196333,2019-11-05T20:56:36.333,5.458,-0.636,0.024,-0.784
1573016196372,2019-11-05T20:56:36.372,5.497,-0.636,0.023,-0.785
1573016196413,2019-11-05T20:56:36.413,5.538,-0.634,0.023,-0.785
1573016196453,2019-11-05T20:56:36.453,5.578,-0.635,0.023,-0.785
1573016196492,2019-11-05T20:56:36.492,5.617,-0.634,0.024,-0.784
1573016196533,2019-11-05T20:56:36.533,5.658,-0.636,0.024,-0.786
1573016196573,2019-11-05T20:56:36.573,5.698,-0.635,0.023,-0.784
1573016196614,2019-11-05T20:56:36.614,5.739,-0.634,0.024,-0.785
1573016196653,2019-11-05T20:56:36.653,5.778,-0.635,0.024,-0.787
1573016196693,2019-11-05T20:56:36.693,5.818,-0.635,0.024,-0.786
1573016196734,2019-11-05T20:56:36.734,5.859,-0.634,0.023,-0.783
1573016196774,2019-11-05T20:56:36.774,5.899,-0.636,0.023,-0.785
1573016196813,2019-11-05T20:56:36.813,5.938,-0.635,0.023,-0.787
1573016196854,2019-11-05T20:56:36.854,5.979,-0.633,0.024,-0.785
1573016196894,2019-11-05T20:56:36.894,6.019,-0.634,0.024,-0.785
1573016196935,2019-11-05T20:56:36.935,6.060,-0.635,0.023,-0.785
1573016196974,2019-11-05T20:56:36.974,6.099,-0.635,0.023,-0.786
1573016197014,2019-11-05T20:56:37.014,6.139,-0.635,0.024,-0.785
1573016197055,2019-11-05T20:56:37.055,6.180,-0.636,0.024,-0.785
1573016197094,2019-11-05T20:56:37.094,6.219,-0.636,0.024,-0.784
1573016197135,2019-11-05T20:56:37.135,6.260,-0.635,0.023,-0.785
1573016197175,2019-11-05T20:56:37.175,6.300,-0.635,0.023,-0.785
1573016197215,2019-11-05T20:56:37.215,6.340,-0.636,0.024,-0.785
1573016197256,2019-11-05T20:56:37.256,6.381,-0.637,0.024,-0.785
1573016197295,2019-11-05T20:56:37.295,6.420,-0.635,0.025,-0.784
1573016197336,2019-11-05T20:56:37.336,6.461,-0.635,0.024,-0.786
1573016197376,2019-11-05T20:56:37.376,6.501,-0.636,0.023,-0.784
1573016197415,2019-11-05T20:56:37.415,6.540,-0.635,0.024,-0.785
1573016197456,2019-11-05T20:56:37.456,6.581,-0.635,0.024,-0.786
1573016197496,2019-11-05T20:56:37.496,6.621,-0.635,0.023,-0.785
1573016197537,2019-11-05T20:56:37.537,6.662,-0.635,0.024,-0.785
1573016197576,2019-11-05T20:56:37.576,6.701,-0.635,0.024,-0.784
1573016197616,2019-11-05T20:56:37.616,6.741,-0.635,0.024,-0.786
1573016197657,2019-11-05T20:56:37.657,6.782,-0.637,0.023,-0.787
1573016197696,2019-11-05T20:56:37.696,6.821,-0.635,0.024,-0.785
1573016197737,2019-11-05T20:56:37.737,6.862,-0.634,0.024,-0.784
1573016197777,2019-11-05T20:56:37.777,6.902,-0.635,0.024,-0.784
1573016197817,2019-11-05T20:56:37.817,6.942,-0.636,0.024,-0.783
1573016197858,2019-11-05T20:56:37.858,6.983,-0.636,0.024,-0.784
1573016197897,2019-11-05T20:56:37.897,7.022,-0.636,0.024,-0.784
1573016197938,2019-11-05T20:56:37.938,7.063,-0.635,0.024,-0.785
1573016197978,2019-11-05T20:56:37.978,7.103,-0.637,0.023,-0.786
1573016198017,2019-11-05T20:56:38.017,7.142,-0.636,0.024,-0.784
