epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573000687885,2019-11-05T16:38:07.885,0.000,-0.196,-0.501,0.861
1573000687926,2019-11-05T16:38:07.926,0.041,-0.192,-0.522,0.870
1573000687965,2019-11-05T16:38:07.965,0.080,-0.189,-0.506,0.865
1573000688005,2019-11-05T16:38:08.005,0.120,-0.195,-0.522,0.866
1573000688046,2019-11-05T16:38:08.046,0.161,-0.203,-0.504,0.876
1573000688085,2019-11-05T16:38:08.085,0.200,-0.216,-0.497,0.880
1573000688126,2019-11-05T16:38:08.126,0.241,-0.213,-0.494,0.878
1573000688166,2019-11-05T16:38:08.166,0.281,-0.209,-0.497,0.881
1573000688205,2019-11-05T16:38:08.205,0.320,-0.220,-0.495,0.894
1573000688246,2019-11-05T16:38:08.246,0.361,-0.249,-0.482,0.892
1573000688286,2019-11-05T16:38:08.286,0.401,-0.248,-0.472,0.883
1573000688327,2019-11-05T16:38:08.327,0.442,-0.224,-0.475,0.874
1573000688366,2019-11-05T16:38:08.366,0.481,-0.203,-0.510,0.866
1573000688406,2019-11-05T16:38:08.406,0.521,-0.195,-0.491,0.871
1573000688447,2019-11-05T16:38:08.447,0.562,-0.210,-0.504,0.862
1573000688487,2019-11-05T16:38:08.487,0.602,-0.215,-0.498,0.861
1573000688528,2019-11-05T16:38:08.528,0.643,-0.211,-0.512,0.866
1573000688567,2019-11-05T16:38:08.567,0.682,-0.201,-0.492,0.882
1573000688607,2019-11-05T16:38:08.607,0.722,-0.212,-0.524,0.897
1573000688648,2019-11-05T16:38:08.648,0.763,-0.215,-0.529,0.900
1573000688687,2019-11-05T16:38:08.687,0.802,-0.217,-0.534,0.884
1573000688728,2019-11-05T16:38:08.728,0.843,-0.215,-0.525,0.863
1573000688768,2019-11-05T16:38:08.768,0.883,-0.234,-0.539,0.849
1573000688807,2019-11-05T16:38:08.807,0.922,-0.247,-0.515,0.842
1573000688848,2019-11-05T16:38:08.848,0.963,-0.249,-0.504,0.845
1573000688888,2019-11-05T16:38:08.888,1.003,-0.253,-0.519,0.846
1573000688929,2019-11-05T16:38:08.929,1.044,-0.242,-0.494,0.853
1573000688969,2019-11-05T16:38:08.969,1.084,-0.223,-0.527,0.854
1573000689008,2019-11-05T16:38:09.008,1.123,-0.209,-0.499,0.871
1573000689049,2019-11-05T16:38:09.049,1.164,-0.217,-0.529,0.872
1573000689089,2019-11-05T16:38:09.089,1.204,-0.211,-0.516,0.878
1573000689130,2019-11-05T16:38:09.130,1.245,-0.208,-0.502,0.881
1573000689169,2019-11-05T16:38:09.169,1.284,-0.221,-0.535,0.876
1573000689209,2019-11-05T16:38:09.209,1.324,-0.213,-0.506,0.869
1573000689250,2019-11-05T16:38:09.250,1.365,-0.220,-0.509,0.868
1573000689289,2019-11-05T16:38:09.289,1.404,-0.234,-0.519,0.875
1573000689330,2019-11-05T16:38:09.330,1.445,-0.222,-0.487,0.886
1573000689370,2019-11-05T16:38:09.370,1.485,-0.227,-0.500,0.880
1573000689409,2019-11-05T16:38:09.409,1.524,-0.228,-0.510,0.872
1573000689450,2019-11-05T16:38:09.450,1.565,-0.216,-0.482,0.868
1573000689490,2019-11-05T16:38:09.490,1.605,-0.229,-0.502,0.868
1573000689531,2019-11-05T16:38:09.531,1.646,-0.230,-0.508,0.863
1573000689571,2019-11-05T16:38:09.571,1.686,-0.226,-0.495,0.862
1573000689610,2019-11-05T16:38:09.610,1.725,-0.232,-0.511,0.855
1573000689651,2019-11-05T16:38:09.651,1.766,-0.218,-0.501,0.860
1573000689691,2019-11-05T16:38:09.691,1.806,-0.224,-0.499,0.860
1573000689730,2019-11-05T16:38:09.730,1.845,-0.230,-0.502,0.871
1573000689771,2019-11-05T16:38:09.771,1.886,-0.222,-0.490,0.874
1573000689811,2019-11-05T16:38:09.811,1.926,-0.231,-0.510,0.872
1573000689852,2019-11-05T16:38:09.852,1.967,-0.232,-0.491,0.872
1573000689891,2019-11-05T16:38:09.891,2.006,-0.232,-0.502,0.867
1573000689931,2019-11-05T16:38:09.931,2.046,-0.227,-0.513,0.864
1573000689972,2019-11-05T16:38:09.972,2.087,-0.232,-0.512,0.865
1573000690011,2019-11-05T16:38:10.011,2.126,-0.228,-0.508,0.866
1573000690052,2019-11-05T16:38:10.052,2.167,-0.226,-0.528,0.866
1573000690092,2019-11-05T16:38:10.092,2.207,-0.228,-0.515,0.875
1573000690132,2019-11-05T16:38:10.132,2.247,-0.241,-0.515,0.882
1573000690173,2019-11-05T16:38:10.173,2.288,-0.239,-0.509,0.878
1573000690212,2019-11-05T16:38:10.212,2.327,-0.231,-0.512,0.871
1573000690253,2019-11-05T16:38:10.253,2.368,-0.230,-0.505,0.865
1573000690293,2019-11-05T16:38:10.293,2.408,-0.227,-0.509,0.868
1573000690332,2019-11-05T16:38:10.332,2.447,-0.222,-0.509,0.859
1573000690373,2019-11-05T16:38:10.373,2.488,-0.216,-0.502,0.861
1573000690413,2019-11-05T16:38:10.413,2.528,-0.221,-0.508,0.868
1573000690454,2019-11-05T16:38:10.454,2.569,-0.219,-0.508,0.872
1573000690493,2019-11-05T16:38:10.493,2.608,-0.220,-0.507,0.871
1573000690533,2019-11-05T16:38:10.533,2.648,-0.230,-0.509,0.876
1573000690574,2019-11-05T16:38:10.574,2.689,-0.226,-0.496,0.879
1573000690614,2019-11-05T16:38:10.614,2.729,-0.225,-0.509,0.873
1573000690655,2019-11-05T16:38:10.655,2.770,-0.224,-0.498,0.877
1573000690694,2019-11-05T16:38:10.694,2.809,-0.225,-0.502,0.869
1573000690735,2019-11-05T16:38:10.735,2.850,-0.224,-0.507,0.869
1573000690775,2019-11-05T16:38:10.775,2.890,-0.226,-0.502,0.868
1573000690814,2019-11-05T16:38:10.814,2.929,-0.214,-0.510,0.864
