epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573000687845,2019-11-05T16:38:07.845,0.000,-1.585,2.500,2.195
1573000687885,2019-11-05T16:38:07.885,0.040,-1.220,2.744,1.890
1573000687926,2019-11-05T16:38:07.926,0.081,-0.976,3.110,2.256
1573000687965,2019-11-05T16:38:07.965,0.120,1.524,3.537,2.012
1573000688006,2019-11-05T16:38:08.006,0.161,0.488,4.268,0.244
1573000688046,2019-11-05T16:38:08.046,0.201,1.707,3.963,-1.159
1573000688085,2019-11-05T16:38:08.085,0.240,-0.915,2.988,-3.293
1573000688126,2019-11-05T16:38:08.126,0.281,-2.500,1.463,-5.183
1573000688166,2019-11-05T16:38:08.166,0.321,-3.049,0.732,-5.671
1573000688207,2019-11-05T16:38:08.207,0.362,-2.439,1.524,-4.329
1573000688246,2019-11-05T16:38:08.246,0.401,-2.561,2.683,-2.378
1573000688286,2019-11-05T16:38:08.286,0.441,-2.744,2.378,-1.463
1573000688327,2019-11-05T16:38:08.327,0.482,-3.232,1.890,-1.220
1573000688366,2019-11-05T16:38:08.366,0.521,-1.585,2.622,-0.305
1573000688407,2019-11-05T16:38:08.407,0.562,1.585,3.720,-0.122
1573000688447,2019-11-05T16:38:08.447,0.602,-2.256,4.024,-1.098
1573000688487,2019-11-05T16:38:08.487,0.642,-3.841,2.073,-1.707
1573000688528,2019-11-05T16:38:08.528,0.683,-4.268,0.366,-1.280
1573000688567,2019-11-05T16:38:08.567,0.722,-1.280,0.183,-0.122
1573000688607,2019-11-05T16:38:08.607,0.762,-3.110,3.110,-0.915
1573000688648,2019-11-05T16:38:08.648,0.803,-0.427,4.939,-2.439
1573000688687,2019-11-05T16:38:08.687,0.842,2.317,4.207,-3.780
1573000688728,2019-11-05T16:38:08.728,0.883,3.902,0.793,-4.573
1573000688768,2019-11-05T16:38:08.768,0.923,2.317,-2.378,-3.598
1573000688807,2019-11-05T16:38:08.807,0.962,2.500,-5.122,-0.671
1573000688848,2019-11-05T16:38:08.848,1.003,-1.402,-5.366,2.195
1573000688888,2019-11-05T16:38:08.888,1.043,-3.659,-3.476,4.085
1573000688929,2019-11-05T16:38:08.929,1.084,-2.195,-0.732,4.329
1573000688969,2019-11-05T16:38:08.969,1.124,-1.037,2.805,4.207
1573000689008,2019-11-05T16:38:09.008,1.163,3.902,5.000,6.220
1573000689049,2019-11-05T16:38:09.049,1.204,0.732,6.098,7.683
1573000689089,2019-11-05T16:38:09.089,1.244,4.085,3.963,8.720
1573000689130,2019-11-05T16:38:09.130,1.285,1.951,2.439,7.927
1573000689169,2019-11-05T16:38:09.169,1.324,-1.159,1.707,5.793
1573000689209,2019-11-05T16:38:09.209,1.364,2.378,0.122,3.963
1573000689250,2019-11-05T16:38:09.250,1.405,0.793,0.427,2.256
1573000689289,2019-11-05T16:38:09.289,1.444,1.585,-0.183,1.159
1573000689330,2019-11-05T16:38:09.330,1.485,2.927,-0.854,0.183
1573000689370,2019-11-05T16:38:09.370,1.525,-1.890,0.427,-1.524
1573000689409,2019-11-05T16:38:09.409,1.564,-0.549,-0.061,-2.378
1573000689450,2019-11-05T16:38:09.450,1.605,3.354,-1.768,-1.220
1573000689490,2019-11-05T16:38:09.490,1.645,-0.366,-1.768,-0.427
1573000689531,2019-11-05T16:38:09.531,1.686,-0.366,-2.500,-0.488
1573000689571,2019-11-05T16:38:09.571,1.726,-1.159,-2.012,-0.549
1573000689610,2019-11-05T16:38:09.610,1.765,-3.354,-1.037,-0.854
1573000689651,2019-11-05T16:38:09.651,1.806,-0.793,-0.793,-0.305
1573000689691,2019-11-05T16:38:09.691,1.846,-1.646,0.732,0.183
1573000689732,2019-11-05T16:38:09.732,1.887,-1.463,1.402,0.000
1573000689771,2019-11-05T16:38:09.771,1.926,-0.976,1.159,0.366
1573000689811,2019-11-05T16:38:09.811,1.966,-1.768,1.220,1.585
1573000689852,2019-11-05T16:38:09.852,2.007,0.793,0.854,2.073
1573000689891,2019-11-05T16:38:09.891,2.046,-1.463,0.732,1.768
1573000689932,2019-11-05T16:38:09.932,2.087,-1.402,0.061,2.134
1573000689972,2019-11-05T16:38:09.972,2.127,-0.732,-0.305,3.171
1573000690011,2019-11-05T16:38:10.011,2.166,-2.683,-0.366,2.683
1573000690052,2019-11-05T16:38:10.052,2.207,-3.963,0.122,1.220
1573000690092,2019-11-05T16:38:10.092,2.247,0.549,0.183,0.793
1573000690133,2019-11-05T16:38:10.133,2.288,1.707,0.061,1.341
1573000690173,2019-11-05T16:38:10.173,2.328,1.524,-1.159,1.159
1573000690212,2019-11-05T16:38:10.212,2.367,0.305,-1.890,1.402
1573000690253,2019-11-05T16:38:10.253,2.408,0.671,-2.195,1.768
1573000690293,2019-11-05T16:38:10.293,2.448,-0.427,-2.012,1.098
1573000690332,2019-11-05T16:38:10.332,2.487,-0.061,-1.890,0.976
1573000690373,2019-11-05T16:38:10.373,2.528,0.244,-1.098,1.037
1573000690413,2019-11-05T16:38:10.413,2.568,-0.488,-0.427,0.244
1573000690454,2019-11-05T16:38:10.454,2.609,-1.098,-0.549,0.000
1573000690493,2019-11-05T16:38:10.493,2.648,-1.159,-0.732,-0.122
1573000690533,2019-11-05T16:38:10.533,2.688,-0.793,-0.366,-0.671
1573000690574,2019-11-05T16:38:10.574,2.729,-0.610,-0.122,-1.402
1573000690615,2019-11-05T16:38:10.615,2.770,-1.220,0.122,-1.585
1573000690655,2019-11-05T16:38:10.655,2.810,1.037,-0.549,-1.402
1573000690694,2019-11-05T16:38:10.694,2.849,0.122,-0.915,-1.098
1573000690735,2019-11-05T16:38:10.735,2.890,0.793,-1.463,0.000
1573000690775,2019-11-05T16:38:10.775,2.930,0.061,-1.585,-0.183
1573000690814,2019-11-05T16:38:10.814,2.969,-1.159,-1.463,-0.976
1573000690855,2019-11-05T16:38:10.855,3.010,-1.037,-1.037,-0.854
1573000690895,2019-11-05T16:38:10.895,3.050,-0.976,-1.037,-0.610
1573000690934,2019-11-05T16:38:10.934,3.089,-0.427,-0.976,0.305
1573000690975,2019-11-05T16:38:10.975,3.130,-2.012,-0.122,0.183
1573000691015,2019-11-05T16:38:11.015,3.170,-2.256,0.732,-0.732
1573000691056,2019-11-05T16:38:11.056,3.211,-0.549,1.280,-1.037
1573000691095,2019-11-05T16:38:11.095,3.250,-1.646,1.524,-2.134
1573000691135,2019-11-05T16:38:11.135,3.290,0.488,0.915,-3.232
1573000691176,2019-11-05T16:38:11.176,3.331,1.951,-0.122,-3.476
1573000691216,2019-11-05T16:38:11.216,3.371,-0.183,-0.549,-2.988
1573000691257,2019-11-05T16:38:11.257,3.412,1.402,-0.732,-1.098
1573000691296,2019-11-05T16:38:11.296,3.451,0.366,-0.427,-0.305
1573000691336,2019-11-05T16:38:11.336,3.491,-1.159,-0.061,-0.488
1573000691377,2019-11-05T16:38:11.377,3.532,-0.671,-0.061,0.549
1573000691416,2019-11-05T16:38:11.416,3.571,-0.854,-0.122,1.951
1573000691457,2019-11-05T16:38:11.457,3.612,-2.134,0.122,2.500
1573000691497,2019-11-05T16:38:11.497,3.652,-2.317,0.061,2.500
1573000691536,2019-11-05T16:38:11.536,3.691,-1.951,-0.122,2.683
1573000691577,2019-11-05T16:38:11.577,3.732,0.732,-0.122,3.171
1573000691617,2019-11-05T16:38:11.617,3.772,0.732,0.366,2.866
1573000691658,2019-11-05T16:38:11.658,3.813,0.793,0.366,3.476
1573000691698,2019-11-05T16:38:11.698,3.853,0.915,-0.183,4.146
1573000691737,2019-11-05T16:38:11.737,3.892,-0.732,0.061,2.988
1573000691778,2019-11-05T16:38:11.778,3.933,-0.976,0.488,1.402
1573000691818,2019-11-05T16:38:11.818,3.973,-1.402,0.732,0.122
1573000691859,2019-11-05T16:38:11.859,4.014,-2.012,0.427,-0.122
1573000691898,2019-11-05T16:38:11.898,4.053,-0.610,0.183,0.366
1573000691938,2019-11-05T16:38:11.938,4.093,-1.159,1.341,0.732
1573000691979,2019-11-05T16:38:11.979,4.134,-1.341,1.951,0.854
1573000692018,2019-11-05T16:38:12.018,4.173,-0.427,2.378,1.829
1573000692059,2019-11-05T16:38:12.059,4.214,-0.915,3.659,2.927
1573000692099,2019-11-05T16:38:12.099,4.254,-1.341,4.207,2.805
1573000692138,2019-11-05T16:38:12.138,4.293,-7.256,4.695,1.463
1573000692179,2019-11-05T16:38:12.179,4.334,-9.390,3.293,0.976
1573000692219,2019-11-05T16:38:12.219,4.374,-6.341,0.671,2.073
1573000692259,2019-11-05T16:38:12.259,4.414,-5.854,-1.524,1.280
1573000692300,2019-11-05T16:38:12.300,4.455,-6.951,-2.378,0.305
1573000692339,2019-11-05T16:38:12.339,4.494,-2.805,-2.805,0.427
1573000692380,2019-11-05T16:38:12.380,4.535,4.878,-2.866,0.915
1573000692420,2019-11-05T16:38:12.420,4.575,6.402,-1.341,1.280
1573000692459,2019-11-05T16:38:12.459,4.614,5.366,-0.061,0.671
1573000692500,2019-11-05T16:38:12.500,4.655,3.476,0.915,0.793
1573000692540,2019-11-05T16:38:12.540,4.695,4.146,1.159,0.732
