epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572985339146,2019-11-05T12:22:19.146,0.000,-0.488,-1.019,0.720
1572985339186,2019-11-05T12:22:19.186,0.040,-0.813,-0.039,0.786
1572985339227,2019-11-05T12:22:19.227,0.081,-1.275,-0.112,0.890
1572985339266,2019-11-05T12:22:19.266,0.120,-1.470,0.133,0.874
1572985339306,2019-11-05T12:22:19.306,0.160,-0.807,0.912,0.669
1572985339347,2019-11-05T12:22:19.347,0.201,-0.674,0.382,0.984
1572985339386,2019-11-05T12:22:19.386,0.240,-0.864,0.320,0.792
1572985339427,2019-11-05T12:22:19.427,0.281,-0.842,0.604,0.715
1572985339467,2019-11-05T12:22:19.467,0.321,-0.812,0.230,0.756
1572985339506,2019-11-05T12:22:19.506,0.360,-0.738,0.134,0.754
1572985339547,2019-11-05T12:22:19.547,0.401,-0.707,0.273,0.763
1572985339587,2019-11-05T12:22:19.587,0.441,-0.703,0.194,0.746
1572985339628,2019-11-05T12:22:19.628,0.482,-0.673,0.142,0.750
1572985339667,2019-11-05T12:22:19.667,0.521,-0.648,0.237,0.740
1572985339707,2019-11-05T12:22:19.707,0.561,-0.681,0.205,0.754
1572985339748,2019-11-05T12:22:19.748,0.602,-0.628,0.310,0.773
1572985339788,2019-11-05T12:22:19.788,0.642,-0.608,0.296,0.799
1572985339829,2019-11-05T12:22:19.829,0.683,-0.587,0.212,0.807
1572985339868,2019-11-05T12:22:19.868,0.722,-0.557,0.252,0.821
1572985339908,2019-11-05T12:22:19.908,0.762,-0.604,0.300,0.779
1572985339949,2019-11-05T12:22:19.949,0.803,-0.635,0.279,0.746
1572985339988,2019-11-05T12:22:19.988,0.842,-0.639,0.226,0.739
1572985340029,2019-11-05T12:22:20.029,0.883,-0.630,0.190,0.747
1572985340069,2019-11-05T12:22:20.069,0.923,-0.635,0.312,0.746
1572985340108,2019-11-05T12:22:20.108,0.962,-0.652,0.284,0.778
1572985340149,2019-11-05T12:22:20.149,1.003,-0.636,0.304,0.777
1572985340189,2019-11-05T12:22:20.189,1.043,-0.598,0.333,0.807
1572985340230,2019-11-05T12:22:20.230,1.084,-0.586,0.329,0.817
1572985340270,2019-11-05T12:22:20.270,1.124,-0.594,0.312,0.799
1572985340309,2019-11-05T12:22:20.309,1.163,-0.581,0.308,0.784
1572985340350,2019-11-05T12:22:20.350,1.204,-0.593,0.230,0.771
1572985340390,2019-11-05T12:22:20.390,1.244,-0.582,0.257,0.792
1572985340431,2019-11-05T12:22:20.431,1.285,-0.578,0.310,0.801
1572985340470,2019-11-05T12:22:20.470,1.324,-0.610,0.188,0.826
1572985340510,2019-11-05T12:22:20.510,1.364,-0.570,0.264,0.835
1572985340551,2019-11-05T12:22:20.551,1.405,-0.576,0.312,0.845
1572985340590,2019-11-05T12:22:20.590,1.444,-0.599,0.251,0.837
1572985340631,2019-11-05T12:22:20.631,1.485,-0.579,0.296,0.832
1572985340671,2019-11-05T12:22:20.671,1.525,-0.575,0.276,0.812
1572985340710,2019-11-05T12:22:20.710,1.564,-0.574,0.260,0.801
1572985340751,2019-11-05T12:22:20.751,1.605,-0.566,0.281,0.798
1572985340791,2019-11-05T12:22:20.791,1.645,-0.571,0.311,0.793
1572985340831,2019-11-05T12:22:20.831,1.685,-0.589,0.286,0.774
1572985340872,2019-11-05T12:22:20.872,1.726,-0.558,0.300,0.762
1572985340911,2019-11-05T12:22:20.911,1.765,-0.548,0.278,0.790
1572985340952,2019-11-05T12:22:20.952,1.806,-0.565,0.298,0.820
1572985340992,2019-11-05T12:22:20.992,1.846,-0.592,0.308,0.837
1572985341031,2019-11-05T12:22:21.031,1.885,-0.594,0.323,0.842
1572985341072,2019-11-05T12:22:21.072,1.926,-0.574,0.303,0.834
1572985341112,2019-11-05T12:22:21.112,1.966,-0.521,0.317,0.847
1572985341153,2019-11-05T12:22:21.153,2.007,-0.515,0.303,0.870
1572985341192,2019-11-05T12:22:21.192,2.046,-0.530,0.266,0.871
1572985341232,2019-11-05T12:22:21.232,2.086,-0.522,0.250,0.863
1572985341273,2019-11-05T12:22:21.273,2.127,-0.486,0.300,0.880
1572985341313,2019-11-05T12:22:21.313,2.167,-0.502,0.240,0.848
1572985341354,2019-11-05T12:22:21.354,2.208,-0.485,0.266,0.855
1572985341393,2019-11-05T12:22:21.393,2.247,-0.500,0.373,0.865
1572985341433,2019-11-05T12:22:21.433,2.287,-0.552,0.312,0.868
1572985341474,2019-11-05T12:22:21.474,2.328,-0.583,0.252,0.902
1572985341513,2019-11-05T12:22:21.513,2.367,-0.580,0.274,0.921
1572985341554,2019-11-05T12:22:21.554,2.408,-0.558,0.275,0.917
1572985341594,2019-11-05T12:22:21.594,2.448,-0.536,0.249,0.885
1572985341633,2019-11-05T12:22:21.633,2.487,-0.493,0.228,0.850
1572985341674,2019-11-05T12:22:21.674,2.528,-0.434,0.308,0.811
1572985341714,2019-11-05T12:22:21.714,2.568,-0.406,0.296,0.799
1572985341755,2019-11-05T12:22:21.755,2.609,-0.429,0.243,0.792
1572985341794,2019-11-05T12:22:21.794,2.648,-0.445,0.216,0.839
1572985341834,2019-11-05T12:22:21.834,2.688,-0.464,0.263,0.872
1572985341875,2019-11-05T12:22:21.875,2.729,-0.472,0.264,0.887
1572985341915,2019-11-05T12:22:21.915,2.769,-0.463,0.235,0.909
1572985341956,2019-11-05T12:22:21.956,2.810,-0.450,0.290,0.908
1572985341995,2019-11-05T12:22:21.995,2.849,-0.479,0.271,0.909
1572985342035,2019-11-05T12:22:22.035,2.889,-0.479,0.279,0.911
1572985342076,2019-11-05T12:22:22.076,2.930,-0.463,0.303,0.921
1572985342115,2019-11-05T12:22:22.115,2.969,-0.488,0.243,0.911
1572985342156,2019-11-05T12:22:22.156,3.010,-0.488,0.257,0.909
1572985342196,2019-11-05T12:22:22.196,3.050,-0.470,0.292,0.895
1572985342235,2019-11-05T12:22:22.235,3.089,-0.470,0.249,0.883
1572985342276,2019-11-05T12:22:22.276,3.130,-0.451,0.279,0.877
1572985342316,2019-11-05T12:22:22.316,3.170,-0.458,0.268,0.872
1572985342357,2019-11-05T12:22:22.357,3.211,-0.465,0.242,0.875
1572985342396,2019-11-05T12:22:22.396,3.250,-0.455,0.285,0.873
1572985342436,2019-11-05T12:22:22.436,3.290,-0.464,0.257,0.881
1572985342477,2019-11-05T12:22:22.477,3.331,-0.472,0.238,0.884
1572985342517,2019-11-05T12:22:22.517,3.371,-0.466,0.281,0.887
1572985342558,2019-11-05T12:22:22.558,3.412,-0.478,0.259,0.893
1572985342597,2019-11-05T12:22:22.597,3.451,-0.489,0.258,0.894
1572985342637,2019-11-05T12:22:22.637,3.491,-0.485,0.271,0.891
1572985342678,2019-11-05T12:22:22.678,3.532,-0.481,0.246,0.890
1572985342717,2019-11-05T12:22:22.717,3.571,-0.469,0.272,0.888
1572985342758,2019-11-05T12:22:22.758,3.612,-0.478,0.259,0.884
1572985342798,2019-11-05T12:22:22.798,3.652,-0.497,0.248,0.894
1572985342837,2019-11-05T12:22:22.837,3.691,-0.500,0.274,0.884
1572985342878,2019-11-05T12:22:22.878,3.732,-0.503,0.242,0.882
1572985342918,2019-11-05T12:22:22.918,3.772,-0.501,0.267,0.863
1572985342959,2019-11-05T12:22:22.959,3.813,-0.511,0.303,0.815
1572985342999,2019-11-05T12:22:22.999,3.853,-0.515,0.371,0.688
1572985343038,2019-11-05T12:22:23.038,3.892,-0.499,0.323,0.437
1572985343079,2019-11-05T12:22:23.079,3.933,-0.522,0.160,0.214
1572985343119,2019-11-05T12:22:23.119,3.973,-0.469,-0.013,0.081
1572985343160,2019-11-05T12:22:23.160,4.014,-0.535,-0.497,0.144
1572985343199,2019-11-05T12:22:23.199,4.053,-0.717,-1.188,0.479
1572985343239,2019-11-05T12:22:23.239,4.093,-0.709,-1.061,0.769
1572985343280,2019-11-05T12:22:23.280,4.134,-0.849,-0.827,0.860
1572985343319,2019-11-05T12:22:23.319,4.173,-0.964,-0.872,0.905
1572985343360,2019-11-05T12:22:23.360,4.214,-0.829,-0.421,0.937
1572985343400,2019-11-05T12:22:23.400,4.254,-0.824,-0.201,1.080
1572985343439,2019-11-05T12:22:23.439,4.293,-0.824,-0.388,1.008
1572985343480,2019-11-05T12:22:23.480,4.334,-0.807,-0.512,1.024
1572985343520,2019-11-05T12:22:23.520,4.374,-0.749,-0.482,0.966
1572985343561,2019-11-05T12:22:23.561,4.415,-0.719,-0.583,0.884
1572985343601,2019-11-05T12:22:23.601,4.455,-0.661,-0.508,0.792
1572985343640,2019-11-05T12:22:23.640,4.494,-0.555,-0.326,0.733
1572985343681,2019-11-05T12:22:23.681,4.535,-0.541,-0.444,0.722
1572985343721,2019-11-05T12:22:23.721,4.575,-0.525,-0.421,0.655
1572985343762,2019-11-05T12:22:23.762,4.616,-0.440,-0.462,0.672
1572985343801,2019-11-05T12:22:23.801,4.655,-0.290,-0.504,0.704
1572985343841,2019-11-05T12:22:23.841,4.695,-0.174,-0.573,0.636
1572985343882,2019-11-05T12:22:23.882,4.736,-0.270,-0.680,0.633
1572985343921,2019-11-05T12:22:23.921,4.775,-0.333,-0.474,0.635
1572985343961,2019-11-05T12:22:23.961,4.815,-0.409,-0.266,0.677
1572985344002,2019-11-05T12:22:24.002,4.856,-0.376,-0.170,0.704
1572985344042,2019-11-05T12:22:24.042,4.896,-0.262,-0.742,0.706
1572985344083,2019-11-05T12:22:24.083,4.937,-0.065,-1.010,0.629
1572985344122,2019-11-05T12:22:24.122,4.976,0.069,-0.726,0.682
1572985344162,2019-11-05T12:22:24.162,5.016,-0.139,-0.633,0.631
1572985344203,2019-11-05T12:22:24.203,5.057,-0.257,-0.886,0.662
1572985344242,2019-11-05T12:22:24.242,5.096,-0.111,-1.004,0.736
1572985344283,2019-11-05T12:22:24.283,5.137,-0.031,-0.998,0.674
1572985344323,2019-11-05T12:22:24.323,5.177,-0.047,-0.810,0.643
1572985344362,2019-11-05T12:22:24.362,5.216,-0.166,-0.724,0.671
1572985344403,2019-11-05T12:22:24.403,5.257,-0.361,-0.738,0.629
1572985344443,2019-11-05T12:22:24.443,5.297,-0.357,-0.648,0.635
1572985344484,2019-11-05T12:22:24.484,5.338,-0.287,-0.493,0.635
1572985344523,2019-11-05T12:22:24.523,5.377,-0.366,-0.531,0.568
1572985344563,2019-11-05T12:22:24.563,5.417,-0.454,-0.619,0.601
1572985344604,2019-11-05T12:22:24.604,5.458,-0.451,-0.568,0.612
1572985344644,2019-11-05T12:22:24.644,5.498,-0.475,-0.578,0.735
1572985344685,2019-11-05T12:22:24.685,5.539,-0.484,-0.688,0.792
1572985344724,2019-11-05T12:22:24.724,5.578,-0.462,-0.802,0.821
1572985344764,2019-11-05T12:22:24.764,5.618,-0.362,-0.718,0.834
1572985344805,2019-11-05T12:22:24.805,5.659,-0.288,-0.650,0.799
1572985344844,2019-11-05T12:22:24.844,5.698,-0.364,-0.595,0.784
1572985344885,2019-11-05T12:22:24.885,5.739,-0.478,-0.489,0.718
1572985344925,2019-11-05T12:22:24.925,5.779,-0.515,-0.572,0.664
1572985344964,2019-11-05T12:22:24.964,5.818,-0.438,-0.604,0.637
1572985345005,2019-11-05T12:22:25.005,5.859,-0.380,-0.542,0.646
1572985345045,2019-11-05T12:22:25.045,5.899,-0.425,-0.527,0.672
1572985345086,2019-11-05T12:22:25.086,5.940,-0.454,-0.490,0.703
1572985345125,2019-11-05T12:22:25.125,5.979,-0.485,-0.480,0.736
1572985345165,2019-11-05T12:22:25.165,6.019,-0.519,-0.506,0.772
1572985345206,2019-11-05T12:22:25.206,6.060,-0.516,-0.508,0.776
1572985345246,2019-11-05T12:22:25.246,6.100,-0.508,-0.484,0.775
1572985345287,2019-11-05T12:22:25.287,6.141,-0.497,-0.439,0.774
1572985345326,2019-11-05T12:22:25.326,6.180,-0.499,-0.396,0.761
1572985345366,2019-11-05T12:22:25.366,6.220,-0.517,-0.427,0.747
1572985345407,2019-11-05T12:22:25.407,6.261,-0.516,-0.467,0.727
1572985345446,2019-11-05T12:22:25.446,6.300,-0.492,-0.414,0.703
1572985345487,2019-11-05T12:22:25.487,6.341,-0.494,-0.319,0.689
1572985345527,2019-11-05T12:22:25.527,6.381,-0.571,-0.257,0.646
1572985345568,2019-11-05T12:22:25.568,6.422,-0.576,-0.345,0.569
1572985345607,2019-11-05T12:22:25.607,6.461,-0.564,-0.819,0.629
1572985345647,2019-11-05T12:22:25.647,6.501,-0.406,-0.975,0.625
1572985345688,2019-11-05T12:22:25.688,6.542,-0.290,-1.201,0.633
1572985345728,2019-11-05T12:22:25.728,6.582,-0.125,-1.767,0.665
1572985345767,2019-11-05T12:22:25.767,6.621,-0.029,-1.655,0.554
1572985345808,2019-11-05T12:22:25.808,6.662,-0.025,-1.288,0.413
1572985345848,2019-11-05T12:22:25.848,6.702,0.040,-0.996,0.191
1572985345889,2019-11-05T12:22:25.889,6.743,0.174,-0.522,0.120
1572985345928,2019-11-05T12:22:25.928,6.782,0.236,-0.092,0.033
1572985345968,2019-11-05T12:22:25.968,6.822,0.246,0.054,-0.012
1572985346009,2019-11-05T12:22:26.009,6.863,0.368,0.366,0.010
1572985346048,2019-11-05T12:22:26.048,6.902,0.566,0.438,0.016
1572985346089,2019-11-05T12:22:26.089,6.943,0.410,-0.134,0.090
1572985346129,2019-11-05T12:22:26.129,6.983,-0.270,-1.782,-0.037
1572985346168,2019-11-05T12:22:26.168,7.022,-1.691,-3.527,-0.191
1572985346209,2019-11-05T12:22:26.209,7.063,-0.851,-1.199,0.380
1572985346249,2019-11-05T12:22:26.249,7.103,0.992,-0.433,0.292
1572985346290,2019-11-05T12:22:26.290,7.144,0.646,-0.849,0.269
1572985346330,2019-11-05T12:22:26.330,7.184,0.411,0.271,0.099
1572985346369,2019-11-05T12:22:26.369,7.223,0.383,0.500,0.036
1572985346410,2019-11-05T12:22:26.410,7.264,0.401,0.027,0.468
1572985346450,2019-11-05T12:22:26.450,7.304,-1.042,-2.341,0.721
1572985346491,2019-11-05T12:22:26.491,7.345,-1.726,-6.170,1.000
1572985346530,2019-11-05T12:22:26.530,7.384,1.616,-2.912,3.661
1572985346570,2019-11-05T12:22:26.570,7.424,4.183,2.354,3.259
1572985346611,2019-11-05T12:22:26.611,7.465,2.354,0.464,-1.717
1572985346650,2019-11-05T12:22:26.650,7.504,-9.947,-0.401,-3.422
1572985346691,2019-11-05T12:22:26.691,7.545,-1.675,3.884,2.057
1572985346731,2019-11-05T12:22:26.731,7.585,-4.008,-0.926,0.287
1572985346771,2019-11-05T12:22:26.771,7.625,-0.923,-0.113,-1.035
1572985346812,2019-11-05T12:22:26.812,7.666,1.791,-0.510,0.381
1572985346851,2019-11-05T12:22:26.851,7.705,2.270,-0.346,0.217
1572985346891,2019-11-05T12:22:26.891,7.745,2.759,-0.057,1.222
1572985346932,2019-11-05T12:22:26.932,7.786,2.833,-0.351,2.451
1572985346971,2019-11-05T12:22:26.971,7.825,2.764,-1.974,2.878
1572985347012,2019-11-05T12:22:27.012,7.866,3.478,-2.940,3.363
1572985347052,2019-11-05T12:22:27.052,7.906,4.698,-0.896,1.903
1572985347091,2019-11-05T12:22:27.091,7.945,-7.019,1.220,-2.164
1572985347132,2019-11-05T12:22:27.132,7.986,-6.084,3.260,-3.625
1572985347172,2019-11-05T12:22:27.172,8.026,-2.898,1.523,-1.527
1572985347213,2019-11-05T12:22:27.213,8.067,-2.432,-0.564,-0.366
1572985347252,2019-11-05T12:22:27.252,8.106,2.768,0.052,1.134
1572985347292,2019-11-05T12:22:27.292,8.146,1.813,-3.764,0.792
1572985347333,2019-11-05T12:22:27.333,8.187,1.498,0.326,1.152
1572985347373,2019-11-05T12:22:27.373,8.227,0.606,0.620,0.062
1572985347414,2019-11-05T12:22:27.414,8.268,0.089,0.763,-0.682
1572985347453,2019-11-05T12:22:27.453,8.307,0.428,1.200,-0.403
1572985347493,2019-11-05T12:22:27.493,8.347,1.125,-0.522,1.223
1572985347534,2019-11-05T12:22:27.534,8.388,-0.867,-8.073,1.230
1572985347573,2019-11-05T12:22:27.573,8.427,1.121,-7.696,2.595
1572985347614,2019-11-05T12:22:27.614,8.468,5.820,2.311,1.520
1572985347654,2019-11-05T12:22:27.654,8.508,2.459,1.921,-2.227
1572985347693,2019-11-05T12:22:27.693,8.547,-10.507,1.215,-2.317
1572985347734,2019-11-05T12:22:27.734,8.588,-2.314,2.479,-1.216
1572985347774,2019-11-05T12:22:27.774,8.628,-3.673,-0.129,-0.379
1572985347815,2019-11-05T12:22:27.815,8.669,-1.324,0.190,-0.033
1572985347854,2019-11-05T12:22:27.854,8.708,1.500,-1.842,0.928
1572985347894,2019-11-05T12:22:27.894,8.748,2.225,-0.526,-0.483
1572985347935,2019-11-05T12:22:27.935,8.789,2.521,1.536,0.236
1572985347975,2019-11-05T12:22:27.975,8.829,1.819,1.841,1.259
1572985348016,2019-11-05T12:22:28.016,8.870,2.224,-0.833,2.158
1572985348055,2019-11-05T12:22:28.055,8.909,3.896,-4.417,3.144
1572985348095,2019-11-05T12:22:28.095,8.949,4.113,-3.845,2.836
1572985348136,2019-11-05T12:22:28.136,8.990,4.633,-1.932,-1.693
1572985348175,2019-11-05T12:22:28.175,9.029,-8.854,3.288,-4.455
1572985348216,2019-11-05T12:22:28.216,9.070,-3.442,4.077,-0.574
1572985348256,2019-11-05T12:22:28.256,9.110,-3.514,0.073,1.943
1572985348295,2019-11-05T12:22:28.295,9.149,-2.418,-0.245,-2.958
1572985348336,2019-11-05T12:22:28.336,9.190,1.265,-2.129,-1.276
1572985348376,2019-11-05T12:22:28.376,9.230,2.524,-1.596,0.856
1572985348417,2019-11-05T12:22:28.417,9.271,3.691,-2.069,2.745
1572985348457,2019-11-05T12:22:28.457,9.311,2.512,-2.770,3.522
1572985348496,2019-11-05T12:22:28.496,9.350,3.081,-0.196,3.278
1572985348537,2019-11-05T12:22:28.537,9.391,3.665,-1.825,3.985
1572985348577,2019-11-05T12:22:28.577,9.431,3.789,-0.917,0.695
1572985348618,2019-11-05T12:22:28.618,9.472,-9.958,1.930,-3.811
1572985348657,2019-11-05T12:22:28.657,9.511,-4.114,1.547,-0.650
1572985348697,2019-11-05T12:22:28.697,9.551,-2.134,-0.590,-0.093
1572985348738,2019-11-05T12:22:28.738,9.592,-1.192,1.890,-0.728
1572985348777,2019-11-05T12:22:28.777,9.631,0.052,-2.108,0.789
1572985348818,2019-11-05T12:22:28.818,9.672,0.924,-2.944,0.410
1572985348858,2019-11-05T12:22:28.858,9.712,2.194,0.504,0.281
1572985348897,2019-11-05T12:22:28.897,9.751,1.684,1.477,0.063
1572985348938,2019-11-05T12:22:28.938,9.792,1.406,1.607,-0.030
1572985348978,2019-11-05T12:22:28.978,9.832,1.749,0.131,1.838
1572985349019,2019-11-05T12:22:29.019,9.873,-1.481,-6.440,-0.759
1572985349059,2019-11-05T12:22:29.059,9.913,-1.385,-9.558,-1.386
1572985349098,2019-11-05T12:22:29.098,9.952,3.706,-0.977,0.348
1572985349139,2019-11-05T12:22:29.139,9.993,4.013,4.245,-2.436
1572985349179,2019-11-05T12:22:29.179,10.033,-9.979,1.736,-4.277
1572985349220,2019-11-05T12:22:29.220,10.074,-2.569,0.968,1.883
1572985349259,2019-11-05T12:22:29.259,10.113,-1.477,0.192,1.201
1572985349299,2019-11-05T12:22:29.299,10.153,-2.640,0.209,-1.477
1572985349340,2019-11-05T12:22:29.340,10.194,-0.760,-0.542,0.177
1572985349379,2019-11-05T12:22:29.379,10.233,0.881,-1.324,0.511
1572985349420,2019-11-05T12:22:29.420,10.274,1.487,-0.472,0.300
1572985349460,2019-11-05T12:22:29.460,10.314,1.661,1.216,0.153
1572985349500,2019-11-05T12:22:29.500,10.354,1.410,0.869,0.169
1572985349541,2019-11-05T12:22:29.541,10.395,1.881,-0.661,0.724
1572985349580,2019-11-05T12:22:29.580,10.434,-0.034,-5.307,-0.050
1572985349621,2019-11-05T12:22:29.621,10.475,-1.941,-8.781,-0.691
1572985349661,2019-11-05T12:22:29.661,10.515,1.255,-3.524,2.899
1572985349700,2019-11-05T12:22:29.700,10.554,5.233,1.964,2.236
1572985349741,2019-11-05T12:22:29.741,10.595,-4.644,1.964,-3.240
1572985349781,2019-11-05T12:22:29.781,10.635,-7.710,1.466,-2.145
1572985349820,2019-11-05T12:22:29.820,10.674,-1.308,1.545,1.311
1572985349861,2019-11-05T12:22:29.861,10.715,-3.516,0.385,-1.994
1572985349901,2019-11-05T12:22:29.901,10.755,0.000,1.231,-1.065
1572985349942,2019-11-05T12:22:29.942,10.796,1.007,-3.928,0.381
1572985349981,2019-11-05T12:22:29.981,10.835,2.043,-1.304,0.734
1572985350021,2019-11-05T12:22:30.021,10.875,2.336,1.146,0.517
1572985350062,2019-11-05T12:22:30.062,10.916,2.196,0.422,0.887
1572985350102,2019-11-05T12:22:30.102,10.956,1.974,-1.188,2.342
1572985350143,2019-11-05T12:22:30.143,10.997,-1.788,-5.849,0.526
1572985350182,2019-11-05T12:22:30.182,11.036,-1.406,-8.321,1.590
1572985350222,2019-11-05T12:22:30.222,11.076,4.979,0.900,1.431
1572985350263,2019-11-05T12:22:30.263,11.117,1.242,1.830,-3.132
1572985350302,2019-11-05T12:22:30.302,11.156,-9.204,1.440,-2.828
1572985350343,2019-11-05T12:22:30.343,11.197,-2.469,1.943,2.781
1572985350383,2019-11-05T12:22:30.383,11.237,-1.714,1.126,-0.804
1572985350422,2019-11-05T12:22:30.422,11.276,-1.512,-0.938,-1.343
1572985350463,2019-11-05T12:22:30.463,11.317,-0.272,-3.227,0.063
1572985350503,2019-11-05T12:22:30.503,11.357,2.259,-0.933,-0.078
1572985350544,2019-11-05T12:22:30.544,11.398,2.642,0.761,0.336
1572985350583,2019-11-05T12:22:30.583,11.437,1.366,0.741,0.425
1572985350623,2019-11-05T12:22:30.623,11.477,0.942,0.187,0.955
1572985350664,2019-11-05T12:22:30.664,11.518,0.140,-2.709,1.253
1572985350704,2019-11-05T12:22:30.704,11.558,-1.387,-8.866,0.154
1572985350745,2019-11-05T12:22:30.745,11.599,0.659,-4.790,2.479
1572985350784,2019-11-05T12:22:30.784,11.638,6.504,3.293,1.630
1572985350824,2019-11-05T12:22:30.824,11.678,1.718,1.295,-1.726
1572985350865,2019-11-05T12:22:30.865,11.719,-10.774,2.339,-4.740
1572985350904,2019-11-05T12:22:30.904,11.758,-1.966,0.541,1.491
1572985350945,2019-11-05T12:22:30.945,11.799,-1.386,1.350,-0.459
1572985350985,2019-11-05T12:22:30.985,11.839,-2.218,-0.771,-1.066
1572985351024,2019-11-05T12:22:31.024,11.878,0.148,-2.320,0.093
1572985351065,2019-11-05T12:22:31.065,11.919,2.280,-1.057,0.673
1572985351105,2019-11-05T12:22:31.105,11.959,2.018,-0.139,0.936
1572985351146,2019-11-05T12:22:31.146,12.000,0.986,0.292,0.864
1572985351186,2019-11-05T12:22:31.186,12.040,-0.095,-2.174,1.171
1572985351225,2019-11-05T12:22:31.225,12.079,-0.705,-6.671,0.593
1572985351266,2019-11-05T12:22:31.266,12.120,0.964,-6.388,2.204
1572985351306,2019-11-05T12:22:31.306,12.160,3.934,0.639,3.194
1572985351347,2019-11-05T12:22:31.347,12.201,4.740,1.849,1.234
1572985351386,2019-11-05T12:22:31.386,12.240,-10.396,1.795,-5.280
1572985351426,2019-11-05T12:22:31.426,12.280,-3.743,0.159,1.940
1572985351467,2019-11-05T12:22:31.467,12.321,-1.998,0.163,0.331
1572985351506,2019-11-05T12:22:31.506,12.360,-1.464,2.354,-3.401
1572985351547,2019-11-05T12:22:31.547,12.401,0.247,-1.428,-1.042
1572985351587,2019-11-05T12:22:31.587,12.441,2.003,-2.412,0.749
1572985351626,2019-11-05T12:22:31.626,12.480,1.807,-3.079,2.111
1572985351667,2019-11-05T12:22:31.667,12.521,0.878,-4.408,2.772
1572985351707,2019-11-05T12:22:31.707,12.561,0.720,-4.649,3.119
1572985351748,2019-11-05T12:22:31.748,12.602,2.337,-2.263,3.947
1572985351788,2019-11-05T12:22:31.788,12.642,6.328,1.106,2.043
1572985351827,2019-11-05T12:22:31.827,12.681,-1.525,0.267,-2.740
1572985351868,2019-11-05T12:22:31.868,12.722,-6.054,2.247,-2.068
1572985351908,2019-11-05T12:22:31.908,12.762,-1.970,-0.178,2.599
1572985351949,2019-11-05T12:22:31.949,12.803,-1.668,-1.248,-2.023
1572985351988,2019-11-05T12:22:31.988,12.842,1.022,0.812,-1.644
1572985352028,2019-11-05T12:22:32.028,12.882,0.721,-0.482,0.574
1572985352069,2019-11-05T12:22:32.069,12.923,0.185,-1.026,0.571
1572985352108,2019-11-05T12:22:32.108,12.962,-0.216,-0.568,0.533
1572985352149,2019-11-05T12:22:32.149,13.003,-0.762,-0.582,0.808
