epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572985339065,2019-11-05T12:22:19.065,0.000,-39.329,231.707,-93.354
1572985339105,2019-11-05T12:22:19.105,0.040,-30.183,237.988,-91.159
1572985339146,2019-11-05T12:22:19.146,0.081,101.037,247.500,-89.268
1572985339186,2019-11-05T12:22:19.186,0.121,242.500,224.024,-128.171
1572985339227,2019-11-05T12:22:19.227,0.162,129.634,193.171,-175.671
1572985339266,2019-11-05T12:22:19.266,0.201,99.268,108.354,-183.659
1572985339306,2019-11-05T12:22:19.306,0.241,58.476,13.354,-163.354
1572985339347,2019-11-05T12:22:19.347,0.282,-43.902,9.146,-117.561
1572985339386,2019-11-05T12:22:19.386,0.321,32.988,15.671,-68.598
1572985339427,2019-11-05T12:22:19.427,0.362,54.939,8.598,-34.878
1572985339467,2019-11-05T12:22:19.467,0.402,-2.805,7.012,-18.963
1572985339506,2019-11-05T12:22:19.506,0.441,11.585,2.500,-10.610
1572985339547,2019-11-05T12:22:19.547,0.482,30.427,0.976,-2.134
1572985339587,2019-11-05T12:22:19.587,0.522,3.780,1.463,1.220
1572985339628,2019-11-05T12:22:19.628,0.563,4.085,-2.500,3.415
1572985339667,2019-11-05T12:22:19.667,0.602,7.866,-2.134,6.951
1572985339707,2019-11-05T12:22:19.707,0.642,5.244,-2.256,10.793
1572985339748,2019-11-05T12:22:19.748,0.683,7.256,-7.744,17.805
1572985339788,2019-11-05T12:22:19.788,0.723,-0.061,-7.195,26.037
1572985339829,2019-11-05T12:22:19.829,0.764,2.134,-5.793,30.793
1572985339868,2019-11-05T12:22:19.868,0.803,20.671,-3.354,30.610
1572985339908,2019-11-05T12:22:19.908,0.843,14.573,0.427,28.171
1572985339949,2019-11-05T12:22:19.949,0.884,-4.207,-2.805,25.732
1572985339988,2019-11-05T12:22:19.988,0.923,-18.720,-6.280,20.915
1572985340029,2019-11-05T12:22:20.029,0.964,-8.780,-4.573,11.951
1572985340069,2019-11-05T12:22:20.069,1.004,3.232,1.037,4.939
1572985340108,2019-11-05T12:22:20.108,1.043,-7.988,6.707,-4.024
1572985340149,2019-11-05T12:22:20.149,1.084,-4.329,3.598,-3.415
1572985340190,2019-11-05T12:22:20.190,1.125,0.549,-0.976,1.585
1572985340230,2019-11-05T12:22:20.230,1.165,-3.902,-1.037,5.366
1572985340270,2019-11-05T12:22:20.270,1.205,-10.366,-0.366,8.659
1572985340311,2019-11-05T12:22:20.311,1.246,-14.390,-0.549,9.207
1572985340350,2019-11-05T12:22:20.350,1.285,-19.634,0.793,10.183
1572985340390,2019-11-05T12:22:20.390,1.325,-8.110,-0.183,8.171
1572985340431,2019-11-05T12:22:20.431,1.366,-14.024,1.585,7.317
1572985340470,2019-11-05T12:22:20.470,1.405,-23.780,3.537,4.756
1572985340510,2019-11-05T12:22:20.510,1.445,-2.622,0.366,4.085
1572985340551,2019-11-05T12:22:20.551,1.486,-2.805,1.280,4.939
1572985340590,2019-11-05T12:22:20.590,1.525,-5.427,0.000,5.183
1572985340631,2019-11-05T12:22:20.631,1.566,1.524,-3.537,7.500
1572985340671,2019-11-05T12:22:20.671,1.606,-2.988,-3.049,8.598
1572985340710,2019-11-05T12:22:20.710,1.645,0.183,-2.134,6.829
1572985340751,2019-11-05T12:22:20.751,1.686,5.122,-2.439,6.768
1572985340791,2019-11-05T12:22:20.791,1.726,-0.976,-1.402,8.171
1572985340832,2019-11-05T12:22:20.832,1.767,-10.427,-0.366,8.902
1572985340872,2019-11-05T12:22:20.872,1.807,-13.232,-2.866,9.390
1572985340911,2019-11-05T12:22:20.911,1.846,-15.061,-2.866,12.134
1572985340952,2019-11-05T12:22:20.952,1.887,-12.805,0.244,13.963
1572985340992,2019-11-05T12:22:20.992,1.927,-11.646,1.890,11.646
1572985341033,2019-11-05T12:22:21.033,1.968,-13.232,-0.122,10.366
1572985341072,2019-11-05T12:22:21.072,2.007,-13.902,-3.293,10.183
1572985341112,2019-11-05T12:22:21.112,2.047,-11.159,-5.976,12.073
1572985341153,2019-11-05T12:22:21.153,2.088,-13.171,-4.329,13.963
1572985341192,2019-11-05T12:22:21.192,2.127,-14.146,-4.573,14.634
1572985341233,2019-11-05T12:22:21.233,2.168,-3.841,-8.963,11.037
1572985341273,2019-11-05T12:22:21.273,2.208,3.841,-9.939,3.171
1572985341313,2019-11-05T12:22:21.313,2.248,-1.768,-7.134,-4.756
1572985341354,2019-11-05T12:22:21.354,2.289,13.476,-10.427,-5.793
1572985341393,2019-11-05T12:22:21.393,2.328,19.451,-10.549,-7.073
1572985341434,2019-11-05T12:22:21.434,2.369,3.232,-8.232,-7.012
1572985341474,2019-11-05T12:22:21.474,2.409,2.256,-10.122,-8.049
1572985341513,2019-11-05T12:22:21.513,2.448,13.110,-10.366,-12.622
1572985341554,2019-11-05T12:22:21.554,2.489,19.085,-9.207,-20.061
1572985341594,2019-11-05T12:22:21.594,2.529,23.354,-11.341,-20.244
1572985341635,2019-11-05T12:22:21.635,2.570,30.488,-17.073,-14.024
1572985341674,2019-11-05T12:22:21.674,2.609,36.524,-21.280,-12.439
1572985341714,2019-11-05T12:22:21.714,2.649,16.829,-16.829,-10.610
1572985341755,2019-11-05T12:22:21.755,2.690,1.098,-10.000,-10.854
1572985341794,2019-11-05T12:22:21.794,2.729,2.622,-6.037,-11.829
1572985341835,2019-11-05T12:22:21.835,2.770,6.890,-2.744,-8.780
1572985341875,2019-11-05T12:22:21.875,2.810,-3.171,0.793,-7.317
1572985341915,2019-11-05T12:22:21.915,2.850,-4.268,2.439,-10.488
1572985341956,2019-11-05T12:22:21.956,2.891,3.354,4.451,-13.415
1572985341995,2019-11-05T12:22:21.995,2.930,2.073,4.939,-13.049
1572985342035,2019-11-05T12:22:22.035,2.970,4.756,-0.488,-7.317
1572985342076,2019-11-05T12:22:22.076,3.011,-1.646,-3.049,1.341
1572985342115,2019-11-05T12:22:22.115,3.050,-8.476,-2.500,3.902
1572985342156,2019-11-05T12:22:22.156,3.091,-1.890,-3.841,3.171
1572985342196,2019-11-05T12:22:22.196,3.131,-2.073,-3.476,1.037
1572985342235,2019-11-05T12:22:22.235,3.170,-6.159,-1.890,0.122
