epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572985470888,2019-11-05T12:24:30.888,0.000,0.390,0.249,0.828
1572985470929,2019-11-05T12:24:30.929,0.041,0.313,0.316,0.873
1572985470969,2019-11-05T12:24:30.969,0.081,0.386,0.576,0.822
1572985471010,2019-11-05T12:24:31.010,0.122,0.370,0.521,0.831
1572985471049,2019-11-05T12:24:31.049,0.161,0.234,0.377,0.850
1572985471089,2019-11-05T12:24:31.089,0.201,0.210,0.517,0.931
1572985471130,2019-11-05T12:24:31.130,0.242,0.217,0.640,0.910
1572985471170,2019-11-05T12:24:31.170,0.282,0.129,0.509,0.893
1572985471211,2019-11-05T12:24:31.211,0.323,0.165,0.526,0.864
1572985471250,2019-11-05T12:24:31.250,0.362,0.213,0.561,0.833
1572985471290,2019-11-05T12:24:31.290,0.402,0.164,0.588,0.831
1572985471331,2019-11-05T12:24:31.331,0.443,0.129,0.610,0.814
1572985471370,2019-11-05T12:24:31.370,0.482,0.031,0.417,0.857
1572985471411,2019-11-05T12:24:31.411,0.523,-0.031,0.327,0.907
1572985471451,2019-11-05T12:24:31.451,0.563,-0.013,0.260,0.977
1572985471490,2019-11-05T12:24:31.490,0.602,-0.009,0.350,0.936
1572985471531,2019-11-05T12:24:31.531,0.643,0.056,0.478,0.974
1572985471571,2019-11-05T12:24:31.571,0.683,0.013,0.425,0.894
1572985471610,2019-11-05T12:24:31.610,0.722,-0.061,0.426,0.923
1572985471651,2019-11-05T12:24:31.651,0.763,-0.030,0.472,0.922
1572985471691,2019-11-05T12:24:31.691,0.803,0.108,0.425,0.915
1572985471732,2019-11-05T12:24:31.732,0.844,0.053,-0.027,0.990
1572985471772,2019-11-05T12:24:31.772,0.884,-0.088,-0.208,1.009
1572985471811,2019-11-05T12:24:31.811,0.923,-0.122,-0.351,1.012
1572985471852,2019-11-05T12:24:31.852,0.964,-0.196,-0.725,0.915
1572985471892,2019-11-05T12:24:31.892,1.004,-0.275,-0.813,0.910
1572985471933,2019-11-05T12:24:31.933,1.045,-0.306,-0.802,0.879
1572985471972,2019-11-05T12:24:31.972,1.084,-0.205,-0.676,0.831
1572985472012,2019-11-05T12:24:32.012,1.124,-0.130,-0.523,0.765
1572985472053,2019-11-05T12:24:32.053,1.165,-0.140,-0.576,0.657
1572985472092,2019-11-05T12:24:32.092,1.204,-0.185,-0.598,0.487
1572985472133,2019-11-05T12:24:32.133,1.245,-0.249,-0.915,0.278
1572985472173,2019-11-05T12:24:32.173,1.285,-0.066,-0.937,0.207
1572985472212,2019-11-05T12:24:32.212,1.324,-0.069,-1.240,0.366
1572985472254,2019-11-05T12:24:32.254,1.366,0.107,-1.034,0.453
1572985472293,2019-11-05T12:24:32.293,1.405,0.159,-0.671,0.696
1572985472334,2019-11-05T12:24:32.334,1.446,-0.055,-1.013,0.804
1572985472374,2019-11-05T12:24:32.374,1.486,-0.283,-1.213,0.412
1572985472413,2019-11-05T12:24:32.413,1.525,-0.130,-0.809,0.350
1572985472454,2019-11-05T12:24:32.454,1.566,-0.018,-0.593,0.475
1572985472494,2019-11-05T12:24:32.494,1.606,-0.057,-1.042,0.277
1572985472535,2019-11-05T12:24:32.535,1.647,-0.133,-1.053,0.368
1572985472574,2019-11-05T12:24:32.574,1.686,-0.128,-0.887,0.337
1572985472614,2019-11-05T12:24:32.614,1.726,-0.090,-0.914,0.341
1572985472655,2019-11-05T12:24:32.655,1.767,-0.066,-0.997,0.383
1572985472694,2019-11-05T12:24:32.694,1.806,-0.143,-1.010,0.343
1572985472735,2019-11-05T12:24:32.735,1.847,-0.102,-0.882,0.410
1572985472775,2019-11-05T12:24:32.775,1.887,-0.068,-0.901,0.350
1572985472815,2019-11-05T12:24:32.815,1.927,-0.039,-0.922,0.323
1572985472856,2019-11-05T12:24:32.856,1.968,-0.082,-0.995,0.339
1572985472895,2019-11-05T12:24:32.895,2.007,-0.084,-1.001,0.280
1572985472936,2019-11-05T12:24:32.936,2.048,-0.072,-0.908,0.316
1572985472976,2019-11-05T12:24:32.976,2.088,-0.074,-0.911,0.313
1572985473015,2019-11-05T12:24:33.015,2.127,-0.082,-0.929,0.338
1572985473056,2019-11-05T12:24:33.056,2.168,-0.065,-0.915,0.385
1572985473096,2019-11-05T12:24:33.096,2.208,-0.044,-0.972,0.345
1572985473137,2019-11-05T12:24:33.137,2.249,-0.051,-0.946,0.390
1572985473176,2019-11-05T12:24:33.176,2.288,-0.077,-0.934,0.338
1572985473216,2019-11-05T12:24:33.216,2.328,-0.086,-0.917,0.414
1572985473257,2019-11-05T12:24:33.257,2.369,-0.051,-0.977,0.417
1572985473296,2019-11-05T12:24:33.296,2.408,-0.089,-0.936,0.364
1572985473337,2019-11-05T12:24:33.337,2.449,-0.036,-0.848,0.421
1572985473377,2019-11-05T12:24:33.377,2.489,-0.076,-0.915,0.432
1572985473417,2019-11-05T12:24:33.417,2.529,-0.075,-0.943,0.451
1572985473458,2019-11-05T12:24:33.458,2.570,-0.059,-0.913,0.458
1572985473497,2019-11-05T12:24:33.497,2.609,-0.079,-0.909,0.510
1572985473538,2019-11-05T12:24:33.538,2.650,-0.015,-0.850,0.567
1572985473578,2019-11-05T12:24:33.578,2.690,-0.056,-0.790,0.583
1572985473617,2019-11-05T12:24:33.617,2.729,0.025,-0.738,0.568
1572985473658,2019-11-05T12:24:33.658,2.770,0.055,-0.747,0.590
1572985473698,2019-11-05T12:24:33.698,2.810,-0.016,-0.820,0.398
1572985473739,2019-11-05T12:24:33.739,2.851,0.052,-0.659,0.481
1572985473778,2019-11-05T12:24:33.778,2.890,0.049,-0.840,0.359
1572985473818,2019-11-05T12:24:33.818,2.930,-0.087,-1.146,0.015
1572985473859,2019-11-05T12:24:33.859,2.971,0.010,-1.023,0.294
1572985473899,2019-11-05T12:24:33.899,3.011,-0.049,-0.962,0.007
1572985473940,2019-11-05T12:24:33.940,3.052,-0.032,-1.087,0.147
1572985473979,2019-11-05T12:24:33.979,3.091,-0.028,-1.142,0.143
1572985474019,2019-11-05T12:24:34.019,3.131,-0.038,-1.009,0.097
1572985474060,2019-11-05T12:24:34.060,3.172,-0.031,-0.930,0.138
1572985474099,2019-11-05T12:24:34.099,3.211,-0.053,-1.046,0.114
1572985474139,2019-11-05T12:24:34.139,3.251,-0.025,-0.976,0.149
1572985474180,2019-11-05T12:24:34.180,3.292,-0.076,-0.990,0.067
1572985474219,2019-11-05T12:24:34.219,3.331,-0.020,-0.965,0.197
1572985474260,2019-11-05T12:24:34.260,3.372,-0.038,-0.976,0.054
1572985474300,2019-11-05T12:24:34.300,3.412,-0.016,-0.952,0.129
1572985474339,2019-11-05T12:24:34.339,3.451,-0.040,-1.033,0.106
1572985474380,2019-11-05T12:24:34.380,3.492,-0.049,-0.996,0.081
1572985474420,2019-11-05T12:24:34.420,3.532,-0.017,-1.027,0.095
1572985474461,2019-11-05T12:24:34.461,3.573,-0.029,-1.016,0.069
1572985474501,2019-11-05T12:24:34.501,3.613,-0.009,-0.990,0.159
1572985474540,2019-11-05T12:24:34.540,3.652,-0.035,-1.037,0.077
1572985474581,2019-11-05T12:24:34.581,3.693,-0.012,-0.936,0.112
1572985474621,2019-11-05T12:24:34.621,3.733,-0.007,-0.961,0.164
1572985474662,2019-11-05T12:24:34.662,3.774,-0.039,-0.963,0.057
1572985474701,2019-11-05T12:24:34.701,3.813,-0.004,-0.939,0.224
1572985474741,2019-11-05T12:24:34.741,3.853,-0.028,-1.019,0.051
