epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572999597817,2019-11-05T16:19:57.817,0.000,1.098,0.061,1.220
1572999597856,2019-11-05T16:19:57.856,0.039,0.610,-0.122,1.220
1572999597897,2019-11-05T16:19:57.897,0.080,-0.122,-0.610,1.524
1572999597937,2019-11-05T16:19:57.937,0.120,-2.988,-0.244,1.220
1572999597977,2019-11-05T16:19:57.977,0.160,-1.768,0.122,1.220
1572999598018,2019-11-05T16:19:58.018,0.201,-0.122,0.183,1.280
1572999598057,2019-11-05T16:19:58.057,0.240,0.671,0.366,0.976
1572999598098,2019-11-05T16:19:58.098,0.281,1.098,-0.183,0.366
1572999598138,2019-11-05T16:19:58.138,0.321,1.524,-0.976,-0.305
1572999598177,2019-11-05T16:19:58.177,0.360,1.585,-1.768,-0.854
1572999598218,2019-11-05T16:19:58.218,0.401,0.061,-2.256,-1.159
1572999598258,2019-11-05T16:19:58.258,0.441,0.732,-2.073,-1.768
1572999598299,2019-11-05T16:19:58.299,0.482,0.427,-1.463,-1.829
1572999598338,2019-11-05T16:19:58.338,0.521,1.037,-1.280,-1.220
1572999598378,2019-11-05T16:19:58.378,0.561,1.463,-1.159,-0.610
1572999598419,2019-11-05T16:19:58.419,0.602,2.012,-0.793,-0.488
1572999598458,2019-11-05T16:19:58.458,0.641,2.927,-0.244,0.061
1572999598499,2019-11-05T16:19:58.499,0.682,2.012,0.366,0.061
1572999598539,2019-11-05T16:19:58.539,0.722,0.000,0.488,-0.183
1572999598579,2019-11-05T16:19:58.579,0.762,-0.183,-0.671,-0.793
1572999598620,2019-11-05T16:19:58.620,0.803,0.488,-1.159,-1.220
1572999598659,2019-11-05T16:19:58.659,0.842,2.927,-1.463,-1.646
1572999598700,2019-11-05T16:19:58.700,0.883,3.171,-1.402,-1.890
1572999598740,2019-11-05T16:19:58.740,0.923,2.317,-0.671,-1.829
1572999598779,2019-11-05T16:19:58.779,0.962,2.317,-0.061,-1.402
1572999598820,2019-11-05T16:19:58.820,1.003,2.622,0.183,-0.671
1572999598860,2019-11-05T16:19:58.860,1.043,2.744,0.183,-0.366
1572999598901,2019-11-05T16:19:58.901,1.084,2.012,0.183,-0.366
1572999598940,2019-11-05T16:19:58.940,1.123,0.488,-0.244,-0.793
1572999598980,2019-11-05T16:19:58.980,1.163,-0.549,-0.488,-1.159
1572999599021,2019-11-05T16:19:59.021,1.204,-0.366,0.122,-1.280
1572999599061,2019-11-05T16:19:59.061,1.244,0.488,1.646,-1.829
1572999599100,2019-11-05T16:19:59.100,1.283,1.585,2.744,-3.171
1572999599141,2019-11-05T16:19:59.141,1.324,4.329,2.134,-3.110
1572999599181,2019-11-05T16:19:59.181,1.364,6.890,0.488,-1.768
1572999599222,2019-11-05T16:19:59.222,1.405,6.220,-0.793,-0.915
1572999599261,2019-11-05T16:19:59.261,1.444,4.634,-1.098,-0.366
1572999599301,2019-11-05T16:19:59.301,1.484,1.220,-0.183,-0.305
1572999599342,2019-11-05T16:19:59.342,1.525,-1.220,0.915,-1.037
1572999599381,2019-11-05T16:19:59.381,1.564,-1.890,1.280,-1.463
1572999599422,2019-11-05T16:19:59.422,1.605,-1.159,0.305,-0.305
1572999599462,2019-11-05T16:19:59.462,1.645,0.183,-0.793,1.280
1572999599503,2019-11-05T16:19:59.503,1.686,0.061,-0.915,1.280
1572999599542,2019-11-05T16:19:59.542,1.725,-0.244,-0.366,-0.061
1572999599582,2019-11-05T16:19:59.582,1.765,0.305,0.000,-0.122
1572999599623,2019-11-05T16:19:59.623,1.806,0.793,-0.061,0.244
1572999599663,2019-11-05T16:19:59.663,1.846,1.890,-0.122,0.305
1572999599702,2019-11-05T16:19:59.702,1.885,1.768,-0.122,0.122
1572999599743,2019-11-05T16:19:59.743,1.926,1.037,-0.183,-0.610
1572999599783,2019-11-05T16:19:59.783,1.966,1.707,-0.122,-1.524
1572999599824,2019-11-05T16:19:59.824,2.007,2.500,0.000,-1.463
1572999599863,2019-11-05T16:19:59.863,2.046,3.659,-0.122,-0.122
1572999599903,2019-11-05T16:19:59.903,2.086,4.024,-0.915,0.854
1572999599944,2019-11-05T16:19:59.944,2.127,-1.829,-0.244,1.768
1572999599983,2019-11-05T16:19:59.983,2.166,-18.171,3.354,2.988
1572999600024,2019-11-05T16:20:00.024,2.207,-21.646,3.598,5.183
1572999600064,2019-11-05T16:20:00.064,2.247,-3.598,-2.317,6.037
1572999600105,2019-11-05T16:20:00.105,2.288,8.049,-6.341,5.061
1572999600145,2019-11-05T16:20:00.145,2.328,15.549,-8.293,2.866
1572999600184,2019-11-05T16:20:00.184,2.367,19.634,-5.488,-0.244
1572999600225,2019-11-05T16:20:00.225,2.408,-0.122,1.585,-3.110
1572999600265,2019-11-05T16:20:00.265,2.448,-7.134,4.207,-3.902
1572999600304,2019-11-05T16:20:00.304,2.487,-6.037,3.476,-1.463
1572999600345,2019-11-05T16:20:00.345,2.528,-2.378,1.402,0.915
1572999600385,2019-11-05T16:20:00.385,2.568,-0.244,-0.793,1.524
1572999600426,2019-11-05T16:20:00.426,2.609,0.671,-1.463,0.122
1572999600465,2019-11-05T16:20:00.465,2.648,3.110,-0.793,-0.183
1572999600505,2019-11-05T16:20:00.505,2.688,5.122,-0.915,0.427
1572999600546,2019-11-05T16:20:00.546,2.729,3.293,-1.037,0.793
1572999600585,2019-11-05T16:20:00.585,2.768,1.402,-1.159,1.402
1572999600626,2019-11-05T16:20:00.626,2.809,0.000,-1.159,1.585
1572999600666,2019-11-05T16:20:00.666,2.849,-0.671,-1.098,1.829
1572999600706,2019-11-05T16:20:00.706,2.889,0.488,-0.915,1.890
1572999600747,2019-11-05T16:20:00.747,2.930,1.463,-0.854,1.890
1572999600786,2019-11-05T16:20:00.786,2.969,2.012,-0.854,1.585
1572999600826,2019-11-05T16:20:00.826,3.009,2.683,-0.854,1.463
1572999600867,2019-11-05T16:20:00.867,3.050,3.415,-0.671,1.037
1572999600906,2019-11-05T16:20:00.906,3.089,2.866,-0.671,0.610
1572999600947,2019-11-05T16:20:00.947,3.130,0.366,-0.122,0.549
1572999600987,2019-11-05T16:20:00.987,3.170,-1.037,0.122,-0.305
1572999601026,2019-11-05T16:20:01.026,3.209,-0.793,-0.183,-0.610
1572999601067,2019-11-05T16:20:01.067,3.250,-0.305,0.244,-0.427
1572999601107,2019-11-05T16:20:01.107,3.290,1.280,0.244,-0.427
1572999601148,2019-11-05T16:20:01.148,3.331,2.134,-0.061,-0.122
1572999601187,2019-11-05T16:20:01.187,3.370,2.500,-0.427,0.427
1572999601227,2019-11-05T16:20:01.227,3.410,1.280,-0.244,0.915
1572999601268,2019-11-05T16:20:01.268,3.451,-1.280,0.427,0.671
1572999601308,2019-11-05T16:20:01.308,3.491,-1.037,0.183,0.000
1572999601349,2019-11-05T16:20:01.349,3.532,-0.244,-0.183,0.000
1572999601388,2019-11-05T16:20:01.388,3.571,0.488,-0.732,0.244
1572999601428,2019-11-05T16:20:01.428,3.611,-0.061,-1.768,0.122
1572999601469,2019-11-05T16:20:01.469,3.652,-1.341,-1.646,-0.122
1572999601508,2019-11-05T16:20:01.508,3.691,-1.280,-0.793,0.122
1572999601549,2019-11-05T16:20:01.549,3.732,0.549,0.305,0.427
1572999601589,2019-11-05T16:20:01.589,3.772,0.427,0.366,-0.183
1572999601628,2019-11-05T16:20:01.628,3.811,0.183,0.305,-0.732
1572999601669,2019-11-05T16:20:01.669,3.852,0.122,0.427,-0.488
1572999601709,2019-11-05T16:20:01.709,3.892,-0.183,-0.122,-0.793
1572999601750,2019-11-05T16:20:01.750,3.933,-0.488,-0.183,-0.732
1572999601790,2019-11-05T16:20:01.790,3.973,-2.256,-0.793,-0.244
1572999601829,2019-11-05T16:20:01.829,4.012,-4.939,-0.427,0.732
1572999601870,2019-11-05T16:20:01.870,4.053,-1.402,-1.098,1.951
1572999601910,2019-11-05T16:20:01.910,4.093,1.890,-1.402,2.134
1572999601951,2019-11-05T16:20:01.951,4.134,1.768,-0.854,1.341
1572999601990,2019-11-05T16:20:01.990,4.173,-1.402,-1.037,0.305
1572999602030,2019-11-05T16:20:02.030,4.213,-3.171,-0.671,0.427
1572999602071,2019-11-05T16:20:02.071,4.254,-2.622,-0.305,1.463
1572999602110,2019-11-05T16:20:02.110,4.293,-3.598,0.122,1.890
1572999602151,2019-11-05T16:20:02.151,4.334,-3.232,0.061,1.829
1572999602191,2019-11-05T16:20:02.191,4.374,-1.829,-0.793,1.585
1572999602230,2019-11-05T16:20:02.230,4.413,-0.854,-1.341,1.402
1572999602271,2019-11-05T16:20:02.271,4.454,-1.341,-1.159,1.159
1572999602311,2019-11-05T16:20:02.311,4.494,-1.098,-0.854,1.280
1572999602351,2019-11-05T16:20:02.351,4.534,0.549,-0.976,1.159
1572999602392,2019-11-05T16:20:02.392,4.575,1.707,-1.341,0.854
1572999602431,2019-11-05T16:20:02.431,4.614,-0.305,-0.732,0.671
1572999602472,2019-11-05T16:20:02.472,4.655,-1.098,0.305,0.549
1572999602512,2019-11-05T16:20:02.512,4.695,-0.366,0.610,0.854
1572999602551,2019-11-05T16:20:02.551,4.734,0.793,0.488,0.854
1572999602592,2019-11-05T16:20:02.592,4.775,1.159,0.488,0.915
1572999602632,2019-11-05T16:20:02.632,4.815,-1.037,0.000,0.671
1572999602673,2019-11-05T16:20:02.673,4.856,-2.805,-0.305,0.732
1572999602712,2019-11-05T16:20:02.712,4.895,-1.768,-0.427,1.098
1572999602752,2019-11-05T16:20:02.752,4.935,1.402,-0.976,1.098
1572999602793,2019-11-05T16:20:02.793,4.976,2.439,-1.159,0.427
1572999602832,2019-11-05T16:20:02.832,5.015,1.341,-0.671,-0.488
1572999602874,2019-11-05T16:20:02.874,5.057,0.854,-0.061,-0.976
1572999602913,2019-11-05T16:20:02.913,5.096,0.976,0.244,-1.098
1572999602953,2019-11-05T16:20:02.953,5.136,2.073,-0.061,-0.488
1572999602994,2019-11-05T16:20:02.994,5.177,-0.549,-0.061,0.000
1572999603033,2019-11-05T16:20:03.033,5.216,-1.890,0.000,0.305
1572999603074,2019-11-05T16:20:03.074,5.257,-1.768,0.183,0.549
1572999603114,2019-11-05T16:20:03.114,5.297,-3.110,-0.488,0.793
1572999603153,2019-11-05T16:20:03.153,5.336,-0.366,-1.829,1.159
1572999603194,2019-11-05T16:20:03.194,5.377,2.073,-1.951,1.707
1572999603234,2019-11-05T16:20:03.234,5.417,2.500,-1.341,1.402
1572999603275,2019-11-05T16:20:03.275,5.458,6.524,-1.768,0.732
1572999603314,2019-11-05T16:20:03.314,5.497,3.598,-1.098,-0.061
1572999603354,2019-11-05T16:20:03.354,5.537,-2.439,-0.122,-0.122
1572999603395,2019-11-05T16:20:03.395,5.578,0.366,-1.098,0.061
1572999603435,2019-11-05T16:20:03.435,5.618,1.280,-0.854,-0.061
1572999603476,2019-11-05T16:20:03.476,5.659,-1.098,0.061,0.305
1572999603515,2019-11-05T16:20:03.515,5.698,0.793,-0.244,0.427
