epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573004768255,2019-11-05T17:46:08.255,0.000,-0.398,-0.364,0.874
1573004768295,2019-11-05T17:46:08.295,0.040,-0.397,-0.361,0.880
1573004768334,2019-11-05T17:46:08.334,0.079,-0.395,-0.359,0.877
1573004768375,2019-11-05T17:46:08.375,0.120,-0.397,-0.372,0.880
1573004768415,2019-11-05T17:46:08.415,0.160,-0.395,-0.362,0.880
1573004768456,2019-11-05T17:46:08.456,0.201,-0.389,-0.356,0.882
1573004768495,2019-11-05T17:46:08.495,0.240,-0.393,-0.363,0.883
1573004768535,2019-11-05T17:46:08.535,0.280,-0.393,-0.361,0.888
1573004768576,2019-11-05T17:46:08.576,0.321,-0.394,-0.355,0.882
1573004768615,2019-11-05T17:46:08.615,0.360,-0.389,-0.366,0.882
1573004768656,2019-11-05T17:46:08.656,0.401,-0.393,-0.371,0.883
1573004768696,2019-11-05T17:46:08.696,0.441,-0.397,-0.370,0.878
1573004768736,2019-11-05T17:46:08.736,0.481,-0.396,-0.366,0.880
1573004768777,2019-11-05T17:46:08.777,0.522,-0.396,-0.355,0.881
1573004768816,2019-11-05T17:46:08.816,0.561,-0.400,-0.360,0.878
1573004768857,2019-11-05T17:46:08.857,0.602,-0.400,-0.360,0.884
1573004768897,2019-11-05T17:46:08.897,0.642,-0.394,-0.371,0.889
1573004768936,2019-11-05T17:46:08.936,0.681,-0.398,-0.385,0.882
1573004768977,2019-11-05T17:46:08.977,0.722,-0.402,-0.383,0.874
1573004769017,2019-11-05T17:46:09.017,0.762,-0.397,-0.364,0.867
1573004769058,2019-11-05T17:46:09.058,0.803,-0.391,-0.354,0.867
1573004769097,2019-11-05T17:46:09.097,0.842,-0.398,-0.361,0.874
1573004769137,2019-11-05T17:46:09.137,0.882,-0.394,-0.364,0.879
1573004769178,2019-11-05T17:46:09.178,0.923,-0.395,-0.368,0.885
1573004769217,2019-11-05T17:46:09.217,0.962,-0.399,-0.378,0.886
1573004769258,2019-11-05T17:46:09.258,1.003,-0.403,-0.372,0.881
1573004769298,2019-11-05T17:46:09.298,1.043,-0.403,-0.369,0.875
1573004769338,2019-11-05T17:46:09.338,1.083,-0.398,-0.364,0.878
1573004769379,2019-11-05T17:46:09.379,1.124,-0.397,-0.359,0.884
1573004769418,2019-11-05T17:46:09.418,1.163,-0.394,-0.363,0.884
1573004769458,2019-11-05T17:46:09.458,1.203,-0.395,-0.372,0.882
1573004769499,2019-11-05T17:46:09.499,1.244,-0.396,-0.364,0.881
1573004769538,2019-11-05T17:46:09.538,1.283,-0.392,-0.363,0.881
1573004769579,2019-11-05T17:46:09.579,1.324,-0.392,-0.362,0.878
1573004769619,2019-11-05T17:46:09.619,1.364,-0.389,-0.357,0.880
1573004769660,2019-11-05T17:46:09.660,1.405,-0.392,-0.367,0.883
1573004769699,2019-11-05T17:46:09.699,1.444,-0.393,-0.367,0.888
1573004769739,2019-11-05T17:46:09.739,1.484,-0.395,-0.361,0.884
1573004769780,2019-11-05T17:46:09.780,1.525,-0.397,-0.366,0.875
1573004769820,2019-11-05T17:46:09.820,1.565,-0.399,-0.365,0.881
1573004769859,2019-11-05T17:46:09.859,1.604,-0.396,-0.366,0.886
1573004769900,2019-11-05T17:46:09.900,1.645,-0.397,-0.365,0.894
1573004769940,2019-11-05T17:46:09.940,1.685,-0.390,-0.358,0.893
1573004769981,2019-11-05T17:46:09.981,1.726,-0.393,-0.359,0.884
1573004770020,2019-11-05T17:46:10.020,1.765,-0.393,-0.368,0.878
1573004770060,2019-11-05T17:46:10.060,1.805,-0.393,-0.361,0.881
1573004770101,2019-11-05T17:46:10.101,1.846,-0.399,-0.368,0.878
1573004770140,2019-11-05T17:46:10.140,1.885,-0.406,-0.366,0.884
