epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573004768174,2019-11-05T17:46:08.174,0.000,1.707,-0.427,0.610
1573004768214,2019-11-05T17:46:08.214,0.040,1.585,-0.610,0.305
1573004768255,2019-11-05T17:46:08.255,0.081,1.707,0.061,0.183
1573004768295,2019-11-05T17:46:08.295,0.121,1.646,-0.061,0.183
1573004768336,2019-11-05T17:46:08.336,0.162,0.793,-0.244,0.366
1573004768375,2019-11-05T17:46:08.375,0.201,0.244,-0.427,0.610
1573004768415,2019-11-05T17:46:08.415,0.241,1.768,-0.488,0.244
1573004768456,2019-11-05T17:46:08.456,0.282,1.341,-0.305,-0.183
1573004768495,2019-11-05T17:46:08.495,0.321,-0.427,0.000,-0.061
1573004768535,2019-11-05T17:46:08.535,0.361,-0.854,0.305,0.122
1573004768576,2019-11-05T17:46:08.576,0.402,-0.976,0.732,0.244
1573004768615,2019-11-05T17:46:08.615,0.441,-1.585,0.671,0.610
1573004768656,2019-11-05T17:46:08.656,0.482,-2.012,0.610,0.732
1573004768696,2019-11-05T17:46:08.696,0.522,-0.488,0.488,0.793
1573004768736,2019-11-05T17:46:08.736,0.562,1.159,-0.183,0.549
1573004768777,2019-11-05T17:46:08.777,0.603,0.000,0.244,0.122
1573004768816,2019-11-05T17:46:08.816,0.642,-1.341,1.159,0.488
1573004768857,2019-11-05T17:46:08.857,0.683,-1.707,1.646,0.427
1573004768897,2019-11-05T17:46:08.897,0.723,-2.073,1.463,-0.061
1573004768936,2019-11-05T17:46:08.936,0.762,-1.951,0.915,0.244
1573004768977,2019-11-05T17:46:08.977,0.803,1.037,0.000,-0.061
1573004769017,2019-11-05T17:46:09.017,0.843,3.963,-1.098,0.183
1573004769058,2019-11-05T17:46:09.058,0.884,2.622,-0.610,0.122
1573004769097,2019-11-05T17:46:09.097,0.923,-0.488,0.488,-0.305
1573004769137,2019-11-05T17:46:09.137,0.963,-1.585,0.976,-0.305
1573004769178,2019-11-05T17:46:09.178,1.004,-1.768,1.037,-0.427
1573004769217,2019-11-05T17:46:09.217,1.043,-1.341,1.220,-0.183
1573004769258,2019-11-05T17:46:09.258,1.084,-0.305,1.098,-0.427
1573004769298,2019-11-05T17:46:09.298,1.124,0.671,0.427,-0.427
1573004769338,2019-11-05T17:46:09.338,1.164,2.317,-0.549,0.183
1573004769379,2019-11-05T17:46:09.379,1.205,1.341,-0.305,0.732
1573004769418,2019-11-05T17:46:09.418,1.244,-0.244,0.183,0.793
1573004769459,2019-11-05T17:46:09.459,1.285,0.122,0.000,1.220
1573004769499,2019-11-05T17:46:09.499,1.325,1.585,-0.549,1.280
1573004769538,2019-11-05T17:46:09.538,1.364,0.427,-0.793,1.159
1573004769579,2019-11-05T17:46:09.579,1.405,0.305,-0.915,0.976
1573004769619,2019-11-05T17:46:09.619,1.445,0.305,-0.488,0.915
1573004769660,2019-11-05T17:46:09.660,1.486,-1.098,0.122,1.037
1573004769699,2019-11-05T17:46:09.699,1.525,-0.305,0.183,1.159
1573004769739,2019-11-05T17:46:09.739,1.565,-0.488,0.305,0.488
1573004769780,2019-11-05T17:46:09.780,1.606,-0.976,0.244,0.427
1573004769820,2019-11-05T17:46:09.820,1.646,-0.915,-0.122,0.793
1573004769861,2019-11-05T17:46:09.861,1.687,-0.610,-0.122,0.671
1573004769900,2019-11-05T17:46:09.900,1.726,0.610,0.183,0.549
1573004769940,2019-11-05T17:46:09.940,1.766,1.341,0.549,0.488
1573004769981,2019-11-05T17:46:09.981,1.807,0.183,0.732,0.549
1573004770020,2019-11-05T17:46:10.020,1.846,-0.244,0.549,0.671
1573004770060,2019-11-05T17:46:10.060,1.886,-0.183,0.305,1.220
1573004770101,2019-11-05T17:46:10.101,1.927,-0.183,0.305,1.646
1573004770140,2019-11-05T17:46:10.140,1.966,1.220,-0.488,1.829
1573004770181,2019-11-05T17:46:10.181,2.007,1.098,-0.915,0.976
1573004770221,2019-11-05T17:46:10.221,2.047,0.732,-0.427,0.549
1573004770260,2019-11-05T17:46:10.260,2.086,0.244,0.122,0.122
1573004770301,2019-11-05T17:46:10.301,2.127,-0.976,0.793,-0.305
1573004770341,2019-11-05T17:46:10.341,2.167,-2.195,1.524,-0.244
1573004770382,2019-11-05T17:46:10.382,2.208,-1.524,0.732,0.061
1573004770422,2019-11-05T17:46:10.422,2.248,1.220,-0.244,0.610
1573004770461,2019-11-05T17:46:10.461,2.287,1.159,0.183,0.610
1573004770502,2019-11-05T17:46:10.502,2.328,-0.793,1.280,-0.305
1573004770542,2019-11-05T17:46:10.542,2.368,-0.854,0.549,0.305
1573004770583,2019-11-05T17:46:10.583,2.409,1.829,-0.610,0.671
1573004770622,2019-11-05T17:46:10.622,2.448,1.890,-0.183,0.488
1573004770662,2019-11-05T17:46:10.662,2.488,0.366,0.610,0.061
1573004770703,2019-11-05T17:46:10.703,2.529,-1.098,0.915,-0.244
1573004770742,2019-11-05T17:46:10.742,2.568,-1.402,0.793,-0.061
1573004770783,2019-11-05T17:46:10.783,2.609,-1.829,0.854,0.183
1573004770823,2019-11-05T17:46:10.823,2.649,-0.976,0.854,0.183
1573004770862,2019-11-05T17:46:10.862,2.688,0.183,0.244,0.488
1573004770903,2019-11-05T17:46:10.903,2.729,0.793,-0.183,0.671
1573004770943,2019-11-05T17:46:10.943,2.769,0.244,-0.061,0.976
1573004770984,2019-11-05T17:46:10.984,2.810,-0.427,0.366,0.854
1573004771024,2019-11-05T17:46:11.024,2.850,0.000,0.366,0.732
1573004771063,2019-11-05T17:46:11.063,2.889,0.305,-0.061,0.549
1573004771104,2019-11-05T17:46:11.104,2.930,0.061,-0.427,0.549
1573004771144,2019-11-05T17:46:11.144,2.970,-0.244,-0.244,0.732
1573004771185,2019-11-05T17:46:11.185,3.011,0.061,-0.122,0.671
1573004771224,2019-11-05T17:46:11.224,3.050,0.244,-0.122,0.732
1573004771264,2019-11-05T17:46:11.264,3.090,-0.061,0.366,1.037
1573004771305,2019-11-05T17:46:11.305,3.131,0.061,-0.122,0.915
1573004771344,2019-11-05T17:46:11.344,3.170,0.671,-0.366,0.976
1573004771385,2019-11-05T17:46:11.385,3.211,-0.061,0.183,0.549
1573004771425,2019-11-05T17:46:11.425,3.251,0.366,0.061,0.000
1573004771465,2019-11-05T17:46:11.465,3.291,0.976,-0.061,0.610
1573004771506,2019-11-05T17:46:11.506,3.332,1.402,-0.244,1.098
1573004771545,2019-11-05T17:46:11.545,3.371,0.854,-0.366,0.915
1573004771586,2019-11-05T17:46:11.586,3.412,0.793,-0.366,0.732
1573004771626,2019-11-05T17:46:11.626,3.452,0.183,0.183,0.427
1573004771665,2019-11-05T17:46:11.665,3.491,0.427,0.854,0.976
1573004771706,2019-11-05T17:46:11.706,3.532,3.171,1.037,1.707
1573004771746,2019-11-05T17:46:11.746,3.572,5.610,-0.244,1.037
1573004771785,2019-11-05T17:46:11.785,3.611,4.451,-0.915,1.463
1573004771826,2019-11-05T17:46:11.826,3.652,3.110,-1.890,1.951
1573004771866,2019-11-05T17:46:11.866,3.692,2.744,-2.012,2.988
1573004771907,2019-11-05T17:46:11.907,3.733,4.146,-3.963,2.012
1573004771946,2019-11-05T17:46:11.946,3.772,3.293,-3.841,1.768
1573004771986,2019-11-05T17:46:11.986,3.812,1.768,-1.646,2.378
1573004772027,2019-11-05T17:46:12.027,3.853,-0.244,-0.549,2.073
1573004772067,2019-11-05T17:46:12.067,3.893,-0.366,0.122,2.073
1573004772108,2019-11-05T17:46:12.108,3.934,1.768,-1.951,1.890
1573004772147,2019-11-05T17:46:12.147,3.973,3.171,-3.902,1.159
1573004772187,2019-11-05T17:46:12.187,4.013,2.439,-2.927,0.793
1573004772228,2019-11-05T17:46:12.228,4.054,-0.976,-0.549,0.305
1573004772267,2019-11-05T17:46:12.267,4.093,-4.207,1.341,-0.976
1573004772308,2019-11-05T17:46:12.308,4.134,-8.780,2.927,-2.195
1573004772348,2019-11-05T17:46:12.348,4.174,-7.317,2.988,-2.317
1573004772387,2019-11-05T17:46:12.387,4.213,-2.866,1.098,-2.256
1573004772428,2019-11-05T17:46:12.428,4.254,1.768,-0.915,-4.817
1573004772468,2019-11-05T17:46:12.468,4.294,1.159,0.183,-5.915
1573004772509,2019-11-05T17:46:12.509,4.335,-1.951,2.134,-4.878
1573004772549,2019-11-05T17:46:12.549,4.375,-7.927,3.537,-4.634
1573004772588,2019-11-05T17:46:12.588,4.414,-11.402,6.524,-6.524
1573004772629,2019-11-05T17:46:12.629,4.455,-14.329,7.988,-10.732
1573004772669,2019-11-05T17:46:12.669,4.495,13.963,0.671,-7.073
1573004772710,2019-11-05T17:46:12.710,4.536,24.024,-3.720,-3.171
1573004772749,2019-11-05T17:46:12.749,4.575,10.061,-1.768,-3.171
1573004772789,2019-11-05T17:46:12.789,4.615,-12.195,-1.646,-2.073
1573004772830,2019-11-05T17:46:12.830,4.656,-25.183,-3.537,-6.402
1573004772869,2019-11-05T17:46:12.869,4.695,-15.488,-5.427,-3.902
1573004772910,2019-11-05T17:46:12.910,4.736,-5.305,-7.500,2.927
1573004772950,2019-11-05T17:46:12.950,4.776,-3.780,-6.768,5.915
1573004772989,2019-11-05T17:46:12.989,4.815,-15.122,-8.537,5.427
1573004773030,2019-11-05T17:46:13.030,4.856,-39.939,-11.098,7.012
1573004773070,2019-11-05T17:46:13.070,4.896,-71.280,-14.573,11.646
1573004773111,2019-11-05T17:46:13.111,4.937,-109.512,-15.000,19.634
1573004773151,2019-11-05T17:46:13.151,4.977,-146.524,-8.659,35.793
1573004773190,2019-11-05T17:46:13.190,5.016,-154.817,-1.585,68.720
1573004773231,2019-11-05T17:46:13.231,5.057,-133.963,15.061,105.976
1573004773271,2019-11-05T17:46:13.271,5.097,-97.073,36.768,131.402
1573004773312,2019-11-05T17:46:13.312,5.138,-31.585,43.293,152.561
1573004773351,2019-11-05T17:46:13.351,5.177,8.110,57.256,179.939
1573004773391,2019-11-05T17:46:13.391,5.217,22.378,65.427,201.463
1573004773432,2019-11-05T17:46:13.432,5.258,4.756,74.451,193.963
1573004773471,2019-11-05T17:46:13.471,5.297,-38.659,91.280,185.915
1573004773511,2019-11-05T17:46:13.511,5.337,-65.000,89.390,177.439
1573004773552,2019-11-05T17:46:13.552,5.378,-68.049,60.671,124.146
1573004773591,2019-11-05T17:46:13.591,5.417,-45.244,29.695,50.366
1573004773632,2019-11-05T17:46:13.632,5.458,-56.037,3.659,4.695
1573004773672,2019-11-05T17:46:13.672,5.498,-69.390,-7.256,-6.951
1573004773712,2019-11-05T17:46:13.712,5.538,-20.061,-2.439,2.744
1573004773753,2019-11-05T17:46:13.753,5.579,29.878,-0.549,12.317
1573004773792,2019-11-05T17:46:13.792,5.618,72.561,-3.963,10.915
1573004773833,2019-11-05T17:46:13.833,5.659,96.951,-7.561,1.890
1573004773873,2019-11-05T17:46:13.873,5.699,79.756,-15.244,-8.293
1573004773912,2019-11-05T17:46:13.912,5.738,38.598,-21.280,-13.902
1573004773953,2019-11-05T17:46:13.953,5.779,12.805,-13.049,-11.402
1573004773993,2019-11-05T17:46:13.993,5.819,-8.232,-0.549,-4.939
1573004774034,2019-11-05T17:46:14.034,5.860,-34.390,9.878,2.561
1573004774073,2019-11-05T17:46:14.073,5.899,-52.805,15.549,11.280
1573004774113,2019-11-05T17:46:14.113,5.939,-55.671,18.110,16.463
1573004774154,2019-11-05T17:46:14.154,5.980,-38.780,17.561,15.732
1573004774194,2019-11-05T17:46:14.194,6.020,-10.671,15.061,13.476
1573004774235,2019-11-05T17:46:14.235,6.061,18.841,11.037,11.341
1573004774274,2019-11-05T17:46:14.274,6.100,39.756,8.049,7.988
1573004774314,2019-11-05T17:46:14.314,6.140,43.902,7.866,4.146
1573004774355,2019-11-05T17:46:14.355,6.181,38.780,7.866,0.000
1573004774394,2019-11-05T17:46:14.394,6.220,41.463,7.317,-4.268
1573004774435,2019-11-05T17:46:14.435,6.261,56.220,6.402,-6.220
1573004774475,2019-11-05T17:46:14.475,6.301,72.012,5.000,-5.305
1573004774514,2019-11-05T17:46:14.514,6.340,81.829,3.720,-4.451
1573004774555,2019-11-05T17:46:14.555,6.381,84.512,1.585,-5.915
1573004774595,2019-11-05T17:46:14.595,6.421,87.988,-2.866,-7.805
1573004774636,2019-11-05T17:46:14.636,6.462,93.537,-7.378,-9.207
1573004774675,2019-11-05T17:46:14.675,6.501,94.024,-9.024,-9.634
1573004774715,2019-11-05T17:46:14.715,6.541,88.049,-9.329,-8.537
1573004774756,2019-11-05T17:46:14.756,6.582,76.585,-8.293,-7.561
1573004774796,2019-11-05T17:46:14.796,6.622,60.610,-6.159,-6.646
1573004774837,2019-11-05T17:46:14.837,6.663,43.049,-3.537,-5.976
1573004774876,2019-11-05T17:46:14.876,6.702,29.085,0.244,-5.244
1573004774916,2019-11-05T17:46:14.916,6.742,19.756,2.500,-2.683
1573004774957,2019-11-05T17:46:14.957,6.783,13.415,4.451,-0.610
1573004774996,2019-11-05T17:46:14.996,6.822,8.476,6.890,0.488
1573004775037,2019-11-05T17:46:15.037,6.863,8.841,6.159,2.256
1573004775077,2019-11-05T17:46:15.077,6.903,13.293,3.415,3.902
1573004775116,2019-11-05T17:46:15.116,6.942,17.134,0.549,6.341
1573004775157,2019-11-05T17:46:15.157,6.983,16.585,-1.524,7.561
1573004775197,2019-11-05T17:46:15.197,7.023,7.683,-0.549,5.610
1573004775236,2019-11-05T17:46:15.236,7.062,-2.927,2.134,3.720
1573004775278,2019-11-05T17:46:15.278,7.104,-5.122,2.012,6.037
1573004775317,2019-11-05T17:46:15.317,7.143,-10.427,1.463,8.049
1573004775358,2019-11-05T17:46:15.358,7.184,-15.183,2.439,8.232
1573004775398,2019-11-05T17:46:15.398,7.224,-15.549,2.317,8.780
1573004775437,2019-11-05T17:46:15.437,7.263,-14.573,0.366,10.854
1573004775478,2019-11-05T17:46:15.478,7.304,-9.634,-2.073,15.122
1573004775518,2019-11-05T17:46:15.518,7.344,7.439,-6.402,20.366
1573004775559,2019-11-05T17:46:15.559,7.385,40.061,-19.756,28.293
1573004775598,2019-11-05T17:46:15.598,7.424,49.207,-38.171,29.268
1573004775638,2019-11-05T17:46:15.638,7.464,22.744,-47.134,13.841
1573004775679,2019-11-05T17:46:15.679,7.505,-16.646,-44.939,-4.146
1573004775718,2019-11-05T17:46:15.718,7.544,-48.537,-33.720,-11.524
1573004775759,2019-11-05T17:46:15.759,7.585,-52.134,-15.122,-6.220
1573004775799,2019-11-05T17:46:15.799,7.625,-40.244,7.378,6.098
1573004775839,2019-11-05T17:46:15.839,7.665,-35.976,30.488,8.963
1573004775880,2019-11-05T17:46:15.880,7.706,-58.354,50.976,-1.220
1573004775919,2019-11-05T17:46:15.919,7.745,-51.829,48.049,2.500
1573004775960,2019-11-05T17:46:15.960,7.786,-49.146,25.732,12.378
1573004776000,2019-11-05T17:46:16.000,7.826,-74.939,13.049,5.183
1573004776039,2019-11-05T17:46:16.039,7.865,-77.317,12.622,-4.878
1573004776080,2019-11-05T17:46:16.080,7.906,-81.707,17.866,-4.268
1573004776120,2019-11-05T17:46:16.120,7.946,-93.232,20.427,4.878
1573004776161,2019-11-05T17:46:16.161,7.987,-95.915,22.744,10.854
1573004776200,2019-11-05T17:46:16.200,8.026,-101.341,23.354,7.012
1573004776240,2019-11-05T17:46:16.240,8.066,-92.256,18.293,2.256
1573004776281,2019-11-05T17:46:16.281,8.107,-61.220,11.037,1.707
1573004776320,2019-11-05T17:46:16.320,8.146,-30.793,5.305,1.768
1573004776361,2019-11-05T17:46:16.361,8.187,-7.317,3.171,2.134
1573004776401,2019-11-05T17:46:16.401,8.227,5.549,4.878,-0.122
1573004776441,2019-11-05T17:46:16.441,8.267,9.085,8.049,-4.451
1573004776482,2019-11-05T17:46:16.482,8.308,14.146,12.195,-7.378
1573004776521,2019-11-05T17:46:16.521,8.347,27.317,19.390,-6.829
1573004776562,2019-11-05T17:46:16.562,8.388,48.780,28.110,-2.561
1573004776602,2019-11-05T17:46:16.602,8.428,78.476,27.622,7.012
1573004776641,2019-11-05T17:46:16.641,8.467,111.707,15.915,19.207
1573004776682,2019-11-05T17:46:16.682,8.508,141.768,-1.159,31.463
1573004776722,2019-11-05T17:46:16.722,8.548,160.000,-17.927,37.805
1573004776763,2019-11-05T17:46:16.763,8.589,145.305,-27.561,32.317
1573004776802,2019-11-05T17:46:16.802,8.628,50.732,-23.354,13.659
1573004776842,2019-11-05T17:46:16.842,8.668,-30.671,-11.159,-5.122
1573004776883,2019-11-05T17:46:16.883,8.709,-39.451,-3.476,-9.390
1573004776923,2019-11-05T17:46:16.923,8.749,-24.634,-1.829,-4.939
1573004776962,2019-11-05T17:46:16.962,8.788,-3.354,-4.268,6.341
1573004777003,2019-11-05T17:46:17.003,8.829,2.622,-7.012,13.110
1573004777043,2019-11-05T17:46:17.043,8.869,-1.524,-7.744,12.683
1573004777084,2019-11-05T17:46:17.084,8.910,-7.378,-3.476,11.768
1573004777123,2019-11-05T17:46:17.123,8.949,-13.049,3.598,8.293
