epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572983998108,2019-11-05T11:59:58.108,0.000,73.720,187.500,148.415
1572983998148,2019-11-05T11:59:58.148,0.040,140.427,342.439,182.439
1572983998188,2019-11-05T11:59:58.188,0.080,316.159,592.683,241.646
1572983998229,2019-11-05T11:59:58.229,0.121,66.341,377.195,11.098
1572983998268,2019-11-05T11:59:58.268,0.160,-356.402,65.915,-124.817
1572983998309,2019-11-05T11:59:58.309,0.201,100.549,-137.378,-97.256
1572983998349,2019-11-05T11:59:58.349,0.241,203.537,107.378,48.598
1572983998388,2019-11-05T11:59:58.388,0.280,-100.854,524.939,417.500
1572983998429,2019-11-05T11:59:58.429,0.321,211.890,1020.000,843.354
1572983998469,2019-11-05T11:59:58.469,0.361,138.354,634.146,531.037
1572983998510,2019-11-05T11:59:58.510,0.402,-43.110,-398.354,11.341
1572983998549,2019-11-05T11:59:58.549,0.441,564.268,-91.768,-61.402
1572983998589,2019-11-05T11:59:58.589,0.481,765.183,-69.512,-113.171
1572983998630,2019-11-05T11:59:58.630,0.522,130.854,-318.780,-197.622
1572983998669,2019-11-05T11:59:58.669,0.561,-204.329,507.378,225.610
1572983998710,2019-11-05T11:59:58.710,0.602,407.561,470.610,255.549
1572983998750,2019-11-05T11:59:58.750,0.642,-86.098,-223.780,-127.012
1572983998790,2019-11-05T11:59:58.790,0.682,-300.549,-139.634,-156.768
1572983998831,2019-11-05T11:59:58.831,0.723,-371.951,137.988,34.024
1572983998870,2019-11-05T11:59:58.870,0.762,-206.098,-173.476,70.000
1572983998911,2019-11-05T11:59:58.911,0.803,-402.378,-86.707,148.902
1572983998951,2019-11-05T11:59:58.951,0.843,-595.305,333.293,80.915
1572983998990,2019-11-05T11:59:58.990,0.882,-233.659,111.768,-98.841
1572983999031,2019-11-05T11:59:59.031,0.923,31.159,-205.122,-109.268
1572983999071,2019-11-05T11:59:59.071,0.963,41.951,69.573,10.122
1572983999112,2019-11-05T11:59:59.112,1.004,222.561,-124.756,-15.488
1572983999151,2019-11-05T11:59:59.151,1.043,244.512,-133.232,-49.878
1572983999191,2019-11-05T11:59:59.191,1.083,278.537,79.817,21.159
1572983999232,2019-11-05T11:59:59.232,1.124,460.915,210.366,47.195
1572983999272,2019-11-05T11:59:59.272,1.164,414.634,-31.037,-69.268
1572983999313,2019-11-05T11:59:59.313,1.205,97.012,-188.171,-89.207
1572983999352,2019-11-05T11:59:59.352,1.244,-23.110,6.159,62.988
1572983999392,2019-11-05T11:59:59.392,1.284,73.780,55.549,112.805
1572983999433,2019-11-05T11:59:59.433,1.325,-82.012,-176.037,10.610
1572983999472,2019-11-05T11:59:59.472,1.364,-332.378,-357.988,-67.561
1572983999513,2019-11-05T11:59:59.513,1.405,-397.500,204.695,-19.695
1572983999553,2019-11-05T11:59:59.553,1.445,-179.634,462.378,-147.256
1572983999592,2019-11-05T11:59:59.592,1.484,-80.122,-168.598,-476.280
1572983999633,2019-11-05T11:59:59.633,1.525,-33.232,-214.207,-448.171
1572983999673,2019-11-05T11:59:59.673,1.565,13.537,-192.256,-302.195
1572983999714,2019-11-05T11:59:59.714,1.606,-162.622,-198.354,-179.024
1572983999753,2019-11-05T11:59:59.753,1.645,-58.598,-32.561,68.841
1572983999793,2019-11-05T11:59:59.793,1.685,370.915,586.585,633.354
1572983999834,2019-11-05T11:59:59.834,1.726,195.854,601.341,441.951
1572983999874,2019-11-05T11:59:59.874,1.766,-639.390,-422.622,-434.146
1572983999915,2019-11-05T11:59:59.915,1.807,74.695,166.524,-163.171
1572983999954,2019-11-05T11:59:59.954,1.846,149.024,299.451,1.951
1572983999995,2019-11-05T11:59:59.995,1.887,-13.293,-74.939,-124.512
1572984000035,2019-11-05T12:00:00.035,1.927,-0.244,-37.744,-104.146
1572984000074,2019-11-05T12:00:00.074,1.966,-17.866,29.146,-89.756
1572984000115,2019-11-05T12:00:00.115,2.007,-28.293,20.061,-86.402
1572984000155,2019-11-05T12:00:00.155,2.047,-37.561,-144.146,-108.598
1572984000196,2019-11-05T12:00:00.196,2.088,-25.488,-342.866,-113.598
1572984000235,2019-11-05T12:00:00.235,2.127,17.012,35.000,-48.049
1572984000275,2019-11-05T12:00:00.275,2.167,25.549,186.159,-22.012
1572984000316,2019-11-05T12:00:00.316,2.208,-56.341,58.171,-6.220
1572984000355,2019-11-05T12:00:00.355,2.247,-127.866,-59.085,2.744
1572984000397,2019-11-05T12:00:00.397,2.289,-157.073,-3.537,10.305
1572984000436,2019-11-05T12:00:00.436,2.328,-123.293,104.939,-16.585
1572984000476,2019-11-05T12:00:00.476,2.368,-153.841,58.293,-14.085
1572984000517,2019-11-05T12:00:00.517,2.409,-55.427,125.305,-17.195
1572984000556,2019-11-05T12:00:00.556,2.448,-16.159,82.500,-27.195
1572984000597,2019-11-05T12:00:00.597,2.489,41.402,104.268,-60.427
1572984000637,2019-11-05T12:00:00.637,2.529,119.390,20.305,-85.244
1572984000676,2019-11-05T12:00:00.676,2.568,-14.634,-651.281,-202.012
1572984000717,2019-11-05T12:00:00.717,2.609,-145.671,-888.171,-185.244
1572984000757,2019-11-05T12:00:00.757,2.649,-180.000,-196.951,5.610
1572984000798,2019-11-05T12:00:00.798,2.690,-104.878,-8.415,43.293
1572984000837,2019-11-05T12:00:00.837,2.729,-72.805,-37.195,22.683
1572984000877,2019-11-05T12:00:00.877,2.769,-143.354,-89.695,5.244
1572984000918,2019-11-05T12:00:00.918,2.810,-191.707,-93.780,13.293
1572984000959,2019-11-05T12:00:00.959,2.851,-238.720,-116.463,5.427
1572984000999,2019-11-05T12:00:00.999,2.891,-263.171,-145.732,-7.073
1572984001038,2019-11-05T12:00:01.038,2.930,-278.049,-130.061,-23.049
1572984001079,2019-11-05T12:00:01.079,2.971,-303.110,-89.329,-35.244
1572984001119,2019-11-05T12:00:01.119,3.011,-308.963,-73.110,-31.951
1572984001158,2019-11-05T12:00:01.158,3.050,-345.488,0.366,-23.963
1572984001199,2019-11-05T12:00:01.199,3.091,-394.695,11.646,-32.683
1572984001239,2019-11-05T12:00:01.239,3.131,-433.659,9.573,-26.524
1572984001278,2019-11-05T12:00:01.278,3.170,-385.793,18.232,-12.744
1572984001319,2019-11-05T12:00:01.319,3.211,-274.390,33.598,-14.024
1572984001359,2019-11-05T12:00:01.359,3.251,-141.280,14.085,-50.427
1572984001400,2019-11-05T12:00:01.400,3.292,-255.488,34.817,-66.951
1572984001439,2019-11-05T12:00:01.439,3.331,-216.037,29.634,-65.427
1572984001479,2019-11-05T12:00:01.479,3.371,-138.354,-0.671,-47.195
1572984001520,2019-11-05T12:00:01.520,3.412,-128.537,7.744,-37.683
1572984001560,2019-11-05T12:00:01.560,3.452,-70.549,41.341,-20.122
1572984001601,2019-11-05T12:00:01.601,3.493,-42.317,67.134,-2.378
1572984001640,2019-11-05T12:00:01.640,3.532,-59.024,26.768,2.500
1572984001680,2019-11-05T12:00:01.680,3.572,0.915,-17.805,-1.220
1572984001721,2019-11-05T12:00:01.721,3.613,38.171,-44.451,5.183
1572984001760,2019-11-05T12:00:01.760,3.652,89.024,-85.305,28.598
1572984001801,2019-11-05T12:00:01.801,3.693,98.841,-110.244,50.366
1572984001841,2019-11-05T12:00:01.841,3.733,21.646,-77.561,59.573
1572984001880,2019-11-05T12:00:01.880,3.772,-86.280,-38.232,70.488
1572984001921,2019-11-05T12:00:01.921,3.813,-164.512,-29.146,81.463
1572984001961,2019-11-05T12:00:01.961,3.853,-130.488,-45.366,98.537
1572984002002,2019-11-05T12:00:02.002,3.894,-75.488,-39.390,113.598
1572984002042,2019-11-05T12:00:02.042,3.934,-87.805,-15.549,116.646
1572984002081,2019-11-05T12:00:02.081,3.973,-108.415,0.305,104.512
