epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572998247929,2019-11-05T15:57:27.929,0.000,-0.075,0.073,1.045
1572998247969,2019-11-05T15:57:27.969,0.040,-0.088,0.073,1.059
1572998248008,2019-11-05T15:57:28.008,0.079,-0.096,0.056,1.046
1572998248049,2019-11-05T15:57:28.049,0.120,-0.083,0.097,1.046
1572998248089,2019-11-05T15:57:28.089,0.160,-0.078,0.077,1.027
1572998248130,2019-11-05T15:57:28.130,0.201,-0.083,0.068,1.023
1572998248169,2019-11-05T15:57:28.169,0.240,-0.081,0.078,1.036
1572998248209,2019-11-05T15:57:28.209,0.280,-0.089,0.063,1.041
1572998248250,2019-11-05T15:57:28.250,0.321,-0.087,0.070,1.037
1572998248289,2019-11-05T15:57:28.289,0.360,-0.067,0.068,1.034
1572998248330,2019-11-05T15:57:28.330,0.401,-0.067,0.069,1.037
1572998248370,2019-11-05T15:57:28.370,0.441,-0.082,0.054,1.042
1572998248409,2019-11-05T15:57:28.409,0.480,-0.070,0.080,1.058
1572998248451,2019-11-05T15:57:28.451,0.522,-0.080,0.061,1.040
1572998248492,2019-11-05T15:57:28.492,0.563,-0.067,0.068,1.043
1572998248531,2019-11-05T15:57:28.531,0.602,-0.071,0.074,1.037
1572998248571,2019-11-05T15:57:28.571,0.642,-0.070,0.074,1.034
1572998248612,2019-11-05T15:57:28.612,0.683,-0.066,0.065,1.034
1572998248651,2019-11-05T15:57:28.651,0.722,-0.072,0.074,1.036
1572998248691,2019-11-05T15:57:28.691,0.762,-0.075,0.064,1.035
1572998248732,2019-11-05T15:57:28.732,0.803,-0.064,0.076,1.037
1572998248771,2019-11-05T15:57:28.771,0.842,-0.068,0.068,1.028
1572998248811,2019-11-05T15:57:28.811,0.882,-0.064,0.075,1.042
1572998248852,2019-11-05T15:57:28.852,0.923,-0.073,0.058,1.040
1572998248891,2019-11-05T15:57:28.891,0.962,-0.079,0.068,1.044
1572998248931,2019-11-05T15:57:28.931,1.002,-0.065,0.073,1.048
1572998248972,2019-11-05T15:57:28.972,1.043,-0.066,0.060,1.038
1572998249012,2019-11-05T15:57:29.012,1.083,-0.068,0.082,1.045
1572998249053,2019-11-05T15:57:29.053,1.124,-0.074,0.059,1.040
1572998249092,2019-11-05T15:57:29.092,1.163,-0.075,0.069,1.041
1572998249132,2019-11-05T15:57:29.132,1.203,-0.073,0.076,1.042
1572998249173,2019-11-05T15:57:29.173,1.244,-0.075,0.061,1.034
1572998249212,2019-11-05T15:57:29.212,1.283,-0.075,0.070,1.038
1572998249253,2019-11-05T15:57:29.253,1.324,-0.072,0.078,1.041
1572998249293,2019-11-05T15:57:29.293,1.364,-0.071,0.068,1.038
1572998249332,2019-11-05T15:57:29.332,1.403,-0.066,0.077,1.042
1572998249373,2019-11-05T15:57:29.373,1.444,-0.075,0.070,1.042
1572998249413,2019-11-05T15:57:29.413,1.484,-0.070,0.082,1.048
1572998249454,2019-11-05T15:57:29.454,1.525,-0.075,0.073,1.042
1572998249493,2019-11-05T15:57:29.493,1.564,-0.069,0.077,1.039
1572998249533,2019-11-05T15:57:29.533,1.604,-0.072,0.070,1.035
1572998249574,2019-11-05T15:57:29.574,1.645,-0.069,0.073,1.035
1572998249614,2019-11-05T15:57:29.614,1.685,-0.066,0.066,1.037
1572998249655,2019-11-05T15:57:29.655,1.726,-0.073,0.070,1.040
1572998249694,2019-11-05T15:57:29.694,1.765,-0.074,0.067,1.044
1572998249734,2019-11-05T15:57:29.734,1.805,-0.070,0.076,1.041
1572998249775,2019-11-05T15:57:29.775,1.846,-0.064,0.076,1.037
1572998249814,2019-11-05T15:57:29.814,1.885,-0.069,0.075,1.033
1572998249855,2019-11-05T15:57:29.855,1.926,-0.068,0.086,1.040
