epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572998247848,2019-11-05T15:57:27.848,0.000,-4.817,0.854,1.707
1572998247888,2019-11-05T15:57:27.888,0.040,-3.476,0.793,1.829
1572998247929,2019-11-05T15:57:27.929,0.081,1.463,0.610,1.707
1572998247969,2019-11-05T15:57:27.969,0.121,-2.744,1.159,0.488
1572998248010,2019-11-05T15:57:28.010,0.162,-3.110,-0.549,-0.854
1572998248049,2019-11-05T15:57:28.049,0.201,-0.183,-3.232,-1.585
1572998248089,2019-11-05T15:57:28.089,0.241,-4.268,-2.866,-0.915
1572998248130,2019-11-05T15:57:28.130,0.282,-1.463,-2.256,1.341
1572998248169,2019-11-05T15:57:28.169,0.321,0.671,-1.585,2.744
1572998248209,2019-11-05T15:57:28.209,0.361,-0.915,0.244,3.293
1572998248250,2019-11-05T15:57:28.250,0.402,0.305,0.244,3.171
1572998248289,2019-11-05T15:57:28.289,0.441,-0.122,0.000,2.317
1572998248330,2019-11-05T15:57:28.330,0.482,-0.549,1.037,1.829
1572998248370,2019-11-05T15:57:28.370,0.522,-0.305,1.280,1.951
1572998248409,2019-11-05T15:57:28.409,0.561,1.463,0.183,1.463
1572998248451,2019-11-05T15:57:28.451,0.603,-1.524,0.610,0.427
1572998248492,2019-11-05T15:57:28.492,0.644,0.915,-0.732,-0.244
1572998248531,2019-11-05T15:57:28.531,0.683,1.098,-0.854,-0.122
1572998248571,2019-11-05T15:57:28.571,0.723,0.183,-1.341,-0.427
1572998248612,2019-11-05T15:57:28.612,0.764,-0.427,-1.707,0.366
1572998248651,2019-11-05T15:57:28.651,0.803,-0.122,-1.890,0.793
1572998248691,2019-11-05T15:57:28.691,0.843,-0.549,-1.951,0.671
1572998248732,2019-11-05T15:57:28.732,0.884,-0.122,-1.463,0.793
1572998248771,2019-11-05T15:57:28.771,0.923,-0.183,-0.183,1.159
1572998248811,2019-11-05T15:57:28.811,0.963,0.427,0.671,0.915
1572998248852,2019-11-05T15:57:28.852,1.004,-0.610,2.073,0.671
1572998248891,2019-11-05T15:57:28.891,1.043,2.073,1.159,0.488
1572998248932,2019-11-05T15:57:28.932,1.084,0.427,0.000,0.183
1572998248972,2019-11-05T15:57:28.972,1.124,-0.427,-0.061,0.793
1572998249012,2019-11-05T15:57:29.012,1.164,1.280,-0.671,0.976
1572998249053,2019-11-05T15:57:29.053,1.205,-1.159,-0.488,0.549
1572998249092,2019-11-05T15:57:29.092,1.244,1.341,-0.854,0.671
1572998249133,2019-11-05T15:57:29.133,1.285,0.244,-0.549,0.183
1572998249173,2019-11-05T15:57:29.173,1.325,-1.768,-0.061,-0.488
1572998249212,2019-11-05T15:57:29.212,1.364,0.488,-0.427,-0.488
1572998249253,2019-11-05T15:57:29.253,1.405,-0.244,-0.122,-0.122
1572998249293,2019-11-05T15:57:29.293,1.445,-1.402,0.488,0.122
1572998249332,2019-11-05T15:57:29.332,1.484,-0.366,0.610,0.061
1572998249373,2019-11-05T15:57:29.373,1.525,-0.427,0.793,0.366
1572998249413,2019-11-05T15:57:29.413,1.565,0.305,0.183,1.402
1572998249454,2019-11-05T15:57:29.454,1.606,-1.037,0.244,1.890
1572998249493,2019-11-05T15:57:29.493,1.645,0.366,-0.305,1.280
1572998249533,2019-11-05T15:57:29.533,1.685,0.915,0.244,0.854
1572998249574,2019-11-05T15:57:29.574,1.726,1.280,0.183,0.793
1572998249614,2019-11-05T15:57:29.614,1.766,0.244,0.061,1.220
1572998249655,2019-11-05T15:57:29.655,1.807,0.366,-0.427,1.707
1572998249694,2019-11-05T15:57:29.694,1.846,-1.037,-0.915,1.280
1572998249734,2019-11-05T15:57:29.734,1.886,-0.366,-1.463,0.549
1572998249775,2019-11-05T15:57:29.775,1.927,-1.159,-0.671,0.000
1572998249814,2019-11-05T15:57:29.814,1.966,0.183,0.244,-0.122
1572998249855,2019-11-05T15:57:29.855,2.007,1.402,0.732,-0.061
1572998249895,2019-11-05T15:57:29.895,2.047,0.488,1.159,0.793
1572998249934,2019-11-05T15:57:29.934,2.086,1.037,0.366,1.524
1572998249975,2019-11-05T15:57:29.975,2.127,-0.427,-0.732,2.012
1572998250015,2019-11-05T15:57:30.015,2.167,-0.366,-3.720,2.500
1572998250056,2019-11-05T15:57:30.056,2.208,-1.341,-6.402,2.744
1572998250096,2019-11-05T15:57:30.096,2.248,-2.134,-6.159,3.659
1572998250135,2019-11-05T15:57:30.135,2.287,-1.341,-4.573,5.183
1572998250176,2019-11-05T15:57:30.176,2.328,-1.402,-2.439,5.915
1572998250216,2019-11-05T15:57:30.216,2.368,-3.110,0.732,5.793
1572998250257,2019-11-05T15:57:30.257,2.409,-0.915,2.012,3.598
1572998250296,2019-11-05T15:57:30.296,2.448,-0.061,1.829,0.183
1572998250336,2019-11-05T15:57:30.336,2.488,2.195,1.280,-1.159
1572998250377,2019-11-05T15:57:30.377,2.529,1.585,1.220,-1.220
1572998250416,2019-11-05T15:57:30.416,2.568,1.402,0.854,-0.671
1572998250457,2019-11-05T15:57:30.457,2.609,0.915,0.915,-0.061
1572998250497,2019-11-05T15:57:30.497,2.649,-0.854,1.524,0.793
1572998250536,2019-11-05T15:57:30.536,2.688,-2.561,3.232,0.854
1572998250577,2019-11-05T15:57:30.577,2.729,-0.793,4.024,-0.671
1572998250617,2019-11-05T15:57:30.617,2.769,4.756,2.500,-2.317
1572998250658,2019-11-05T15:57:30.658,2.810,3.720,1.890,-3.232
1572998250698,2019-11-05T15:57:30.698,2.850,4.756,0.671,-2.500
1572998250737,2019-11-05T15:57:30.737,2.889,4.024,-0.183,-0.671
1572998250778,2019-11-05T15:57:30.778,2.930,0.671,0.244,1.037
1572998250818,2019-11-05T15:57:30.818,2.970,0.488,0.976,2.927
1572998250857,2019-11-05T15:57:30.857,3.009,-0.610,1.341,2.866
1572998250898,2019-11-05T15:57:30.898,3.050,0.244,0.793,1.646
1572998250938,2019-11-05T15:57:30.938,3.090,3.171,-0.793,0.671
1572998250979,2019-11-05T15:57:30.979,3.131,1.951,-0.244,0.427
1572998251018,2019-11-05T15:57:31.018,3.170,1.402,1.037,1.402
1572998251058,2019-11-05T15:57:31.058,3.210,1.037,0.976,1.951
1572998251099,2019-11-05T15:57:31.099,3.251,2.073,0.366,2.561
1572998251138,2019-11-05T15:57:31.138,3.290,0.976,1.159,2.683
1572998251180,2019-11-05T15:57:31.180,3.332,2.134,0.976,1.646
1572998251219,2019-11-05T15:57:31.219,3.371,1.951,0.549,0.732
1572998251259,2019-11-05T15:57:31.259,3.411,2.378,-0.671,0.244
1572998251300,2019-11-05T15:57:31.300,3.452,1.220,-1.402,0.549
1572998251339,2019-11-05T15:57:31.339,3.491,0.976,-0.793,1.707
1572998251380,2019-11-05T15:57:31.380,3.532,2.683,-0.122,2.988
1572998251420,2019-11-05T15:57:31.420,3.572,1.280,0.915,3.720
1572998251459,2019-11-05T15:57:31.459,3.611,0.122,1.463,3.902
1572998251500,2019-11-05T15:57:31.500,3.652,0.732,2.012,3.537
1572998251540,2019-11-05T15:57:31.540,3.692,-0.366,3.110,2.317
1572998251581,2019-11-05T15:57:31.581,3.733,0.244,2.439,0.244
1572998251620,2019-11-05T15:57:31.620,3.772,0.793,0.732,-1.037
1572998251660,2019-11-05T15:57:31.660,3.812,-0.610,-0.061,-0.427
1572998251701,2019-11-05T15:57:31.701,3.853,-0.915,-0.488,0.488
1572998251741,2019-11-05T15:57:31.741,3.893,-0.244,-0.976,1.098
1572998251782,2019-11-05T15:57:31.782,3.934,-0.183,-0.793,1.463
1572998251821,2019-11-05T15:57:31.821,3.973,-0.122,-0.244,1.768
1572998251861,2019-11-05T15:57:31.861,4.013,-0.122,0.549,2.439
1572998251902,2019-11-05T15:57:31.902,4.054,1.463,0.366,1.951
1572998251941,2019-11-05T15:57:31.941,4.093,-0.427,0.732,1.098
1572998251982,2019-11-05T15:57:31.982,4.134,0.549,0.793,0.854
1572998252022,2019-11-05T15:57:32.022,4.174,2.378,0.183,1.280
1572998252061,2019-11-05T15:57:32.061,4.213,-0.061,0.122,1.463
1572998252102,2019-11-05T15:57:32.102,4.254,0.671,-0.183,1.829
