epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573014314955,2019-11-05T20:25:14.955,0.000,-1.098,0.793,1.037
1573014314994,2019-11-05T20:25:14.994,0.039,-1.280,0.488,0.915
1573014315035,2019-11-05T20:25:15.035,0.080,-1.220,0.854,0.000
1573014315075,2019-11-05T20:25:15.075,0.120,-0.427,0.671,0.061
1573014315116,2019-11-05T20:25:15.116,0.161,-2.317,0.122,0.427
1573014315155,2019-11-05T20:25:15.155,0.200,-1.829,-0.305,0.549
1573014315195,2019-11-05T20:25:15.195,0.240,-1.585,-0.549,0.183
1573014315236,2019-11-05T20:25:15.236,0.281,-0.915,-0.671,-0.488
1573014315275,2019-11-05T20:25:15.275,0.320,0.915,-0.793,-1.098
1573014315316,2019-11-05T20:25:15.316,0.361,0.061,-0.793,-0.732
1573014315356,2019-11-05T20:25:15.356,0.401,-0.610,-0.671,-0.366
1573014315395,2019-11-05T20:25:15.395,0.440,0.183,-0.854,-0.549
1573014315436,2019-11-05T20:25:15.436,0.481,0.122,-1.037,-0.427
1573014315476,2019-11-05T20:25:15.476,0.521,0.610,-1.280,-0.732
1573014315517,2019-11-05T20:25:15.517,0.562,0.488,-1.280,-0.488
1573014315557,2019-11-05T20:25:15.557,0.602,-0.549,-0.915,0.000
1573014315596,2019-11-05T20:25:15.596,0.641,-0.061,-0.488,0.183
1573014315637,2019-11-05T20:25:15.637,0.682,-0.854,-0.366,0.244
1573014315677,2019-11-05T20:25:15.677,0.722,0.183,-0.061,-0.427
1573014315718,2019-11-05T20:25:15.718,0.763,0.244,0.000,-0.305
1573014315757,2019-11-05T20:25:15.757,0.802,0.610,0.427,0.122
1573014315797,2019-11-05T20:25:15.797,0.842,0.000,0.793,1.037
1573014315838,2019-11-05T20:25:15.838,0.883,-1.280,0.915,1.768
1573014315877,2019-11-05T20:25:15.877,0.922,-1.280,0.671,2.256
1573014315918,2019-11-05T20:25:15.918,0.963,-1.524,0.000,2.195
1573014315958,2019-11-05T20:25:15.958,1.003,-1.829,0.061,1.402
1573014315997,2019-11-05T20:25:15.997,1.042,-0.915,0.366,1.463
1573014316038,2019-11-05T20:25:16.038,1.083,-0.122,0.854,1.220
1573014316078,2019-11-05T20:25:16.078,1.123,-1.037,1.220,1.280
1573014316118,2019-11-05T20:25:16.118,1.163,0.122,1.037,1.524
1573014316159,2019-11-05T20:25:16.159,1.204,0.915,0.671,1.829
1573014316198,2019-11-05T20:25:16.198,1.243,-1.524,0.671,2.012
1573014316239,2019-11-05T20:25:16.239,1.284,-1.890,0.305,1.585
1573014316279,2019-11-05T20:25:16.279,1.324,-0.732,-0.061,1.341
1573014316318,2019-11-05T20:25:16.318,1.363,-0.244,0.366,1.280
1573014316359,2019-11-05T20:25:16.359,1.404,-0.549,0.427,1.341
1573014316399,2019-11-05T20:25:16.399,1.444,0.427,0.427,1.951
1573014316440,2019-11-05T20:25:16.440,1.485,0.488,0.122,2.012
1573014316479,2019-11-05T20:25:16.479,1.524,-1.524,-0.427,1.098
1573014316519,2019-11-05T20:25:16.519,1.564,0.671,-1.098,0.488
1573014316560,2019-11-05T20:25:16.560,1.605,0.305,-1.037,0.793
1573014316600,2019-11-05T20:25:16.600,1.645,-0.793,-0.488,1.037
1573014316641,2019-11-05T20:25:16.641,1.686,0.732,-0.122,1.159
1573014316680,2019-11-05T20:25:16.680,1.725,0.610,0.061,1.220
1573014316720,2019-11-05T20:25:16.720,1.765,1.402,-0.305,1.159
1573014316761,2019-11-05T20:25:16.761,1.806,2.134,-0.427,0.854
1573014316800,2019-11-05T20:25:16.800,1.845,2.866,-0.366,0.915
1573014316841,2019-11-05T20:25:16.841,1.886,-0.244,-0.427,0.976
1573014316881,2019-11-05T20:25:16.881,1.926,-0.854,-0.122,0.915
1573014316920,2019-11-05T20:25:16.920,1.965,0.244,0.366,0.305
1573014316961,2019-11-05T20:25:16.961,2.006,0.061,0.244,0.244
1573014317001,2019-11-05T20:25:17.001,2.046,0.427,0.305,0.366
1573014317042,2019-11-05T20:25:17.042,2.087,-0.244,0.183,0.610
1573014317081,2019-11-05T20:25:17.081,2.126,-0.427,0.000,0.732
1573014317121,2019-11-05T20:25:17.121,2.166,0.305,-0.122,0.244
1573014317162,2019-11-05T20:25:17.162,2.207,0.000,-0.183,0.122
1573014317202,2019-11-05T20:25:17.202,2.247,-0.488,0.183,0.549
1573014317243,2019-11-05T20:25:17.243,2.288,-0.183,0.610,0.793
1573014317282,2019-11-05T20:25:17.282,2.327,-0.305,0.549,0.549
1573014317322,2019-11-05T20:25:17.322,2.367,0.244,0.305,0.610
1573014317363,2019-11-05T20:25:17.363,2.408,-0.244,-0.061,0.732
1573014317402,2019-11-05T20:25:17.402,2.447,0.061,-0.122,0.732
1573014317443,2019-11-05T20:25:17.443,2.488,-0.305,0.244,0.732
1573014317483,2019-11-05T20:25:17.483,2.528,-1.037,0.488,1.037
1573014317522,2019-11-05T20:25:17.522,2.567,-0.061,0.732,0.671
1573014317563,2019-11-05T20:25:17.563,2.608,0.244,0.610,0.488
1573014317603,2019-11-05T20:25:17.603,2.648,1.402,0.793,0.549
1573014317642,2019-11-05T20:25:17.642,2.687,1.524,0.427,0.488
1573014317684,2019-11-05T20:25:17.684,2.729,-0.366,-0.122,0.976
1573014317723,2019-11-05T20:25:17.723,2.768,-0.061,-0.244,1.220
1573014317764,2019-11-05T20:25:17.764,2.809,-0.488,-0.427,2.195
1573014317804,2019-11-05T20:25:17.804,2.849,-1.890,-0.183,3.293
1573014317843,2019-11-05T20:25:17.843,2.888,0.366,0.305,2.317
1573014317884,2019-11-05T20:25:17.884,2.929,6.524,-0.183,1.829
1573014317924,2019-11-05T20:25:17.924,2.969,8.963,-0.305,1.159
1573014317965,2019-11-05T20:25:17.965,3.010,9.634,0.000,0.488
1573014318004,2019-11-05T20:25:18.004,3.049,10.671,-0.122,0.122
