epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573336293558,2019-11-09T13:51:33.558,0.000,-0.244,0.122,0.976
1573336293598,2019-11-09T13:51:33.598,0.040,-0.366,0.305,0.976
1573336293639,2019-11-09T13:51:33.639,0.081,-0.183,0.061,0.793
1573336293679,2019-11-09T13:51:33.679,0.121,-0.183,0.122,0.793
1573336293720,2019-11-09T13:51:33.720,0.162,-0.244,0.122,0.793
1573336293759,2019-11-09T13:51:33.759,0.201,-0.183,0.122,0.793
1573336293800,2019-11-09T13:51:33.800,0.242,-0.183,0.122,0.793
1573336293840,2019-11-09T13:51:33.840,0.282,-0.183,0.122,0.793
1573336293879,2019-11-09T13:51:33.879,0.321,-0.244,0.122,0.793
1573336293920,2019-11-09T13:51:33.920,0.362,-0.183,0.122,0.793
1573336293960,2019-11-09T13:51:33.960,0.402,-0.183,0.122,0.732
1573336293999,2019-11-09T13:51:33.999,0.441,-0.244,0.122,0.793
1573336294040,2019-11-09T13:51:34.040,0.482,-0.244,0.122,0.793
1573336294080,2019-11-09T13:51:34.080,0.522,-0.244,0.122,0.793
1573336294121,2019-11-09T13:51:34.121,0.563,-0.244,0.122,0.793
1573336294161,2019-11-09T13:51:34.161,0.603,-0.183,0.122,0.793
1573336294200,2019-11-09T13:51:34.200,0.642,-0.244,0.061,0.854
1573336294241,2019-11-09T13:51:34.241,0.683,-0.244,0.122,0.793
1573336294281,2019-11-09T13:51:34.281,0.723,-0.244,0.122,0.793
1573336294322,2019-11-09T13:51:34.322,0.764,-0.183,0.061,0.793
1573336294361,2019-11-09T13:51:34.361,0.803,-0.244,0.122,0.732
1573336294402,2019-11-09T13:51:34.402,0.844,-0.183,0.122,0.793
1573336294442,2019-11-09T13:51:34.442,0.884,-0.244,0.122,0.793
1573336294481,2019-11-09T13:51:34.481,0.923,-0.244,0.122,0.793
1573336294522,2019-11-09T13:51:34.522,0.964,-0.305,0.122,0.793
1573336294562,2019-11-09T13:51:34.562,1.004,-0.183,0.122,0.793
1573336294601,2019-11-09T13:51:34.601,1.043,-0.183,0.122,0.793
1573336294642,2019-11-09T13:51:34.642,1.084,-0.244,0.122,0.793
