epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573106570040,2019-11-06T22:02:50.040,0.000,-47.195,-4.634,-45.671
1573106570081,2019-11-06T22:02:50.081,0.041,-50.000,-5.366,-47.622
1573106570121,2019-11-06T22:02:50.121,0.081,-87.500,-2.073,-62.439
1573106570162,2019-11-06T22:02:50.162,0.122,-210.915,11.463,-89.329
1573106570201,2019-11-06T22:02:50.201,0.161,-399.573,35.305,-120.854
1573106570242,2019-11-06T22:02:50.242,0.202,-532.500,49.634,-158.293
1573106570282,2019-11-06T22:02:50.282,0.242,-552.195,44.878,-194.329
1573106570322,2019-11-06T22:02:50.322,0.282,-532.073,59.024,-205.488
1573106570363,2019-11-06T22:02:50.363,0.323,-441.402,68.537,-170.671
1573106570402,2019-11-06T22:02:50.402,0.362,-231.402,37.683,-110.488
1573106570443,2019-11-06T22:02:50.443,0.403,-0.244,-12.988,-45.488
1573106570483,2019-11-06T22:02:50.483,0.443,126.402,-43.841,18.963
1573106570522,2019-11-06T22:02:50.522,0.482,181.341,-62.195,64.817
1573106570563,2019-11-06T22:02:50.563,0.523,236.341,-86.402,95.976
1573106570603,2019-11-06T22:02:50.603,0.563,294.024,-100.915,123.598
1573106570644,2019-11-06T22:02:50.644,0.604,307.439,-86.646,147.073
1573106570683,2019-11-06T22:02:50.683,0.643,277.317,-58.537,154.390
1573106570723,2019-11-06T22:02:50.723,0.683,220.000,-29.756,146.037
1573106570764,2019-11-06T22:02:50.764,0.724,120.244,9.329,133.049
1573106570803,2019-11-06T22:02:50.803,0.763,22.805,39.939,112.866
1573106570844,2019-11-06T22:02:50.844,0.804,-45.061,62.805,95.305
1573106570884,2019-11-06T22:02:50.884,0.844,-52.744,73.720,88.963
1573106570924,2019-11-06T22:02:50.924,0.884,1.829,68.415,93.476
1573106570965,2019-11-06T22:02:50.965,0.925,81.037,39.939,88.110
1573106571004,2019-11-06T22:02:51.004,0.964,101.463,16.463,63.110
