epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573337219117,2019-11-09T14:06:59.117,0.000,0.147,0.647,0.773
1573337219156,2019-11-09T14:06:59.156,0.039,0.149,0.654,0.779
1573337219196,2019-11-09T14:06:59.196,0.079,0.149,0.652,0.779
1573337219237,2019-11-09T14:06:59.237,0.120,0.148,0.652,0.778
1573337219277,2019-11-09T14:06:59.277,0.160,0.150,0.652,0.780
1573337219318,2019-11-09T14:06:59.318,0.201,0.149,0.651,0.780
1573337219357,2019-11-09T14:06:59.357,0.240,0.150,0.651,0.778
1573337219397,2019-11-09T14:06:59.397,0.280,0.148,0.651,0.780
1573337219438,2019-11-09T14:06:59.438,0.321,0.149,0.651,0.780
1573337219477,2019-11-09T14:06:59.477,0.360,0.149,0.652,0.781
1573337219518,2019-11-09T14:06:59.518,0.401,0.149,0.652,0.781
1573337219558,2019-11-09T14:06:59.558,0.441,0.149,0.651,0.780
1573337219597,2019-11-09T14:06:59.597,0.480,0.150,0.650,0.779
1573337219638,2019-11-09T14:06:59.638,0.521,0.150,0.651,0.780
1573337219678,2019-11-09T14:06:59.678,0.561,0.149,0.651,0.782
1573337219718,2019-11-09T14:06:59.718,0.601,0.149,0.651,0.781
1573337219759,2019-11-09T14:06:59.759,0.642,0.149,0.650,0.778
1573337219798,2019-11-09T14:06:59.798,0.681,0.149,0.652,0.779
1573337219839,2019-11-09T14:06:59.839,0.722,0.150,0.652,0.781
1573337219879,2019-11-09T14:06:59.879,0.762,0.149,0.651,0.780
1573337219918,2019-11-09T14:06:59.918,0.801,0.150,0.652,0.780
1573337219959,2019-11-09T14:06:59.959,0.842,0.150,0.652,0.780
1573337219999,2019-11-09T14:06:59.999,0.882,0.149,0.652,0.779
1573337220040,2019-11-09T14:07:00.040,0.923,0.149,0.651,0.780
1573337220079,2019-11-09T14:07:00.079,0.962,0.150,0.651,0.780
1573337220119,2019-11-09T14:07:00.119,1.002,0.149,0.651,0.780
1573337220160,2019-11-09T14:07:00.160,1.043,0.149,0.651,0.779
1573337220199,2019-11-09T14:07:00.199,1.082,0.150,0.652,0.780
1573337220240,2019-11-09T14:07:00.240,1.123,0.149,0.651,0.781
1573337220280,2019-11-09T14:07:00.280,1.163,0.150,0.651,0.781
1573337220320,2019-11-09T14:07:00.320,1.203,0.150,0.651,0.781
1573337220361,2019-11-09T14:07:00.361,1.244,0.149,0.651,0.781
1573337220400,2019-11-09T14:07:00.400,1.283,0.148,0.651,0.781
1573337220441,2019-11-09T14:07:00.441,1.324,0.149,0.651,0.779
1573337220481,2019-11-09T14:07:00.481,1.364,0.149,0.651,0.778
1573337220520,2019-11-09T14:07:00.520,1.403,0.150,0.651,0.781
1573337220561,2019-11-09T14:07:00.561,1.444,0.133,0.641,0.780
1573337220601,2019-11-09T14:07:00.601,1.484,0.188,0.635,0.821
1573337220642,2019-11-09T14:07:00.642,1.525,0.135,0.711,0.719
1573337220681,2019-11-09T14:07:00.681,1.564,0.148,0.657,0.777
1573337220721,2019-11-09T14:07:00.721,1.604,0.151,0.661,0.770
1573337220762,2019-11-09T14:07:00.762,1.645,0.024,0.794,0.719
1573337220802,2019-11-09T14:07:00.802,1.685,-0.016,0.865,0.616
1573337220843,2019-11-09T14:07:00.843,1.726,0.479,0.379,0.934
1573337220882,2019-11-09T14:07:00.882,1.765,0.271,0.462,0.902
1573337220922,2019-11-09T14:07:00.922,1.805,0.059,0.595,0.756
1573337220963,2019-11-09T14:07:00.963,1.846,0.187,0.626,0.804
1573337221002,2019-11-09T14:07:01.002,1.885,0.136,0.704,0.772
1573337221042,2019-11-09T14:07:01.042,1.925,0.112,0.725,0.744
1573337221083,2019-11-09T14:07:01.083,1.966,0.115,0.728,0.737
1573337221122,2019-11-09T14:07:01.122,2.005,0.122,0.708,0.750
1573337221163,2019-11-09T14:07:01.163,2.046,0.140,0.671,0.768
1573337221203,2019-11-09T14:07:01.203,2.086,0.150,0.636,0.785
1573337221242,2019-11-09T14:07:01.242,2.125,0.149,0.610,0.787
1573337221283,2019-11-09T14:07:01.283,2.166,0.146,0.625,0.785
1573337221323,2019-11-09T14:07:01.323,2.206,0.142,0.665,0.778
1573337221364,2019-11-09T14:07:01.364,2.247,0.133,0.687,0.764
1573337221404,2019-11-09T14:07:01.404,2.287,0.127,0.695,0.757
1573337221443,2019-11-09T14:07:01.443,2.326,0.133,0.686,0.759
1573337221484,2019-11-09T14:07:01.484,2.367,0.139,0.667,0.769
1573337221524,2019-11-09T14:07:01.524,2.407,0.141,0.649,0.776
1573337221565,2019-11-09T14:07:01.565,2.448,0.144,0.643,0.779
1573337221604,2019-11-09T14:07:01.604,2.487,0.142,0.653,0.776
1573337221644,2019-11-09T14:07:01.644,2.527,0.137,0.667,0.769
1573337221685,2019-11-09T14:07:01.685,2.568,0.133,0.677,0.764
1573337221724,2019-11-09T14:07:01.724,2.607,0.135,0.676,0.765
1573337221765,2019-11-09T14:07:01.765,2.648,0.138,0.667,0.769
1573337221805,2019-11-09T14:07:01.805,2.688,0.141,0.657,0.774
1573337221844,2019-11-09T14:07:01.844,2.727,0.141,0.655,0.774
1573337221885,2019-11-09T14:07:01.885,2.768,0.139,0.661,0.772
1573337221925,2019-11-09T14:07:01.925,2.808,0.138,0.668,0.768
1573337221966,2019-11-09T14:07:01.966,2.849,0.137,0.672,0.767
1573337222006,2019-11-09T14:07:02.006,2.889,0.139,0.667,0.770
