epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572991866068,2019-11-05T14:11:06.068,0.000,-0.189,0.433,0.920
1572991866107,2019-11-05T14:11:06.107,0.039,-0.187,0.435,0.929
1572991866147,2019-11-05T14:11:06.147,0.079,-0.187,0.425,0.930
1572991866188,2019-11-05T14:11:06.188,0.120,-0.186,0.418,0.921
1572991866228,2019-11-05T14:11:06.228,0.160,-0.195,0.424,0.928
1572991866269,2019-11-05T14:11:06.269,0.201,-0.190,0.441,0.922
1572991866308,2019-11-05T14:11:06.308,0.240,-0.191,0.445,0.919
1572991866348,2019-11-05T14:11:06.348,0.280,-0.190,0.450,0.925
1572991866389,2019-11-05T14:11:06.389,0.321,-0.182,0.451,0.930
1572991866428,2019-11-05T14:11:06.428,0.360,-0.185,0.449,0.924
1572991866469,2019-11-05T14:11:06.469,0.401,-0.189,0.449,0.921
1572991866509,2019-11-05T14:11:06.509,0.441,-0.188,0.446,0.927
1572991866548,2019-11-05T14:11:06.548,0.480,-0.183,0.442,0.919
1572991866589,2019-11-05T14:11:06.589,0.521,-0.187,0.437,0.923
1572991866629,2019-11-05T14:11:06.629,0.561,-0.181,0.436,0.923
1572991866670,2019-11-05T14:11:06.670,0.602,-0.189,0.436,0.928
1572991866709,2019-11-05T14:11:06.709,0.641,-0.192,0.435,0.919
1572991866749,2019-11-05T14:11:06.749,0.681,-0.195,0.443,0.923
1572991866790,2019-11-05T14:11:06.790,0.722,-0.192,0.438,0.921
1572991866830,2019-11-05T14:11:06.830,0.762,-0.181,0.434,0.930
1572991866871,2019-11-05T14:11:06.871,0.803,-0.179,0.439,0.933
1572991866910,2019-11-05T14:11:06.910,0.842,-0.185,0.440,0.922
1572991866950,2019-11-05T14:11:06.950,0.882,-0.192,0.437,0.924
1572991866991,2019-11-05T14:11:06.991,0.923,-0.192,0.441,0.933
1572991867030,2019-11-05T14:11:07.030,0.962,-0.185,0.438,0.917
1572991867071,2019-11-05T14:11:07.071,1.003,-0.188,0.425,0.916
1572991867111,2019-11-05T14:11:07.111,1.043,-0.183,0.436,0.935
1572991867150,2019-11-05T14:11:07.150,1.082,-0.176,0.431,0.932
1572991867191,2019-11-05T14:11:07.191,1.123,-0.190,0.436,0.922
1572991867231,2019-11-05T14:11:07.231,1.163,-0.194,0.443,0.929
1572991867270,2019-11-05T14:11:07.270,1.202,-0.190,0.445,0.920
1572991867311,2019-11-05T14:11:07.311,1.243,-0.192,0.440,0.917
1572991867351,2019-11-05T14:11:07.351,1.283,-0.185,0.441,0.923
1572991867392,2019-11-05T14:11:07.392,1.324,-0.180,0.444,0.930
1572991867432,2019-11-05T14:11:07.432,1.364,-0.181,0.446,0.921
1572991867471,2019-11-05T14:11:07.471,1.403,-0.185,0.448,0.919
1572991867512,2019-11-05T14:11:07.512,1.444,-0.194,0.443,0.920
1572991867552,2019-11-05T14:11:07.552,1.484,-0.190,0.439,0.917
1572991867593,2019-11-05T14:11:07.593,1.525,-0.184,0.436,0.928
1572991867632,2019-11-05T14:11:07.632,1.564,-0.181,0.437,0.926
1572991867672,2019-11-05T14:11:07.672,1.604,-0.185,0.438,0.926
1572991867713,2019-11-05T14:11:07.713,1.645,-0.187,0.438,0.922
1572991867752,2019-11-05T14:11:07.752,1.684,-0.186,0.445,0.916
1572991867793,2019-11-05T14:11:07.793,1.725,-0.188,0.444,0.928
1572991867833,2019-11-05T14:11:07.833,1.765,-0.181,0.441,0.924
1572991867873,2019-11-05T14:11:07.873,1.805,-0.185,0.444,0.916
1572991867914,2019-11-05T14:11:07.914,1.846,-0.190,0.447,0.929
1572991867953,2019-11-05T14:11:07.953,1.885,-0.181,0.443,0.925
1572991867994,2019-11-05T14:11:07.994,1.926,-0.182,0.437,0.921
1572991868034,2019-11-05T14:11:08.034,1.966,-0.183,0.439,0.928
1572991868073,2019-11-05T14:11:08.073,2.005,-0.183,0.439,0.930
1572991868114,2019-11-05T14:11:08.114,2.046,-0.182,0.439,0.921
1572991868154,2019-11-05T14:11:08.154,2.086,-0.180,0.444,0.928
1572991868195,2019-11-05T14:11:08.195,2.127,-0.177,0.445,0.929
1572991868234,2019-11-05T14:11:08.234,2.166,-0.182,0.439,0.924
1572991868274,2019-11-05T14:11:08.274,2.206,-0.185,0.446,0.927
1572991868315,2019-11-05T14:11:08.315,2.247,-0.180,0.445,0.924
1572991868354,2019-11-05T14:11:08.354,2.286,-0.188,0.444,0.927
1572991868395,2019-11-05T14:11:08.395,2.327,-0.186,0.446,0.920
1572991868435,2019-11-05T14:11:08.435,2.367,-0.188,0.443,0.917
1572991868475,2019-11-05T14:11:08.475,2.407,-0.188,0.442,0.924
1572991868516,2019-11-05T14:11:08.516,2.448,-0.184,0.445,0.927
1572991868555,2019-11-05T14:11:08.555,2.487,-0.180,0.442,0.919
1572991868596,2019-11-05T14:11:08.596,2.528,-0.188,0.438,0.926
1572991868636,2019-11-05T14:11:08.636,2.568,-0.187,0.441,0.928
1572991868675,2019-11-05T14:11:08.675,2.607,-0.182,0.447,0.926
