epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573107673856,2019-11-06T22:21:13.856,0.000,0.678,-0.629,0.576
1573107673895,2019-11-06T22:21:13.895,0.039,0.633,-0.708,0.474
1573107673936,2019-11-06T22:21:13.936,0.080,0.551,-0.720,0.389
1573107673976,2019-11-06T22:21:13.976,0.120,0.584,-0.519,0.446
1573107674017,2019-11-06T22:21:14.017,0.161,0.531,-0.630,0.510
1573107674056,2019-11-06T22:21:14.056,0.200,0.302,-1.178,0.683
1573107674096,2019-11-06T22:21:14.096,0.240,0.514,-1.065,1.044
1573107674137,2019-11-06T22:21:14.137,0.281,1.037,-0.260,1.387
1573107674176,2019-11-06T22:21:14.176,0.320,1.101,0.289,1.458
1573107674216,2019-11-06T22:21:14.216,0.360,1.188,0.845,1.146
1573107674257,2019-11-06T22:21:14.257,0.401,1.339,0.869,0.699
1573107674298,2019-11-06T22:21:14.298,0.442,0.840,0.552,0.319
1573107674338,2019-11-06T22:21:14.338,0.482,-0.297,0.020,-0.040
1573107674377,2019-11-06T22:21:14.377,0.521,-2.748,-2.301,-0.161
1573107674418,2019-11-06T22:21:14.418,0.562,-2.578,-2.486,0.129
1573107674458,2019-11-06T22:21:14.458,0.602,-0.725,-0.924,0.410
1573107674497,2019-11-06T22:21:14.497,0.641,0.078,-0.162,0.755
1573107674538,2019-11-06T22:21:14.538,0.682,0.884,-0.106,0.947
1573107674578,2019-11-06T22:21:14.578,0.722,1.221,-0.202,0.925
1573107674617,2019-11-06T22:21:14.617,0.761,0.823,-0.648,0.833
1573107674658,2019-11-06T22:21:14.658,0.802,0.469,-0.771,0.857
1573107674698,2019-11-06T22:21:14.698,0.842,0.509,-0.649,0.900
1573107674739,2019-11-06T22:21:14.739,0.883,0.523,-1.001,0.848
1573107674779,2019-11-06T22:21:14.779,0.923,0.589,-0.864,0.810
1573107674818,2019-11-06T22:21:14.818,0.962,0.649,-0.614,0.705
1573107674859,2019-11-06T22:21:14.859,1.003,0.616,-0.662,0.585
1573107674899,2019-11-06T22:21:14.899,1.043,0.541,-0.742,0.523
1573107674940,2019-11-06T22:21:14.940,1.084,0.436,-0.793,0.491
1573107674979,2019-11-06T22:21:14.979,1.123,0.397,-0.822,0.472
1573107675019,2019-11-06T22:21:15.019,1.163,0.389,-0.751,0.505
1573107675060,2019-11-06T22:21:15.060,1.204,0.376,-0.699,0.512
1573107675099,2019-11-06T22:21:15.099,1.243,0.381,-0.646,0.536
1573107675140,2019-11-06T22:21:15.140,1.284,0.374,-0.680,0.565
1573107675180,2019-11-06T22:21:15.180,1.324,0.358,-0.765,0.598
1573107675219,2019-11-06T22:21:15.219,1.363,0.290,-0.838,0.580
1573107675260,2019-11-06T22:21:15.260,1.404,0.281,-0.763,0.515
1573107675300,2019-11-06T22:21:15.300,1.444,0.332,-0.723,0.464
1573107675341,2019-11-06T22:21:15.341,1.485,0.078,-0.811,0.764
1573107675381,2019-11-06T22:21:15.381,1.525,0.380,-0.465,1.031
1573107675420,2019-11-06T22:21:15.420,1.564,0.450,-0.659,0.587
1573107675461,2019-11-06T22:21:15.461,1.605,0.247,-0.835,0.782
