epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573107673775,2019-11-06T22:21:13.775,0.000,29.878,-47.378,50.549
1573107673816,2019-11-06T22:21:13.816,0.041,31.768,-48.659,48.598
1573107673856,2019-11-06T22:21:13.856,0.081,18.780,-47.988,35.671
1573107673895,2019-11-06T22:21:13.895,0.120,-30.244,-27.500,13.963
1573107673936,2019-11-06T22:21:13.936,0.161,-40.793,5.000,-2.439
1573107673976,2019-11-06T22:21:13.976,0.201,-14.573,31.890,-11.098
1573107674017,2019-11-06T22:21:14.017,0.242,-22.866,48.049,-15.976
1573107674056,2019-11-06T22:21:14.056,0.281,-21.768,42.073,-37.012
1573107674096,2019-11-06T22:21:14.096,0.321,13.415,18.415,-105.366
1573107674137,2019-11-06T22:21:14.137,0.362,-5.915,12.866,-176.037
1573107674178,2019-11-06T22:21:14.178,0.403,1.585,7.378,-159.573
1573107674217,2019-11-06T22:21:14.217,0.442,74.451,-29.024,-62.927
1573107674257,2019-11-06T22:21:14.257,0.482,84.634,-38.780,62.378
1573107674298,2019-11-06T22:21:14.298,0.523,77.012,-20.854,179.939
1573107674338,2019-11-06T22:21:14.338,0.563,-17.683,18.780,246.280
1573107674377,2019-11-06T22:21:14.377,0.602,-141.341,63.720,252.439
1573107674418,2019-11-06T22:21:14.418,0.643,-47.073,61.768,56.098
1573107674458,2019-11-06T22:21:14.458,0.683,50.732,49.329,-148.232
1573107674497,2019-11-06T22:21:14.497,0.722,40.610,20.183,-133.354
1573107674538,2019-11-06T22:21:14.538,0.763,-36.890,9.939,-68.232
1573107674578,2019-11-06T22:21:14.578,0.803,-96.585,46.829,0.854
1573107674619,2019-11-06T22:21:14.619,0.844,-92.988,78.963,46.951
1573107674658,2019-11-06T22:21:14.658,0.883,-10.305,36.098,72.195
1573107674698,2019-11-06T22:21:14.698,0.923,7.988,-31.159,70.610
1573107674739,2019-11-06T22:21:14.739,0.964,-44.329,-61.829,41.098
1573107674779,2019-11-06T22:21:14.779,1.004,-10.427,-74.573,15.610
1573107674818,2019-11-06T22:21:14.818,1.043,18.171,-56.951,3.598
1573107674859,2019-11-06T22:21:14.859,1.084,13.232,-33.110,1.098
1573107674899,2019-11-06T22:21:14.899,1.124,13.598,-21.159,-1.768
1573107674940,2019-11-06T22:21:14.940,1.165,8.537,-8.354,-11.890
1573107674979,2019-11-06T22:21:14.979,1.204,2.561,5.061,-22.256
1573107675019,2019-11-06T22:21:15.019,1.244,-3.110,16.585,-28.780
1573107675060,2019-11-06T22:21:15.060,1.285,-14.878,25.366,-33.476
1573107675099,2019-11-06T22:21:15.099,1.324,-21.037,28.659,-31.585
1573107675140,2019-11-06T22:21:15.140,1.365,-21.463,28.049,-26.585
1573107675180,2019-11-06T22:21:15.180,1.405,-23.415,31.707,-22.744
1573107675219,2019-11-06T22:21:15.219,1.444,-24.634,44.695,-18.780
1573107675260,2019-11-06T22:21:15.260,1.485,-26.951,56.890,-16.890
1573107675300,2019-11-06T22:21:15.300,1.525,-40.366,68.537,-23.537
1573107675341,2019-11-06T22:21:15.341,1.566,-27.195,67.744,-25.061
1573107675381,2019-11-06T22:21:15.381,1.606,24.878,12.439,-3.963
1573107675420,2019-11-06T22:21:15.420,1.645,-6.951,10.915,-3.049
1573107675461,2019-11-06T22:21:15.461,1.686,-4.512,19.512,-6.463
1573107675501,2019-11-06T22:21:15.501,1.726,27.988,6.159,-2.317
1573107675542,2019-11-06T22:21:15.542,1.767,48.171,1.890,-4.268
1573107675581,2019-11-06T22:21:15.581,1.806,37.317,0.366,-2.134
1573107675621,2019-11-06T22:21:15.621,1.846,18.841,-1.098,3.537
1573107675662,2019-11-06T22:21:15.662,1.887,14.634,-3.902,8.780
1573107675701,2019-11-06T22:21:15.701,1.926,17.805,-8.476,14.146
1573107675742,2019-11-06T22:21:15.742,1.967,25.854,-11.585,19.634
1573107675782,2019-11-06T22:21:15.782,2.007,28.110,-12.378,24.817
1573107675821,2019-11-06T22:21:15.821,2.046,29.329,-9.634,28.171
1573107675863,2019-11-06T22:21:15.863,2.088,28.354,-5.061,24.756
1573107675902,2019-11-06T22:21:15.902,2.127,15.000,4.512,23.232
1573107675943,2019-11-06T22:21:15.943,2.168,3.780,11.220,29.329
1573107675983,2019-11-06T22:21:15.983,2.208,-0.549,6.768,39.207
1573107676022,2019-11-06T22:21:16.022,2.247,-0.549,-7.683,46.768
1573107676063,2019-11-06T22:21:16.063,2.288,-9.390,-22.866,41.890
1573107676103,2019-11-06T22:21:16.103,2.328,-33.110,-28.049,28.780
1573107676144,2019-11-06T22:21:16.144,2.369,-37.744,-24.085,18.537
1573107676183,2019-11-06T22:21:16.183,2.408,-7.195,-19.878,9.817
1573107676223,2019-11-06T22:21:16.223,2.448,35.061,-16.220,-1.829
1573107676264,2019-11-06T22:21:16.264,2.489,58.963,-14.878,-12.561
1573107676303,2019-11-06T22:21:16.303,2.528,51.402,-15.000,-18.354
1573107676344,2019-11-06T22:21:16.344,2.569,32.805,-16.341,-19.085
1573107676384,2019-11-06T22:21:16.384,2.609,12.744,-18.415,-14.024
1573107676424,2019-11-06T22:21:16.424,2.649,0.976,-20.244,-5.061
1573107676465,2019-11-06T22:21:16.465,2.690,-3.659,-19.329,4.573
1573107676504,2019-11-06T22:21:16.504,2.729,-7.195,-15.061,15.976
1573107676545,2019-11-06T22:21:16.545,2.770,-9.085,-11.280,28.780
1573107676585,2019-11-06T22:21:16.585,2.810,-11.159,-9.756,38.537
1573107676624,2019-11-06T22:21:16.624,2.849,-15.732,-7.561,44.512
1573107676665,2019-11-06T22:21:16.665,2.890,-22.561,-4.573,47.195
1573107676705,2019-11-06T22:21:16.705,2.930,-27.012,-1.951,48.963
