epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573003502171,2019-11-05T17:25:02.171,0.000,-0.950,-0.308,-0.358
1573003502211,2019-11-05T17:25:02.211,0.040,-0.858,-0.374,-0.314
1573003502250,2019-11-05T17:25:02.250,0.079,-0.782,-0.341,-0.232
1573003502291,2019-11-05T17:25:02.291,0.120,-0.778,-0.561,-0.317
1573003502331,2019-11-05T17:25:02.331,0.160,-0.848,-0.618,-0.265
1573003502372,2019-11-05T17:25:02.372,0.201,-0.991,-0.355,-0.327
1573003502412,2019-11-05T17:25:02.412,0.241,-1.076,-0.438,-0.264
1573003502451,2019-11-05T17:25:02.451,0.280,-1.100,-0.453,-0.392
1573003502492,2019-11-05T17:25:02.492,0.321,-0.933,-0.586,0.012
1573003502532,2019-11-05T17:25:02.532,0.361,-0.840,-0.192,-0.295
1573003502573,2019-11-05T17:25:02.573,0.402,-1.085,-0.156,-0.665
1573003502612,2019-11-05T17:25:02.612,0.441,-1.367,0.317,0.356
1573003502652,2019-11-05T17:25:02.652,0.481,-0.520,0.125,1.142
1573003502693,2019-11-05T17:25:02.693,0.522,-0.802,0.060,2.052
1573003502732,2019-11-05T17:25:02.732,0.561,0.336,-0.548,-0.100
1573003502773,2019-11-05T17:25:02.773,0.602,-1.038,-0.406,0.887
1573003502813,2019-11-05T17:25:02.813,0.642,-0.966,-0.706,0.555
1573003502852,2019-11-05T17:25:02.852,0.681,-0.689,-0.117,-0.265
1573003502893,2019-11-05T17:25:02.893,0.722,-1.538,0.409,-0.758
1573003502933,2019-11-05T17:25:02.933,0.762,-2.802,0.413,-0.335
1573003502974,2019-11-05T17:25:02.974,0.803,-1.345,0.693,-0.085
1573003503014,2019-11-05T17:25:03.014,0.843,-0.286,0.175,-0.080
1573003503053,2019-11-05T17:25:03.053,0.882,-0.338,0.221,-0.001
1573003503094,2019-11-05T17:25:03.094,0.923,-2.334,-0.206,0.230
1573003503134,2019-11-05T17:25:03.134,0.963,-0.496,-0.274,0.681
1573003503175,2019-11-05T17:25:03.175,1.004,0.000,-0.772,1.231
1573003503214,2019-11-05T17:25:03.214,1.043,-0.694,-0.551,0.805
1573003503254,2019-11-05T17:25:03.254,1.083,-1.186,0.303,0.171
1573003503295,2019-11-05T17:25:03.295,1.124,-0.682,0.226,0.783
1573003503334,2019-11-05T17:25:03.334,1.163,-0.071,-0.534,0.772
1573003503375,2019-11-05T17:25:03.375,1.204,-0.137,-0.456,0.410
1573003503415,2019-11-05T17:25:03.415,1.244,-0.244,-0.325,0.639
1573003503454,2019-11-05T17:25:03.454,1.283,-0.200,-0.034,0.221
1573003503496,2019-11-05T17:25:03.496,1.325,-0.527,-0.886,-0.098
1573003503535,2019-11-05T17:25:03.535,1.364,0.212,-2.941,-0.162
1573003503576,2019-11-05T17:25:03.576,1.405,0.034,-1.581,0.973
1573003503616,2019-11-05T17:25:03.616,1.445,-0.553,-0.637,-0.166
1573003503655,2019-11-05T17:25:03.655,1.484,-0.703,-0.616,-0.251
1573003503696,2019-11-05T17:25:03.696,1.525,-0.692,-0.775,-0.043
1573003503736,2019-11-05T17:25:03.736,1.565,-0.533,-0.944,0.053
1573003503775,2019-11-05T17:25:03.775,1.604,-0.290,-0.891,0.410
1573003503816,2019-11-05T17:25:03.816,1.645,-0.440,-0.921,0.312
1573003503856,2019-11-05T17:25:03.856,1.685,-0.774,-0.611,0.035
1573003503897,2019-11-05T17:25:03.897,1.726,-0.525,-1.160,-0.229
1573003503936,2019-11-05T17:25:03.936,1.765,-0.332,-1.160,0.273
1573003503976,2019-11-05T17:25:03.976,1.805,-0.394,-0.916,0.719
1573003504017,2019-11-05T17:25:04.017,1.846,-0.321,-0.203,0.707
1573003504057,2019-11-05T17:25:04.057,1.886,-0.619,-0.697,0.095
1573003504098,2019-11-05T17:25:04.098,1.927,-0.396,-0.758,0.011
1573003504137,2019-11-05T17:25:04.137,1.966,-0.378,-1.387,0.030
1573003504178,2019-11-05T17:25:04.178,2.007,-0.525,-0.929,0.452
1573003504218,2019-11-05T17:25:04.218,2.047,-0.509,-0.772,0.162
1573003504257,2019-11-05T17:25:04.257,2.086,-0.355,-0.862,-0.073
1573003504298,2019-11-05T17:25:04.298,2.127,-0.094,-1.120,0.291
1573003504338,2019-11-05T17:25:04.338,2.167,-0.327,-1.433,0.274
1573003504377,2019-11-05T17:25:04.377,2.206,-0.581,-0.758,0.069
1573003504418,2019-11-05T17:25:04.418,2.247,-0.732,-0.487,0.206
1573003504458,2019-11-05T17:25:04.458,2.287,-0.741,-0.668,0.169
1573003504499,2019-11-05T17:25:04.499,2.328,-0.706,-0.779,0.479
1573003504538,2019-11-05T17:25:04.538,2.367,-0.614,-0.886,0.391
1573003504578,2019-11-05T17:25:04.578,2.407,-0.708,-0.513,0.308
1573003504619,2019-11-05T17:25:04.619,2.448,-0.689,-0.407,0.349
1573003504660,2019-11-05T17:25:04.660,2.489,-0.668,-0.574,0.564
1573003504700,2019-11-05T17:25:04.700,2.529,-0.556,-0.413,0.567
1573003504739,2019-11-05T17:25:04.739,2.568,-0.583,-0.150,0.779
1573003504780,2019-11-05T17:25:04.780,2.609,-0.543,-0.019,0.917
1573003504820,2019-11-05T17:25:04.820,2.649,-0.672,-0.183,1.302
1573003504859,2019-11-05T17:25:04.859,2.688,-0.615,-0.247,0.277
1573003504900,2019-11-05T17:25:04.900,2.729,-0.501,-0.502,0.880
1573003504940,2019-11-05T17:25:04.940,2.769,-0.500,0.171,0.617
1573003504979,2019-11-05T17:25:04.979,2.808,-0.613,0.808,0.469
1573003505020,2019-11-05T17:25:05.020,2.849,-0.819,0.267,0.634
1573003505060,2019-11-05T17:25:05.060,2.889,-0.041,0.277,0.481
1573003505101,2019-11-05T17:25:05.101,2.930,-0.464,0.730,0.280
1573003505141,2019-11-05T17:25:05.141,2.970,-0.237,0.364,1.404
1573003505180,2019-11-05T17:25:05.180,3.009,-0.841,-0.621,1.655
1573003505221,2019-11-05T17:25:05.221,3.050,-0.056,-1.040,-0.040
1573003505261,2019-11-05T17:25:05.261,3.090,-0.572,-1.553,1.216
1573003505302,2019-11-05T17:25:05.302,3.131,-0.417,-0.268,0.748
1573003505341,2019-11-05T17:25:05.341,3.170,-0.368,-0.296,0.758
1573003505381,2019-11-05T17:25:05.381,3.210,-0.575,-0.348,0.801
1573003505422,2019-11-05T17:25:05.422,3.251,-0.486,-0.070,0.451
1573003505461,2019-11-05T17:25:05.461,3.290,-0.864,-0.056,0.394
1573003505502,2019-11-05T17:25:05.502,3.331,-0.690,-0.418,0.705
1573003505542,2019-11-05T17:25:05.542,3.371,-0.124,-0.283,0.721
1573003505581,2019-11-05T17:25:05.581,3.410,-0.412,-0.539,0.985
1573003505622,2019-11-05T17:25:05.622,3.451,-1.075,-0.825,1.518
1573003505662,2019-11-05T17:25:05.662,3.491,-0.721,-0.305,0.795
1573003505702,2019-11-05T17:25:05.702,3.531,-0.154,0.130,0.710
1573003505743,2019-11-05T17:25:05.743,3.572,-0.766,-0.688,0.816
1573003505782,2019-11-05T17:25:05.782,3.611,-0.343,-0.371,0.424
1573003505823,2019-11-05T17:25:05.823,3.652,0.167,0.145,1.070
1573003505863,2019-11-05T17:25:05.863,3.692,0.113,-0.417,1.403
1573003505902,2019-11-05T17:25:05.902,3.731,-0.166,-0.649,1.027
1573003505943,2019-11-05T17:25:05.943,3.772,-0.175,-0.520,0.722
1573003505983,2019-11-05T17:25:05.983,3.812,0.164,-0.310,0.567
1573003506024,2019-11-05T17:25:06.024,3.853,0.053,-0.427,0.667
1573003506063,2019-11-05T17:25:06.063,3.892,-0.204,-0.956,0.721
