epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573016775179,2019-11-05T21:06:15.179,0.000,2.439,2.378,-4.268
1573016775218,2019-11-05T21:06:15.218,0.039,2.439,2.256,-4.024
1573016775259,2019-11-05T21:06:15.259,0.080,3.598,2.683,-4.573
1573016775299,2019-11-05T21:06:15.299,0.120,3.780,2.988,-4.939
1573016775338,2019-11-05T21:06:15.338,0.159,4.085,3.354,-5.122
1573016775379,2019-11-05T21:06:15.379,0.200,4.573,3.902,-5.427
1573016775419,2019-11-05T21:06:15.419,0.240,3.720,4.512,-6.220
1573016775460,2019-11-05T21:06:15.460,0.281,4.085,5.366,-7.073
1573016775500,2019-11-05T21:06:15.500,0.321,3.963,5.427,-7.866
1573016775539,2019-11-05T21:06:15.539,0.360,4.207,4.207,-7.500
1573016775580,2019-11-05T21:06:15.580,0.401,5.244,2.988,-6.768
1573016775620,2019-11-05T21:06:15.620,0.441,4.268,2.866,-6.159
1573016775661,2019-11-05T21:06:15.661,0.482,2.317,3.415,-5.244
1573016775700,2019-11-05T21:06:15.700,0.521,0.854,3.354,-3.963
1573016775740,2019-11-05T21:06:15.740,0.561,0.488,2.439,-2.744
1573016775781,2019-11-05T21:06:15.781,0.602,1.159,0.915,-1.463
1573016775820,2019-11-05T21:06:15.820,0.641,1.707,-0.427,-0.366
1573016775860,2019-11-05T21:06:15.860,0.681,1.951,-1.341,0.610
1573016775901,2019-11-05T21:06:15.901,0.722,1.890,-1.646,1.037
1573016775940,2019-11-05T21:06:15.940,0.761,1.890,-1.707,1.829
1573016775981,2019-11-05T21:06:15.981,0.802,1.646,-1.646,2.683
1573016776021,2019-11-05T21:06:16.021,0.842,0.915,-1.524,3.415
1573016776061,2019-11-05T21:06:16.061,0.882,1.768,-1.402,4.085
1573016776102,2019-11-05T21:06:16.102,0.923,1.280,-1.524,4.451
1573016776141,2019-11-05T21:06:16.141,0.962,0.427,-1.220,5.183
1573016776182,2019-11-05T21:06:16.182,1.003,-1.585,-1.159,5.732
1573016776222,2019-11-05T21:06:16.222,1.043,-3.049,-1.829,6.768
1573016776261,2019-11-05T21:06:16.261,1.082,-2.073,-2.378,7.378
1573016776302,2019-11-05T21:06:16.302,1.123,-1.829,-1.951,6.829
1573016776342,2019-11-05T21:06:16.342,1.163,-1.768,-0.915,6.220
1573016776383,2019-11-05T21:06:16.383,1.204,-2.317,-0.122,5.732
1573016776422,2019-11-05T21:06:16.422,1.243,-2.744,-0.183,5.610
1573016776462,2019-11-05T21:06:16.462,1.283,-2.683,-0.732,5.671
1573016776503,2019-11-05T21:06:16.503,1.324,-2.378,-1.463,5.610
1573016776543,2019-11-05T21:06:16.543,1.364,-2.378,-1.707,5.244
1573016776584,2019-11-05T21:06:16.584,1.405,-2.378,-1.646,4.634
1573016776623,2019-11-05T21:06:16.623,1.444,-2.500,-1.159,4.024
1573016776663,2019-11-05T21:06:16.663,1.484,-2.256,-0.732,3.476
1573016776704,2019-11-05T21:06:16.704,1.525,-1.829,-0.610,2.805
1573016776743,2019-11-05T21:06:16.743,1.564,-2.012,-0.488,2.317
1573016776784,2019-11-05T21:06:16.784,1.605,-2.256,-0.427,2.012
1573016776824,2019-11-05T21:06:16.824,1.645,-1.463,-0.671,1.890
1573016776863,2019-11-05T21:06:16.863,1.684,-2.012,-1.402,1.524
1573016776904,2019-11-05T21:06:16.904,1.725,-1.646,-2.195,1.707
1573016776944,2019-11-05T21:06:16.944,1.765,-0.244,-2.683,1.768
1573016776985,2019-11-05T21:06:16.985,1.806,0.244,-2.500,1.402
1573016777024,2019-11-05T21:06:17.024,1.845,-0.244,-2.073,1.220
1573016777064,2019-11-05T21:06:17.064,1.885,-0.671,-1.768,1.098
1573016777105,2019-11-05T21:06:17.105,1.926,-1.280,-1.524,0.854
1573016777145,2019-11-05T21:06:17.145,1.966,-1.585,-1.585,0.793
1573016777184,2019-11-05T21:06:17.184,2.005,-1.220,-1.890,0.671
1573016777225,2019-11-05T21:06:17.225,2.046,-0.976,-2.195,0.549
1573016777265,2019-11-05T21:06:17.265,2.086,-1.524,-2.073,0.305
1573016777306,2019-11-05T21:06:17.306,2.127,-2.378,-1.768,-0.305
1573016777345,2019-11-05T21:06:17.345,2.166,-1.951,-1.098,-0.366
1573016777385,2019-11-05T21:06:17.385,2.206,-1.341,-0.793,-0.244
1573016777426,2019-11-05T21:06:17.426,2.247,-0.488,-0.793,0.122
1573016777465,2019-11-05T21:06:17.465,2.286,-1.037,-0.732,0.122
1573016777506,2019-11-05T21:06:17.506,2.327,-2.866,-0.671,-0.061
1573016777546,2019-11-05T21:06:17.546,2.367,-1.890,-0.488,-0.244
1573016777585,2019-11-05T21:06:17.585,2.406,-0.671,-0.183,-0.610
1573016777627,2019-11-05T21:06:17.627,2.448,-0.671,0.244,-0.732
1573016777666,2019-11-05T21:06:17.666,2.487,-0.427,0.549,-0.854
1573016777707,2019-11-05T21:06:17.707,2.528,-0.427,0.488,-0.976
1573016777747,2019-11-05T21:06:17.747,2.568,-0.122,0.366,-1.220
1573016777788,2019-11-05T21:06:17.788,2.609,0.305,0.366,-1.646
1573016777827,2019-11-05T21:06:17.827,2.648,-0.244,0.366,-1.829
1573016777867,2019-11-05T21:06:17.867,2.688,-0.610,0.244,-2.134
1573016777908,2019-11-05T21:06:17.908,2.729,-0.854,0.366,-2.500
1573016777947,2019-11-05T21:06:17.947,2.768,0.976,0.732,-2.683
1573016777987,2019-11-05T21:06:17.987,2.808,2.927,0.915,-2.988
1573016778028,2019-11-05T21:06:18.028,2.849,3.537,1.341,-3.110
1573016778067,2019-11-05T21:06:18.067,2.888,2.195,1.463,-3.415
1573016778108,2019-11-05T21:06:18.108,2.929,1.890,1.220,-2.927
1573016778148,2019-11-05T21:06:18.148,2.969,2.866,0.549,-2.256
1573016778188,2019-11-05T21:06:18.188,3.009,1.707,0.000,-1.707
1573016778229,2019-11-05T21:06:18.229,3.050,1.159,0.244,-1.341
1573016778268,2019-11-05T21:06:18.268,3.089,1.768,0.488,-1.280
1573016778309,2019-11-05T21:06:18.309,3.130,2.744,0.671,-1.159
1573016778349,2019-11-05T21:06:18.349,3.170,2.988,0.854,-1.159
1573016778388,2019-11-05T21:06:18.388,3.209,2.805,1.159,-1.159
1573016778429,2019-11-05T21:06:18.429,3.250,3.110,1.890,-0.976
1573016778469,2019-11-05T21:06:18.469,3.290,2.805,2.012,-1.159
1573016778510,2019-11-05T21:06:18.510,3.331,2.988,1.280,-0.671
1573016778549,2019-11-05T21:06:18.549,3.370,3.841,0.366,0.000
1573016778589,2019-11-05T21:06:18.589,3.410,2.866,-0.305,0.854
1573016778630,2019-11-05T21:06:18.630,3.451,1.829,-0.122,1.402
1573016778669,2019-11-05T21:06:18.669,3.490,0.427,0.061,1.585
1573016778709,2019-11-05T21:06:18.709,3.530,1.280,-0.305,2.256
1573016778750,2019-11-05T21:06:18.750,3.571,2.439,-0.549,2.744
1573016778790,2019-11-05T21:06:18.790,3.611,1.341,-0.061,2.866
1573016778831,2019-11-05T21:06:18.831,3.652,0.854,0.854,2.805
1573016778870,2019-11-05T21:06:18.870,3.691,2.073,1.280,2.622
1573016778910,2019-11-05T21:06:18.910,3.731,3.476,1.280,2.561
1573016778951,2019-11-05T21:06:18.951,3.772,4.085,1.402,2.500
1573016778990,2019-11-05T21:06:18.990,3.811,3.902,2.195,2.134
1573016779031,2019-11-05T21:06:19.031,3.852,2.622,3.841,1.341
1573016779071,2019-11-05T21:06:19.071,3.892,1.402,5.488,0.366
1573016779110,2019-11-05T21:06:19.110,3.931,2.195,6.280,-0.549
1573016779151,2019-11-05T21:06:19.151,3.972,3.476,6.220,-1.646
1573016779191,2019-11-05T21:06:19.191,4.012,5.915,7.134,-2.744
