epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573004836734,2019-11-05T17:47:16.734,0.000,-0.177,0.351,0.892
1573004836773,2019-11-05T17:47:16.773,0.039,-0.181,0.367,0.906
1573004836813,2019-11-05T17:47:16.813,0.079,-0.190,0.359,0.901
1573004836852,2019-11-05T17:47:16.852,0.118,-0.188,0.366,0.898
1573004836892,2019-11-05T17:47:16.892,0.158,-0.192,0.353,0.894
1573004836933,2019-11-05T17:47:16.933,0.199,-0.183,0.356,0.900
1573004836972,2019-11-05T17:47:16.972,0.238,-0.177,0.365,0.901
1573004837012,2019-11-05T17:47:17.012,0.278,-0.178,0.356,0.898
1573004837051,2019-11-05T17:47:17.051,0.317,-0.178,0.367,0.898
1573004837091,2019-11-05T17:47:17.091,0.357,-0.183,0.362,0.893
1573004837130,2019-11-05T17:47:17.130,0.396,-0.184,0.361,0.895
1573004837171,2019-11-05T17:47:17.171,0.437,-0.186,0.366,0.899
1573004837211,2019-11-05T17:47:17.211,0.477,-0.191,0.342,0.895
1573004837251,2019-11-05T17:47:17.251,0.517,-0.176,0.368,0.902
1573004837290,2019-11-05T17:47:17.290,0.556,-0.176,0.374,0.906
1573004837330,2019-11-05T17:47:17.330,0.596,-0.184,0.339,0.900
1573004837369,2019-11-05T17:47:17.369,0.635,-0.180,0.372,0.907
1573004837410,2019-11-05T17:47:17.410,0.676,-0.185,0.374,0.892
1573004837450,2019-11-05T17:47:17.450,0.716,-0.191,0.350,0.887
1573004837489,2019-11-05T17:47:17.489,0.755,-0.196,0.357,0.887
1573004837529,2019-11-05T17:47:17.529,0.795,-0.181,0.366,0.895
1573004837568,2019-11-05T17:47:17.568,0.834,-0.194,0.353,0.896
1573004837608,2019-11-05T17:47:17.608,0.874,-0.198,0.356,0.904
1573004837649,2019-11-05T17:47:17.649,0.915,-0.198,0.334,0.908
1573004837689,2019-11-05T17:47:17.689,0.955,-0.179,0.345,0.900
1573004837728,2019-11-05T17:47:17.728,0.994,-0.172,0.390,0.896
1573004837768,2019-11-05T17:47:17.768,1.034,-0.178,0.381,0.880
1573004837807,2019-11-05T17:47:17.807,1.073,-0.171,0.384,0.895
1573004837847,2019-11-05T17:47:17.847,1.113,-0.179,0.360,0.906
1573004837888,2019-11-05T17:47:17.888,1.154,-0.179,0.342,0.914
1573004837927,2019-11-05T17:47:17.927,1.193,-0.184,0.329,0.913
1573004837967,2019-11-05T17:47:17.967,1.233,-0.179,0.337,0.911
1573004838006,2019-11-05T17:47:18.006,1.272,-0.176,0.365,0.911
1573004838046,2019-11-05T17:47:18.046,1.312,-0.187,0.350,0.891
1573004838086,2019-11-05T17:47:18.086,1.352,-0.179,0.373,0.897
1573004838127,2019-11-05T17:47:18.127,1.393,-0.185,0.360,0.898
1573004838166,2019-11-05T17:47:18.166,1.432,-0.186,0.343,0.894
1573004838206,2019-11-05T17:47:18.206,1.472,-0.179,0.369,0.901
1573004838245,2019-11-05T17:47:18.245,1.511,-0.187,0.350,0.897
1573004838285,2019-11-05T17:47:18.285,1.551,-0.184,0.356,0.901
1573004838324,2019-11-05T17:47:18.324,1.590,-0.180,0.366,0.902
1573004838365,2019-11-05T17:47:18.365,1.631,-0.179,0.355,0.898
1573004838405,2019-11-05T17:47:18.405,1.671,-0.178,0.361,0.905
1573004838444,2019-11-05T17:47:18.444,1.710,-0.173,0.353,0.906
1573004838484,2019-11-05T17:47:18.484,1.750,-0.163,0.375,0.914
1573004838524,2019-11-05T17:47:18.524,1.790,-0.183,0.351,0.895
1573004838563,2019-11-05T17:47:18.563,1.829,-0.178,0.360,0.892
1573004838604,2019-11-05T17:47:18.604,1.870,-0.184,0.373,0.896
1573004838644,2019-11-05T17:47:18.644,1.910,-0.183,0.352,0.892
1573004838683,2019-11-05T17:47:18.683,1.949,-0.181,0.369,0.901
1573004838723,2019-11-05T17:47:18.723,1.989,-0.176,0.359,0.904
1573004838764,2019-11-05T17:47:18.764,2.030,-0.168,0.361,0.912
1573004838803,2019-11-05T17:47:18.803,2.069,-0.182,0.342,0.904
1573004838843,2019-11-05T17:47:18.843,2.109,-0.176,0.355,0.905
1573004838882,2019-11-05T17:47:18.882,2.148,-0.169,0.374,0.904
1573004838922,2019-11-05T17:47:18.922,2.188,-0.170,0.356,0.896
1573004838962,2019-11-05T17:47:18.962,2.228,-0.171,0.366,0.904
1573004839001,2019-11-05T17:47:19.001,2.267,-0.179,0.353,0.901
1573004839042,2019-11-05T17:47:19.042,2.308,-0.177,0.355,0.903
1573004839082,2019-11-05T17:47:19.082,2.348,-0.172,0.367,0.909
1573004839121,2019-11-05T17:47:19.121,2.387,-0.181,0.349,0.900
1573004839161,2019-11-05T17:47:19.161,2.427,-0.173,0.362,0.902
1573004839200,2019-11-05T17:47:19.200,2.466,-0.176,0.365,0.899
1573004839240,2019-11-05T17:47:19.240,2.506,-0.179,0.360,0.898
1573004839281,2019-11-05T17:47:19.281,2.547,-0.177,0.370,0.899
1573004839320,2019-11-05T17:47:19.320,2.586,-0.177,0.353,0.900
1573004839360,2019-11-05T17:47:19.360,2.626,-0.175,0.352,0.906
1573004839400,2019-11-05T17:47:19.400,2.666,-0.175,0.358,0.904
1573004839439,2019-11-05T17:47:19.439,2.705,-0.177,0.354,0.898
1573004839479,2019-11-05T17:47:19.479,2.745,-0.172,0.371,0.905
1573004839520,2019-11-05T17:47:19.520,2.786,-0.178,0.358,0.900
1573004839559,2019-11-05T17:47:19.559,2.825,-0.177,0.358,0.901
1573004839599,2019-11-05T17:47:19.599,2.865,-0.177,0.367,0.902
1573004839638,2019-11-05T17:47:19.638,2.904,-0.181,0.356,0.896
1573004839678,2019-11-05T17:47:19.678,2.944,-0.175,0.361,0.901
1573004839717,2019-11-05T17:47:19.717,2.983,-0.176,0.356,0.901
1573004839758,2019-11-05T17:47:19.758,3.024,-0.173,0.369,0.900
1573004839798,2019-11-05T17:47:19.798,3.064,-0.176,0.366,0.902
1573004839838,2019-11-05T17:47:19.838,3.104,-0.184,0.344,0.901
1573004839877,2019-11-05T17:47:19.877,3.143,-0.178,0.359,0.904
1573004839917,2019-11-05T17:47:19.917,3.183,-0.177,0.360,0.898
1573004839956,2019-11-05T17:47:19.956,3.222,-0.170,0.371,0.905
1573004839997,2019-11-05T17:47:19.997,3.263,-0.183,0.361,0.897
1573004840037,2019-11-05T17:47:20.037,3.303,-0.184,0.357,0.892
1573004840076,2019-11-05T17:47:20.076,3.342,-0.176,0.377,0.901
1573004840116,2019-11-05T17:47:20.116,3.382,-0.179,0.362,0.896
1573004840155,2019-11-05T17:47:20.155,3.421,-0.179,0.362,0.897
1573004840195,2019-11-05T17:47:20.195,3.461,-0.183,0.355,0.898
1573004840236,2019-11-05T17:47:20.236,3.502,-0.173,0.357,0.911
1573004840275,2019-11-05T17:47:20.275,3.541,-0.182,0.347,0.909
1573004840315,2019-11-05T17:47:20.315,3.581,-0.169,0.358,0.906
1573004840355,2019-11-05T17:47:20.355,3.621,-0.173,0.374,0.901
1573004840394,2019-11-05T17:47:20.394,3.660,-0.179,0.358,0.893
1573004840435,2019-11-05T17:47:20.435,3.701,-0.178,0.376,0.896
1573004840475,2019-11-05T17:47:20.475,3.741,-0.173,0.364,0.898
1573004840514,2019-11-05T17:47:20.514,3.780,-0.170,0.372,0.906
1573004840554,2019-11-05T17:47:20.554,3.820,-0.183,0.357,0.902
1573004840593,2019-11-05T17:47:20.593,3.859,-0.181,0.351,0.900
1573004840633,2019-11-05T17:47:20.633,3.899,-0.171,0.373,0.907
1573004840674,2019-11-05T17:47:20.674,3.940,-0.182,0.354,0.899
1573004840713,2019-11-05T17:47:20.713,3.979,-0.180,0.361,0.897
1573004840753,2019-11-05T17:47:20.753,4.019,-0.180,0.367,0.900
1573004840793,2019-11-05T17:47:20.793,4.059,-0.180,0.365,0.897
1573004840832,2019-11-05T17:47:20.832,4.098,-0.176,0.372,0.901
1573004840872,2019-11-05T17:47:20.872,4.138,-0.184,0.357,0.899
1573004840913,2019-11-05T17:47:20.913,4.179,-0.179,0.365,0.900
1573004840952,2019-11-05T17:47:20.952,4.218,-0.180,0.368,0.896
1573004840992,2019-11-05T17:47:20.992,4.258,-0.172,0.377,0.903
1573004841031,2019-11-05T17:47:21.031,4.297,-0.183,0.365,0.897
1573004841071,2019-11-05T17:47:21.071,4.337,-0.192,0.352,0.889
1573004841110,2019-11-05T17:47:21.110,4.376,-0.178,0.379,0.893
1573004841151,2019-11-05T17:47:21.151,4.417,-0.177,0.373,0.896
1573004841191,2019-11-05T17:47:21.191,4.457,-0.178,0.363,0.898
1573004841231,2019-11-05T17:47:21.231,4.497,-0.180,0.370,0.898
1573004841270,2019-11-05T17:47:21.270,4.536,-0.183,0.365,0.898
