epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573004836653,2019-11-05T17:47:16.653,0.000,-1.098,-0.427,0.061
1573004836694,2019-11-05T17:47:16.694,0.041,-1.220,-0.427,0.000
1573004836734,2019-11-05T17:47:16.734,0.081,0.061,-0.854,0.305
1573004836773,2019-11-05T17:47:16.773,0.120,0.427,-0.366,0.000
1573004836813,2019-11-05T17:47:16.813,0.160,-1.341,0.732,0.305
1573004836852,2019-11-05T17:47:16.852,0.199,-2.683,1.280,0.488
1573004836892,2019-11-05T17:47:16.892,0.239,-3.902,1.341,0.122
1573004836933,2019-11-05T17:47:16.933,0.280,-2.561,0.305,-0.244
1573004836972,2019-11-05T17:47:16.972,0.319,-0.610,-0.244,-0.976
1573004837012,2019-11-05T17:47:17.012,0.359,-0.427,-0.305,-0.976
1573004837051,2019-11-05T17:47:17.051,0.398,0.122,-0.549,-0.671
1573004837091,2019-11-05T17:47:17.091,0.438,0.610,-0.366,-0.610
1573004837130,2019-11-05T17:47:17.130,0.477,-0.732,-0.061,0.000
1573004837171,2019-11-05T17:47:17.171,0.518,-1.829,0.305,-0.061
1573004837211,2019-11-05T17:47:17.211,0.558,-0.366,-0.061,-0.183
1573004837251,2019-11-05T17:47:17.251,0.598,0.671,-0.915,0.427
1573004837290,2019-11-05T17:47:17.290,0.637,-1.585,0.244,0.305
1573004837330,2019-11-05T17:47:17.330,0.677,-2.561,0.915,-0.183
1573004837369,2019-11-05T17:47:17.369,0.716,-0.671,1.098,0.000
1573004837410,2019-11-05T17:47:17.410,0.757,-2.012,1.646,0.854
1573004837450,2019-11-05T17:47:17.450,0.797,-1.951,0.854,-0.122
1573004837489,2019-11-05T17:47:17.489,0.836,-0.549,-0.183,-0.976
1573004837529,2019-11-05T17:47:17.529,0.876,0.061,-1.159,-0.427
1573004837568,2019-11-05T17:47:17.568,0.915,-1.890,-1.463,-1.707
1573004837608,2019-11-05T17:47:17.608,0.955,-3.232,-0.854,-0.488
1573004837649,2019-11-05T17:47:17.649,0.996,-3.537,-0.427,0.366
1573004837689,2019-11-05T17:47:17.689,1.036,3.659,-1.585,0.427
1573004837728,2019-11-05T17:47:17.728,1.075,6.402,-2.012,-0.244
1573004837768,2019-11-05T17:47:17.768,1.115,0.854,-1.220,-0.732
1573004837807,2019-11-05T17:47:17.807,1.154,-4.146,-0.976,-0.305
1573004837847,2019-11-05T17:47:17.847,1.194,-8.963,0.000,-0.366
1573004837888,2019-11-05T17:47:17.888,1.235,-8.720,0.366,0.061
1573004837927,2019-11-05T17:47:17.927,1.274,-4.573,0.366,-0.061
1573004837967,2019-11-05T17:47:17.967,1.314,1.037,-0.305,-0.122
1573004838006,2019-11-05T17:47:18.006,1.353,3.841,-0.183,-0.366
1573004838046,2019-11-05T17:47:18.046,1.393,2.439,0.366,-0.366
1573004838087,2019-11-05T17:47:18.087,1.434,1.220,-0.183,-0.061
1573004838127,2019-11-05T17:47:18.127,1.474,-1.159,0.000,-0.488
1573004838166,2019-11-05T17:47:18.166,1.513,-1.341,-0.366,-0.122
1573004838206,2019-11-05T17:47:18.206,1.553,-0.671,-0.671,0.244
1573004838245,2019-11-05T17:47:18.245,1.592,-1.098,-0.549,-0.183
1573004838285,2019-11-05T17:47:18.285,1.632,-0.488,-0.854,0.122
