epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573014300093,2019-11-05T20:25:00.093,0.000,0.415,0.981,0.015
1573014300132,2019-11-05T20:25:00.132,0.039,0.416,0.985,0.021
1573014300172,2019-11-05T20:25:00.172,0.079,0.415,0.982,0.019
1573014300211,2019-11-05T20:25:00.211,0.118,0.408,0.991,0.023
1573014300251,2019-11-05T20:25:00.251,0.158,0.411,0.978,0.024
1573014300292,2019-11-05T20:25:00.292,0.199,0.418,0.990,0.024
1573014300331,2019-11-05T20:25:00.331,0.238,0.420,0.999,0.027
1573014300371,2019-11-05T20:25:00.371,0.278,0.419,0.985,0.027
1573014300411,2019-11-05T20:25:00.411,0.318,0.415,0.976,0.022
1573014300450,2019-11-05T20:25:00.450,0.357,0.402,0.970,0.021
1573014300490,2019-11-05T20:25:00.490,0.397,0.399,0.984,0.020
1573014300529,2019-11-05T20:25:00.529,0.436,0.399,0.978,0.020
1573014300570,2019-11-05T20:25:00.570,0.477,0.397,0.975,0.022
1573014300610,2019-11-05T20:25:00.610,0.517,0.404,0.991,0.029
1573014300649,2019-11-05T20:25:00.649,0.556,0.405,1.008,0.029
1573014300689,2019-11-05T20:25:00.689,0.596,0.404,0.985,0.024
1573014300728,2019-11-05T20:25:00.728,0.635,0.396,0.979,0.028
1573014300769,2019-11-05T20:25:00.769,0.676,0.396,0.978,0.025
1573014300809,2019-11-05T20:25:00.809,0.716,0.400,0.983,0.021
1573014300849,2019-11-05T20:25:00.849,0.756,0.400,1.000,0.018
1573014300888,2019-11-05T20:25:00.888,0.795,0.401,0.993,0.022
1573014300928,2019-11-05T20:25:00.928,0.835,0.406,0.991,0.015
1573014300967,2019-11-05T20:25:00.967,0.874,0.413,0.989,0.013
1573014301008,2019-11-05T20:25:01.008,0.915,0.422,1.010,0.021
1573014301048,2019-11-05T20:25:01.048,0.955,0.410,1.016,0.031
1573014301087,2019-11-05T20:25:01.087,0.994,0.386,0.998,0.031
1573014301127,2019-11-05T20:25:01.127,1.034,0.379,0.953,0.020
1573014301166,2019-11-05T20:25:01.166,1.073,0.383,0.965,0.020
1573014301206,2019-11-05T20:25:01.206,1.113,0.387,1.000,0.033
1573014301247,2019-11-05T20:25:01.247,1.154,0.386,1.005,0.042
1573014301287,2019-11-05T20:25:01.287,1.194,0.380,0.988,0.037
1573014301326,2019-11-05T20:25:01.326,1.233,0.379,0.973,0.031
1573014301366,2019-11-05T20:25:01.366,1.273,0.387,0.980,0.030
1573014301405,2019-11-05T20:25:01.405,1.312,0.394,0.994,0.031
1573014301445,2019-11-05T20:25:01.445,1.352,0.400,0.986,0.031
1573014301486,2019-11-05T20:25:01.486,1.393,0.400,0.984,0.027
1573014301525,2019-11-05T20:25:01.525,1.432,0.396,0.995,0.023
1573014301565,2019-11-05T20:25:01.565,1.472,0.398,0.989,0.027
1573014301604,2019-11-05T20:25:01.604,1.511,0.396,0.997,0.030
1573014301644,2019-11-05T20:25:01.644,1.551,0.397,1.002,0.026
1573014301684,2019-11-05T20:25:01.684,1.591,0.397,0.992,0.024
1573014301725,2019-11-05T20:25:01.725,1.632,0.393,0.989,0.023
1573014301764,2019-11-05T20:25:01.764,1.671,0.393,0.998,0.022
1573014301804,2019-11-05T20:25:01.804,1.711,0.392,1.006,0.021
1573014301843,2019-11-05T20:25:01.843,1.750,0.387,0.987,0.021
1573014301883,2019-11-05T20:25:01.883,1.790,0.381,0.990,0.018
1573014301922,2019-11-05T20:25:01.922,1.829,0.378,0.997,0.020
1573014301963,2019-11-05T20:25:01.963,1.870,0.385,0.984,0.019
1573014302003,2019-11-05T20:25:02.003,1.910,0.383,0.997,0.019
1573014302042,2019-11-05T20:25:02.042,1.949,0.382,0.998,0.020
1573014302082,2019-11-05T20:25:02.082,1.989,0.380,0.994,0.018
1573014302123,2019-11-05T20:25:02.123,2.030,0.379,0.994,0.016
1573014302161,2019-11-05T20:25:02.161,2.068,0.378,1.000,0.015
1573014302202,2019-11-05T20:25:02.202,2.109,0.375,1.004,0.023
1573014302242,2019-11-05T20:25:02.242,2.149,0.380,0.991,0.013
1573014302281,2019-11-05T20:25:02.281,2.188,0.371,0.996,0.019
1573014302321,2019-11-05T20:25:02.321,2.228,0.372,0.997,0.019
1573014302360,2019-11-05T20:25:02.360,2.267,0.374,0.997,0.014
1573014302400,2019-11-05T20:25:02.400,2.307,0.374,0.998,0.015
1573014302441,2019-11-05T20:25:02.441,2.348,0.376,1.005,0.020
1573014302480,2019-11-05T20:25:02.480,2.387,0.375,1.009,0.016
1573014302520,2019-11-05T20:25:02.520,2.427,0.372,0.999,0.017
1573014302559,2019-11-05T20:25:02.559,2.466,0.371,0.987,0.017
1573014302599,2019-11-05T20:25:02.599,2.506,0.372,0.995,0.020
1573014302640,2019-11-05T20:25:02.640,2.547,0.378,1.009,0.018
1573014302680,2019-11-05T20:25:02.680,2.587,0.380,1.001,0.021
1573014302719,2019-11-05T20:25:02.719,2.626,0.379,0.995,0.027
1573014302759,2019-11-05T20:25:02.759,2.666,0.376,0.999,0.025
1573014302798,2019-11-05T20:25:02.798,2.705,0.378,0.990,0.028
1573014302838,2019-11-05T20:25:02.838,2.745,0.378,1.000,0.031
1573014302879,2019-11-05T20:25:02.879,2.786,0.378,1.005,0.032
