epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573014300012,2019-11-05T20:25:00.012,0.000,-1.524,0.854,-0.183
1573014300052,2019-11-05T20:25:00.052,0.040,-1.220,1.098,-0.244
1573014300093,2019-11-05T20:25:00.093,0.081,-0.732,1.402,-0.366
1573014300132,2019-11-05T20:25:00.132,0.120,-1.707,1.220,-0.305
1573014300172,2019-11-05T20:25:00.172,0.160,-1.159,1.098,-0.122
1573014300211,2019-11-05T20:25:00.211,0.199,-1.159,1.220,-0.427
1573014300252,2019-11-05T20:25:00.252,0.240,-1.463,1.341,-1.037
1573014300292,2019-11-05T20:25:00.292,0.280,-0.671,1.585,-1.768
1573014300331,2019-11-05T20:25:00.331,0.319,-1.341,1.890,-1.707
1573014300371,2019-11-05T20:25:00.371,0.359,-3.354,2.256,-1.037
1573014300411,2019-11-05T20:25:00.411,0.399,-3.537,2.683,-0.732
1573014300450,2019-11-05T20:25:00.450,0.438,-2.561,2.927,-0.793
1573014300490,2019-11-05T20:25:00.490,0.478,-1.098,2.683,-1.098
1573014300531,2019-11-05T20:25:00.531,0.519,-0.366,1.890,-1.402
1573014300570,2019-11-05T20:25:00.570,0.558,0.305,1.341,-1.646
1573014300610,2019-11-05T20:25:00.610,0.598,1.707,0.854,-1.768
1573014300649,2019-11-05T20:25:00.649,0.637,0.732,0.610,-1.524
1573014300689,2019-11-05T20:25:00.689,0.677,-1.646,0.366,-0.793
1573014300728,2019-11-05T20:25:00.728,0.716,-1.280,0.427,-0.915
1573014300769,2019-11-05T20:25:00.769,0.757,-0.549,0.244,-1.646
1573014300809,2019-11-05T20:25:00.809,0.797,0.610,-0.061,-2.317
1573014300849,2019-11-05T20:25:00.849,0.837,1.280,-0.488,-2.012
1573014300888,2019-11-05T20:25:00.888,0.876,-0.122,-1.098,-0.854
1573014300928,2019-11-05T20:25:00.928,0.916,-0.732,-1.585,-0.366
1573014300967,2019-11-05T20:25:00.967,0.955,0.122,-1.098,-0.610
1573014301008,2019-11-05T20:25:01.008,0.996,0.549,0.061,-1.341
1573014301048,2019-11-05T20:25:01.048,1.036,-2.012,1.707,-1.402
1573014301087,2019-11-05T20:25:01.087,1.075,-6.890,2.683,-1.280
1573014301127,2019-11-05T20:25:01.127,1.115,-8.110,2.622,-2.012
1573014301166,2019-11-05T20:25:01.166,1.154,-2.683,1.890,-3.659
