epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573106585921,2019-11-06T22:03:05.921,0.000,23.415,-9.451,-12.500
1573106585960,2019-11-06T22:03:05.960,0.039,25.427,-7.866,-11.829
1573106586001,2019-11-06T22:03:06.001,0.080,42.256,1.646,-5.000
1573106586041,2019-11-06T22:03:06.041,0.120,68.598,15.610,4.634
1573106586080,2019-11-06T22:03:06.080,0.159,87.866,24.085,11.098
1573106586120,2019-11-06T22:03:06.120,0.199,89.146,27.256,9.207
1573106586159,2019-11-06T22:03:06.159,0.238,65.244,21.524,5.732
1573106586199,2019-11-06T22:03:06.199,0.278,47.805,14.878,2.988
1573106586240,2019-11-06T22:03:06.240,0.319,90.427,14.085,1.585
1573106586280,2019-11-06T22:03:06.280,0.359,150.427,11.463,3.841
1573106586319,2019-11-06T22:03:06.319,0.398,135.793,2.012,1.524
1573106586359,2019-11-06T22:03:06.359,0.438,62.622,-10.854,-2.378
1573106586398,2019-11-06T22:03:06.398,0.477,13.476,-20.061,0.549
1573106586438,2019-11-06T22:03:06.438,0.517,-22.195,-28.720,4.024
1573106586479,2019-11-06T22:03:06.479,0.558,-54.085,-36.524,3.659
1573106586518,2019-11-06T22:03:06.518,0.597,-107.134,-45.671,-0.915
1573106586558,2019-11-06T22:03:06.558,0.637,-192.683,-56.159,-8.780
1573106586597,2019-11-06T22:03:06.597,0.676,-235.061,-61.829,-17.134
1573106586637,2019-11-06T22:03:06.637,0.716,-205.366,-63.476,-20.610
1573106586678,2019-11-06T22:03:06.678,0.757,-164.207,-49.390,-18.720
1573106586718,2019-11-06T22:03:06.718,0.797,-107.317,-23.293,-12.683
1573106586757,2019-11-06T22:03:06.757,0.836,-22.134,4.085,-1.280
1573106586797,2019-11-06T22:03:06.797,0.876,51.098,23.841,12.378
1573106586836,2019-11-06T22:03:06.836,0.915,74.573,31.037,18.841
1573106586876,2019-11-06T22:03:06.876,0.955,55.122,28.598,13.171
1573106586917,2019-11-06T22:03:06.917,0.996,18.598,20.610,3.293
1573106586956,2019-11-06T22:03:06.956,1.035,-5.610,12.805,0.488
1573106586996,2019-11-06T22:03:06.996,1.075,4.024,11.829,5.183
1573106587035,2019-11-06T22:03:07.035,1.114,35.427,19.207,10.366
1573106587075,2019-11-06T22:03:07.075,1.154,54.756,27.866,11.341
1573106587115,2019-11-06T22:03:07.115,1.194,50.854,30.793,8.598
1573106587154,2019-11-06T22:03:07.154,1.233,40.000,27.195,6.829
1573106587195,2019-11-06T22:03:07.195,1.274,36.220,22.256,6.280
1573106587235,2019-11-06T22:03:07.235,1.314,38.293,20.122,7.927
1573106587274,2019-11-06T22:03:07.274,1.353,42.378,19.146,11.890
