epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573106715958,2019-11-06T22:05:15.958,0.000,122.866,-19.573,6.951
1573106715998,2019-11-06T22:05:15.998,0.040,109.024,-20.244,9.573
1573106716038,2019-11-06T22:05:16.038,0.080,48.476,-20.793,15.976
1573106716077,2019-11-06T22:05:16.077,0.119,30.671,-10.000,10.122
1573106716118,2019-11-06T22:05:16.118,0.160,72.012,8.841,1.402
1573106716158,2019-11-06T22:05:16.158,0.200,125.976,26.463,-0.244
1573106716197,2019-11-06T22:05:16.197,0.239,166.280,38.963,5.427
1573106716237,2019-11-06T22:05:16.237,0.279,180.244,40.854,9.268
1573106716276,2019-11-06T22:05:16.276,0.318,169.939,40.488,4.085
1573106716316,2019-11-06T22:05:16.316,0.358,113.841,44.878,-15.122
1573106716357,2019-11-06T22:05:16.357,0.399,27.073,56.037,-41.951
1573106716396,2019-11-06T22:05:16.396,0.438,-55.793,67.866,-75.061
1573106716436,2019-11-06T22:05:16.436,0.478,-113.720,83.293,-117.744
1573106716476,2019-11-06T22:05:16.476,0.518,-100.061,124.085,-152.500
1573106716515,2019-11-06T22:05:16.515,0.557,0.000,170.915,-178.476
1573106716556,2019-11-06T22:05:16.556,0.598,-13.963,179.817,-192.073
1573106716596,2019-11-06T22:05:16.596,0.638,-163.110,169.878,-182.927
1573106716635,2019-11-06T22:05:16.635,0.677,-238.720,175.854,-145.061
1573106716675,2019-11-06T22:05:16.675,0.717,-140.610,213.720,-96.829
1573106716714,2019-11-06T22:05:16.714,0.756,35.488,246.524,-66.463
1573106716754,2019-11-06T22:05:16.754,0.796,153.841,243.232,-67.317
1573106716795,2019-11-06T22:05:16.795,0.837,128.659,190.976,-82.256
1573106716834,2019-11-06T22:05:16.834,0.876,47.134,132.500,-90.671
1573106716874,2019-11-06T22:05:16.874,0.916,8.720,90.549,-84.085
1573106716914,2019-11-06T22:05:16.914,0.956,47.012,82.134,-72.073
1573106716953,2019-11-06T22:05:16.953,0.995,123.963,101.159,-70.976
1573106716994,2019-11-06T22:05:16.994,1.036,200.061,113.293,-82.744
1573106717034,2019-11-06T22:05:17.034,1.076,320.305,49.024,-65.915
1573106717073,2019-11-06T22:05:17.073,1.115,305.610,1.890,-43.476
1573106717113,2019-11-06T22:05:17.113,1.155,195.549,10.122,-34.024
1573106717152,2019-11-06T22:05:17.152,1.194,82.256,2.439,-31.220
1573106717192,2019-11-06T22:05:17.192,1.234,-14.451,-10.549,-39.329
1573106717231,2019-11-06T22:05:17.231,1.273,-64.817,-4.512,-43.476
1573106717272,2019-11-06T22:05:17.272,1.314,-49.573,3.720,-42.012
1573106717312,2019-11-06T22:05:17.312,1.354,16.098,1.890,-33.354
1573106717352,2019-11-06T22:05:17.352,1.394,60.732,-2.927,-20.000
1573106717391,2019-11-06T22:05:17.391,1.433,40.488,-1.951,-12.683
1573106717431,2019-11-06T22:05:17.431,1.473,12.317,-1.341,-9.146
1573106717470,2019-11-06T22:05:17.470,1.512,7.927,-1.707,-6.768
1573106717511,2019-11-06T22:05:17.511,1.553,13.598,-2.805,-6.829
1573106717551,2019-11-06T22:05:17.551,1.593,17.500,-4.878,-6.524
1573106717590,2019-11-06T22:05:17.590,1.632,25.793,-2.134,-0.366
1573106717630,2019-11-06T22:05:17.630,1.672,13.841,-2.317,-0.976
1573106717669,2019-11-06T22:05:17.669,1.711,3.963,-2.500,-6.646
1573106717709,2019-11-06T22:05:17.709,1.751,17.012,0.976,-8.110
1573106717750,2019-11-06T22:05:17.750,1.792,20.305,5.366,-7.195
1573106717790,2019-11-06T22:05:17.790,1.832,29.146,13.598,-7.134
1573106717829,2019-11-06T22:05:17.829,1.871,57.866,12.744,-5.976
1573106717869,2019-11-06T22:05:17.869,1.911,71.341,2.378,-0.244
1573106717908,2019-11-06T22:05:17.908,1.950,34.939,-3.598,5.183
1573106717948,2019-11-06T22:05:17.948,1.990,-8.232,-6.037,2.317
1573106717989,2019-11-06T22:05:17.989,2.031,-38.354,-9.878,-6.402
1573106718028,2019-11-06T22:05:18.028,2.070,-51.037,-10.366,-8.476
1573106718068,2019-11-06T22:05:18.068,2.110,-39.573,-12.256,-4.268
1573106718107,2019-11-06T22:05:18.107,2.149,-17.927,-16.707,0.915
1573106718147,2019-11-06T22:05:18.147,2.189,0.732,-20.793,1.890
1573106718188,2019-11-06T22:05:18.188,2.230,14.268,-22.500,-2.500
1573106718228,2019-11-06T22:05:18.228,2.270,30.610,-20.000,-11.280
1573106718267,2019-11-06T22:05:18.267,2.309,53.963,-14.695,-19.634
1573106718307,2019-11-06T22:05:18.307,2.349,77.927,-6.768,-25.488
1573106718348,2019-11-06T22:05:18.348,2.390,94.878,3.232,-33.780
1573106718386,2019-11-06T22:05:18.386,2.428,98.841,13.415,-45.000
1573106718427,2019-11-06T22:05:18.427,2.469,84.268,19.756,-51.220
1573106718468,2019-11-06T22:05:18.468,2.510,65.549,23.720,-48.049
1573106718506,2019-11-06T22:05:18.506,2.548,63.110,30.549,-39.207
1573106718545,2019-11-06T22:05:18.545,2.587,67.012,37.561,-29.939
1573106718585,2019-11-06T22:05:18.585,2.627,55.671,40.366,-27.256
1573106718625,2019-11-06T22:05:18.625,2.667,27.866,39.756,-31.646
1573106718666,2019-11-06T22:05:18.666,2.708,-3.049,35.549,-34.207
1573106718705,2019-11-06T22:05:18.705,2.747,-17.683,27.378,-25.976
1573106718745,2019-11-06T22:05:18.745,2.787,-13.841,14.146,-4.268
1573106718784,2019-11-06T22:05:18.784,2.826,1.341,-0.976,21.646
1573106718824,2019-11-06T22:05:18.824,2.866,16.159,-15.488,42.317
1573106718863,2019-11-06T22:05:18.863,2.905,17.744,-27.317,55.549
1573106718904,2019-11-06T22:05:18.904,2.946,8.171,-34.634,58.354
1573106718944,2019-11-06T22:05:18.944,2.986,-1.829,-34.756,51.768
1573106718983,2019-11-06T22:05:18.983,3.025,-3.476,-27.805,40.122
1573106719023,2019-11-06T22:05:19.023,3.065,-5.000,-17.744,29.390
1573106719062,2019-11-06T22:05:19.062,3.104,-14.329,-8.963,20.854
1573106719102,2019-11-06T22:05:19.102,3.144,-22.988,-0.061,10.854
1573106719143,2019-11-06T22:05:19.143,3.185,-23.720,10.915,-2.439
1573106719183,2019-11-06T22:05:19.183,3.225,-22.988,20.305,-16.524
1573106719222,2019-11-06T22:05:19.222,3.264,-24.878,25.122,-27.927
1573106719262,2019-11-06T22:05:19.262,3.304,-19.329,25.610,-36.220
1573106719301,2019-11-06T22:05:19.301,3.343,1.037,23.963,-41.951
1573106719341,2019-11-06T22:05:19.341,3.383,20.488,18.963,-44.634
1573106719382,2019-11-06T22:05:19.382,3.424,25.793,8.720,-42.622
1573106719421,2019-11-06T22:05:19.421,3.463,22.988,-3.659,-34.329
1573106719461,2019-11-06T22:05:19.461,3.503,19.512,-14.329,-20.610
1573106719500,2019-11-06T22:05:19.500,3.542,20.488,-20.427,-4.512
1573106719540,2019-11-06T22:05:19.540,3.582,28.171,-19.756,9.573
1573106719581,2019-11-06T22:05:19.581,3.623,31.159,-17.439,18.780
1573106719621,2019-11-06T22:05:19.621,3.663,17.683,-17.012,22.378
1573106719660,2019-11-06T22:05:19.660,3.702,-1.220,-16.951,18.841
1573106719700,2019-11-06T22:05:19.700,3.742,-9.207,-14.207,8.780
1573106719739,2019-11-06T22:05:19.739,3.781,-8.415,-9.024,-1.159
1573106719779,2019-11-06T22:05:19.779,3.821,-8.659,-4.878,-6.585
1573106719820,2019-11-06T22:05:19.820,3.862,-12.012,-2.012,-8.780
1573106719859,2019-11-06T22:05:19.859,3.901,-14.268,-0.488,-10.549
1573106719899,2019-11-06T22:05:19.899,3.941,0.244,0.915,-11.585
1573106719938,2019-11-06T22:05:19.938,3.980,42.866,5.854,-11.829
1573106719978,2019-11-06T22:05:19.978,4.020,96.220,12.805,-14.451
1573106720018,2019-11-06T22:05:20.018,4.060,134.817,17.073,-20.610
1573106720059,2019-11-06T22:05:20.059,4.101,150.610,16.707,-27.622
1573106720098,2019-11-06T22:05:20.098,4.140,145.549,13.415,-34.634
1573106720138,2019-11-06T22:05:20.138,4.180,128.293,9.329,-37.805
1573106720177,2019-11-06T22:05:20.177,4.219,109.512,5.549,-33.720
1573106720217,2019-11-06T22:05:20.217,4.259,89.756,2.683,-26.951
1573106720256,2019-11-06T22:05:20.256,4.298,65.000,2.012,-22.195
1573106720297,2019-11-06T22:05:20.297,4.339,36.768,4.085,-21.098
1573106720337,2019-11-06T22:05:20.337,4.379,4.390,5.183,-21.646
1573106720376,2019-11-06T22:05:20.376,4.418,-23.415,6.829,-21.524
1573106720416,2019-11-06T22:05:20.416,4.458,-47.622,7.134,-19.878
1573106720456,2019-11-06T22:05:20.456,4.498,-73.293,2.927,-15.366
