epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573337203158,2019-11-09T14:06:43.158,0.000,0.186,0.299,0.944
1573337203198,2019-11-09T14:06:43.198,0.040,0.187,0.303,0.951
1573337203237,2019-11-09T14:06:43.237,0.079,0.187,0.302,0.948
1573337203277,2019-11-09T14:06:43.277,0.119,0.188,0.302,0.949
1573337203318,2019-11-09T14:06:43.318,0.160,0.187,0.301,0.950
1573337203357,2019-11-09T14:06:43.357,0.199,0.187,0.302,0.948
1573337203397,2019-11-09T14:06:43.397,0.239,0.187,0.302,0.949
1573337203436,2019-11-09T14:06:43.436,0.278,0.187,0.302,0.951
1573337203476,2019-11-09T14:06:43.476,0.318,0.187,0.302,0.950
1573337203515,2019-11-09T14:06:43.515,0.357,0.187,0.302,0.951
1573337203556,2019-11-09T14:06:43.556,0.398,0.187,0.303,0.949
1573337203596,2019-11-09T14:06:43.596,0.438,0.186,0.301,0.949
1573337203636,2019-11-09T14:06:43.636,0.478,0.187,0.301,0.949
1573337203675,2019-11-09T14:06:43.675,0.517,0.186,0.302,0.950
1573337203715,2019-11-09T14:06:43.715,0.557,0.187,0.302,0.950
1573337203754,2019-11-09T14:06:43.754,0.596,0.187,0.302,0.950
1573337203795,2019-11-09T14:06:43.795,0.637,0.188,0.303,0.949
1573337203835,2019-11-09T14:06:43.835,0.677,0.188,0.301,0.949
1573337203874,2019-11-09T14:06:43.874,0.716,0.186,0.302,0.948
1573337203914,2019-11-09T14:06:43.914,0.756,0.186,0.301,0.949
1573337203953,2019-11-09T14:06:43.953,0.795,0.185,0.301,0.952
1573337203993,2019-11-09T14:06:43.993,0.835,0.186,0.302,0.952
1573337204034,2019-11-09T14:06:44.034,0.876,0.185,0.302,0.949
1573337204073,2019-11-09T14:06:44.073,0.915,0.187,0.302,0.949
1573337204113,2019-11-09T14:06:44.113,0.955,0.187,0.302,0.950
1573337204153,2019-11-09T14:06:44.153,0.995,0.186,0.302,0.950
1573337204192,2019-11-09T14:06:44.192,1.034,0.186,0.301,0.949
1573337204232,2019-11-09T14:06:44.232,1.074,0.187,0.302,0.950
1573337204273,2019-11-09T14:06:44.273,1.115,0.188,0.302,0.948
1573337204312,2019-11-09T14:06:44.312,1.154,0.187,0.301,0.951
1573337204352,2019-11-09T14:06:44.352,1.194,0.187,0.301,0.951
1573337204391,2019-11-09T14:06:44.391,1.233,0.187,0.302,0.950
1573337204431,2019-11-09T14:06:44.431,1.273,0.188,0.302,0.948
1573337204470,2019-11-09T14:06:44.470,1.312,0.186,0.302,0.951
1573337204511,2019-11-09T14:06:44.511,1.353,0.187,0.302,0.952
1573337204551,2019-11-09T14:06:44.551,1.393,0.188,0.301,0.951
1573337204591,2019-11-09T14:06:44.591,1.433,0.187,0.302,0.950
1573337204630,2019-11-09T14:06:44.630,1.472,0.186,0.302,0.951
1573337204670,2019-11-09T14:06:44.670,1.512,0.186,0.302,0.950
1573337204709,2019-11-09T14:06:44.709,1.551,0.187,0.300,0.951
1573337204750,2019-11-09T14:06:44.750,1.592,0.187,0.301,0.953
1573337204790,2019-11-09T14:06:44.790,1.632,0.188,0.302,0.952
1573337204829,2019-11-09T14:06:44.829,1.671,0.188,0.302,0.949
1573337204869,2019-11-09T14:06:44.869,1.711,0.187,0.301,0.950
1573337204908,2019-11-09T14:06:44.908,1.750,0.187,0.302,0.952
1573337204948,2019-11-09T14:06:44.948,1.790,0.187,0.302,0.950
1573337204989,2019-11-09T14:06:44.989,1.831,0.188,0.302,0.949
1573337205029,2019-11-09T14:06:45.029,1.871,0.187,0.303,0.950
1573337205068,2019-11-09T14:06:45.068,1.910,0.188,0.301,0.951
1573337205108,2019-11-09T14:06:45.108,1.950,0.187,0.301,0.951
1573337205147,2019-11-09T14:06:45.147,1.989,0.188,0.302,0.950
