epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573338118084,2019-11-09T14:21:58.084,0.000,-0.793,0.000,-0.427
1573338118123,2019-11-09T14:21:58.123,0.039,-1.280,-0.183,-0.427
1573338118163,2019-11-09T14:21:58.163,0.079,-0.915,-0.061,-0.183
1573338118202,2019-11-09T14:21:58.202,0.118,-0.793,-0.061,-0.183
1573338118242,2019-11-09T14:21:58.242,0.158,-0.854,-0.122,-0.244
1573338118283,2019-11-09T14:21:58.283,0.199,-0.854,-0.061,-0.183
1573338118322,2019-11-09T14:21:58.322,0.238,-0.854,-0.061,-0.183
1573338118362,2019-11-09T14:21:58.362,0.278,-0.854,-0.061,-0.244
1573338118401,2019-11-09T14:21:58.401,0.317,-0.854,-0.122,-0.244
1573338118441,2019-11-09T14:21:58.441,0.357,-0.854,-0.061,-0.244
1573338118481,2019-11-09T14:21:58.481,0.397,-0.854,-0.061,-0.244
1573338118522,2019-11-09T14:21:58.522,0.438,-0.915,-0.061,-0.183
1573338118561,2019-11-09T14:21:58.561,0.477,-0.854,-0.061,-0.244
1573338118601,2019-11-09T14:21:58.601,0.517,-0.854,0.000,-0.244
1573338118640,2019-11-09T14:21:58.640,0.556,-0.793,-0.061,-0.244
1573338118680,2019-11-09T14:21:58.680,0.596,-0.854,-0.122,-0.244
1573338118721,2019-11-09T14:21:58.721,0.637,-0.854,-0.061,-0.244
1573338118760,2019-11-09T14:21:58.760,0.676,-0.854,-0.061,-0.244
1573338118800,2019-11-09T14:21:58.800,0.716,-0.854,-0.122,-0.183
1573338118839,2019-11-09T14:21:58.839,0.755,-0.854,-0.061,-0.183
1573338118879,2019-11-09T14:21:58.879,0.795,-0.854,-0.061,-0.183
1573338118918,2019-11-09T14:21:58.918,0.834,-0.854,-0.061,-0.183
1573338118960,2019-11-09T14:21:58.960,0.876,-0.854,-0.061,-0.183
1573338118999,2019-11-09T14:21:58.999,0.915,-0.854,-0.061,-0.183
1573338119039,2019-11-09T14:21:59.039,0.955,-0.854,-0.061,-0.183
1573338119078,2019-11-09T14:21:59.078,0.994,-0.854,-0.061,-0.183
1573338119118,2019-11-09T14:21:59.118,1.034,-0.793,-0.122,-0.244
1573338119157,2019-11-09T14:21:59.157,1.073,-0.854,-0.061,-0.244
1573338119198,2019-11-09T14:21:59.198,1.114,-0.854,-0.122,-0.244
1573338119238,2019-11-09T14:21:59.238,1.154,-0.854,-0.061,-0.183
1573338119277,2019-11-09T14:21:59.277,1.193,-0.793,-0.122,-0.244
1573338119317,2019-11-09T14:21:59.317,1.233,-0.854,-0.061,-0.244
1573338119356,2019-11-09T14:21:59.356,1.272,-0.854,-0.061,-0.183
1573338119396,2019-11-09T14:21:59.396,1.312,-0.854,-0.061,-0.183
1573338119437,2019-11-09T14:21:59.437,1.353,-0.854,-0.061,-0.183
1573338119477,2019-11-09T14:21:59.477,1.393,-0.854,-0.061,-0.183
1573338119516,2019-11-09T14:21:59.516,1.432,-0.854,-0.061,-0.244
1573338119556,2019-11-09T14:21:59.556,1.472,-0.854,-0.061,-0.183
1573338119595,2019-11-09T14:21:59.595,1.511,-0.793,-0.061,-0.244
1573338119635,2019-11-09T14:21:59.635,1.551,-0.854,-0.061,-0.244
1573338119676,2019-11-09T14:21:59.676,1.592,-0.793,-0.122,-0.244
1573338119715,2019-11-09T14:21:59.715,1.631,-0.854,-0.122,-0.183
1573338119755,2019-11-09T14:21:59.755,1.671,-0.854,-0.061,-0.244
1573338119794,2019-11-09T14:21:59.794,1.710,-0.793,-0.061,-0.183
1573338119834,2019-11-09T14:21:59.834,1.750,-0.793,-0.122,-0.183
1573338119874,2019-11-09T14:21:59.874,1.790,-0.854,-0.061,-0.183
1573338119915,2019-11-09T14:21:59.915,1.831,-0.854,-0.061,-0.183
1573338119954,2019-11-09T14:21:59.954,1.870,-0.854,-0.122,-0.244
1573338119994,2019-11-09T14:21:59.994,1.910,-0.854,-0.061,-0.244
1573338120033,2019-11-09T14:22:00.033,1.949,-0.854,-0.061,-0.183
1573338120073,2019-11-09T14:22:00.073,1.989,-0.854,-0.061,-0.183
