epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573107657167,2019-11-06T22:20:57.167,0.000,-0.647,0.579,0.526
1573107657207,2019-11-06T22:20:57.207,0.040,-0.626,0.542,0.521
1573107657248,2019-11-06T22:20:57.248,0.081,-0.581,0.526,0.512
1573107657286,2019-11-06T22:20:57.286,0.119,-0.569,0.556,0.502
1573107657327,2019-11-06T22:20:57.327,0.160,-0.585,0.585,0.497
1573107657367,2019-11-06T22:20:57.367,0.200,-0.600,0.597,0.493
1573107657406,2019-11-06T22:20:57.406,0.239,-0.627,0.614,0.489
1573107657446,2019-11-06T22:20:57.446,0.279,-0.632,0.584,0.483
1573107657485,2019-11-06T22:20:57.485,0.318,-0.604,0.539,0.473
1573107657525,2019-11-06T22:20:57.525,0.358,-0.569,0.534,0.462
1573107657566,2019-11-06T22:20:57.566,0.399,-0.549,0.549,0.465
1573107657605,2019-11-06T22:20:57.605,0.438,-0.554,0.575,0.470
1573107657645,2019-11-06T22:20:57.645,0.478,-0.583,0.600,0.477
1573107657684,2019-11-06T22:20:57.684,0.517,-0.618,0.614,0.483
1573107657724,2019-11-06T22:20:57.724,0.557,-0.631,0.625,0.495
1573107657763,2019-11-06T22:20:57.763,0.596,-0.620,0.624,0.504
1573107657804,2019-11-06T22:20:57.804,0.637,-0.620,0.612,0.508
1573107657844,2019-11-06T22:20:57.844,0.677,-0.640,0.586,0.507
1573107657884,2019-11-06T22:20:57.884,0.717,-0.654,0.566,0.509
1573107657923,2019-11-06T22:20:57.923,0.756,-0.653,0.563,0.507
1573107657963,2019-11-06T22:20:57.963,0.796,-0.640,0.561,0.495
1573107658004,2019-11-06T22:20:58.004,0.837,-0.624,0.538,0.481
1573107658043,2019-11-06T22:20:58.043,0.876,-0.625,0.515,0.474
1573107658083,2019-11-06T22:20:58.083,0.916,-0.646,0.536,0.467
1573107658122,2019-11-06T22:20:58.122,0.955,-0.657,0.535,0.458
1573107658162,2019-11-06T22:20:58.162,0.995,-0.650,0.520,0.451
1573107658201,2019-11-06T22:20:58.201,1.034,-0.648,0.530,0.449
1573107658242,2019-11-06T22:20:58.242,1.075,-0.642,0.523,0.436
1573107658282,2019-11-06T22:20:58.282,1.115,-0.645,0.520,0.448
1573107658322,2019-11-06T22:20:58.322,1.155,-0.655,0.539,0.446
1573107658361,2019-11-06T22:20:58.361,1.194,-0.652,0.520,0.447
1573107658401,2019-11-06T22:20:58.401,1.234,-0.637,0.527,0.462
1573107658440,2019-11-06T22:20:58.440,1.273,-0.634,0.566,0.474
1573107658481,2019-11-06T22:20:58.481,1.314,-0.634,0.560,0.482
1573107658521,2019-11-06T22:20:58.521,1.354,-0.640,0.551,0.498
1573107658560,2019-11-06T22:20:58.560,1.393,-0.656,0.551,0.495
1573107658600,2019-11-06T22:20:58.600,1.433,-0.653,0.528,0.496
1573107658639,2019-11-06T22:20:58.639,1.472,-0.653,0.542,0.497
1573107658679,2019-11-06T22:20:58.679,1.512,-0.673,0.555,0.500
1573107658720,2019-11-06T22:20:58.720,1.553,-0.694,0.514,0.481
1573107658760,2019-11-06T22:20:58.760,1.593,-0.716,0.476,0.467
1573107658799,2019-11-06T22:20:58.799,1.632,-0.730,0.471,0.470
1573107658839,2019-11-06T22:20:58.839,1.672,-0.720,0.461,0.458
1573107658878,2019-11-06T22:20:58.878,1.711,-0.688,0.477,0.456
1573107658918,2019-11-06T22:20:58.918,1.751,-0.681,0.467,0.438
1573107658959,2019-11-06T22:20:58.959,1.792,-0.682,0.445,0.413
1573107658998,2019-11-06T22:20:58.998,1.831,-0.701,0.443,0.405
1573107659038,2019-11-06T22:20:59.038,1.871,-0.728,0.420,0.429
1573107659077,2019-11-06T22:20:59.077,1.910,-0.740,0.448,0.427
1573107659117,2019-11-06T22:20:59.117,1.950,-0.728,0.485,0.446
1573107659158,2019-11-06T22:20:59.158,1.991,-0.666,0.441,0.412
1573107659198,2019-11-06T22:20:59.198,2.031,-0.648,0.384,0.410
1573107659237,2019-11-06T22:20:59.237,2.070,-0.651,0.451,0.448
1573107659277,2019-11-06T22:20:59.277,2.110,-0.668,0.497,0.479
1573107659318,2019-11-06T22:20:59.318,2.151,-0.677,0.613,0.504
1573107659356,2019-11-06T22:20:59.356,2.189,-0.639,0.695,0.532
1573107659397,2019-11-06T22:20:59.397,2.230,-0.617,0.717,0.458
1573107659436,2019-11-06T22:20:59.436,2.269,-0.592,0.789,0.437
1573107659476,2019-11-06T22:20:59.476,2.309,-0.554,0.660,0.438
1573107659515,2019-11-06T22:20:59.515,2.348,-0.543,0.569,0.408
1573107659555,2019-11-06T22:20:59.555,2.388,-0.508,0.607,0.453
1573107659595,2019-11-06T22:20:59.595,2.428,-0.457,0.672,0.464
1573107659636,2019-11-06T22:20:59.636,2.469,-0.450,0.735,0.408
1573107659675,2019-11-06T22:20:59.675,2.508,-0.433,0.752,0.395
1573107659715,2019-11-06T22:20:59.715,2.548,-0.417,0.739,0.303
1573107659754,2019-11-06T22:20:59.754,2.587,-0.433,0.846,0.204
1573107659794,2019-11-06T22:20:59.794,2.627,-0.375,0.960,0.161
1573107659835,2019-11-06T22:20:59.835,2.668,-0.369,0.990,0.086
1573107659874,2019-11-06T22:20:59.874,2.707,-0.302,0.934,0.058
1573107659914,2019-11-06T22:20:59.914,2.747,-0.315,0.941,-0.009
1573107659953,2019-11-06T22:20:59.953,2.786,-0.367,1.139,-0.049
1573107659993,2019-11-06T22:20:59.993,2.826,-0.364,1.141,-0.062
1573107660033,2019-11-06T22:21:00.033,2.866,-0.331,1.046,-0.092
1573107660072,2019-11-06T22:21:00.072,2.905,-0.305,1.063,-0.121
1573107660113,2019-11-06T22:21:00.113,2.946,-0.300,1.193,-0.130
1573107660153,2019-11-06T22:21:00.153,2.986,-0.250,1.086,-0.051
1573107660192,2019-11-06T22:21:00.192,3.025,-0.165,0.855,0.089
