epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573107657087,2019-11-06T22:20:57.087,0.000,12.317,-6.402,-12.744
1573107657128,2019-11-06T22:20:57.128,0.041,11.646,-6.159,-13.415
1573107657167,2019-11-06T22:20:57.167,0.080,6.829,-4.268,-12.866
1573107657207,2019-11-06T22:20:57.207,0.120,3.415,-5.000,-11.280
1573107657248,2019-11-06T22:20:57.248,0.161,7.134,-7.866,-8.841
1573107657286,2019-11-06T22:20:57.286,0.199,11.829,-9.756,-8.537
1573107657327,2019-11-06T22:20:57.327,0.240,11.646,-10.122,-9.512
1573107657367,2019-11-06T22:20:57.367,0.280,10.183,-8.780,-8.841
1573107657406,2019-11-06T22:20:57.406,0.319,8.659,-7.378,-5.244
1573107657446,2019-11-06T22:20:57.446,0.359,3.720,-7.561,-1.098
1573107657485,2019-11-06T22:20:57.485,0.398,4.451,-7.317,2.134
1573107657526,2019-11-06T22:20:57.526,0.439,9.878,-6.280,3.171
1573107657566,2019-11-06T22:20:57.566,0.479,11.646,-4.207,0.976
1573107657605,2019-11-06T22:20:57.605,0.518,9.573,-0.244,-2.317
1573107657645,2019-11-06T22:20:57.645,0.558,5.854,4.695,-4.512
1573107657684,2019-11-06T22:20:57.684,0.597,1.707,9.085,-3.110
1573107657724,2019-11-06T22:20:57.724,0.637,-2.500,12.134,1.829
1573107657765,2019-11-06T22:20:57.765,0.678,-8.598,13.963,6.707
1573107657804,2019-11-06T22:20:57.804,0.717,-16.280,14.451,8.049
1573107657844,2019-11-06T22:20:57.844,0.757,-21.463,13.049,6.890
1573107657884,2019-11-06T22:20:57.884,0.797,-19.939,10.488,6.463
1573107657923,2019-11-06T22:20:57.923,0.836,-15.488,8.841,6.402
1573107657963,2019-11-06T22:20:57.963,0.876,-16.341,7.256,6.829
1573107658004,2019-11-06T22:20:58.004,0.917,-21.463,5.122,5.671
1573107658043,2019-11-06T22:20:58.043,0.956,-20.671,3.841,3.232
1573107658083,2019-11-06T22:20:58.083,0.996,-14.817,3.354,0.610
1573107658122,2019-11-06T22:20:58.122,1.035,-12.805,1.098,-1.037
1573107658162,2019-11-06T22:20:58.162,1.075,-9.573,-1.220,-1.280
1573107658201,2019-11-06T22:20:58.201,1.114,-3.963,-1.280,-1.159
1573107658242,2019-11-06T22:20:58.242,1.155,-2.012,-2.073,-1.829
1573107658282,2019-11-06T22:20:58.282,1.195,2.195,-2.256,-3.293
1573107658322,2019-11-06T22:20:58.322,1.235,6.037,-0.610,-6.098
1573107658361,2019-11-06T22:20:58.361,1.274,5.549,0.000,-8.476
1573107658401,2019-11-06T22:20:58.401,1.314,9.451,2.805,-10.122
1573107658440,2019-11-06T22:20:58.440,1.353,10.061,8.720,-12.988
1573107658481,2019-11-06T22:20:58.481,1.394,1.098,12.988,-15.366
1573107658521,2019-11-06T22:20:58.521,1.434,-4.634,16.098,-15.122
1573107658560,2019-11-06T22:20:58.560,1.473,-6.402,17.622,-13.780
1573107658600,2019-11-06T22:20:58.600,1.513,-8.354,16.341,-11.220
1573107658639,2019-11-06T22:20:58.639,1.552,-7.805,15.183,-7.744
1573107658680,2019-11-06T22:20:58.680,1.593,-12.317,14.817,-5.061
1573107658720,2019-11-06T22:20:58.720,1.633,-20.976,12.378,-2.134
1573107658760,2019-11-06T22:20:58.760,1.673,-20.061,7.866,1.524
1573107658799,2019-11-06T22:20:58.799,1.712,-11.280,4.329,5.488
1573107658839,2019-11-06T22:20:58.839,1.752,-7.988,1.220,10.366
1573107658878,2019-11-06T22:20:58.878,1.791,-8.110,-0.671,15.122
1573107658919,2019-11-06T22:20:58.919,1.832,-11.829,-2.073,14.695
1573107658959,2019-11-06T22:20:58.959,1.872,-17.378,-7.988,13.049
1573107658998,2019-11-06T22:20:58.998,1.911,-10.671,-12.439,11.098
1573107659038,2019-11-06T22:20:59.038,1.951,-0.244,-16.280,8.110
1573107659077,2019-11-06T22:20:59.077,1.990,15.000,-19.451,8.720
1573107659117,2019-11-06T22:20:59.117,2.030,23.110,-22.012,8.963
1573107659158,2019-11-06T22:20:59.158,2.071,21.098,-25.061,6.280
1573107659198,2019-11-06T22:20:59.198,2.111,30.061,-22.805,6.463
1573107659237,2019-11-06T22:20:59.237,2.150,54.390,-20.732,5.427
1573107659277,2019-11-06T22:20:59.277,2.190,71.280,-22.378,-1.037
1573107659318,2019-11-06T22:20:59.318,2.231,84.756,-20.366,-4.512
1573107659356,2019-11-06T22:20:59.356,2.269,74.146,-25.244,-6.341
1573107659397,2019-11-06T22:20:59.397,2.310,51.646,-30.793,-6.280
1573107659436,2019-11-06T22:20:59.436,2.349,29.268,-34.268,-0.122
1573107659476,2019-11-06T22:20:59.476,2.389,0.732,-38.537,0.793
1573107659515,2019-11-06T22:20:59.515,2.428,11.829,-35.366,3.171
1573107659555,2019-11-06T22:20:59.555,2.468,38.293,-30.122,12.134
1573107659595,2019-11-06T22:20:59.595,2.508,55.427,-26.402,17.134
1573107659636,2019-11-06T22:20:59.636,2.549,65.122,-19.756,18.841
1573107659675,2019-11-06T22:20:59.675,2.588,71.829,-12.073,22.134
1573107659715,2019-11-06T22:20:59.715,2.628,83.293,-4.817,27.744
1573107659754,2019-11-06T22:20:59.754,2.667,104.695,5.610,40.732
1573107659794,2019-11-06T22:20:59.794,2.707,112.500,13.293,47.012
1573107659835,2019-11-06T22:20:59.835,2.748,98.720,14.451,48.598
1573107659874,2019-11-06T22:20:59.874,2.787,76.646,14.451,51.402
1573107659914,2019-11-06T22:20:59.914,2.827,80.488,24.695,48.537
1573107659953,2019-11-06T22:20:59.953,2.866,69.817,34.268,46.037
1573107659993,2019-11-06T22:20:59.993,2.906,21.341,38.232,38.293
1573107660033,2019-11-06T22:21:00.033,2.946,-21.463,42.134,34.268
1573107660074,2019-11-06T22:21:00.074,2.987,-34.512,49.390,34.451
1573107660113,2019-11-06T22:21:00.113,3.026,-55.244,52.744,37.439
1573107660153,2019-11-06T22:21:00.153,3.066,-98.841,52.744,42.134
1573107660192,2019-11-06T22:21:00.192,3.105,-120.183,49.390,42.073
1573107660232,2019-11-06T22:21:00.232,3.145,-107.683,44.939,39.024
1573107660271,2019-11-06T22:21:00.271,3.184,-85.976,39.085,27.622
1573107660312,2019-11-06T22:21:00.312,3.225,-57.012,33.598,15.732
1573107660352,2019-11-06T22:21:00.352,3.265,-30.793,25.000,7.378
1573107660391,2019-11-06T22:21:00.391,3.304,-15.488,14.634,9.573
1573107660431,2019-11-06T22:21:00.431,3.344,6.890,3.049,23.720
1573107660471,2019-11-06T22:21:00.471,3.384,30.061,-13.659,37.378
1573107660510,2019-11-06T22:21:00.510,3.423,19.939,-28.902,49.268
1573107660551,2019-11-06T22:21:00.551,3.464,7.622,-37.500,51.707
1573107660591,2019-11-06T22:21:00.591,3.504,6.037,-34.634,42.378
1573107660630,2019-11-06T22:21:00.630,3.543,-17.683,-23.841,35.244
1573107660670,2019-11-06T22:21:00.670,3.583,-36.646,-15.854,26.707
1573107660709,2019-11-06T22:21:00.709,3.622,-47.744,-8.780,20.671
1573107660749,2019-11-06T22:21:00.749,3.662,-53.720,-7.683,18.720
1573107660790,2019-11-06T22:21:00.790,3.703,-51.768,-17.073,15.488
