epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572992216631,2019-11-05T14:16:56.631,0.000,0.822,-0.550,-0.755
1572992216670,2019-11-05T14:16:56.670,0.039,-0.682,-0.730,-0.215
1572992216710,2019-11-05T14:16:56.710,0.079,0.703,-0.848,-1.391
1572992216749,2019-11-05T14:16:56.749,0.118,0.133,-0.767,-0.383
1572992216790,2019-11-05T14:16:56.790,0.159,-0.064,-0.733,-0.146
1572992216830,2019-11-05T14:16:56.830,0.199,0.068,-0.987,-0.488
1572992216870,2019-11-05T14:16:56.870,0.239,0.017,-0.825,-0.356
1572992216909,2019-11-05T14:16:56.909,0.278,-0.176,-0.635,-0.229
1572992216949,2019-11-05T14:16:56.949,0.318,-0.264,-0.822,-0.291
1572992216988,2019-11-05T14:16:56.988,0.357,-0.256,-1.049,-0.210
1572992217029,2019-11-05T14:16:57.029,0.398,-0.139,-1.002,0.015
1572992217069,2019-11-05T14:16:57.069,0.438,-0.233,-0.857,0.250
1572992217108,2019-11-05T14:16:57.108,0.477,-0.145,-0.639,0.281
1572992217148,2019-11-05T14:16:57.148,0.517,-0.262,-0.562,0.441
1572992217187,2019-11-05T14:16:57.187,0.556,-0.230,-0.366,0.412
1572992217227,2019-11-05T14:16:57.227,0.596,-0.296,-0.371,0.703
1572992217268,2019-11-05T14:16:57.268,0.637,-0.404,-0.076,1.094
1572992217308,2019-11-05T14:16:57.308,0.677,-0.542,0.144,1.055
1572992217347,2019-11-05T14:16:57.347,0.716,-0.321,-0.058,1.033
1572992217387,2019-11-05T14:16:57.387,0.756,-0.262,0.138,0.971
1572992217426,2019-11-05T14:16:57.426,0.795,-0.154,0.194,1.153
1572992217466,2019-11-05T14:16:57.466,0.835,-0.247,0.212,0.973
1572992217507,2019-11-05T14:16:57.507,0.876,-0.332,0.597,0.762
1572992217546,2019-11-05T14:16:57.546,0.915,-0.234,0.489,0.756
1572992217586,2019-11-05T14:16:57.586,0.955,-0.256,0.747,0.596
1572992217625,2019-11-05T14:16:57.625,0.994,-0.227,0.711,0.763
1572992217665,2019-11-05T14:16:57.665,1.034,-0.328,0.614,0.782
1572992217706,2019-11-05T14:16:57.706,1.075,-0.265,0.598,0.772
1572992217746,2019-11-05T14:16:57.746,1.115,-0.254,0.604,0.752
1572992217785,2019-11-05T14:16:57.785,1.154,-0.181,0.504,0.811
1572992217825,2019-11-05T14:16:57.825,1.194,-0.127,0.362,0.761
1572992217864,2019-11-05T14:16:57.864,1.233,-0.090,0.544,0.552
1572992217904,2019-11-05T14:16:57.904,1.273,-0.282,0.768,0.729
1572992217945,2019-11-05T14:16:57.945,1.314,-0.392,0.803,0.795
1572992217984,2019-11-05T14:16:57.984,1.353,-0.240,0.109,0.580
1572992218024,2019-11-05T14:16:58.024,1.393,-0.175,-0.338,0.322
1572992218063,2019-11-05T14:16:58.063,1.432,-0.517,0.974,0.316
1572992218103,2019-11-05T14:16:58.103,1.472,-0.427,1.167,0.422
1572992218143,2019-11-05T14:16:58.143,1.512,-0.335,0.861,0.325
1572992218184,2019-11-05T14:16:58.184,1.553,-0.388,1.333,0.359
1572992218223,2019-11-05T14:16:58.223,1.592,-0.291,1.127,0.334
1572992218263,2019-11-05T14:16:58.263,1.632,-0.325,1.031,0.236
1572992218302,2019-11-05T14:16:58.302,1.671,-0.356,1.065,0.193
1572992218342,2019-11-05T14:16:58.342,1.711,-0.435,1.193,0.294
1572992218381,2019-11-05T14:16:58.381,1.750,-0.416,0.874,0.335
1572992218422,2019-11-05T14:16:58.422,1.791,-0.402,0.764,0.070
1572992218462,2019-11-05T14:16:58.462,1.831,-0.518,1.145,-0.003
1572992218501,2019-11-05T14:16:58.501,1.870,-0.537,1.173,0.028
1572992218541,2019-11-05T14:16:58.541,1.910,-0.480,0.921,-0.032
1572992218580,2019-11-05T14:16:58.580,1.949,-0.432,0.783,0.004
1572992218620,2019-11-05T14:16:58.620,1.989,-0.440,0.814,0.015
1572992218661,2019-11-05T14:16:58.661,2.030,-0.433,0.898,0.094
1572992218701,2019-11-05T14:16:58.701,2.070,-0.412,0.829,0.202
1572992218740,2019-11-05T14:16:58.740,2.109,-0.407,0.869,0.168
1572992218780,2019-11-05T14:16:58.780,2.149,-0.414,0.928,0.026
1572992218819,2019-11-05T14:16:58.819,2.188,-0.444,0.887,-0.029
1572992218859,2019-11-05T14:16:58.859,2.228,-0.463,0.764,0.040
1572992218900,2019-11-05T14:16:58.900,2.269,-0.496,0.863,0.104
1572992218939,2019-11-05T14:16:58.939,2.308,-0.506,1.022,0.100
1572992218979,2019-11-05T14:16:58.979,2.348,-0.452,0.982,0.149
1572992219018,2019-11-05T14:16:59.018,2.387,-0.402,0.932,0.158
1572992219058,2019-11-05T14:16:59.058,2.427,-0.393,0.941,0.131
1572992219098,2019-11-05T14:16:59.098,2.467,-0.393,0.947,0.142
1572992219139,2019-11-05T14:16:59.139,2.508,-0.399,0.975,0.162
1572992219178,2019-11-05T14:16:59.178,2.547,-0.396,0.998,0.187
1572992219218,2019-11-05T14:16:59.218,2.587,-0.382,1.009,0.199
1572992219257,2019-11-05T14:16:59.257,2.626,-0.336,0.963,0.207
1572992219297,2019-11-05T14:16:59.297,2.666,-0.275,0.914,0.211
1572992219336,2019-11-05T14:16:59.336,2.705,-0.231,0.884,0.211
1572992219377,2019-11-05T14:16:59.377,2.746,-0.208,0.903,0.213
1572992219417,2019-11-05T14:16:59.417,2.786,-0.191,0.924,0.215
1572992219456,2019-11-05T14:16:59.456,2.825,-0.189,0.930,0.202
1572992219496,2019-11-05T14:16:59.496,2.865,-0.181,0.898,0.199
1572992219536,2019-11-05T14:16:59.536,2.905,-0.200,0.924,0.217
1572992219577,2019-11-05T14:16:59.577,2.946,-0.231,0.980,0.213
1572992219616,2019-11-05T14:16:59.616,2.985,-0.246,0.989,0.221
1572992219656,2019-11-05T14:16:59.656,3.025,-0.225,0.962,0.240
1572992219695,2019-11-05T14:16:59.695,3.064,-0.208,0.981,0.244
1572992219735,2019-11-05T14:16:59.735,3.104,-0.195,0.958,0.241
1572992219776,2019-11-05T14:16:59.776,3.145,-0.193,0.936,0.252
1572992219815,2019-11-05T14:16:59.815,3.184,-0.209,0.962,0.255
1572992219855,2019-11-05T14:16:59.855,3.224,-0.225,0.965,0.255
1572992219894,2019-11-05T14:16:59.894,3.263,-0.235,0.959,0.259
1572992219934,2019-11-05T14:16:59.934,3.303,-0.243,0.970,0.258
1572992219974,2019-11-05T14:16:59.974,3.343,-0.253,0.960,0.255
1572992220013,2019-11-05T14:17:00.013,3.382,-0.264,0.954,0.257
1572992220054,2019-11-05T14:17:00.054,3.423,-0.262,0.963,0.265
1572992220094,2019-11-05T14:17:00.094,3.463,-0.241,0.956,0.264
1572992220133,2019-11-05T14:17:00.133,3.502,-0.227,0.974,0.258
