epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572992216550,2019-11-05T14:16:56.550,0.000,48.963,73.598,74.512
1572992216591,2019-11-05T14:16:56.591,0.041,85.488,-51.402,90.488
1572992216631,2019-11-05T14:16:56.631,0.081,156.280,-238.598,126.402
1572992216670,2019-11-05T14:16:56.670,0.120,113.598,-162.927,97.500
1572992216710,2019-11-05T14:16:56.710,0.160,141.341,-536.037,61.524
1572992216749,2019-11-05T14:16:56.749,0.199,96.463,-50.976,9.573
1572992216790,2019-11-05T14:16:56.790,0.240,99.939,-20.305,28.720
1572992216830,2019-11-05T14:16:56.830,0.280,85.549,-108.232,43.902
1572992216870,2019-11-05T14:16:56.870,0.320,99.878,-105.305,65.488
1572992216909,2019-11-05T14:16:56.909,0.359,98.354,-70.915,64.024
1572992216949,2019-11-05T14:16:56.949,0.399,87.500,-61.646,43.902
1572992216988,2019-11-05T14:16:56.988,0.438,117.927,-71.951,25.000
1572992217029,2019-11-05T14:16:57.029,0.479,171.098,-67.988,17.439
1572992217069,2019-11-05T14:16:57.069,0.519,218.720,-69.329,20.305
1572992217108,2019-11-05T14:16:57.108,0.558,243.963,-58.110,18.049
1572992217148,2019-11-05T14:16:57.148,0.598,257.622,-36.951,34.634
1572992217187,2019-11-05T14:16:57.187,0.637,235.427,-1.768,35.244
1572992217227,2019-11-05T14:16:57.227,0.677,287.988,-1.463,54.451
1572992217268,2019-11-05T14:16:57.268,0.718,301.951,4.817,52.988
1572992217308,2019-11-05T14:16:57.308,0.758,272.500,-15.671,38.232
1572992217347,2019-11-05T14:16:57.347,0.797,254.634,-13.659,-0.366
1572992217387,2019-11-05T14:16:57.387,0.837,229.390,-4.512,-19.756
1572992217426,2019-11-05T14:16:57.426,0.876,203.476,-30.732,-21.159
1572992217467,2019-11-05T14:16:57.467,0.917,106.646,-16.037,-5.610
1572992217507,2019-11-05T14:16:57.507,0.957,86.585,-10.366,-5.366
1572992217546,2019-11-05T14:16:57.546,0.996,123.902,18.476,-3.659
1572992217586,2019-11-05T14:16:57.586,1.036,69.878,34.634,17.012
1572992217625,2019-11-05T14:16:57.625,1.075,26.159,2.256,26.341
1572992217665,2019-11-05T14:16:57.665,1.115,54.695,5.671,26.037
1572992217706,2019-11-05T14:16:57.706,1.156,53.049,-17.378,36.463
1572992217746,2019-11-05T14:16:57.746,1.196,63.598,-29.390,35.366
1572992217785,2019-11-05T14:16:57.785,1.235,37.012,-28.902,13.537
1572992217825,2019-11-05T14:16:57.825,1.275,-5.305,-21.280,-8.110
1572992217864,2019-11-05T14:16:57.864,1.314,23.232,-11.890,-5.671
1572992217904,2019-11-05T14:16:57.904,1.354,34.878,0.549,-7.073
1572992217945,2019-11-05T14:16:57.945,1.395,-24.146,-10.305,-23.659
1572992217984,2019-11-05T14:16:57.984,1.434,-88.110,-31.098,-48.537
1572992218024,2019-11-05T14:16:58.024,1.474,77.744,-6.951,-64.512
1572992218063,2019-11-05T14:16:58.063,1.513,286.463,16.829,-66.280
1572992218103,2019-11-05T14:16:58.103,1.553,184.634,0.488,-87.988
1572992218143,2019-11-05T14:16:58.143,1.593,112.683,4.451,-97.012
1572992218184,2019-11-05T14:16:58.184,1.634,124.207,19.146,-78.293
1572992218223,2019-11-05T14:16:58.223,1.673,63.476,24.695,-53.415
1572992218263,2019-11-05T14:16:58.263,1.713,65.976,36.159,-31.890
1572992218302,2019-11-05T14:16:58.302,1.752,74.512,39.207,-5.183
1572992218342,2019-11-05T14:16:58.342,1.792,62.439,34.146,12.866
1572992218381,2019-11-05T14:16:58.381,1.831,12.622,9.329,10.244
1572992218422,2019-11-05T14:16:58.422,1.872,50.061,5.305,11.646
1572992218462,2019-11-05T14:16:58.462,1.912,81.037,17.500,20.427
1572992218501,2019-11-05T14:16:58.501,1.951,0.793,13.049,16.646
1572992218541,2019-11-05T14:16:58.541,1.991,-64.085,10.488,10.000
1572992218582,2019-11-05T14:16:58.582,2.032,-64.817,19.817,12.134
1572992218620,2019-11-05T14:16:58.620,2.070,-42.988,25.976,14.695
1572992218661,2019-11-05T14:16:58.661,2.111,-36.037,25.427,13.841
1572992218701,2019-11-05T14:16:58.701,2.151,-36.829,17.744,10.061
1572992218740,2019-11-05T14:16:58.740,2.190,-15.793,10.122,6.951
