epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573014987341,2019-11-05T20:36:27.341,0.000,-0.166,0.738,0.808
1573014997945,2019-11-05T20:36:37.945,10.604,-0.076,0.640,0.764
1573014997985,2019-11-05T20:36:37.985,10.644,-0.082,0.658,0.785
1573014998024,2019-11-05T20:36:38.024,10.683,-0.084,0.643,0.775
1573014998064,2019-11-05T20:36:38.064,10.723,-0.099,0.643,0.769
1573014998105,2019-11-05T20:36:38.105,10.764,-0.106,0.625,0.768
1573014998143,2019-11-05T20:36:38.143,10.802,-0.104,0.618,0.757
1573014998184,2019-11-05T20:36:38.184,10.843,-0.085,0.607,0.773
1573014998223,2019-11-05T20:36:38.223,10.882,-0.079,0.672,0.772
1573014998263,2019-11-05T20:36:38.263,10.922,-0.083,0.701,0.747
1573014998303,2019-11-05T20:36:38.303,10.962,-0.075,0.646,0.742
1573014998342,2019-11-05T20:36:38.342,11.001,-0.079,0.668,0.760
1573014998383,2019-11-05T20:36:38.383,11.042,-0.069,0.679,0.764
1573014998423,2019-11-05T20:36:38.423,11.082,-0.060,0.636,0.783
1573014998462,2019-11-05T20:36:38.462,11.121,-0.070,0.662,0.760
1573014998502,2019-11-05T20:36:38.502,11.161,-0.073,0.648,0.770
1573014998541,2019-11-05T20:36:38.541,11.200,-0.076,0.633,0.759
1573014998581,2019-11-05T20:36:38.581,11.240,-0.074,0.649,0.743
1573014998622,2019-11-05T20:36:38.622,11.281,-0.074,0.646,0.764
1573014998661,2019-11-05T20:36:38.661,11.320,-0.075,0.661,0.753
1573014998701,2019-11-05T20:36:38.701,11.360,-0.080,0.646,0.753
1573014998741,2019-11-05T20:36:38.741,11.400,-0.087,0.624,0.758
1573014998780,2019-11-05T20:36:38.780,11.439,-0.079,0.647,0.770
1573014998820,2019-11-05T20:36:38.820,11.479,-0.068,0.688,0.791
1573014998861,2019-11-05T20:36:38.861,11.520,-0.070,0.701,0.776
1573014998900,2019-11-05T20:36:38.900,11.559,-0.085,0.613,0.762
1573014998940,2019-11-05T20:36:38.940,11.599,-0.102,0.584,0.776
1573014998979,2019-11-05T20:36:38.979,11.638,-0.109,0.634,0.771
1573014999019,2019-11-05T20:36:39.019,11.678,-0.086,0.645,0.792
1573014999058,2019-11-05T20:36:39.058,11.717,-0.073,0.671,0.798
1573014999099,2019-11-05T20:36:39.099,11.758,-0.065,0.650,0.778
1573014999139,2019-11-05T20:36:39.139,11.798,-0.066,0.607,0.772
1573014999179,2019-11-05T20:36:39.179,11.838,-0.081,0.612,0.777
1573014999218,2019-11-05T20:36:39.218,11.877,-0.086,0.629,0.783
1573014999258,2019-11-05T20:36:39.258,11.917,-0.082,0.628,0.781
1573014999297,2019-11-05T20:36:39.297,11.956,-0.082,0.624,0.776
1573014999338,2019-11-05T20:36:39.338,11.997,-0.084,0.618,0.774
1573014999378,2019-11-05T20:36:39.378,12.037,-0.080,0.615,0.765
1573014999417,2019-11-05T20:36:39.417,12.076,-0.081,0.691,0.767
1573014999457,2019-11-05T20:36:39.457,12.116,-0.071,0.724,0.769
1573014999496,2019-11-05T20:36:39.496,12.155,-0.055,0.622,0.747
1573014999536,2019-11-05T20:36:39.536,12.195,-0.061,0.603,0.733
1573014999577,2019-11-05T20:36:39.577,12.236,-0.054,0.646,0.751
1573014999616,2019-11-05T20:36:39.616,12.275,-0.039,0.659,0.749
1573014999656,2019-11-05T20:36:39.656,12.315,-0.050,0.685,0.734
1573014999696,2019-11-05T20:36:39.696,12.355,-0.045,0.752,0.722
1573014999735,2019-11-05T20:36:39.735,12.394,-0.030,0.771,0.710
1573014999775,2019-11-05T20:36:39.775,12.434,-0.021,0.755,0.706
1573014999816,2019-11-05T20:36:39.816,12.475,-0.016,0.744,0.685
1573014999855,2019-11-05T20:36:39.855,12.514,-0.017,0.723,0.671
1573014999895,2019-11-05T20:36:39.895,12.554,-0.029,0.751,0.682
1573014999934,2019-11-05T20:36:39.934,12.593,-0.038,0.761,0.675
1573014999974,2019-11-05T20:36:39.974,12.633,-0.036,0.718,0.679
1573015000015,2019-11-05T20:36:40.015,12.674,-0.029,0.747,0.682
1573015000054,2019-11-05T20:36:40.054,12.713,-0.024,0.778,0.693
1573015000094,2019-11-05T20:36:40.094,12.753,-0.042,0.762,0.649
1573015000134,2019-11-05T20:36:40.134,12.793,-0.025,0.708,0.651
1573015000173,2019-11-05T20:36:40.173,12.832,-0.032,0.771,0.669
1573015000213,2019-11-05T20:36:40.213,12.872,-0.039,0.878,0.666
1573015000254,2019-11-05T20:36:40.254,12.913,-0.016,0.834,0.651
1573015000293,2019-11-05T20:36:40.293,12.952,-0.023,0.811,0.660
1573015000333,2019-11-05T20:36:40.333,12.992,-0.022,0.827,0.654
1573015000372,2019-11-05T20:36:40.372,13.031,-0.010,0.760,0.644
1573015000412,2019-11-05T20:36:40.412,13.071,-0.020,0.770,0.668
1573015000451,2019-11-05T20:36:40.451,13.110,-0.021,0.781,0.675
1573015000492,2019-11-05T20:36:40.492,13.151,-0.015,0.718,0.679
1573015000532,2019-11-05T20:36:40.532,13.191,-0.016,0.709,0.694
1573015000572,2019-11-05T20:36:40.572,13.231,-0.030,0.712,0.725
1573015000611,2019-11-05T20:36:40.611,13.270,-0.024,0.680,0.724
1573015000651,2019-11-05T20:36:40.651,13.310,-0.038,0.676,0.721
1573015000690,2019-11-05T20:36:40.690,13.349,-0.052,0.711,0.775
1573015000731,2019-11-05T20:36:40.731,13.390,-0.026,0.649,0.764
1573015000771,2019-11-05T20:36:40.771,13.430,-0.031,0.637,0.742
1573015000810,2019-11-05T20:36:40.810,13.469,-0.032,0.619,0.742
1573015000850,2019-11-05T20:36:40.850,13.509,-0.015,0.575,0.695
1573015000889,2019-11-05T20:36:40.889,13.548,0.000,0.605,0.748
1573015000930,2019-11-05T20:36:40.930,13.589,-0.069,0.930,0.750
1573015000970,2019-11-05T20:36:40.970,13.629,-0.060,0.878,0.695
1573015001010,2019-11-05T20:36:41.010,13.669,-0.004,0.623,0.640
1573015001049,2019-11-05T20:36:41.049,13.708,-0.041,0.758,0.668
1573015001089,2019-11-05T20:36:41.089,13.748,-0.055,0.885,0.691
1573015001128,2019-11-05T20:36:41.128,13.787,-0.014,0.773,0.643
1573015001168,2019-11-05T20:36:41.168,13.827,-0.042,0.713,0.638
1573015001209,2019-11-05T20:36:41.209,13.868,-0.060,0.764,0.680
1573015001248,2019-11-05T20:36:41.248,13.907,-0.045,0.791,0.673
1573015001288,2019-11-05T20:36:41.288,13.947,-0.042,0.740,0.655
1573015001327,2019-11-05T20:36:41.327,13.986,-0.046,0.759,0.658
1573015001367,2019-11-05T20:36:41.367,14.026,-0.057,0.833,0.677
1573015001407,2019-11-05T20:36:41.407,14.066,-0.053,0.754,0.646
1573015001448,2019-11-05T20:36:41.448,14.107,-0.019,0.720,0.675
1573015001487,2019-11-05T20:36:41.487,14.146,-0.047,0.814,0.629
1573015001527,2019-11-05T20:36:41.527,14.186,-0.019,0.774,0.651
1573015001566,2019-11-05T20:36:41.566,14.225,-0.028,0.828,0.649
1573015001606,2019-11-05T20:36:41.606,14.265,-0.021,0.854,0.657
1573015001647,2019-11-05T20:36:41.647,14.306,-0.010,0.808,0.642
1573015001686,2019-11-05T20:36:41.686,14.345,-0.001,0.721,0.626
1573015001726,2019-11-05T20:36:41.726,14.385,-0.024,0.677,0.600
1573015001765,2019-11-05T20:36:41.765,14.424,-0.083,0.741,0.625
1573015001805,2019-11-05T20:36:41.805,14.464,-0.107,0.829,0.658
1573015001845,2019-11-05T20:36:41.845,14.504,-0.091,0.783,0.650
1573015001886,2019-11-05T20:36:41.886,14.545,-0.057,0.748,0.635
1573015001925,2019-11-05T20:36:41.925,14.584,-0.086,0.843,0.614
1573015001965,2019-11-05T20:36:41.965,14.624,-0.115,0.925,0.622
1573015002004,2019-11-05T20:36:42.004,14.663,-0.091,0.833,0.629
1573015002044,2019-11-05T20:36:42.044,14.703,-0.062,0.773,0.655
1573015002083,2019-11-05T20:36:42.083,14.742,-0.104,0.837,0.671
