epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573015718704,2019-11-05T20:48:38.704,0.000,-1.768,0.915,1.463
1573015718744,2019-11-05T20:48:38.744,0.040,-1.341,0.793,1.159
1573015718785,2019-11-05T20:48:38.785,0.081,0.244,2.988,-0.549
1573015718825,2019-11-05T20:48:38.825,0.121,-0.976,5.854,-2.439
1573015718864,2019-11-05T20:48:38.864,0.160,-5.061,6.585,-2.805
1573015718905,2019-11-05T20:48:38.905,0.201,-6.280,4.512,-3.110
1573015718943,2019-11-05T20:48:38.943,0.239,-4.146,0.732,-4.634
1573015718984,2019-11-05T20:48:38.984,0.280,-2.988,-2.439,-6.463
1573015719024,2019-11-05T20:48:39.024,0.320,-1.524,-2.744,-6.585
1573015719063,2019-11-05T20:48:39.063,0.359,-0.244,-1.037,-5.610
1573015719103,2019-11-05T20:48:39.103,0.399,-2.988,-0.122,-4.390
1573015719142,2019-11-05T20:48:39.142,0.438,-2.073,-0.244,-2.805
1573015719182,2019-11-05T20:48:39.182,0.478,-0.915,-0.610,-2.134
1573015719222,2019-11-05T20:48:39.222,0.518,-2.195,-1.037,-0.732
1573015719263,2019-11-05T20:48:39.263,0.559,-1.159,-0.793,1.098
1573015719302,2019-11-05T20:48:39.302,0.598,-1.829,-0.915,1.768
1573015719342,2019-11-05T20:48:39.342,0.638,-2.500,-1.037,1.707
1573015719381,2019-11-05T20:48:39.381,0.677,0.854,0.244,1.341
1573015719421,2019-11-05T20:48:39.421,0.717,3.659,1.829,2.683
1573015719460,2019-11-05T20:48:39.460,0.756,5.183,3.963,3.537
1573015719501,2019-11-05T20:48:39.501,0.797,2.317,5.427,3.720
1573015719541,2019-11-05T20:48:39.541,0.837,0.854,6.098,3.902
1573015719580,2019-11-05T20:48:39.580,0.876,0.305,6.037,4.817
1573015719620,2019-11-05T20:48:39.620,0.916,-0.244,4.756,5.183
1573015719660,2019-11-05T20:48:39.660,0.956,0.976,3.232,2.622
1573015719701,2019-11-05T20:48:39.701,0.997,-0.488,2.073,-1.220
1573015719740,2019-11-05T20:48:39.740,1.036,-3.841,1.646,-3.232
1573015719780,2019-11-05T20:48:39.780,1.076,-1.220,2.012,-2.378
1573015719819,2019-11-05T20:48:39.819,1.115,0.488,2.988,-2.378
1573015719859,2019-11-05T20:48:39.859,1.155,-5.793,1.951,-4.390
1573015719898,2019-11-05T20:48:39.898,1.194,-7.500,-0.244,-6.768
1573015719939,2019-11-05T20:48:39.939,1.235,-8.537,-3.354,-9.085
1573015719979,2019-11-05T20:48:39.979,1.275,-20.000,-9.268,-10.549
1573015720018,2019-11-05T20:48:40.018,1.314,-34.146,-14.878,-12.256
1573015720058,2019-11-05T20:48:40.058,1.354,-40.122,-19.634,-11.890
1573015720098,2019-11-05T20:48:40.098,1.394,-33.293,-22.805,-9.695
1573015720137,2019-11-05T20:48:40.137,1.433,-22.500,-24.146,-9.024
1573015720178,2019-11-05T20:48:40.178,1.474,-19.817,-30.122,-6.220
1573015720218,2019-11-05T20:48:40.218,1.514,-6.220,-36.159,2.317
1573015720257,2019-11-05T20:48:40.257,1.553,0.305,-22.988,2.073
1573015720297,2019-11-05T20:48:40.297,1.593,-16.341,-12.988,0.976
1573015720336,2019-11-05T20:48:40.336,1.632,-14.512,-1.829,2.988
1573015720376,2019-11-05T20:48:40.376,1.672,-9.512,14.268,8.476
1573015720417,2019-11-05T20:48:40.417,1.713,-4.207,30.183,17.439
1573015720456,2019-11-05T20:48:40.456,1.752,3.963,50.427,25.305
1573015720496,2019-11-05T20:48:40.496,1.792,12.073,75.183,28.537
1573015720536,2019-11-05T20:48:40.536,1.832,13.720,96.280,36.220
1573015720575,2019-11-05T20:48:40.575,1.871,5.122,107.256,61.341
1573015720616,2019-11-05T20:48:40.616,1.912,69.207,116.402,93.720
1573015720656,2019-11-05T20:48:40.656,1.952,183.902,130.671,103.110
1573015720695,2019-11-05T20:48:40.695,1.991,193.963,132.256,84.024
1573015720736,2019-11-05T20:48:40.736,2.032,37.622,102.988,52.927
1573015720774,2019-11-05T20:48:40.774,2.070,-199.146,59.756,30.915
1573015720814,2019-11-05T20:48:40.814,2.110,-365.000,35.915,27.012
1573015720856,2019-11-05T20:48:40.856,2.152,-309.085,35.854,45.732
1573015720894,2019-11-05T20:48:40.894,2.190,-187.500,42.500,58.780
1573015720934,2019-11-05T20:48:40.934,2.230,-170.854,34.451,55.183
1573015720974,2019-11-05T20:48:40.974,2.270,-123.598,26.585,50.244
1573015721013,2019-11-05T20:48:41.013,2.309,-84.695,22.744,47.317
1573015721053,2019-11-05T20:48:41.053,2.349,-61.037,25.427,39.634
1573015721092,2019-11-05T20:48:41.092,2.388,-42.073,31.951,31.463
1573015721133,2019-11-05T20:48:41.133,2.429,-32.683,33.841,27.683
1573015721173,2019-11-05T20:48:41.173,2.469,-0.122,33.598,26.890
1573015721212,2019-11-05T20:48:41.212,2.508,1.280,26.524,28.354
1573015721252,2019-11-05T20:48:41.252,2.548,12.500,19.085,30.610
1573015721291,2019-11-05T20:48:41.291,2.587,33.171,11.159,33.841
1573015721332,2019-11-05T20:48:41.332,2.628,42.988,5.671,37.012
1573015721372,2019-11-05T20:48:41.372,2.668,39.817,8.110,37.561
1573015721411,2019-11-05T20:48:41.411,2.707,16.951,15.061,36.646
1573015721451,2019-11-05T20:48:41.451,2.747,-14.268,24.268,38.415
1573015721491,2019-11-05T20:48:41.491,2.787,-37.561,32.988,41.768
1573015721530,2019-11-05T20:48:41.530,2.826,-38.537,42.317,45.122
1573015721571,2019-11-05T20:48:41.571,2.867,-35.671,45.854,48.963
1573015721611,2019-11-05T20:48:41.611,2.907,-33.841,44.939,51.890
1573015721650,2019-11-05T20:48:41.650,2.946,-26.098,44.207,52.622
1573015721690,2019-11-05T20:48:41.690,2.986,-18.537,40.671,52.439
1573015721729,2019-11-05T20:48:41.729,3.025,-12.134,36.159,50.671
1573015721769,2019-11-05T20:48:41.769,3.065,-10.183,31.159,48.537
1573015721810,2019-11-05T20:48:41.810,3.106,-7.134,25.366,47.195
1573015721849,2019-11-05T20:48:41.849,3.145,-1.707,19.207,46.768
1573015721889,2019-11-05T20:48:41.889,3.185,4.451,12.744,46.098
1573015721929,2019-11-05T20:48:41.929,3.225,11.707,6.890,44.512
1573015721968,2019-11-05T20:48:41.968,3.264,14.329,1.707,41.646
1573015722008,2019-11-05T20:48:42.008,3.304,19.756,-0.427,36.707
1573015722049,2019-11-05T20:48:42.049,3.345,37.195,-1.159,30.854
1573015722088,2019-11-05T20:48:42.088,3.384,27.195,-5.122,19.878
1573015722128,2019-11-05T20:48:42.128,3.424,10.854,-13.354,7.134
1573015722167,2019-11-05T20:48:42.167,3.463,19.024,-26.037,-0.732
1573015722207,2019-11-05T20:48:42.207,3.503,34.207,-37.927,-3.720
1573015722246,2019-11-05T20:48:42.246,3.542,32.134,-44.634,-9.573
1573015722287,2019-11-05T20:48:42.287,3.583,4.939,-43.780,-21.037
1573015722327,2019-11-05T20:48:42.327,3.623,-1.524,-40.732,-29.878
1573015722367,2019-11-05T20:48:42.367,3.663,-3.963,-42.805,-37.012
1573015722406,2019-11-05T20:48:42.406,3.702,-33.659,-47.683,-49.695
1573015722446,2019-11-05T20:48:42.446,3.742,-49.939,-54.207,-65.061
1573015722485,2019-11-05T20:48:42.485,3.781,-35.000,-59.085,-78.902
1573015722526,2019-11-05T20:48:42.526,3.822,-55.488,-62.988,-92.744
1573015722566,2019-11-05T20:48:42.566,3.862,-128.476,-62.927,-109.390
1573015722605,2019-11-05T20:48:42.605,3.901,-112.012,-44.512,-122.073
1573015722645,2019-11-05T20:48:42.645,3.941,-26.159,-23.902,-126.463
1573015722684,2019-11-05T20:48:42.684,3.980,26.280,-16.341,-125.549
1573015722724,2019-11-05T20:48:42.724,4.020,76.280,-17.439,-121.707
1573015722765,2019-11-05T20:48:42.765,4.061,122.988,-24.024,-117.988
1573015722805,2019-11-05T20:48:42.805,4.101,160.732,-31.402,-113.963
1573015722844,2019-11-05T20:48:42.844,4.140,156.037,-44.024,-107.012
1573015722884,2019-11-05T20:48:42.884,4.180,112.012,-54.024,-103.841
1573015722923,2019-11-05T20:48:42.923,4.219,62.988,-57.622,-106.402
1573015722964,2019-11-05T20:48:42.964,4.260,25.427,-58.110,-110.793
1573015723004,2019-11-05T20:48:43.004,4.300,6.159,-55.671,-114.268
1573015723043,2019-11-05T20:48:43.043,4.339,12.561,-50.183,-113.232
1573015723083,2019-11-05T20:48:43.083,4.379,32.256,-41.890,-107.195
1573015723122,2019-11-05T20:48:43.122,4.418,36.951,-32.256,-95.549
1573015723162,2019-11-05T20:48:43.162,4.458,18.415,-24.268,-78.659
1573015723203,2019-11-05T20:48:43.203,4.499,-5.854,-19.512,-61.890
1573015723243,2019-11-05T20:48:43.243,4.539,-13.598,-17.988,-51.341
1573015723282,2019-11-05T20:48:43.282,4.578,1.463,-18.232,-49.390
1573015723322,2019-11-05T20:48:43.322,4.618,15.915,-21.463,-52.317
1573015723361,2019-11-05T20:48:43.361,4.657,15.732,-26.280,-59.024
1573015723401,2019-11-05T20:48:43.401,4.697,6.220,-28.476,-66.159
1573015723442,2019-11-05T20:48:43.442,4.738,0.061,-28.841,-67.866
1573015723481,2019-11-05T20:48:43.481,4.777,5.793,-27.012,-63.720
1573015723521,2019-11-05T20:48:43.521,4.817,12.988,-25.366,-51.037
1573015723560,2019-11-05T20:48:43.560,4.856,9.268,-26.890,-30.244
1573015723600,2019-11-05T20:48:43.600,4.896,-0.854,-29.329,-5.488
1573015723640,2019-11-05T20:48:43.640,4.936,-8.902,-31.280,12.988
1573015723681,2019-11-05T20:48:43.681,4.977,-14.085,-33.720,25.854
1573015723720,2019-11-05T20:48:43.720,5.016,-6.585,-28.171,30.976
1573015723760,2019-11-05T20:48:43.760,5.056,1.159,-15.976,35.061
1573015723799,2019-11-05T20:48:43.799,5.095,20.793,-2.988,40.000
1573015723839,2019-11-05T20:48:43.839,5.135,36.524,11.585,37.500
1573015723878,2019-11-05T20:48:43.878,5.174,27.988,20.854,34.024
1573015723919,2019-11-05T20:48:43.919,5.215,2.561,20.305,36.768
1573015723959,2019-11-05T20:48:43.959,5.255,-2.500,17.012,48.659
1573015723998,2019-11-05T20:48:43.998,5.294,34.085,30.122,54.756
1573015724038,2019-11-05T20:48:44.038,5.334,56.341,51.402,50.488
1573015724078,2019-11-05T20:48:44.078,5.374,44.390,73.841,42.439
1573015724117,2019-11-05T20:48:44.117,5.413,36.707,109.817,26.890
1573015724158,2019-11-05T20:48:44.158,5.454,-10.305,143.354,8.415
1573015724198,2019-11-05T20:48:44.198,5.494,-136.707,146.402,17.439
1573015724237,2019-11-05T20:48:44.237,5.533,-212.866,129.695,51.098
1573015724277,2019-11-05T20:48:44.277,5.573,-157.866,102.927,92.378
1573015724316,2019-11-05T20:48:44.316,5.612,-17.561,77.500,116.646
1573015724356,2019-11-05T20:48:44.356,5.652,75.122,60.915,107.378
1573015724397,2019-11-05T20:48:44.397,5.693,44.634,39.207,78.780
1573015724436,2019-11-05T20:48:44.436,5.732,-45.610,7.500,50.366
1573015724476,2019-11-05T20:48:44.476,5.772,-97.012,-17.073,29.207
1573015724515,2019-11-05T20:48:44.515,5.811,-69.512,-21.768,12.317
1573015724555,2019-11-05T20:48:44.555,5.851,-5.610,-10.122,-4.695
1573015724595,2019-11-05T20:48:44.595,5.891,31.402,8.171,-23.963
1573015724636,2019-11-05T20:48:44.636,5.932,14.085,27.256,-44.451
1573015724675,2019-11-05T20:48:44.675,5.971,-21.463,47.683,-62.195
1573015724715,2019-11-05T20:48:44.715,6.011,-53.415,70.122,-71.524
1573015724754,2019-11-05T20:48:44.754,6.050,-84.878,83.415,-56.524
1573015724794,2019-11-05T20:48:44.794,6.090,-105.915,83.293,-6.951
1573015724835,2019-11-05T20:48:44.835,6.131,-67.500,90.061,52.134
1573015724874,2019-11-05T20:48:44.874,6.170,-21.951,104.939,90.305
1573015724914,2019-11-05T20:48:44.914,6.210,-46.402,100.732,102.012
1573015724953,2019-11-05T20:48:44.953,6.249,-133.232,29.146,64.878
1573015724993,2019-11-05T20:48:44.993,6.289,-74.756,-74.939,-5.488
1573015725033,2019-11-05T20:48:45.033,6.329,87.683,-86.098,-23.659
1573015725074,2019-11-05T20:48:45.074,6.370,133.293,-83.171,2.866
1573015725113,2019-11-05T20:48:45.113,6.409,65.061,-107.744,22.683
1573015725153,2019-11-05T20:48:45.153,6.449,3.537,-118.598,21.402
1573015725192,2019-11-05T20:48:45.192,6.488,-1.159,-122.195,10.793
1573015725233,2019-11-05T20:48:45.233,6.529,9.146,-140.671,4.207
1573015725271,2019-11-05T20:48:45.271,6.567,15.122,-160.610,-2.927
1573015725312,2019-11-05T20:48:45.312,6.608,33.780,-154.756,-6.098
1573015725352,2019-11-05T20:48:45.352,6.648,62.439,-120.122,2.927
1573015725391,2019-11-05T20:48:45.391,6.687,68.780,-72.378,16.402
1573015725431,2019-11-05T20:48:45.431,6.727,43.232,-29.817,10.732
1573015725471,2019-11-05T20:48:45.471,6.767,-50.000,-14.512,-26.159
1573015725510,2019-11-05T20:48:45.510,6.806,-121.220,-36.402,-54.756
1573015725551,2019-11-05T20:48:45.551,6.847,63.232,-65.183,-21.402
1573015725591,2019-11-05T20:48:45.591,6.887,34.146,-36.768,-57.744
1573015725630,2019-11-05T20:48:45.630,6.926,-0.061,70.183,-59.085
1573015725670,2019-11-05T20:48:45.670,6.966,-54.817,84.268,-40.793
1573015725709,2019-11-05T20:48:45.709,7.005,-17.988,40.671,-41.037
1573015725749,2019-11-05T20:48:45.749,7.045,22.622,-16.220,-44.268
1573015725790,2019-11-05T20:48:45.790,7.086,35.488,-51.768,-42.927
1573015725829,2019-11-05T20:48:45.829,7.125,1.280,-44.634,-39.268
1573015725869,2019-11-05T20:48:45.869,7.165,-5.244,-44.878,-39.146
1573015725909,2019-11-05T20:48:45.909,7.205,14.634,-61.098,-50.732
1573015725948,2019-11-05T20:48:45.948,7.244,20.549,-61.585,-64.146
1573015725988,2019-11-05T20:48:45.988,7.284,27.683,-48.293,-68.171
1573015726029,2019-11-05T20:48:46.029,7.325,85.915,-41.280,-72.988
1573015726068,2019-11-05T20:48:46.068,7.364,169.817,-34.268,-75.732
1573015726108,2019-11-05T20:48:46.108,7.404,214.512,-35.549,-65.671
1573015726147,2019-11-05T20:48:46.147,7.443,220.732,-47.622,-57.134
1573015726187,2019-11-05T20:48:46.187,7.483,167.744,-66.280,-46.341
1573015726226,2019-11-05T20:48:46.226,7.522,86.951,-80.244,-27.134
1573015726267,2019-11-05T20:48:46.267,7.563,2.683,-69.817,-7.988
1573015726307,2019-11-05T20:48:46.307,7.603,-73.110,-54.634,5.671
1573015726347,2019-11-05T20:48:46.347,7.643,-103.232,-47.622,17.012
1573015726386,2019-11-05T20:48:46.386,7.682,-92.866,-38.720,19.451
1573015726426,2019-11-05T20:48:46.426,7.722,-93.659,-33.720,8.049
1573015726467,2019-11-05T20:48:46.467,7.763,-102.683,-31.951,-5.000
1573015726506,2019-11-05T20:48:46.506,7.802,-113.780,-27.439,-10.854
1573015726546,2019-11-05T20:48:46.546,7.842,-102.256,-24.329,-7.134
1573015726585,2019-11-05T20:48:46.585,7.881,-75.000,-23.171,-0.671
1573015726625,2019-11-05T20:48:46.625,7.921,-73.293,-21.463,4.329
1573015726664,2019-11-05T20:48:46.664,7.960,-81.951,-25.671,2.317
1573015726705,2019-11-05T20:48:46.705,8.001,-72.378,-28.841,-8.476
1573015726745,2019-11-05T20:48:46.745,8.041,-22.500,-24.817,-20.549
1573015726785,2019-11-05T20:48:46.785,8.081,1.159,-21.707,-26.707
1573015726824,2019-11-05T20:48:46.824,8.120,-13.780,-28.415,-23.354
1573015726864,2019-11-05T20:48:46.864,8.160,-13.171,-43.720,-3.720
1573015726903,2019-11-05T20:48:46.903,8.199,3.720,-41.280,-13.049
1573015726944,2019-11-05T20:48:46.944,8.240,-13.293,-22.805,-18.232
1573015726984,2019-11-05T20:48:46.984,8.280,-31.463,-2.927,-3.720
1573015727023,2019-11-05T20:48:47.023,8.319,-19.451,8.293,3.415
1573015727063,2019-11-05T20:48:47.063,8.359,171.463,62.256,-5.183
1573015727102,2019-11-05T20:48:47.102,8.398,260.793,117.500,2.927
1573015727142,2019-11-05T20:48:47.142,8.438,176.098,121.951,27.500
1573015727183,2019-11-05T20:48:47.183,8.479,124.146,126.402,52.927
1573015727223,2019-11-05T20:48:47.223,8.519,133.171,146.829,56.585
1573015727262,2019-11-05T20:48:47.262,8.558,107.927,141.646,47.622
1573015727302,2019-11-05T20:48:47.302,8.598,19.878,86.951,36.890
1573015727341,2019-11-05T20:48:47.341,8.637,-60.244,9.024,26.524
1573015727381,2019-11-05T20:48:47.381,8.677,-39.146,-30.854,5.549
1573015727422,2019-11-05T20:48:47.422,8.718,-3.415,-41.768,-12.500
1573015727461,2019-11-05T20:48:47.461,8.757,4.451,-34.512,-20.183
1573015727501,2019-11-05T20:48:47.501,8.797,-4.756,-30.000,-28.780
1573015727540,2019-11-05T20:48:47.540,8.836,-42.439,-42.988,-39.268
1573015727580,2019-11-05T20:48:47.580,8.876,-76.646,-61.220,-41.220
1573015727619,2019-11-05T20:48:47.619,8.915,-47.683,-71.951,-36.524
1573015727661,2019-11-05T20:48:47.661,8.957,-7.988,-76.402,-32.744
1573015727700,2019-11-05T20:48:47.700,8.996,-2.927,-77.378,-28.598
1573015727740,2019-11-05T20:48:47.740,9.036,-5.915,-74.146,-22.561
1573015727779,2019-11-05T20:48:47.779,9.075,-0.061,-64.573,-20.976
1573015727819,2019-11-05T20:48:47.819,9.115,10.610,-46.280,-29.329
1573015727858,2019-11-05T20:48:47.858,9.154,18.232,-21.402,-41.341
1573015727899,2019-11-05T20:48:47.899,9.195,17.073,11.280,-51.280
1573015727939,2019-11-05T20:48:47.939,9.235,15.671,51.341,-50.488
1573015727978,2019-11-05T20:48:47.978,9.274,18.110,70.976,-34.146
1573015728018,2019-11-05T20:48:48.018,9.314,6.890,39.756,-23.293
1573015728057,2019-11-05T20:48:48.057,9.353,-36.890,-44.146,-31.829
1573015728097,2019-11-05T20:48:48.097,9.393,-85.000,-90.793,-27.012
1573015728138,2019-11-05T20:48:48.138,9.434,-96.037,-97.256,-7.805
1573015728178,2019-11-05T20:48:48.178,9.474,-113.841,-101.768,2.439
1573015728217,2019-11-05T20:48:48.217,9.513,-105.000,-106.341,14.573
1573015728257,2019-11-05T20:48:48.257,9.553,-54.451,-102.195,37.683
1573015728296,2019-11-05T20:48:48.296,9.592,-4.390,-88.659,59.634
1573015728337,2019-11-05T20:48:48.337,9.633,23.354,-67.927,71.707
1573015728377,2019-11-05T20:48:48.377,9.673,42.012,-39.573,71.524
1573015728416,2019-11-05T20:48:48.416,9.712,68.415,-1.951,60.122
1573015728456,2019-11-05T20:48:48.456,9.752,90.244,42.378,38.354
1573015728495,2019-11-05T20:48:48.495,9.791,92.317,82.317,10.305
1573015728535,2019-11-05T20:48:48.535,9.831,50.915,105.305,-9.451
1573015728576,2019-11-05T20:48:48.576,9.872,-24.085,102.073,-8.171
1573015728616,2019-11-05T20:48:48.616,9.912,-81.585,73.293,3.780
1573015728655,2019-11-05T20:48:48.655,9.951,-88.963,32.134,7.927
1573015728695,2019-11-05T20:48:48.695,9.991,-46.280,-4.878,4.695
1573015728734,2019-11-05T20:48:48.734,10.030,-7.744,-33.232,4.756
1573015728774,2019-11-05T20:48:48.774,10.070,2.195,-48.476,8.963
1573015728815,2019-11-05T20:48:48.815,10.111,-2.012,-50.854,16.220
1573015728854,2019-11-05T20:48:48.854,10.150,7.439,-40.000,27.500
1573015728894,2019-11-05T20:48:48.894,10.190,26.646,-19.817,39.878
1573015728933,2019-11-05T20:48:48.933,10.229,53.049,7.012,47.500
1573015728973,2019-11-05T20:48:48.973,10.269,86.280,41.280,44.024
1573015729013,2019-11-05T20:48:49.013,10.309,88.720,70.366,31.280
1573015729054,2019-11-05T20:48:49.054,10.350,42.805,78.598,13.537
1573015729093,2019-11-05T20:48:49.093,10.389,-16.829,65.610,-11.280
1573015729133,2019-11-05T20:48:49.133,10.429,-40.732,30.793,-35.183
1573015729172,2019-11-05T20:48:49.172,10.468,-2.134,-11.402,-56.646
1573015729212,2019-11-05T20:48:49.212,10.508,28.841,-51.402,-76.341
1573015729251,2019-11-05T20:48:49.251,10.547,24.756,-82.378,-92.683
1573015729292,2019-11-05T20:48:49.292,10.588,7.805,-99.329,-103.049
1573015729332,2019-11-05T20:48:49.332,10.628,2.378,-101.646,-104.939
1573015729371,2019-11-05T20:48:49.371,10.667,19.390,-94.512,-95.854
1573015729411,2019-11-05T20:48:49.411,10.707,37.256,-83.659,-79.939
1573015729451,2019-11-05T20:48:49.451,10.747,53.659,-69.756,-69.268
1573015729490,2019-11-05T20:48:49.490,10.786,57.805,-57.744,-69.573
1573015729531,2019-11-05T20:48:49.531,10.827,39.878,-49.207,-78.902
1573015729571,2019-11-05T20:48:49.571,10.867,6.402,-44.939,-84.451
1573015729610,2019-11-05T20:48:49.610,10.906,-24.573,-40.976,-83.293
1573015729650,2019-11-05T20:48:49.650,10.946,-28.171,-33.049,-77.500
1573015729689,2019-11-05T20:48:49.689,10.985,-3.598,-25.549,-61.951
1573015729729,2019-11-05T20:48:49.729,11.025,30.366,-18.232,-41.890
1573015729770,2019-11-05T20:48:49.770,11.066,35.732,-12.744,-19.878
1573015729809,2019-11-05T20:48:49.809,11.105,9.573,-9.451,0.061
1573015729849,2019-11-05T20:48:49.849,11.145,-24.451,-8.780,16.890
1573015729889,2019-11-05T20:48:49.889,11.185,-42.927,-11.829,31.951
1573015729928,2019-11-05T20:48:49.928,11.224,-38.963,-16.463,39.695
1573015729969,2019-11-05T20:48:49.969,11.265,-35.183,-18.841,34.085
1573015730009,2019-11-05T20:48:50.009,11.305,-53.659,-18.902,21.951
1573015730048,2019-11-05T20:48:50.048,11.344,-77.805,-16.280,10.915
1573015730088,2019-11-05T20:48:50.088,11.384,-92.012,-5.915,3.598
1573015730127,2019-11-05T20:48:50.127,11.423,-97.500,9.268,5.000
1573015730167,2019-11-05T20:48:50.167,11.463,-71.829,23.780,10.305
1573015730208,2019-11-05T20:48:50.208,11.504,-11.280,36.646,9.207
1573015730247,2019-11-05T20:48:50.247,11.543,-11.524,38.293,20.000
