epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573016758747,2019-11-05T21:05:58.747,0.000,1.463,-1.707,-2.073
1573016758787,2019-11-05T21:05:58.787,0.040,1.585,-2.378,-2.195
1573016758827,2019-11-05T21:05:58.827,0.080,2.317,-3.049,-3.232
1573016758868,2019-11-05T21:05:58.868,0.121,2.561,-3.049,-4.268
1573016758907,2019-11-05T21:05:58.907,0.160,3.293,-2.378,-5.732
1573016758947,2019-11-05T21:05:58.947,0.200,3.963,-3.476,-6.768
1573016758986,2019-11-05T21:05:58.986,0.239,3.780,-5.610,-7.439
1573016759026,2019-11-05T21:05:59.026,0.279,4.939,-6.159,-8.110
1573016759065,2019-11-05T21:05:59.065,0.318,6.341,-6.707,-7.988
1573016759106,2019-11-05T21:05:59.106,0.359,4.024,-7.805,-7.561
1573016759146,2019-11-05T21:05:59.146,0.399,2.317,-6.585,-7.195
1573016759185,2019-11-05T21:05:59.185,0.438,6.890,-4.085,-7.683
1573016759225,2019-11-05T21:05:59.225,0.478,10.122,-2.683,-8.659
1573016759265,2019-11-05T21:05:59.265,0.518,9.329,-2.744,-8.537
1573016759306,2019-11-05T21:05:59.306,0.559,5.976,-4.817,-7.195
1573016759345,2019-11-05T21:05:59.345,0.598,1.280,-7.378,-5.793
1573016759385,2019-11-05T21:05:59.385,0.638,-1.159,-8.171,-5.000
1573016759424,2019-11-05T21:05:59.424,0.677,0.244,-5.976,-5.244
1573016759464,2019-11-05T21:05:59.464,0.717,3.293,-2.195,-5.244
1573016759503,2019-11-05T21:05:59.503,0.756,5.488,0.671,-4.817
1573016759544,2019-11-05T21:05:59.544,0.797,2.927,0.000,-3.841
1573016759584,2019-11-05T21:05:59.584,0.837,0.244,-1.768,-2.561
1573016759623,2019-11-05T21:05:59.623,0.876,0.183,-2.256,-1.890
1573016759663,2019-11-05T21:05:59.663,0.916,0.610,-2.073,-0.976
1573016759703,2019-11-05T21:05:59.703,0.956,0.305,-1.280,0.305
1573016759742,2019-11-05T21:05:59.742,0.995,-0.915,0.122,1.220
1573016759783,2019-11-05T21:05:59.783,1.036,-2.622,1.280,2.378
1573016759823,2019-11-05T21:05:59.823,1.076,-4.573,2.073,3.537
1573016759862,2019-11-05T21:05:59.862,1.115,-3.720,2.683,3.659
