epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573339777096,2019-11-09T14:49:37.096,0.000,-0.823,0.232,-0.104
1573339777136,2019-11-09T14:49:37.136,0.040,-0.422,0.826,-0.389
1573339777175,2019-11-09T14:49:37.175,0.079,-0.631,0.925,-0.483
1573339777215,2019-11-09T14:49:37.215,0.119,-0.497,1.116,-0.567
1573339777254,2019-11-09T14:49:37.254,0.158,-0.472,1.207,-0.635
1573339777294,2019-11-09T14:49:37.294,0.198,-0.194,0.663,-0.431
1573339777335,2019-11-09T14:49:37.335,0.239,-0.213,0.528,-0.401
1573339777374,2019-11-09T14:49:37.374,0.278,-0.344,0.749,-0.518
1573339777414,2019-11-09T14:49:37.414,0.318,-0.604,1.473,-0.795
1573339777453,2019-11-09T14:49:37.453,0.357,-0.303,0.774,-0.426
1573339777493,2019-11-09T14:49:37.493,0.397,-0.210,0.673,-0.456
1573339777534,2019-11-09T14:49:37.534,0.438,-0.327,1.003,-0.682
1573339777573,2019-11-09T14:49:37.573,0.477,0.260,0.905,-0.767
1573339777613,2019-11-09T14:49:37.613,0.517,0.769,1.595,-0.875
1573339777653,2019-11-09T14:49:37.653,0.557,0.790,0.981,-0.536
1573339777692,2019-11-09T14:49:37.692,0.596,0.298,1.010,-0.753
1573339777732,2019-11-09T14:49:37.732,0.636,0.032,1.098,-0.744
1573339777773,2019-11-09T14:49:37.773,0.677,-0.080,1.127,-0.632
1573339777812,2019-11-09T14:49:37.812,0.716,-1.024,0.835,-0.403
1573339777852,2019-11-09T14:49:37.852,0.756,-0.542,0.736,-0.371
1573339777891,2019-11-09T14:49:37.891,0.795,-0.263,1.096,-0.560
1573339777931,2019-11-09T14:49:37.931,0.835,-0.311,1.033,-0.603
1573339777970,2019-11-09T14:49:37.970,0.874,1.104,0.849,-0.521
1573339778011,2019-11-09T14:49:38.011,0.915,0.793,1.280,-0.770
1573339778051,2019-11-09T14:49:38.051,0.955,0.054,0.739,-0.551
1573339778091,2019-11-09T14:49:38.091,0.995,0.651,0.794,-0.372
1573339778130,2019-11-09T14:49:38.130,1.034,0.022,1.125,-0.760
1573339778170,2019-11-09T14:49:38.170,1.074,0.052,0.987,-0.639
1573339778209,2019-11-09T14:49:38.209,1.113,-0.064,0.720,-0.329
1573339778250,2019-11-09T14:49:38.250,1.154,-0.130,0.787,-0.527
1573339778290,2019-11-09T14:49:38.290,1.194,0.008,1.118,-0.762
1573339778329,2019-11-09T14:49:38.329,1.233,0.203,1.020,-0.687
1573339778369,2019-11-09T14:49:38.369,1.273,0.282,0.814,-0.597
