epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573340119534,2019-11-09T14:55:19.534,0.000,-0.275,0.740,-0.899
1573340119575,2019-11-09T14:55:19.575,0.041,0.426,-0.264,-0.377
1573340119614,2019-11-09T14:55:19.614,0.080,-0.270,0.333,-0.307
1573340119654,2019-11-09T14:55:19.654,0.120,-0.800,1.135,-0.597
1573340119693,2019-11-09T14:55:19.693,0.159,-0.724,1.515,-0.707
1573340119733,2019-11-09T14:55:19.733,0.199,-0.421,1.341,-0.607
1573340119772,2019-11-09T14:55:19.772,0.238,-0.333,0.974,-0.482
1573340119813,2019-11-09T14:55:19.813,0.279,-0.158,1.183,-0.216
1573340119853,2019-11-09T14:55:19.853,0.319,-0.042,1.729,0.488
1573340119892,2019-11-09T14:55:19.892,0.358,-0.873,0.830,0.044
1573340119932,2019-11-09T14:55:19.932,0.398,-0.525,0.730,-0.467
1573340119971,2019-11-09T14:55:19.971,0.437,-0.482,0.905,-0.420
1573340120011,2019-11-09T14:55:20.011,0.477,-0.655,0.740,-0.349
1573340120052,2019-11-09T14:55:20.052,0.518,-0.425,0.818,-0.444
1573340120092,2019-11-09T14:55:20.092,0.558,-0.438,1.050,-0.553
1573340120131,2019-11-09T14:55:20.131,0.597,-0.312,0.815,-0.504
1573340120171,2019-11-09T14:55:20.171,0.637,-0.320,0.887,-0.525
1573340120210,2019-11-09T14:55:20.210,0.676,-0.423,1.090,-0.537
1573340120251,2019-11-09T14:55:20.251,0.717,-0.642,1.071,-0.448
1573340120291,2019-11-09T14:55:20.291,0.757,-0.605,0.992,-0.343
1573340120330,2019-11-09T14:55:20.330,0.796,-0.390,0.668,-0.141
1573340120370,2019-11-09T14:55:20.370,0.836,-0.484,0.565,-0.082
1573340120409,2019-11-09T14:55:20.409,0.875,-0.498,0.647,-0.161
1573340120449,2019-11-09T14:55:20.449,0.915,-0.588,0.920,-0.371
1573340120489,2019-11-09T14:55:20.489,0.955,-0.384,1.239,-0.641
1573340120530,2019-11-09T14:55:20.530,0.996,0.206,0.462,-0.523
1573340120569,2019-11-09T14:55:20.569,1.035,0.552,1.078,-0.914
1573340120609,2019-11-09T14:55:20.609,1.075,0.480,1.178,-0.586
1573340120648,2019-11-09T14:55:20.648,1.114,0.461,0.687,-0.498
1573340120688,2019-11-09T14:55:20.688,1.154,-0.518,1.357,-0.824
1573340120729,2019-11-09T14:55:20.729,1.195,-0.614,1.452,-0.586
1573340120768,2019-11-09T14:55:20.768,1.234,-0.331,0.474,-0.240
1573340120808,2019-11-09T14:55:20.808,1.274,-0.110,0.329,-0.272
1573340120847,2019-11-09T14:55:20.847,1.313,-0.090,0.998,-0.600
1573340120887,2019-11-09T14:55:20.887,1.353,0.775,0.657,-0.737
1573340120927,2019-11-09T14:55:20.927,1.393,-0.541,0.814,-0.726
1573340120968,2019-11-09T14:55:20.968,1.434,0.213,0.895,-0.599
1573340121007,2019-11-09T14:55:21.007,1.473,0.466,0.829,-0.566
1573340121047,2019-11-09T14:55:21.047,1.513,-0.111,0.998,-0.696
1573340121086,2019-11-09T14:55:21.086,1.552,-0.175,1.033,-0.674
1573340121126,2019-11-09T14:55:21.126,1.592,-0.633,1.563,-0.787
1573340121165,2019-11-09T14:55:21.165,1.631,-0.432,1.089,-0.502
1573340121205,2019-11-09T14:55:21.205,1.671,0.108,0.296,-0.264
1573340121246,2019-11-09T14:55:21.246,1.712,0.353,0.336,-0.350
1573340121285,2019-11-09T14:55:21.285,1.751,-0.136,1.350,-0.836
1573340121325,2019-11-09T14:55:21.325,1.791,0.055,0.923,-0.546
1573340121365,2019-11-09T14:55:21.365,1.831,0.189,0.618,-0.400
1573340121404,2019-11-09T14:55:21.404,1.870,-0.218,1.113,-0.625
1573340121444,2019-11-09T14:55:21.444,1.910,0.064,0.801,-0.440
1573340121485,2019-11-09T14:55:21.485,1.951,0.224,0.403,-0.320
1573340121524,2019-11-09T14:55:21.524,1.990,0.468,1.094,-0.702
1573340121564,2019-11-09T14:55:21.564,2.030,0.658,1.530,-0.768
1573340121603,2019-11-09T14:55:21.603,2.069,0.211,1.077,-0.747
1573340121643,2019-11-09T14:55:21.643,2.109,-0.064,1.211,-0.836
1573340121684,2019-11-09T14:55:21.684,2.150,0.031,1.099,-0.621
1573340121723,2019-11-09T14:55:21.723,2.189,-0.201,1.111,-0.744
1573340121763,2019-11-09T14:55:21.763,2.229,-0.662,1.019,-0.605
1573340121803,2019-11-09T14:55:21.803,2.269,-0.052,0.747,-0.557
1573340121842,2019-11-09T14:55:21.842,2.308,0.682,0.795,-0.677
1573340121882,2019-11-09T14:55:21.882,2.348,0.665,0.937,-0.664
1573340121923,2019-11-09T14:55:21.923,2.389,0.603,0.763,-0.525
