epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573336651418,2019-11-09T13:57:31.418,0.000,75.854,-152.317,-32.744
1573336651459,2019-11-09T13:57:31.459,0.041,88.659,-124.817,-52.683
1573336651499,2019-11-09T13:57:31.499,0.081,86.951,103.841,-196.524
1573336651538,2019-11-09T13:57:31.538,0.120,-9.390,293.415,-273.232
1573336651578,2019-11-09T13:57:31.578,0.160,81.829,-47.988,-56.707
1573336651617,2019-11-09T13:57:31.617,0.199,102.317,-133.598,22.744
1573336651658,2019-11-09T13:57:31.658,0.240,16.951,33.354,29.146
1573336651698,2019-11-09T13:57:31.698,0.280,-0.610,112.561,21.829
1573336651738,2019-11-09T13:57:31.738,0.320,-40.183,263.841,-99.512
1573336651777,2019-11-09T13:57:31.777,0.359,-187.195,358.415,-191.646
1573336651817,2019-11-09T13:57:31.817,0.399,-104.268,140.488,-20.305
1573336651856,2019-11-09T13:57:31.856,0.438,-93.902,-116.037,202.073
1573336651897,2019-11-09T13:57:31.897,0.479,-18.902,-125.061,230.488
1573336651937,2019-11-09T13:57:31.937,0.519,143.476,-2.073,86.037
1573336651976,2019-11-09T13:57:31.976,0.558,62.134,4.268,-40.000
1573336652016,2019-11-09T13:57:32.016,0.598,-51.768,185.122,-238.780
1573336652055,2019-11-09T13:57:32.055,0.637,-11.524,353.659,-359.634
1573336652095,2019-11-09T13:57:32.095,0.677,130.549,240.610,-241.280
1573336652136,2019-11-09T13:57:32.136,0.718,32.073,153.659,-12.012
1573336652176,2019-11-09T13:57:32.176,0.758,-332.866,-152.988,317.317
1573336652215,2019-11-09T13:57:32.215,0.797,-157.622,-837.073,675.549
1573336652255,2019-11-09T13:57:32.255,0.837,265.244,-213.720,180.000
1573336652294,2019-11-09T13:57:32.294,0.876,78.902,336.159,-249.390
1573336652334,2019-11-09T13:57:32.334,0.916,-101.646,35.244,-152.012
1573336652375,2019-11-09T13:57:32.375,0.957,-66.646,-51.402,-166.098
1573336652414,2019-11-09T13:57:32.414,0.996,144.634,177.866,-258.171
1573336652454,2019-11-09T13:57:32.454,1.036,275.549,172.866,-125.488
1573336652493,2019-11-09T13:57:32.493,1.075,207.927,82.561,98.415
1573336652533,2019-11-09T13:57:32.533,1.115,-74.207,85.915,178.720
1573336652573,2019-11-09T13:57:32.573,1.155,-77.622,-152.134,190.610
1573336652614,2019-11-09T13:57:32.614,1.196,-115.549,-105.122,125.915
1573336652653,2019-11-09T13:57:32.653,1.235,-210.427,-181.098,119.451
1573336652693,2019-11-09T13:57:32.693,1.275,-154.695,34.085,-96.585
