epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572985387934,2019-11-05T12:23:07.934,0.000,24.939,-4.024,16.402
1572985387975,2019-11-05T12:23:07.975,0.041,26.768,-2.012,17.561
1572985388015,2019-11-05T12:23:08.015,0.081,17.866,3.537,22.256
1572985388056,2019-11-05T12:23:08.056,0.122,-29.268,7.378,22.927
1572985388096,2019-11-05T12:23:08.096,0.162,-49.695,5.793,17.988
1572985388137,2019-11-05T12:23:08.137,0.203,-20.793,-0.122,12.195
1572985388176,2019-11-05T12:23:08.176,0.242,4.268,-2.744,8.476
1572985388216,2019-11-05T12:23:08.216,0.282,11.402,0.122,3.415
1572985388257,2019-11-05T12:23:08.257,0.323,19.756,2.622,-1.890
1572985388296,2019-11-05T12:23:08.296,0.362,31.098,7.378,-5.488
1572985388336,2019-11-05T12:23:08.336,0.402,34.268,15.427,-9.329
1572985388377,2019-11-05T12:23:08.377,0.443,33.659,21.463,-12.317
1572985388416,2019-11-05T12:23:08.416,0.482,27.744,22.622,-13.232
1572985388457,2019-11-05T12:23:08.457,0.523,7.134,25.061,-11.341
1572985388497,2019-11-05T12:23:08.497,0.563,-13.293,22.195,-7.866
1572985388536,2019-11-05T12:23:08.536,0.602,9.451,14.695,-4.085
1572985388577,2019-11-05T12:23:08.577,0.643,35.122,8.354,-2.378
1572985388617,2019-11-05T12:23:08.617,0.683,5.915,11.159,1.646
1572985388658,2019-11-05T12:23:08.658,0.724,-1.098,11.098,5.488
1572985388698,2019-11-05T12:23:08.698,0.764,10.610,7.073,8.780
1572985388737,2019-11-05T12:23:08.737,0.803,-7.195,10.976,9.024
1572985388778,2019-11-05T12:23:08.778,0.844,-14.207,14.634,5.549
1572985388818,2019-11-05T12:23:08.818,0.884,-5.427,11.341,5.305
1572985388859,2019-11-05T12:23:08.859,0.925,-13.537,7.866,9.756
1572985388898,2019-11-05T12:23:08.898,0.964,-25.976,3.476,12.195
1572985388938,2019-11-05T12:23:08.938,1.004,-32.073,2.256,8.841
1572985388979,2019-11-05T12:23:08.979,1.045,-50.610,1.585,7.012
1572985389018,2019-11-05T12:23:09.018,1.084,-61.585,-1.037,6.037
1572985389059,2019-11-05T12:23:09.059,1.125,-46.524,-6.098,6.585
