epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572983929181,2019-11-05T11:58:49.181,0.000,70.244,-75.671,179.024
1572983929220,2019-11-05T11:58:49.220,0.039,72.439,-73.902,178.171
1572983929261,2019-11-05T11:58:49.261,0.080,72.805,-60.000,168.659
1572983929301,2019-11-05T11:58:49.301,0.120,103.902,-37.622,154.451
1572983929342,2019-11-05T11:58:49.342,0.161,148.293,0.610,151.524
1572983929381,2019-11-05T11:58:49.381,0.200,19.390,81.707,102.866
1572983929421,2019-11-05T11:58:49.421,0.240,71.646,137.805,8.902
1572983929462,2019-11-05T11:58:49.462,0.281,227.439,164.329,-64.817
1572983929501,2019-11-05T11:58:49.501,0.320,-164.878,223.110,-396.524
1572983929542,2019-11-05T11:58:49.542,0.361,46.341,283.598,-318.598
1572983929582,2019-11-05T11:58:49.582,0.401,176.463,13.293,131.098
1572983929622,2019-11-05T11:58:49.622,0.441,-260.305,-114.329,-3.110
1572983929663,2019-11-05T11:58:49.663,0.482,-154.695,9.634,13.171
1572983929702,2019-11-05T11:58:49.702,0.521,54.512,-37.256,97.744
1572983929743,2019-11-05T11:58:49.743,0.562,-104.817,-58.659,46.341
1572983929783,2019-11-05T11:58:49.783,0.602,-74.085,-62.012,10.427
1572983929822,2019-11-05T11:58:49.822,0.641,-42.134,-68.293,7.378
1572983929863,2019-11-05T11:58:49.863,0.682,-87.500,-68.841,-16.341
1572983929903,2019-11-05T11:58:49.903,0.722,-89.878,-68.598,-64.939
1572983929944,2019-11-05T11:58:49.944,0.763,-35.122,-59.207,-112.195
1572983929983,2019-11-05T11:58:49.983,0.802,-33.537,-33.963,-175.854
1572983930023,2019-11-05T11:58:50.023,0.842,14.695,-15.122,-213.963
1572983930064,2019-11-05T11:58:50.064,0.883,96.829,-9.451,-214.573
1572983930103,2019-11-05T11:58:50.103,0.922,71.159,-11.402,-190.305
1572983930144,2019-11-05T11:58:50.144,0.963,-17.195,-2.744,-167.927
1572983930184,2019-11-05T11:58:50.184,1.003,-61.951,8.354,-124.085
1572983930224,2019-11-05T11:58:50.224,1.043,-14.390,20.122,-80.976
1572983930265,2019-11-05T11:58:50.265,1.084,-62.195,37.866,-68.963
1572983930304,2019-11-05T11:58:50.304,1.123,-86.159,37.622,-53.720
1572983930345,2019-11-05T11:58:50.345,1.164,-57.500,29.146,-32.134
1572983930385,2019-11-05T11:58:50.385,1.204,-45.061,16.280,-14.268
1572983930424,2019-11-05T11:58:50.424,1.243,-30.488,20.000,-5.061
1572983930465,2019-11-05T11:58:50.465,1.284,-48.171,30.244,-15.976
1572983930505,2019-11-05T11:58:50.505,1.324,-67.683,29.573,-36.829
1572983930546,2019-11-05T11:58:50.546,1.365,-44.146,30.122,-56.768
1572983930585,2019-11-05T11:58:50.585,1.404,-22.561,33.720,-63.963
1572983930625,2019-11-05T11:58:50.625,1.444,-23.293,30.427,-44.268
1572983930666,2019-11-05T11:58:50.666,1.485,-39.939,15.244,-6.463
1572983930706,2019-11-05T11:58:50.706,1.525,-29.146,4.878,4.512
1572983930747,2019-11-05T11:58:50.747,1.566,-12.012,6.646,-1.524
1572983930786,2019-11-05T11:58:50.786,1.605,-6.402,13.110,0.305
1572983930826,2019-11-05T11:58:50.826,1.645,3.780,28.841,6.768
1572983930867,2019-11-05T11:58:50.867,1.686,11.524,50.061,24.390
1572983930906,2019-11-05T11:58:50.906,1.725,-2.866,69.329,66.402
1572983930947,2019-11-05T11:58:50.947,1.766,23.780,87.439,91.585
1572983930987,2019-11-05T11:58:50.987,1.806,133.841,118.659,112.439
1572983931026,2019-11-05T11:58:51.026,1.845,298.049,146.524,65.549
1572983931067,2019-11-05T11:58:51.067,1.886,418.659,167.561,21.768
1572983931107,2019-11-05T11:58:51.107,1.926,437.317,155.183,-28.537
1572983931148,2019-11-05T11:58:51.148,1.967,266.341,116.646,-84.024
1572983931187,2019-11-05T11:58:51.187,2.006,59.817,75.671,-95.854
1572983931227,2019-11-05T11:58:51.227,2.046,5.549,39.512,-94.878
1572983931268,2019-11-05T11:58:51.268,2.087,20.488,16.829,-84.390
1572983931308,2019-11-05T11:58:51.308,2.127,12.317,11.768,-66.951
1572983931349,2019-11-05T11:58:51.349,2.168,-1.463,7.317,-52.134
1572983931388,2019-11-05T11:58:51.388,2.207,-16.524,2.317,-35.122
1572983931428,2019-11-05T11:58:51.428,2.247,-15.000,0.061,-22.317
1572983931469,2019-11-05T11:58:51.469,2.288,-21.098,-2.927,-7.134
1572983931508,2019-11-05T11:58:51.508,2.327,-29.695,-8.354,2.073
1572983931549,2019-11-05T11:58:51.549,2.368,-43.902,-14.085,13.841
1572983931589,2019-11-05T11:58:51.589,2.408,-66.646,-22.805,28.354
1572983931628,2019-11-05T11:58:51.628,2.447,-178.049,-44.573,44.695
1572983931669,2019-11-05T11:58:51.669,2.488,-315.671,-83.902,57.195
1572983931709,2019-11-05T11:58:51.709,2.528,-451.768,-148.476,17.256
1572983931750,2019-11-05T11:58:51.750,2.569,-581.768,-187.988,-78.049
1572983931790,2019-11-05T11:58:51.790,2.609,-463.537,-181.768,-158.415
1572983931831,2019-11-05T11:58:51.831,2.650,-157.988,-149.817,-166.463
1572983931870,2019-11-05T11:58:51.870,2.689,61.707,-95.488,-141.402
1572983931910,2019-11-05T11:58:51.910,2.729,85.732,-37.683,-120.854
1572983931951,2019-11-05T11:58:51.951,2.770,49.329,3.902,-96.524
1572983931990,2019-11-05T11:58:51.990,2.809,57.805,23.537,-56.646
1572983932031,2019-11-05T11:58:52.031,2.850,130.488,27.134,-13.171
1572983932071,2019-11-05T11:58:52.071,2.890,144.878,14.756,20.427
1572983932110,2019-11-05T11:58:52.110,2.929,33.537,8.963,32.744
1572983932151,2019-11-05T11:58:52.151,2.970,-39.207,8.780,30.610
1572983932191,2019-11-05T11:58:52.191,3.010,-0.427,11.280,39.207
1572983932232,2019-11-05T11:58:52.232,3.051,8.293,14.756,21.585
1572983932271,2019-11-05T11:58:52.271,3.090,-64.573,19.634,-3.232
1572983932311,2019-11-05T11:58:52.311,3.130,-139.146,30.183,-25.610
1572983932352,2019-11-05T11:58:52.352,3.171,-114.451,39.268,-41.646
1572983932392,2019-11-05T11:58:52.392,3.211,-27.134,42.500,-45.183
1572983932433,2019-11-05T11:58:52.433,3.252,33.963,43.659,-39.878
1572983932472,2019-11-05T11:58:52.472,3.291,5.488,41.829,-29.939
1572983932512,2019-11-05T11:58:52.512,3.331,-38.171,32.073,-20.549
1572983932553,2019-11-05T11:58:52.553,3.372,-8.537,6.463,-16.220
1572983932592,2019-11-05T11:58:52.592,3.411,-81.829,1.890,-23.049
1572983932633,2019-11-05T11:58:52.633,3.452,-70.366,12.012,-15.793
1572983932673,2019-11-05T11:58:52.673,3.492,59.390,20.061,8.720
1572983932712,2019-11-05T11:58:52.712,3.531,50.854,21.341,16.341
1572983932753,2019-11-05T11:58:52.753,3.572,-53.841,13.293,10.427
1572983932793,2019-11-05T11:58:52.793,3.612,-22.561,-1.585,20.000
1572983932834,2019-11-05T11:58:52.834,3.653,35.000,-15.244,29.390
1572983932873,2019-11-05T11:58:52.873,3.692,2.927,-17.988,25.000
1572983932913,2019-11-05T11:58:52.913,3.732,5.732,-15.244,18.476
1572983932954,2019-11-05T11:58:52.954,3.773,15.305,-13.354,16.463
1572983932994,2019-11-05T11:58:52.994,3.813,4.024,-11.220,18.659
1572983933035,2019-11-05T11:58:53.035,3.854,25.488,-6.341,19.268
1572983933074,2019-11-05T11:58:53.074,3.893,65.854,1.829,20.854
1572983933114,2019-11-05T11:58:53.114,3.933,115.122,12.805,22.805
1572983933155,2019-11-05T11:58:53.155,3.974,159.085,29.512,21.098
1572983933194,2019-11-05T11:58:53.194,4.013,154.573,42.012,15.305
1572983933235,2019-11-05T11:58:53.235,4.054,130.305,43.841,7.622
1572983933275,2019-11-05T11:58:53.275,4.094,68.110,36.646,-1.768
1572983933314,2019-11-05T11:58:53.314,4.133,-2.500,23.537,-9.512
1572983933355,2019-11-05T11:58:53.355,4.174,-23.902,13.110,-11.646
1572983933395,2019-11-05T11:58:53.395,4.214,-30.244,7.500,-8.598
1572983933436,2019-11-05T11:58:53.436,4.255,-41.098,3.415,-9.512
1572983933476,2019-11-05T11:58:53.476,4.295,-35.183,0.671,-7.683
1572983933515,2019-11-05T11:58:53.515,4.334,-17.012,2.195,-3.841
1572983933556,2019-11-05T11:58:53.556,4.375,-6.098,4.695,-4.146
1572983933596,2019-11-05T11:58:53.596,4.415,-4.024,3.476,-4.939
1572983933637,2019-11-05T11:58:53.637,4.456,-7.012,1.463,-6.341
1572983933676,2019-11-05T11:58:53.676,4.495,-6.402,1.098,-6.463
1572983933716,2019-11-05T11:58:53.716,4.535,-1.463,1.402,-5.305
1572983933757,2019-11-05T11:58:53.757,4.576,-5.366,-0.366,-2.195
1572983933796,2019-11-05T11:58:53.796,4.615,-11.768,-4.329,0.793
1572983933837,2019-11-05T11:58:53.837,4.656,-14.817,-6.402,2.927
1572983933877,2019-11-05T11:58:53.877,4.696,-14.451,-9.512,3.171
1572983933916,2019-11-05T11:58:53.916,4.735,-3.537,-9.695,1.463
1572983933957,2019-11-05T11:58:53.957,4.776,-2.317,-8.171,2.561
1572983933997,2019-11-05T11:58:53.997,4.816,-7.500,-8.354,6.768
